"Case Name","Case Number","Case Type",City,"Date Closed","Date Filed","Employees on charge/petition","Reason Closed",Region,State,Status,Union,"Unit Sought",Voters
"NBC Universal",02-UC-000625,R,"new york",,12/20/2010,2500,,"Region 02, New York, New York",NY,Open,,"Included: See attached.
Excluded: See attached.",
"Outokumpu Stainless USA f/k/a ThyssenKrup Stainless USA, LLC",15-RC-008841,R,Calvert,,05/17/2010,80,,"Region 15, New Orleans, Louisiana",AL,Open,,"Included:  All full-time and part-rime production and maintenance employees.

Excluded:  All supervisors, managers and guards as defined in the Act, as amended.",
"ALARIS HEALTH AT HAMILTON PARK",22-UC-131962,R,"JERSEY CITY",,07/01/2014,15,,"Region 22, Newark, New Jersey",NJ,Open,,,
"Sysco Grand Rapids, LLC",07-RC-147973,R,"Grand Rapids",,03/11/2015,163,,"Region 07, Detroit, Michigan",MI,Open,"General Teamsters Local Union No. 406","Included:  All full-time and regular part-time drivers, warehouse, mechanics, inventory control, beverage and facility maintenace employees.

Excluded:  All office clerical employees, professional employees and guards and supervisors as defined by the Act.",165
"Donato Marangi, Inc., Cottage Carting, Inc., and Advanced Waste d/b/a Marangi Disposal",02-UD-098508,R,"Valley Cottage",,02/15/2013,92,,"Region 02, New York, New York",NY,Open,,"Included:  All full time and regular part time employees employed bythe Employer in and out of the facilities listed above.

Excluded:  All security-supervisors and clerical as defined by the Act.",
"JAM Productions, Ltd., Event Productions, Inc., Standing Room Only, Inc., and Victoria Operating Co., a single employer",13-RC-160240,R,Chicago,,09/17/2015,60,,"Region 13, Chicago, Illinois",IL,Open,,"Included- All full-time and  regular part-time stage production employees employed by the Employer at the Riveria, Park West, and Vic Theatres, including employees who perform carpentry, electrical, properties, audio, rigging, fly rail work, load-in, and load-out.

Excluded- Office Clerical employees and guards, professional employees and supervisors as defined in the Act.",58
"RHCG Safety Corp.",29-RC-157827,R,"Bay Shore",,08/12/2015,200,,"Region 29, Brooklyn, New York",NY,Open,,"Included: Regular full-time and part-time demolition workers.

Excluded: All other employees, including concrete workers, clerical and professional employees, guards and supervisors as defined under the Act.",120
"Temple University Hospital",04-RC-162716,R,Philadelphia,,10/27/2015,15,,"Region 04, Philadelphia, Pennsylvania",PA,Open,"Pennsylvania Association of Staff Nurses and Allied Professionals (PASNAP)",,12
"Sparks Steak House",02-RD-152184,R,"New York",,05/13/2015,34,,"Region 02, New York, New York",NY,Open,,"Included:  Waiters and Bartenders

Excluded:  Managers, kitchen staff (including chefs, cooks, dishwashers, kitchen head).",
"Stern Produce Company, Inc.",28-RC-161891,R,Phoenix,,10/14/2015,45,,"Region 28, Phoenix, Arizona",AZ,Open,,"Included:  All full-time and regular part-time warehouse workers and drivers employed by the Employer at its facility at 3200 S. 7th St. Phoenix, Arizona.

Exclued:  All sales, accounting, office clerical, and maintenance employees, and all managers, supervisors, and guards as defined by the National Labor Relations Act.",64
"Cristal USA, Inc.",08-RC-184947,R,Ashtabula,,09/26/2016,28,,"Region 08, Cleveland, Ohio",OH,Open,"International Chemical Workers Union Council (ICWUC)/UFCW","Included:  All full time and regular part time TiCI4 (North) plant production ((Technician-Process)
Chemical Operators, CRO's, Step ups/Relief Operators).

Excluded:  All other employees, including all employees in the Maintenance Department, TiO2 Production Department, & Shipping/Warehouse, professional & managerial, office/clericals, guards, & supervisors as defined in the Act.",28
"Laminated Board, Inc.",22-RD-190318,R,Linden,,12/21/2016,38,,"Region 22, Newark, New Jersey",NJ,Open,,"Included:  All full time and regular part time mechanics & Warehouse employees.
Excluded:  Office clerical employees, confidential employees, officers, managers, professional  guards and supervisors.",
"TIME, INC.",02-UC-135719,R,"NEW YORK",,08/29/2014,316,,"Region 02, New York, New York",NY,Open,,,
"Sterling Suffolk Racecourse, LLC, a Joint Employer with U. S. Security Associates, Inc.",01-AC-000098,R,Manchester,,01/23/2009,8,,"Region 01, Boston, Massachusetts",NH,Open,,"Included:   All full time and regular part time armed and unarmed security officers performing guard duties employed 
                  by the U. S. Security Associates, Inc., and Sterling Suffolk Racecourse, LLC, joint emplyers, and who work 
                  at the Suffolk Downs Racetrack in East Boston, Massachusetts.

Exluded:     All other employees and supervisors as defined by the Act. ",
"NBC Universal",02-UC-000619,R,,,03/17/2009,,,"Region 02, New York, New York",,Open,,,
"New York Fast Ferry",22-UD-000401,R,Highlands,,10/12/2001,15,,"Region 22, Newark, New Jersey",NJ,Open,," Inc. Full-Time and regular part-time employees, including, but not limited, to Port Captain, Galley, Engine, Mechanic and Deck(Captain, Mate and Deckland)

Exc. All office , clerical, mangerial employees and supervisors as defined by the act.",
"COlony Hotel, Inc. d/b/a Beachview Intermediate Care Facility",22-AC-000047,R,Keansburg,,02/01/1999,85,,"Region 22, Newark, New Jersey",NJ,Open,,,
"Tower America Management",22-UC-000311,R,"Jersey City",,12/09/2002,12,,"Region 22, Newark, New Jersey",NJ,Open,," Incl: All porters, handymen, doormen, maintenance and concierge employees at 30 River Court, Jersey City, NJ a/k/a the ""Easthamption"" building

Excl: Office clerical, supervisors, building managers, lifeguards, painters, appliance repairmen and outside repairmen, as provided by the NLRA of 1947.",
"HORIZON BLUE CROSS BLUE SHIELD OF NJ",22-UC-105326,R,NEWARK,,05/17/2013,1350,,"Region 22, Newark, New Jersey",NJ,Open,,,
