"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"10-RC-392876","Region 10, Atlanta, Georgia","St. Martin's In The Pines",2026-08-14,NA,"Birmingham","AL",NA,NA,58,NA,"Retail Wholesale and Department Store Union Mid-South Council",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","Retail Wholesale and Department Store Union Mid-South Council",1,"RWDSU",NA,"Still Open",NA
"10-RC-390697","Region 10, Atlanta, Georgia","Starbucks Corporation",2026-07-15,NA,"Florence","AL",NA,NA,12,NA,"WORKERS UNITED A/W SERVICE EMPLOYEES INTERNATIONAL UNION, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","WORKERS UNITED A/W SERVICE EMPLOYEES INTERNATIONAL UNION, AFL-CIO",1,"WU",NA,"Still Open",NA
"10-RC-390158","Region 10, Atlanta, Georgia","Bradley Technologies Inc. / American Eagle Protective Services",2026-07-07,NA,"Birmingham","AL",NA,NA,94,NA,"International Union, Security, Police and Fire Professionals of America (SPFPA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","International Union, Security, Police and Fire Professionals of America (SPFPA)",1,"SPFPA",NA,"Still Open",NA
"10-RD-389328","Region 10, Atlanta, Georgia","Skyworks",2026-06-23,NA,"Decatur","AL",NA,NA,19,NA,"International Union of Operating Engineers Local 320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"11-25",TRUE,"RD","No","International Union of Operating Engineers Local 320",1,"IUOE",NA,"Still Open",NA
"10-RD-387737","Region 10, Atlanta, Georgia","Prime Communications Retail LLC",2026-05-28,2026-05-28,"Opelika","AL",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"<5",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"10-RC-385628","Region 10, Atlanta, Georgia","Central Alabama Electric Cooperative",2026-04-27,2026-06-11,"Prattville","AL","A",2026-06-03,49,NA,"International Brotherhood of Electrical Workers Local #443",23,NA,NA,NA,NA,17,40,NA,4,NA,"International Brotherhood of Electrical Workers Local #443","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Apprentice Lineman, Lineman, Journeymen Lineman, Senior Journeyman Lineman, and Staking Technicians. 
Excluded: All other employees, office clerical employees, professional employees, confidential employees, managers, guards, and supervisors as defined in the Act.",NA,NA,NA,37,2026-04-01,2026-04-01,"26-50",TRUE,"RC","Yes","International Brotherhood of Electrical Workers Local #443",1,"IBEW",0.575,"Yes",9
"10-RC-385182","Region 10, Atlanta, Georgia","Starbucks Corporation",2026-04-20,2026-05-29,"Muscle Shoals","AL","A",2026-05-20,18,NA,"Workers United a/w SEIU",13,NA,NA,NA,NA,1,14,NA,NA,NA,"Workers United a/w SEIU","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Baristas and Shift Supervisors
employed at the 415 Avalon Avenue, Muscle Shoals, Alabama location
(Coffeehouse #67340).

Excluded: All other employees, Store Managers/Coffeehouse Leaders,
Assistant Store Managers, office clerical employees, professional
employees, guards, and supervisors as defined in in the Act.",NA,NA,NA,30,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","Workers United a/w SEIU",1,"WU",0.928571428571429,"Yes",4
"10-RD-385128","Region 10, Atlanta, Georgia","The Sherwin-Williams Manufacturing Company",2026-04-20,2026-05-15,"Birmingham","AL","A",2026-05-07,83,NA,"International Brotherhood of Boilermakers Iron Ship Builders Blacksmith Forgers and Helpers",35,NA,NA,NA,NA,36,71,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time production, maintenance, and quality employees employed by Employer at its facility located at 90 Carson Road, Birmingham, Alabama but excluding all other employees, office clerical employees, guards, professional employees, confidential employees, managers, and supervisors as defined in the Act

(1) employees who have quit or been discharged for cause after the designated payroll period for eligibility, and, in a mail ballot election, before they mail in their ballots to the Board’s designated office, (2) employees engaged in a strike who have been discharged for cause since the commencement thereof and who have not been rehired or reinstated before the election date, and (3) employees engaged in an economic strike which began more than 12 months before the election date who have been permanently replaced.",NA,NA,NA,17,2026-04-01,2026-04-01,"51-100",TRUE,"RD","Yes","International Brotherhood of Boilermakers Iron Ship Builders Blacksmith Forgers and Helpers",1,"IBB",0.492957746478873,"No",12
"10-RC-376870","Region 10, Atlanta, Georgia","ATI Specialty Alloys & Components, LLC",2025-12-11,NA,"Huntsville","AL",NA,NA,155,NA,"Christopher L. Wike, United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2025-10-01,"101-500",TRUE,"RC","No","Christopher L. Wike, United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC",1,"USW",NA,"Still Open",NA
"10-RC-374968","Region 10, Atlanta, Georgia","JWEMC Communications LLC",2025-11-19,2025-11-25,"Trinity","AL",NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2025-10-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"10-RC-374741","Region 10, Atlanta, Georgia","Pine Hill Rehabilitation and Wellness",2025-11-18,2025-12-15,"Birmingham","AL","A",2025-12-04,57,NA,"Retail, Wholesale and Department Store Union Mid-South",4,NA,NA,NA,NA,26,30,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time Certified Nursing Assistants and medication
assistance certified (MACS) employed by the Employer at its healthcare facility located
at 200 North Pine Hill Road, Birmingham, Alabama 35217.

Excluded: All other employees, all registered nurses, licensed practical nurses,
maintenance, housekeeping assistants, PRN Certified Nursing Assistants, PRN
medication assistance certified (MACS), dietary aids, office clerical employees,
professional employees, confidential employees, managers, guards and supervisors as
defined in the Act.",NA,NA,NA,16,2025-10-01,2025-10-01,"51-100",TRUE,"RC","Yes","Retail, Wholesale and Department Store Union Mid-South",1,"RWDSU",0.133333333333333,"No",27
