"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"19-RC-388023","Region 19, Seattle, Washington","College Utilities Corporation",2026-06-01,2026-07-17,"Fairbanks","AK","A",2026-07-09,7,NA,"Local Union 1547 of the International Brotherhood of Electrical Workers",3,NA,NA,NA,NA,4,7,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time employees employed by the Employer, including
utility operators, mechanics, assistant superintendents, and superintendents;
excluding all other employees and guards and supervisors as defined by the Act",NA,NA,NA,38,2026-07-01,2026-04-01,"6-10",TRUE,"RC","Yes","Local Union 1547 of the International Brotherhood of Electrical Workers",1,"IBEW",0.428571428571429,"No",0
"19-RD-384946","Region 19, Seattle, Washington","65 North Hospitality, Inc",2026-04-15,2026-04-23,"Fairbanks","AK",NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"51-100",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"19-UC-384477","Region 19, Seattle, Washington","Alaska Power and Telephone Company",2026-04-08,2026-06-10,"Klawock","AK",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unit Clarification","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"6-10",TRUE,"UC","No",NA,0,"Uncoded",NA,"Other",NA
"19-RD-384094","Region 19, Seattle, Washington","65 North Hospitality Group",2026-04-02,2026-04-08,"Fairbanks","AK",NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"51-100",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"19-RC-380513","Region 19, Seattle, Washington","Alaska Power and Telephone Company",2026-02-05,2026-03-18,"Klawock","AK","A",2026-03-10,10,NA,"Local 1547 of the International Brotherhood of Electrical Workers, AFL-CIO",8,NA,NA,NA,NA,0,8,NA,1,NA,"Local 1547 of the International Brotherhood of Electrical Workers, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time power division employees employed by the Employer and working at or out of its facility located on Prince of Wales Island, Alaska, including all journeyman linemen, apprentice linemen, operations technicians, power plant operators, power operations electricians, and equipment operators. 
Excluded: All other employees, office clerical employees, telecommunications employees, watchmen, and guards and supervisors as defined by the Act.",NA,NA,NA,33,2026-01-01,2026-01-01,"6-10",TRUE,"RC","Yes","Local 1547 of the International Brotherhood of Electrical Workers, AFL-CIO",1,"IBEW",1,"Yes",2
"19-RC-378402","Region 19, Seattle, Washington","Frontline Hospital, LLC d/b/a North Star Behavioral Health System",2026-01-06,2026-02-20,"Anchorage","AK","A",2026-02-11,10,NA,"Laborers' International Union of North America, Laborers' Local 341, affiliated with Alaska District Council of Laborers",6,NA,NA,NA,NA,4,10,NA,NA,NA,"Laborers' International Union of North America, Laborers' Local 341, affiliated with Alaska District Council of Laborers","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, regular part-time, and per diem employees in the following job classifications: Activity Therapists, Recreational Therapists, and Lead Recreational Therapists employed by the Employer at its facilities located at 2530 DeBarr Road, Anchorage, AK; 1500 DeBarr Circle, Anchorage, AK; 1650 South Bragaw, Anchorage, AK; and 3647 N. Clark Wolverine Road, Palmer, AK.     

Excluded: All other employees, clerical employees, confidential employees, managers, and guards and supervisors as defined by the Act.",NA,NA,NA,36,2026-01-01,2026-01-01,"6-10",TRUE,"RC","Yes","Laborers' International Union of North America, Laborers' Local 341, affiliated with Alaska District Council of Laborers",1,"LIUNA",0.6,"Yes",0
"19-RC-376997","Region 19, Seattle, Washington","ConocoPhillips Company",2025-12-11,2026-02-18,"Prudhoe Bay","AK","A",2026-02-09,25,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC",20,NA,NA,NA,NA,5,25,NA,NA,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Operations and Maintenance employees, including Senior Operators, Operators, Lead Operators, Apprentice Operators, Senior Electricians, Electricians, Apprentice Electricians, Senior Instrument Technicians, Instrument Technicians, Apprentice Instrument Technicians, Senior Mechanics, Mechanics, Apprentice Mechanics, Early Power Electrical Coordinators and Utility Operators, based at the Company’s Willow, North Slope Alaska Operation, Willow (70° 17'N 151 °55'W), located approximately 80 miles West of Deadhorse, AK.
Excluded: All temporary employees, contractors, engineers, telecommunications employees, professional employees, managerial employees, office clerical personnel, guards and supervisors as defined by the Act.",NA,NA,NA,60,2026-01-01,2025-10-01,"11-25",TRUE,"RC","Yes","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC",1,"USW",0.8,"Yes",0
"19-RD-375698","Region 19, Seattle, Washington","CCI Industrial Services, LLC",2025-11-25,2026-01-06,"Kenai","AK",NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dismissal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2025-10-01,"11-25",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"19-RC-375462","Region 19, Seattle, Washington","ConocoPhillips Company",2025-11-21,2026-02-18,"Prudhoe Bay","AK","A",2026-02-09,242,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC",165,NA,NA,NA,NA,54,220,NA,1,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Operations and Maintenance employees, including Senior Operators, Operators, Apprentice Operators, Senior Electricians, Electricians, Apprentice Electricians, Senior Instrument Technicians, Instrument Technicians, Apprentice Instrument Technicians, Senior Mechanics, Mechanics, Apprentice Mechanics, Operations Support Specialists, Central Shops Mechanics, Central Shops Machinists, Specialty Shop Technicians, and Senior Specialty Shop Technicians, employed by the Employer and based at the Employer’s North Slope Alaska Operation, including the specified job titles at Kupark (70°19'31.7N 149°36'37.3W), Alpine (70°19'00.0N 150°58'00.0W). Kupark – Located approximately 28 Miles West of Deadhorse, AK. Alpine – Located Approximately 58 Miles West of Deadhorse, AK.

Excluded: All other employees, temporary employees, contractors, engineers, telecommunications employees, professional employees, managerial employees, office clerical personnel, and guards and supervisors as defined by the Act.",NA,NA,NA,80,2026-01-01,2025-10-01,"101-500",TRUE,"RC","Yes","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC",1,"USW",0.753424657534247,"Yes",23
"19-RC-375220","Region 19, Seattle, Washington","Galen Hospital Alaska, Inc. dba Alaska Regional Hospital",2025-11-20,2025-12-31,"Anchorage","AK","A",2025-12-18,65,NA,"Laborers' International Union of North America, Laborers' Local 341, affiliated with Alaska District Council of Laborers",30,NA,NA,NA,NA,15,45,NA,3,NA,"Laborers' International Union of North America, Laborers' Local 341, affiliated with Alaska District Council of Laborers","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, regular part-time, and per diem (pool) professional employees employed by the Employer at its acute care facility located at 2801 DeBarr Rd and its Medical Office Building located at 2751 DeBarr Road in Anchorage Alaska, in the following classifications: physical therapists, occupational therapists, speech language pathologists, dieticians, pharmacists, social workers, and cardiac rehabilitation leads.    

Excluded: All other employees, employees in other represented bargaining units, non-professional employees, registered nurses, physicians, clerical employees, confidential employees, managers, and guards and supervisors as defined by the Act.",NA,NA,NA,28,2025-10-01,2025-10-01,"51-100",TRUE,"RC","Yes","Laborers' International Union of North America, Laborers' Local 341, affiliated with Alaska District Council of Laborers",1,"LIUNA",0.666666666666667,"Yes",20
