"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"28-RC-392293","Region 28, Phoenix, Arizona","Starbucks Corporation",2026-08-04,NA,"Tempe","AZ",NA,NA,24,NA,"Workers United a/w Service Employees International Union (SEIU)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Workers United a/w Service Employees International Union (SEIU)",1,"WU",NA,"Still Open",NA
"28-RC-390194","Region 28, Phoenix, Arizona","Lockheed Martin",2026-07-06,2026-07-20,"Luke Air Force Base","AZ",NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"28-RC-389402","Region 28, Phoenix, Arizona","ISS Action, Inc",2026-06-24,NA,"Tucson","AZ",NA,NA,58,NA,"International Union, Security, Police and Fire Professionals of America (SPFPA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"51-100",TRUE,"RC","No","International Union, Security, Police and Fire Professionals of America (SPFPA)",1,"SPFPA",NA,"Still Open",NA
"28-RC-389115","Region 28, Phoenix, Arizona","Banner Medical Group, Inc.",2026-06-17,NA,"Phoenix","AZ",NA,NA,243,NA,"Union of American Physicians and Dentists a/w AFSCME, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"101-500",TRUE,"RC","No","Union of American Physicians and Dentists a/w AFSCME, AFL-CIO",2,"Multiple",NA,"Still Open",NA
"28-RC-387377","Region 28, Phoenix, Arizona","Tucson Streetcar Inc., LLC dba Sun Link",2026-05-18,NA,"Tucson","AZ",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"6-10",TRUE,"RC","No",NA,0,"Uncoded",NA,"Still Open",NA
"28-RC-386724","Region 28, Phoenix, Arizona","RAPT-Dev Tucson d/b/a Sunlink Tucson",2026-05-08,2026-05-18,"Tucson","AZ",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"6-10",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"28-RC-386078","Region 28, Phoenix, Arizona","Swire Pacific Holdings, Inc. d/b/a Swire Coca-Cola, USA",2026-04-30,2026-06-02,"Phoenix","AZ",NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"26-50",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"28-RC-384996","Region 28, Phoenix, Arizona","Lockheed Martin",2026-04-16,2026-04-29,"Luke Air Force Base","AZ",NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"51-100",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"28-RD-384860","Region 28, Phoenix, Arizona","LainCo, LLC",2026-04-14,2026-04-21,"Phoenix","AZ",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"<5",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"28-RD-384541","Region 28, Phoenix, Arizona","Keolis North America",2026-04-08,2026-04-16,"Mesa","AZ",NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"26-50",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
