"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"15-RC-391499","Region 15, New Orleans, Louisiana","Starbucks Corporation",2026-07-27,NA,"Conway","AR",NA,NA,16,NA,"Workers United",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Workers United",1,"WU",NA,"Still Open",NA
"15-RC-390139","Region 15, New Orleans, Louisiana","Lockheed Martin Corporation",2026-07-07,2026-08-05,"Fort Smith","AR",NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"15-RC-388654","Region 15, New Orleans, Louisiana","Starbucks Corporation",2026-06-11,2026-07-24,"Little Rock","AR",NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Certification of Results","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"No",NA
"15-RC-388656","Region 15, New Orleans, Louisiana","Starbucks Corporation",2026-06-10,2026-07-29,"Little Rock","AR","A",2026-07-21,12,NA,"Workers United",0,NA,NA,NA,NA,10,10,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time Baristas and Shift Supervisors employed by
the Employer at its facility location at 3915 S. University Ave., Little Rock, Arkansas 72204.

Excluded: All store managers, assistant store managers, office clericals, guards,
professional employees, supervisors as defined by the Act, and all other employees.",NA,NA,NA,41,2026-07-01,2026-04-01,"11-25",TRUE,"RC","Yes","Workers United",1,"WU",0,"No",2
"15-RM-386557","Region 15, New Orleans, Louisiana","Tyson Chicken Incorporated",2026-05-07,2026-06-11,"Hope","AR",NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Certification of Results","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"11-25",TRUE,"RM","No",NA,0,"Uncoded",NA,"No",NA
"15-RC-386277","Region 15, New Orleans, Louisiana","Tyson Chicken Incorporated",2026-05-04,2026-06-11,"Fulton","AR",NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Certification of Results","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"26-50",TRUE,"RC","No",NA,0,"Uncoded",NA,"No",NA
"15-RC-380463","Region 15, New Orleans, Louisiana","American Air Conditioning & Mechanical",2026-02-04,2026-03-03,"Springdale","AR",NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Certification of Results","Closed",NA,NA,NA,NA,NA,NA,2026-01-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"No",NA
"15-RC-377874","Region 15, New Orleans, Louisiana","Starbucks Corporation",2025-12-23,2026-02-20,"Blytheville","AR","A",2026-02-11,12,NA,"Workers United",7,NA,NA,NA,NA,5,12,NA,NA,NA,"Workers United","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Baristas and Shift Supervisors employed by the Employer at its facility located at 3810 East Main Street, Blytheville, Arkansas 72315.

Excluded: All store managers, assistant store managers, office clericals, guards, professional employees and supervisors as defined by the Act, and all other employees.",NA,NA,NA,50,2026-01-01,2025-10-01,"11-25",TRUE,"RC","Yes","Workers United",1,"WU",0.583333333333333,"Yes",0
"15-RC-375242","Region 15, New Orleans, Louisiana","Starbucks Corporation",2025-11-20,2026-01-14,"Little Rock","AR","A",2026-01-06,20,NA,"Workers United a/w Service Employees International Union",15,NA,NA,NA,NA,5,20,NA,NA,NA,"Workers United a/w Service Employees International Union","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time & regular part-time Baristas and Shift Supervisors employed by the Employer at its facility located at 2815 Cantrell Road, Little Rock, Arkansas, 72202.

Excluded: All Store Managers, Assistant Store Managers, Office Clerical Employees, Professional Employees, Managerial Employees, Guards, and Supervisors as defined in the National Labor Relations Act, and all other employees.",NA,NA,NA,47,2026-01-01,2025-10-01,"11-25",TRUE,"RC","Yes","Workers United a/w Service Employees International Union",1,"WU",0.75,"Yes",0
"15-RM-374563","Region 15, New Orleans, Louisiana","Mygrant Glass Company, Inc.",2025-11-17,2025-12-22,"Little Rock","AR","A",2025-12-12,19,NA,"B062 UNITED",1,NA,NA,NA,NA,7,8,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All regular full-time and regular part-time glass handling specialists, driver/warehouse associates, warehouse associates, non-CDL drivers, and warehouse lead who work in the warehouse located at 5800 Lindsey Road, Little Rock, AR 72206. 

Excluded: All other employees, office clericals, guards, and supervisors as defined by the Act.",NA,NA,NA,25,2025-10-01,2025-10-01,"11-25",TRUE,"RM","Yes","B062 UNITED",0,"Uncoded",0.125,"No",11
"15-RC-361432","Region 15, New Orleans, Louisiana","Newbold Services, LLC",2025-03-07,2025-05-09,"London","AR","A",2025-05-01,14,1,"Laborers International Union of North America Local 360",8,NA,NA,NA,NA,0,8,NA,NA,NA,"Laborers International Union of North America Local 360","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All housekeepers performing work at the Arkansas Nuclear One facility located at 1448 SR 333, London, Arkansas

Excluded:  Supervisors and guards as defined by the Act.",NA,NA,NA,55,2025-04-01,2025-01-01,"11-25",TRUE,"RC","Yes","Laborers International Union of North America Local 360",1,"LIUNA",1,"Yes",6
"15-RM-361103","Region 15, New Orleans, Louisiana","Bimbo Bakeries, USA, Inc.",2025-02-28,2025-03-06,"North Little Rock","AR",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2025-01-01,"<5",TRUE,"RM","No",NA,0,"Uncoded",NA,"Other",NA
