"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"32-RC-392801","Region 32, Oakland, California","Stanford Health Care",2026-08-13,NA,"Stanford","CA",NA,NA,55,NA,"Service Employees International Union, United Healthcare Workers - West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","Service Employees International Union, United Healthcare Workers - West",1,"SEIU",NA,"Still Open",NA
"21-RD-392771","Region 21, Los Angeles, California","Waste Management - El Sobrante Landfill",2026-08-13,NA,"Corona","CA",NA,NA,73,NA,"International Union of Operating Engineers Local 12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RD","No","International Union of Operating Engineers Local 12",1,"IUOE",NA,"Still Open",NA
"21-RC-392710","Region 21, Los Angeles, California","Reyes Fleet Management, LLC",2026-08-12,NA,"Walnut","CA",NA,NA,7,NA,"Teamsters Local Union No. 63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","Teamsters Local Union No. 63",1,"Teamsters",NA,"Still Open",NA
"32-RD-392789","Region 32, Oakland, California","CalPortland",2026-08-12,NA,"San Jose","CA",NA,NA,7,NA,"IAM Local 1101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RD","No","IAM Local 1101",1,"IAM",NA,"Still Open",NA
"32-RC-392783","Region 32, Oakland, California","Starbucks Corporation",2026-08-12,NA,"El Cerrito","CA",NA,NA,21,NA,"Workers United",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Workers United",1,"WU",NA,"Still Open",NA
"20-RC-392725","Region 20, San Francisco, California","Prima Medical Foundation, dba MarinHealth Medical Network",2026-08-11,NA,"Greenbrae","CA",NA,NA,15,NA,"National Union of Healthcare Workers (NUHW)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","National Union of Healthcare Workers (NUHW)",1,"NUHW",NA,"Still Open",NA
"20-RC-392724","Region 20, San Francisco, California","MarinHealth Medical Group",2026-08-11,NA,"Greenbrae","CA",NA,NA,56,NA,"National Union of Healthcare Workers (NUHW)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","National Union of Healthcare Workers (NUHW)",1,"NUHW",NA,"Still Open",NA
"20-RC-392723","Region 20, San Francisco, California","MarinHealth Medical Center",2026-08-11,NA,"Greenbrae","CA",NA,NA,86,NA,"National Union of Healthcare Workers (NUHW)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","National Union of Healthcare Workers (NUHW)",1,"NUHW",NA,"Still Open",NA
"20-RM-392516","Region 20, San Francisco, California","Khanna Enterprises II, LP",2026-08-10,NA,"Sacramento","CA",NA,NA,4,NA,"International Union of Operating Engineers, Stationary Engineers, Local 39, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RM","No","International Union of Operating Engineers, Stationary Engineers, Local 39, AFL-CIO",1,"IUOE",NA,"Still Open",NA
"32-RD-392595","Region 32, Oakland, California","Sutter Health - Alta Bates Summit",2026-08-10,NA,"Oakland","CA",NA,NA,46,NA,"OPEIU - Local 29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RD","No","OPEIU - Local 29",1,"OPEIU",NA,"Still Open",NA
"31-RC-392541","Region 31, Los Angeles, California","Crown Technical Systems",2026-08-10,NA,"Fontana","CA",NA,NA,200,NA,"International Brotherhood of Electrical Workers, IBEW 47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RC","No","International Brotherhood of Electrical Workers, IBEW 47",1,"IBEW",NA,"Still Open",NA
"32-RC-392419","Region 32, Oakland, California","J.R. Simplot Company, LLC",2026-08-06,NA,"Kerman","CA",NA,NA,10,NA,"Teamsters Local 431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","Teamsters Local 431",1,"Teamsters",NA,"Still Open",NA
"20-RC-392379","Region 20, San Francisco, California","USA Waste of California, Inc.",2026-08-06,NA,"Sacramento","CA",NA,NA,72,NA,"Teamsters Local 150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","Teamsters Local 150",1,"Teamsters",NA,"Still Open",NA
"20-RC-392263","Region 20, San Francisco, California","Interstate Management Company, LLC",2026-08-04,NA,"Sacramento","CA",NA,NA,4,NA,"International Union of Operating Engineers, Stationary Engineers, Local 39, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","International Union of Operating Engineers, Stationary Engineers, Local 39, AFL-CIO",1,"IUOE",NA,"Still Open",NA
"31-RD-392203","Region 31, Los Angeles, California","Sweet Flower",2026-08-04,NA,"Pasadena","CA",NA,NA,53,NA,"United Food & Commercial Workers Union Local 770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RD","No","United Food & Commercial Workers Union Local 770",1,"UFCW",NA,"Still Open",NA
"21-RC-392258","Region 21, Los Angeles, California","Schulte Hospitality Group, Inc.",2026-08-04,NA,"San Diego","CA",NA,NA,77,NA,"UNITE HERE Local 30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","UNITE HERE Local 30",1,"UNITE HERE",NA,"Still Open",NA
"21-RC-392137","Region 21, Los Angeles, California","Emergency Ambulance Service, Inc.",2026-08-03,NA,"Brea","CA",NA,NA,97,NA,"United EMS Workers, AFSCME Local 4911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","United EMS Workers, AFSCME Local 4911",1,"AFSCME",NA,"Still Open",NA
"31-RC-392088","Region 31, Los Angeles, California","Boeing LAX / Millennium Space Services",2026-08-03,NA,"El Segundo","CA",NA,NA,530,NA,"International Association of Machinists and Aerospace Workers, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"500>",TRUE,"RC","No","International Association of Machinists and Aerospace Workers, AFL-CIO",1,"IAM",NA,"Still Open",NA
"20-RC-392048","Region 20, San Francisco, California","Marin Health Medical Center",2026-07-31,2026-08-10,"Greenbrae","CA",NA,NA,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
