"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"27-RC-391415","Region 27, Denver, Colorado","Colorado Coalition for the Homeless",2026-07-24,NA,"Denver","CO",NA,NA,31,NA,"Service Employees International Union, Local 105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","Service Employees International Union, Local 105",1,"SEIU",NA,"Still Open",NA
"27-RC-391349","Region 27, Denver, Colorado","Transdev Services, Inc.",2026-07-22,NA,"Commerce City","CO",NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Still Open",NA
"27-RC-390942","Region 27, Denver, Colorado","Starbucks Corporation",2026-07-17,NA,"Denver","CO",NA,NA,19,NA,"Workers United a/w SEIU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Workers United a/w SEIU",1,"WU",NA,"Still Open",NA
"27-RC-390712","Region 27, Denver, Colorado","Nestle Purina PetCare Company",2026-07-15,NA,"Denver","CO",NA,NA,50,NA,"United Food and Commercial Workers International Union, Local 7, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","United Food and Commercial Workers International Union, Local 7, AFL-CIO",1,"UFCW",NA,"Still Open",NA
"27-RD-390667","Region 27, Denver, Colorado","Starbucks Corporation",2026-07-14,2026-07-22,"Denver","CO",NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"27-RD-390293","Region 27, Denver, Colorado","Invenergy Services Thermal US, LLC",2026-07-08,2026-07-30,"Fort Lupton","CO","A",2026-07-22,7,NA,"International Brotherhood of Electrical Workers Local 111",0,NA,NA,NA,NA,6,6,NA,NA,NA,"International Brotherhood of Electrical Workers Local 111","Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time Operation technicians, Maintenance technicians, and 
Control Room Operators employed by the Employe at its Ft. Lupton facility.

Excluded: All office clerical employees, confidential employes, managerial employees, professional 
employees, guards, and supervisors, as defined in the Act.",NA,NA,NA,14,2026-07-01,2026-07-01,"6-10",TRUE,"RD","Yes","International Brotherhood of Electrical Workers Local 111",1,"IBEW",0,"No",1
"27-RC-387347","Region 27, Denver, Colorado","HQ Live Denver Inc.",2026-05-20,2026-07-13,"Denver","CO","A",2026-06-30,6,NA,"International Alliance of Theatrical Stage Employees, Local 7, AFL-CIO",5,NA,NA,NA,NA,1,6,NA,NA,NA,"International Alliance of Theatrical Stage Employees, Local 7, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees in the classification of Audio
Engineer who have worked for the Employer on at least two productions for at least a total of five 
(5) working days over a one-year period preceding May 20, 2026, or at least a total of fifteen (15) 
days over a two year period preceding May 20, 2026.

Excluded: All office clerical employees, managerial employees, professional employees, guards, 
supervisors, as defined in the Act, and all other employees.",NA,NA,NA,41,2026-04-01,2026-04-01,"6-10",TRUE,"RC","Yes","International Alliance of Theatrical Stage Employees, Local 7, AFL-CIO",1,"IATSE",0.833333333333333,"Yes",0
"27-RC-387319","Region 27, Denver, Colorado","Federal Theatre Productions LLC d/b/a Federal Theatre",2026-05-19,2026-07-13,"Denver","CO","A",2026-06-30,14,NA,"International Alliance of Theatrical Stage Employees, Local 7, AFL-CIO",11,NA,NA,NA,NA,2,13,NA,NA,NA,"International Alliance of Theatrical Stage Employees, Local 7, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees in the classification of Audio Engineer who 
have worked for the Employer on at least two productions for at least a total of five (5) working 
days over a one-year period preceding May 19, 2026, or at least a total of fifteen (15) days over a 
two year period preceding May 19, 2026.

Excluded: All office clerical employees, managerial employees, professional employees, guards, 
supervisors, as defined in the Act, and all other employees.",NA,NA,NA,42,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","International Alliance of Theatrical Stage Employees, Local 7, AFL-CIO",1,"IATSE",0.846153846153846,"Yes",1
"27-RC-387236","Region 27, Denver, Colorado","Berkeley Highlands Productions LLC d/b/a Oriental Theater",2026-05-18,2026-07-13,"Denver","CO","A",2026-06-30,7,NA,"International Alliance of Theatrical Stage Employees, Local 7, AFL-CIO",5,NA,NA,NA,NA,1,6,NA,NA,NA,"International Alliance of Theatrical Stage Employees, Local 7, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees in the classification of Audio Engineer who 
have worked for the Employer on at least two productions for at least a total of five (5) working 
days over a one-year period preceding May 19, 2026, or at least a total of fifteen (I 5) days over 
a two year period preceding May I9, 2026.

Excluded: All office clerical employees, managerial employees, professional employees, guards, 
supervisors, as defined in the Act, and all other employees.",NA,NA,NA,43,2026-04-01,2026-04-01,"6-10",TRUE,"RC","Yes","International Alliance of Theatrical Stage Employees, Local 7, AFL-CIO",1,"IATSE",0.833333333333333,"Yes",1
"27-RC-386701","Region 27, Denver, Colorado","Starbucks Corporation",2026-05-08,2026-07-27,"Arvada","CO","A",2026-06-22,26,NA,"Chicago & Midwest Regional Joint Board, Workers United/SEIU",12,NA,NA,NA,NA,12,25,NA,1,"Y",NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time Baristas and Shift Supervisors employed by the Employer at Coffeehouse No. 6333 located in Arvada, CO.
Excluded: All Store Managers, Coffeehouse Leaders, Assistant Store Managers, office clerical employees, confidential employees, managerial employees, professional employees, guards and supervisors, as defined by the Act.",NA,NA,NA,45,2026-04-01,2026-04-01,"26-50",TRUE,"RC","Yes","Chicago & Midwest Regional Joint Board, Workers United/SEIU",1,"WU",0.5,"No",2
"27-RC-386087","Region 27, Denver, Colorado","Clinica Family Health & Wellness",2026-04-30,2026-06-15,"Louisville","CO","A",2026-06-02,6,NA,"Service Employees International Union, Local 105",2,NA,NA,NA,NA,0,2,NA,NA,NA,"Service Employees International Union, Local 105","Initial","Single Labor Organization","Certification of Results","Closed","VOTING GROUP A- PROFESSIONAL EMPLOYEES

Included: All full-time and regular part-time nurse case managers, psychiatrists, and advanced 
practice providers employed by the Employer providing urgent psych services at the Century Building 
located 1107 W. Century Dr., Louisville, CO 80027.


Excluded: Office clerical employees, administrative employees, temporary employees, locum tenens 
employees, independent contractors, per diem employees, confidential employees, managerial 
employees, guards, and supervisors, as defined in the Act, and all other employees.

VOTING GROUP B - NONPROFESSIONAL EMPLOYEES


Included: All full-time and regular part-time case managers employed by the Employer providing 
urgent psych services at the Century Building located 1107 W. Century Dr., Louisville, CO 80027.


Excluded: Office clerical employees, administrative employees, temporary employees, locum tenens 
employees, independent contractors, per diem employees, confidential employees, managerial 
employees, guards, and supervisors, as defined in the Act, and all other employees.",NA,NA,NA,33,2026-04-01,2026-04-01,"6-10",TRUE,"RC","Yes","Service Employees International Union, Local 105",1,"SEIU",1,"No",4
"27-RC-382445","Region 27, Denver, Colorado","MV Transportation, Inc.",2026-03-06,2026-03-17,"Grand Junction","CO",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-01-01,"<5",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"27-RC-382035","Region 27, Denver, Colorado","Cooperative Markets, Inc. d/b/a Fort Collins Food Cooperative",2026-02-27,2026-04-09,"Fort Collins","CO","A",2026-03-31,11,NA,"United Food and Commercial Workers International Union, AFL-CIO, Local 7",6,NA,NA,NA,NA,3,10,NA,1,NA,"United Food and Commercial Workers International Union, AFL-CIO, Local 7","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees employed by the
Employer at its Fort Collins, Colorado facility.

Excluded: Office clerical employees, General Managers, Assistant General Managers, temporary 
employees, guards, professional employees and supervisors
as defined in the Act, and all other employees.",NA,NA,NA,32,2026-01-01,2026-01-01,"11-25",TRUE,"RC","Yes","United Food and Commercial Workers International Union, AFL-CIO, Local 7",1,"UFCW",0.666666666666667,"Yes",2
"27-RC-381644","Region 27, Denver, Colorado","Starbucks Corporation",2026-02-23,2026-04-09,"Greeley","CO","A",2026-04-01,18,NA,"Workers United a/w Service Employees International Union, AFL-CIO",15,NA,NA,NA,NA,1,16,NA,NA,NA,"Workers United a/w Service Employees International Union, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time baristas and shift supervisors employed
by the Employer at its Store No. 65464 located in Greeley, CO.
EXCLUDED: All Store Managers, Assistant Store Managers, coffeehouse leaders, office
clerical employees, confidential employees, managerial employees, professional
employees, guards, and supervisors, as defined in the Act.",NA,NA,NA,37,2026-04-01,2026-01-01,"11-25",TRUE,"RC","Yes","Workers United a/w Service Employees International Union, AFL-CIO",1,"WU",0.9375,"Yes",2
"27-RC-381622","Region 27, Denver, Colorado","Traffic Management, LLC",2026-02-20,2026-05-26,"Denver","CO","A",2026-05-15,108,1,"Laborers International Union of North America, Local 720",70,NA,NA,NA,NA,5,76,NA,1,NA,"Laborers International Union of North America, Local 720","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time employees performing Traffic Control Work in the State of Colorado including TC (Traffic Controller) Nos. 1 through 5, Driver; TC (Traffic Controller) Nos. 1 through 5, Non-Driver; and TCS (Traffic Control Supervisor) who are employed by the Employer from, or out of, its branches located at 7499 East 41st Avenue, Denver, Colorado 80216 and 1863 2nd Avenue, Building 1, Greeley, Colorado 80631.

EXCLUDED: Office clerical employees, confidential employees, temporary employees, professional employees, managerial employees, guards, and supervisors, as defined in the Act.",NA,NA,NA,84,2026-04-01,2026-01-01,"101-500",TRUE,"RC","Yes","Laborers International Union of North America, Local 720",1,"LIUNA",0.933333333333333,"Yes",33
"27-RC-381339","Region 27, Denver, Colorado","Alamo Intermediate II Holdings, LLC",2026-02-18,2026-03-30,"Westminster","CO","A",2026-03-19,75,NA,"Communications Workers of America Local 7777",40,NA,NA,NA,NA,2,44,NA,2,NA,"Communications Workers of America Local 7777","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Concierges, Specialty Bartenders, Support Crew, Line 
Cooks, Greet Crew, Kitchen Production Crew, Bar Production Crew, and Shift Leads & Trainers 
employed by the Employer at its Westminster, Colorado facility.
Excluded: Office clerical employees, managers, guards, professional employees
and supervisors as defined in the Act, and all other employees.",NA,NA,NA,29,2026-01-01,2026-01-01,"51-100",TRUE,"RC","Yes","Communications Workers of America Local 7777",1,"CWA",0.952380952380952,"Yes",33
"27-RC-381119","Region 27, Denver, Colorado","Rocky Mountain Natural Gas, LLC d/b/a Black Hills Energy",2026-02-13,2026-03-25,"De Beque","CO","A",2026-03-17,18,NA,"International Brotherhood of Electrical Workers Local 111, AFL-CIO",11,NA,NA,NA,NA,7,18,NA,NA,NA,"International Brotherhood of Electrical Workers Local 111, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time gas transmission operations and maintenance employees employed by the employer in Colorado, including pipeline technicians, compressor technicians, compressor operators, welders, mechanics, measurement technicians, and corrosion technicians.
EXCLUDED: Office clerical employees, professional employees, confidential employees, guards, and supervisors, as defined by the Act, and all other employees.",NA,NA,NA,32,2026-01-01,2026-01-01,"11-25",TRUE,"RC","Yes","International Brotherhood of Electrical Workers Local 111, AFL-CIO",1,"IBEW",0.611111111111111,"Yes",0
"27-RC-379580","Region 27, Denver, Colorado","Starbucks Corporation",2026-01-21,2026-03-12,"Gunnison","CO","A",2026-03-04,21,NA,"Workers United a/w Service Employees International Union, AFL-CIO",18,NA,NA,NA,NA,0,19,NA,1,NA,"Workers United a/w Service Employees International Union, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Baristas and Shift Supervisors employed by the Employer at Store No. 65663 located in Gunnison, CO.
Excluded: All Store Managers, Assistant Store Managers, coffeehouse leaders, office clerical employees, confidential employees, managerial employees, professional employees, guards and supervisors, as defined in the Act.",NA,NA,NA,42,2026-01-01,2026-01-01,"11-25",TRUE,"RC","Yes","Workers United a/w Service Employees International Union, AFL-CIO",1,"WU",1,"Yes",3
"27-RD-376662","Region 27, Denver, Colorado","Wyo-Ben, Inc.",2025-12-09,2025-12-11,"Denver","CO",NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2025-10-01,"26-50",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"27-RC-375602","Region 27, Denver, Colorado","Transdev Services, Inc.",2025-11-25,2026-01-14,"Denver","CO","A",2026-01-06,14,NA,"Amalgamated Transit Union, Local 1001, AFL-CIO/CLC",6,NA,NA,NA,NA,7,13,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time dispatchers and road supervisors employed
by the Employer at its Denver, Colorado facility.
Excluded: All office clerical employees, professional employees, managers, guards, and
supervisors, as defined in the Act, and all other employees.",NA,NA,NA,42,2026-01-01,2025-10-01,"11-25",TRUE,"RC","Yes","Amalgamated Transit Union, Local 1001, AFL-CIO/CLC",1,"ATU",0.461538461538462,"No",1
"27-RD-375016","Region 27, Denver, Colorado","ImageFIRST Healthcare Laundry Specialists d/b/a Hamilton Linen and Uniform",2025-11-19,2026-01-06,"Denver","CO","A",2025-12-19,13,NA,"International Brotherhood of Teamsters Local 455",12,NA,NA,NA,NA,1,13,NA,NA,NA,"International Brotherhood of Teamsters Local 455","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Customer Advocates and Route Specialists employed by 
the Employer at its Denver, Colorado facility.
Excluded: Office clerical employees, guards, professional employees and
supervisors as defined in the Act, and all other employees.",NA,NA,NA,30,2025-10-01,2025-10-01,"11-25",TRUE,"RD","Yes","International Brotherhood of Teamsters Local 455",1,"Teamsters",0.923076923076923,"Yes",0
