"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"01-RC-389459","Region 01, Boston, Massachusetts","Nexstar Media Group, Inc. d/b/a WTNH-TV",2026-06-25,2026-08-14,"New Haven","CT","A",2026-08-06,8,NA,"NATIONAL ASSOCIATION OF BROADCAST EMPLOYEES & TECHNICIANS-COMMUNICATIONS WORKERS OF AMERICA, AFL-CIO",1,NA,NA,NA,NA,4,5,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time digital producer employees employed by the Employer at its facility located at 8 Elm Street, New Haven, CT.

Excluded: All office clerical employees, confidential employees, managers, guards, and professional employees and supervisors as defined in the Act.",NA,NA,NA,42,2026-07-01,2026-04-01,"6-10",TRUE,"RC","Yes","NATIONAL ASSOCIATION OF BROADCAST EMPLOYEES & TECHNICIANS-COMMUNICATIONS WORKERS OF AMERICA, AFL-CIO",1,"NABET",0.2,"No",3
"01-RC-389460","Region 01, Boston, Massachusetts","First Student, Inc.",2026-06-25,2026-07-24,"Danbury","CT","A",2026-07-16,5,NA,"International Brotherhood of Teamsters Chauffers, Warehousemen and Helpers of America Local 191",5,NA,NA,NA,NA,0,5,NA,NA,NA,"International Brotherhood of Teamsters Chauffers, Warehousemen and Helpers of America Local 191","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time mechanics employed by the Employer at its facility located in Danbury, Connecticut, but excluding all office clerical employees, managers, guards, professional employees, and supervisors as defined in the Act.",NA,NA,NA,21,2026-07-01,2026-04-01,"<5",TRUE,"RC","Yes","International Brotherhood of Teamsters Chauffers, Warehousemen and Helpers of America Local 191",1,"Teamsters",1,"Yes",0
"01-RC-387645","Region 01, Boston, Massachusetts","NORTHWELL HEALTH / NUVANCE HEALTH",2026-05-27,2026-06-01,"Norwalk","CT",NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"01-RC-386288","Region 01, Boston, Massachusetts","Notre Dame Convalescent Homes, Inc d/b/a Notre Dame Health and Rehabilitation Center",2026-05-04,2026-06-22,"Norwalk","CT","A",2026-06-11,64,NA,"New England Health Care Employees Union, District 1199, SEIU, AFL-CIO",56,NA,NA,NA,NA,4,60,NA,2,NA,"New England Health Care Employees Union, District 1199, SEIU, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","VOTING GROUP - UNIT A (PROFESSIONAL UNIT):
All full-time, regular part-time, and per diem Registered Nurses, employed by the Employer at its Norwalk, Connecticut facility; but excluding all Directors of Nursing, out-patient Registered Nurses, RN Supervisors, Staff Education Nurses, RN MDS Coordinators, charge nurses, social workers, dieticians, office clerical employees, managers, guards, and supervisors as defined in the Act.

VOTING GROUP - UNIT B (NON-PROFESSIONAL UNIT):
All full-time, regular part-time, and per diem Licensed Practical Nurses, Certified Nursing Assistants, Recreation Assistants TRD, Cooks, Dietary Aides, Housekeeping & Laundry Workers, Maintenance Assistants, Receptionists, and Schedulers employed by the Employer at its Norwalk, Connecticut facility, but excluding all Directors of Nursing, out-patient Registered Nurses, RN Supervisors, Staff Education Nurses, RN MDS Coordinators, charge nurses, social workers, dieticians, medical records, office clerical employees, managers, guards, and professional employees and supervisors as defined in the Act.

In the event the majority of the voting professionals (Voting Group – Unit A) vote to be included in a unit with nonprofessional employees (Voting Group - Unit B), the following combined unit is appropriate. 
COMBINED UNIT

All full-time, regular part-time and per diem Registered Nurses,  Licensed Practical Nurses, Certified Nursing Assistants, Recreation Assistants TRD, Cooks, Dietary Aides, Housekeeping & Laundry Workers, Maintenance Assistants, Receptionists, and  Schedulers employed by the Employer at its Norwalk, Connecticut facility, but excluding all Directors of Nursing, out-patient Registered Nurses, RN Supervisors, Staff Education Nurses, RN MDS Coordinators, charge nurses, social workers, dieticians, medical records, office clerical employees, managers, guards, and supervisors as defined in the Act.",NA,NA,NA,38,2026-04-01,2026-04-01,"51-100",TRUE,"RC","Yes","New England Health Care Employees Union, District 1199, SEIU, AFL-CIO",1,"SEIU",0.933333333333333,"Yes",4
"01-RC-384100","Region 01, Boston, Massachusetts","Hunter's Ambulance Service, Inc.",2026-04-02,2026-05-07,"Meriden","CT","A",2026-04-30,7,NA,"International Association of EMT's and Paramedics",3,NA,NA,NA,NA,1,4,NA,NA,NA,"International Association of EMT's and Paramedics","Initial","Single Labor Organization","Certification of Results","Closed","Included: All per diem EWs, AEMTs, EMT trainees, paramedics, emergency dispatchers, and emergency call receivers employed by Employer at its Meriden, East Meriden, Berlin, Middletown, and Wallingford, Connecticut facilities.

Excluded: All maintenance employees, wheelchair van drivers, special transportation department employees, once clerical employees, managers, guards, professional employees and supervisors as defined by the Act.

Per diem employees eligible to vote are those who averaged four (4) hours or more durIng the 13-week period preceding April 9, 2026, per Davison-Paron, 185 NLRB 2 (1970).",NA,NA,NA,28,2026-04-01,2026-04-01,"6-10",TRUE,"RC","Yes","International Association of EMT's and Paramedics",1,"NAGE",0.75,"No",3
"01-RC-383696","Region 01, Boston, Massachusetts","Lockheed Martin Corporation d/b/a Sikorsky Aircraft Corporation",2026-03-26,NA,"Trumbull","CT","A",2026-04-15,72,NA,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL UNION NO. 1150",34,NA,NA,NA,NA,37,71,NA,1,NA,NA,"Initial","Single Labor Organization",NA,"Open","All regular full-time and regular part-time hourly employees located at the Employer's facility at 116 Quarry Road, Trumbull, Connecticut in the following job classifications:  Machinist General Specialist, Machinist General Senior Specialist, Material Distribution Handler Support Lead, Material Distribution Handler Support Specialist, Material Distribution Handler Support Senior Specialist, Mechanic A&P Lead, Mechanic A&P Specialist, Mechanic A&P Senior, and Mechanic A&P Senior Specialist. 
 
Excluding: Office clerical employees, salaried employees, contractor employees, flight inspectors, confidential employees, managers, guards, professional employees and supervisors as defined by the Act.",NA,NA,NA,20,2026-04-01,2026-01-01,"51-100",TRUE,"RC","Yes","INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL UNION NO. 1150",1,"Teamsters",0.47887323943662,"Still Open",1
"01-RC-383322","Region 01, Boston, Massachusetts","Mystic Seaport Museum, Inc.",2026-03-20,2026-07-29,"Mystic","CT","A",2026-07-29,89,NA,"AFSCME COUNCIL 4, AFL-CIO",42,NA,NA,NA,NA,40,82,NA,NA,NA,"AFSCME COUNCIL 4, AFL-CIO","Initial","Revised Single Labor Org","Certific. of Representative","Closed","All full-time and regular part-time employees employed by the Employer at its Mystic, Connecticut facility; but excluding Curator of Long Island Collections, Public Programs Manager, Registrar, Ships Plan Associate, Dockmaster, Boathouse Supervisor, Waterfront Operations Supervisor,  Creative Director, Editorial Director, office clerical employees, confidential employees, temporary or casual employees, managers, guards, and professional employees and supervisors as defined in the Act.   
The parties agree to be eligible to vote in this election, regular part-time refers to employees who work an average of 20 hours per week the 19 weeks prior to the payroll period ending date.",NA,NA,NA,131,2026-07-01,2026-01-01,"51-100",TRUE,"RC","Yes","AFSCME COUNCIL 4, AFL-CIO",1,"AFSCME",0.51219512195122,"Yes",7
"01-RC-383322","Region 01, Boston, Massachusetts","Mystic Seaport Museum, Inc.",2026-03-20,2026-07-29,"Mystic","CT","A",2026-04-16,89,NA,"AFSCME COUNCIL 4, AFL-CIO",42,NA,NA,NA,NA,40,82,NA,5,"Y",NA,"Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time employees employed by the Employer at its Mystic, Connecticut facility; but excluding Curator of Long Island Collections, Public Programs Manager, Registrar, Ships Plan Associate, Dockmaster, Boathouse Supervisor, Waterfront Operations Supervisor,  Creative Director, Editorial Director, office clerical employees, confidential employees, temporary or casual employees, managers, guards, and professional employees and supervisors as defined in the Act.   
The parties agree to be eligible to vote in this election, regular part-time refers to employees who work an average of 20 hours per week the 19 weeks prior to the payroll period ending date.",NA,NA,NA,27,2026-04-01,2026-01-01,"51-100",FALSE,"RC","Yes","AFSCME COUNCIL 4, AFL-CIO",1,"AFSCME",0.51219512195122,"Yes",7
"01-RC-381376","Region 01, Boston, Massachusetts","Y Access Transport, LLC",2026-02-18,2026-03-30,"North Haven","CT","A",2026-03-20,130,NA,"International Association of EMTs and Paramedics, National Association of Government Employees, Service Employees International Union, Local 5000",37,NA,NA,NA,NA,65,102,NA,3,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time, regular part-time and per diem EMTs, Paramedics and Ground Transport Dispatchers employed by the Employer at its North Haven, Stamford, Stratford, and Milford, Connecticut facilities; but excluding wheelchair dispatchers, fleet maintenance mechanics, wheelchair van drivers, livery drivers, billers, customer service representatives, office clerical employees, confidential employees, managers, guards, professional employees and supervisors as defined in the Act.",NA,NA,NA,30,2026-01-01,2026-01-01,"101-500",TRUE,"RC","Yes","International Association of EMTs and Paramedics, National Association of Government Employees, Service Employees International Union, Local 5000",1,"NAGE",0.362745098039216,"No",28
"01-RC-381231","Region 01, Boston, Massachusetts","Community Options Residential Services, Inc.",2026-02-17,2026-04-07,"Waterbury","CT","A",2026-03-30,19,NA,"New England Health Care Employees Union, District 1199, SEIU",12,NA,NA,NA,NA,0,12,NA,NA,NA,"New England Health Care Employees Union, District 1199, SEIU","Initial","Single Labor Organization","Certification of Results","Closed","Included: All relief/per diem direct care employees employed by the Employer at its Waterbury, Connecticut facility.
Excluded: All office clerical employees, managers, guards, professional employees and supervisors as defined by the Act.

The parties agree that eligible to vote are those employees who worked an average of four (4) or more hours per week during the 13-week period prior to the payroll eligibility date.",NA,NA,NA,41,2026-01-01,2026-01-01,"11-25",TRUE,"RC","Yes","New England Health Care Employees Union, District 1199, SEIU",1,"SEIU",1,"No",7
