"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"05-RC-391511","Region 05, Baltimore, Maryland","Camden Wyoming Fire Company, Inc.",2026-07-27,NA,"Camden","DE",NA,NA,12,NA,"Kent Sussex Professional Firefighters, International Association of Fire Fighters (IAFF) Local 5121 a/w International Association of Fire Fighters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Kent Sussex Professional Firefighters, International Association of Fire Fighters (IAFF) Local 5121 a/w International Association of Fire Fighters",1,"IAFF",NA,"Still Open",NA
"04-RD-386553","Region 04, Philadelphia, Pennsylvania","Wells Fargo Bank, NA",2026-05-07,2026-05-13,"Wilmington","DE",NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dismissal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"6-10",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"04-RC-384999","Region 04, Philadelphia, Pennsylvania","Universal Protection Service, LLC d/b/a/ Allied Universal Security Services",2026-04-17,2026-05-27,"Wilmington","DE","A",2026-05-18,33,NA,"Philadelphia Security Officers Union",16,NA,NA,NA,NA,2,18,NA,NA,NA,"Philadelphia Security Officers Union","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full time and regular part-time Security Officers,  Security Supervisors, Console Operators employed by the Employer at its Experimental Station Laboratories and Chestnut Run Plaza locations, currently located at 200 Powder Mill Road, #357, Wilmington, DE and 974 Centre Rd., Wilmington, DE, respectively. 

Excluded: All other employees, Site Security Supervisors, professional employees, office clericals, managers, and supervisors as defined by the Act.",NA,NA,NA,31,2026-04-01,2026-04-01,"26-50",TRUE,"RC","Yes","Philadelphia Security Officers Union",0,"Uncoded",0.888888888888889,"Yes",15
"04-RD-382908","Region 04, Philadelphia, Pennsylvania","Townsend Fire Department, Inc.",2026-03-16,2026-04-13,"Townsend","DE",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-01-01,"<5",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"04-RC-373908","Region 04, Philadelphia, Pennsylvania","Jones Lang LaSalle Americas, Inc.",2025-09-23,2026-01-15,"Wilmington","DE",NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2025-07-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"04-RC-373762","Region 04, Philadelphia, Pennsylvania","Jones Lang LaSalle",2025-09-22,2026-01-08,"Wilmington","DE",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2025-07-01,"6-10",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"04-UC-371111","Region 04, Philadelphia, Pennsylvania","Lineage Logistics, LLC",2025-08-11,2025-11-18,"New Castle","DE",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unit Clarification","Closed",NA,NA,NA,NA,NA,NA,2025-07-01,"6-10",TRUE,"UC","No",NA,0,"Uncoded",NA,"Other",NA
"04-RC-370590","Region 04, Philadelphia, Pennsylvania","Mill Creek Fire Company",2025-08-04,2025-09-25,"Wilmington","DE","A",2025-09-25,27,NA,"International Association of Fire Fighters",11,NA,NA,NA,NA,10,21,NA,NA,NA,"International Association of Fire Fighters","Initial","Revised Single Labor Org","Certific. of Representative","Closed","Included: All full-time Fire Fighters, Emergency Medical Technicians (EMTs), and ambulance drivers below Captain rank employed by the Employer at its 3808 Kirkwood Highway, Marshallton, DE facility.

Excluded: All other employees, Lieutenants, clerical, guards, and supervisors as defined by the Act.",NA,NA,NA,52,2025-07-01,2025-07-01,"26-50",TRUE,"RC","Yes","International Association of Fire Fighters",1,"IAFF",0.523809523809524,"Yes",6
"04-RC-370590","Region 04, Philadelphia, Pennsylvania","Mill Creek Fire Company",2025-08-04,2025-09-25,"Wilmington","DE","A",2025-09-12,27,NA,"International Association of Fire Fighters",11,NA,NA,NA,NA,10,21,NA,4,"Y","International Association of Fire Fighters","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time Fire Fighters, Emergency Medical Technicians (EMTs), and ambulance drivers below Captain rank employed by the Employer at its 3808 Kirkwood Highway, Marshallton, DE facility.

Excluded: All other employees, Lieutenants, clerical, guards, and supervisors as defined by the Act.",NA,NA,NA,39,2025-07-01,2025-07-01,"26-50",FALSE,"RC","Yes","International Association of Fire Fighters",1,"IAFF",0.523809523809524,"Yes",6
"05-RC-369779","Region 05, Baltimore, Maryland","GXC Inc.",2025-07-22,2025-09-08,"Dover","DE","A",2025-08-28,15,NA,"Federal Contract Guards of America (FCGOA)",13,NA,NA,NA,NA,0,13,NA,NA,NA,"Federal Contract Guards of America (FCGOA)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time armed and unarmed security officers employed by Employer assigned to Federal facilities within the State of Delaware under the Employer’s contract with the Department of Homeland Security, Federal Protective Service; but excluding all other employees, office clerical employees, managerial employees, and supervisors as defined in the Act.",NA,NA,NA,37,2025-07-01,2025-07-01,"11-25",TRUE,"RC","Yes","Federal Contract Guards of America (FCGOA)",1,"FCGOA",1,"Yes",2
