"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"12-RC-391766","Region 12, Tampa, Florida","YMCA South Florida",2026-07-29,NA,"Pembroke Pines","FL",NA,NA,40,NA,"International Brotherhood of Teamsters Local Union No. 769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","International Brotherhood of Teamsters Local Union No. 769",1,"Teamsters",NA,"Still Open",NA
"12-RC-391438","Region 12, Tampa, Florida","Metropolitan Security Services, Inc. d/b/a Walden Security",2026-07-23,NA,"Jacksonville","FL",NA,NA,22,NA,"United States Court Security Officers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","United States Court Security Officers",1,"USCSO",NA,"Still Open",NA
"15-RD-390315","Region 15, New Orleans, Louisiana","General Dynamics Information Technology",2026-07-09,2026-07-14,"Panama City","FL",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"12-RC-390248","Region 12, Tampa, Florida","Menzies Aviation MCO",2026-07-07,2026-07-15,"Orlando","FL",NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"15-RC-389145","Region 15, New Orleans, Louisiana","Starbucks Corporation",2026-06-18,2026-08-05,"Navarre","FL","A",2026-07-27,20,1,"Workers United a/w Service Employees International Union",10,NA,NA,NA,NA,9,19,NA,NA,NA,"Workers United a/w Service Employees International Union","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Baristas and Shift Supervisors employed by
the Employer at its facility located at 8252 Navarre Parkway, Navarre, Florida 32566.
Excluded: All other employees, including all office clerical employees, professional
employees, store managers, coffeehouse leaders, assistant store managers, guards, and
supervisors as defined by the Act.",NA,NA,NA,39,2026-07-01,2026-04-01,"11-25",TRUE,"RC","Yes","Workers United a/w Service Employees International Union",1,"WU",0.526315789473684,"Yes",1
"12-RC-388607","Region 12, Tampa, Florida","Watson Clinic LLP",2026-06-10,2026-07-24,"Lakeland","FL","A",2026-07-14,15,NA,"UFCW Local 1625",8,NA,NA,NA,NA,2,15,NA,5,NA,"UFCW Local 1625","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All regular full-time and part-time registered nurses employed by the Employer at the Watson Clinic Cancer & Research Center located at 1730 Lakeland Hills Blvd., Lakeland, Florida 

Excluded: All other employees, confidential employees, managerial employees, guards and supervisors as defined by the Act.",NA,NA,NA,34,2026-07-01,2026-04-01,"11-25",TRUE,"RC","Yes","UFCW Local 1625",1,"UFCW",0.8,"Yes",5
"12-RC-388032","Region 12, Tampa, Florida","Quikrete Construction Materials, LLC",2026-06-01,2026-07-21,"Newberry","FL",NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Certification of Results","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"51-100",TRUE,"RC","No",NA,0,"Uncoded",NA,"No",NA
"12-RC-387916","Region 12, Tampa, Florida","DHL Network Operations (USA), Inc.",2026-05-29,2026-07-08,"Miami","FL",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Certific. of Representative","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"6-10",TRUE,"RC","No",NA,0,"Uncoded",NA,"Yes",NA
"15-RC-386933","Region 15, New Orleans, Louisiana","The International Paper Company, Inc.",2026-05-13,2026-05-21,"Cantonment","FL",NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"6-10",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"12-RD-386268","Region 12, Tampa, Florida","Menzies Aviation",2026-05-04,2026-05-11,"Orlando","FL",NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"51-100",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"12-RC-386146","Region 12, Tampa, Florida","Florida Youth Action Fund",2026-05-01,2026-05-11,"Orlando","FL",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"<5",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"12-RC-385941","Region 12, Tampa, Florida","Tanner Industries, Inc.",2026-04-29,2026-06-12,"Apopka","FL",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Certific. of Representative","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"6-10",TRUE,"RC","No",NA,0,"Uncoded",NA,"Yes",NA
"12-RC-385358","Region 12, Tampa, Florida","ADC LTD NM",2026-04-22,2026-06-23,"Doral","FL",NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Certific. of Representative","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"6-10",TRUE,"RC","No",NA,0,"Uncoded",NA,"Yes",NA
"12-RD-385231","Region 12, Tampa, Florida","Wells Fargo Bank, N.A.",2026-04-20,2026-04-28,"Bradenton","FL",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dismissal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"<5",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"12-RC-384356","Region 12, Tampa, Florida","Lee County Electric Cooperative Inc.",2026-04-07,2026-05-20,"North Fort Myers","FL",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Certification of Results","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"No",NA
"12-RD-382534","Region 12, Tampa, Florida","Wells Fargo Bank, NA",2026-03-09,2026-03-27,"Spring Hill","FL",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-01-01,"6-10",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"12-RD-382359","Region 12, Tampa, Florida","Veolia Water North America – South, LLC",2026-03-06,2026-04-24,"Tampa","FL","A",2026-04-15,23,NA,"IUOE Local 30",9,NA,NA,NA,NA,8,17,NA,NA,NA,"IUOE Local 30","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All  full-time  and  regular  part-time  operators,  utility  workers, maintenance 
technicians, instrumentation and electrical technicians, and lab technicians employed by the 
Employer at its facility located at 2301 Regional Water Lane, Tampa, Florida.


Excluded: All other employees, planner schedulers, office clerical employees,
managers, guards, and supervisors as defined by the Act.",NA,NA,NA,40,2026-04-01,2026-01-01,"11-25",TRUE,"RD","Yes","IUOE Local 30",1,"IUOE",0.529411764705882,"Yes",6
"12-RC-381469","Region 12, Tampa, Florida","Southern Glazer's Wine and Spirits, LLC",2026-02-19,2026-03-25,"Lakeland","FL","A",2026-03-12,25,NA,"International Brotherhood of Teamsters, Local 79",22,NA,NA,NA,NA,3,25,NA,2,NA,"International Brotherhood of Teamsters, Local 79","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time sanitation employees, inventory control employees, salvage employees and day yard trailer jockey employees employed by the Employer at its facility located at 4440 Old Tampa Highway, Lakeland Florida.

Excluded: All other employees, confidential employees, professional employees, managerial employees, guards, and supervisors as defined by the Act.",NA,NA,NA,21,2026-01-01,2026-01-01,"11-25",TRUE,"RC","Yes","International Brotherhood of Teamsters, Local 79",1,"Teamsters",0.88,"Yes",0
"12-RC-380811","Region 12, Tampa, Florida","International Brotherhood of Teamsters, Local Union No. 512",2026-02-10,2026-03-17,"Jacksonville","FL","A",2026-03-02,2,NA,"United Steel Paper and Forestry Rubber Manufacturing Energy Allied Industrial and Service Workers International Union",2,NA,NA,NA,NA,0,0,NA,NA,NA,"United Steel Paper and Forestry Rubber Manufacturing Energy Allied Industrial and Service Workers International Union","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All  full-time  and  regular  part-time  administrative  professional employees 
employed by the Employer at its facility located at 1210 Lane Avenue
North, Jacksonville, Florida office

Excluded: All other employees. temporary employees, managerial employees, professional employees. 
guards. and supervisors as defined in the Act.",NA,NA,NA,20,2026-01-01,2026-01-01,"<5",TRUE,"RC","Yes","United Steel Paper and Forestry Rubber Manufacturing Energy Allied Industrial and Service Workers International Union",1,"USW",NA,"Yes",0
"12-RC-379820","Region 12, Tampa, Florida","Tricont Trucking Company",2026-01-26,2026-03-19,"Fort Lauderdale","FL","A",2026-03-06,7,NA,"International Brotherhood of Teamsters Local Union 769",7,NA,NA,NA,NA,0,7,NA,NA,NA,"International Brotherhood of Teamsters Local Union 769","Initial","Single Labor Organization","Certific. of Representative","Closed",NA,NA,NA,NA,39,2026-01-01,2026-01-01,"6-10",TRUE,"RC","Yes","International Brotherhood of Teamsters Local Union 769",1,"Teamsters",1,"Yes",0
