"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"10-RC-392521","Region 10, Atlanta, Georgia","AGL Services Company",2026-08-10,NA,"Atlanta","GA",NA,NA,7,NA,"International Brotherhood of Electrical Workers Local #1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","International Brotherhood of Electrical Workers Local #1997",1,"IBEW",NA,"Still Open",NA
"10-RC-392550","Region 10, Atlanta, Georgia","Laboratory Corporation of America",2026-08-10,NA,"Tucker","GA",NA,NA,80,NA,"International Union of Painters & Allied Trades District Council No. 77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","International Union of Painters & Allied Trades District Council No. 77",1,"IUPAT",NA,"Still Open",NA
"10-RD-392151","Region 10, Atlanta, Georgia","Kentucky Utilities Company",2026-08-04,NA,"Atlanta","GA",NA,NA,50,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO/CLC, Local 9447-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RD","No","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO/CLC, Local 9447-01",1,"USW",NA,"Still Open",NA
"10-RC-391605","Region 10, Atlanta, Georgia","Starbucks Corporation",2026-07-27,NA,"Atlanta","GA",NA,NA,16,NA,"WORKERS UNITED A/W SERVICE EMPLOYEES INTERNATIONAL UNION, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","WORKERS UNITED A/W SERVICE EMPLOYEES INTERNATIONAL UNION, AFL-CIO",1,"WU",NA,"Still Open",NA
"10-RC-391298","Region 10, Atlanta, Georgia","AGL Services Company",2026-07-23,2026-07-27,"Atlanta","GA",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"10-RC-390549","Region 10, Atlanta, Georgia","Amicalola EMC",2026-07-14,2026-07-29,"Jasper","GA",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"10-RC-390354","Region 10, Atlanta, Georgia","MV Transportation Inc.",2026-07-09,2026-08-12,"Augusta","GA","A",2026-08-04,11,NA,"Teamsters Local 528",10,NA,NA,NA,NA,1,11,NA,NA,NA,"Teamsters Local 528","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Road Supervisors and Dispatchers employed by the Employer at its 2844 Regency Road Blvd, Augusta, Georgia, facility, but excluding all drivers, mechanics, guards, managers and supervisors, as defined in the Act",NA,NA,NA,26,2026-07-01,2026-07-01,"11-25",TRUE,"RC","Yes","Teamsters Local 528",1,"Teamsters",0.909090909090909,"Yes",0
"10-RC-389059","Region 10, Atlanta, Georgia","Georgia Power Company",2026-06-18,2026-08-14,"Atlanta","GA","A",2026-08-06,48,1,"International Brotherhood of Electrical Workers Local #84",29,NA,NA,NA,NA,11,40,NA,NA,NA,"International Brotherhood of Electrical Workers Local #84","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time employees employed by Georgia Power Company in the following job titles: Cable Locator I, Cable Locator II, Cable Locator Sr., and Cable Locator Team Lead, at the following facilities: (1) 755 Jefferson St. NW, Atlanta, GA 30318; (2) 1453 Highway 120, Winder, GA 30680; (3) 4404 N. Shallowford Rd., Decatur, GA 30034; (4) 1769 Sands Place, Covington, GA 30014; (5) 1010 Bruce Lane, Rochelle, GA 31079; (6) 1704 Noah’s Ark Road, Newnan, GA 30265; (7) 3610 Gentian Blvd, Fortson, GA 31808; (8) 960 Key Street, Perry, GA 31069; and (9) 1697 Montreal Circle, Stone Mountain 30087.


EXCLUDED: All other employees, office clerical employees, professional employees, managerial employees, guards, and supervisors as defined by the Act.",NA,NA,NA,49,2026-07-01,2026-04-01,"26-50",TRUE,"RC","Yes","International Brotherhood of Electrical Workers Local #84",1,"IBEW",0.725,"Yes",8
"10-RM-389062","Region 10, Atlanta, Georgia","Georgia Power Company",2026-06-18,NA,"Atlanta","GA","A",2026-08-06,48,1,"IBEW Local 84",29,NA,NA,NA,NA,11,40,NA,NA,NA,"IBEW Local 84","Initial","Single Labor Organization",NA,"Open",NA,NA,NA,NA,49,2026-07-01,2026-04-01,"26-50",TRUE,"RM","Yes","IBEW Local 84",1,"IBEW",0.725,"Still Open",8
"10-RC-388635","Region 10, Atlanta, Georgia","Jacobus Energy, LLC",2026-06-10,2026-07-30,"Peachtree Corners","GA","A",2026-07-21,21,NA,"Teamsters Local 728",15,NA,NA,NA,NA,2,17,NA,NA,NA,"Teamsters Local 728","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time CDL fuel truck delivery drivers employed by the Employer at its shop located at 2854 Mechanicsville Road, Peachtree Corners, Georgia 30071. 

Excluded: All other employees, non-CDL drivers, office clerical employees, professional employees, guards, and supervisors as defined in the Act.",NA,NA,NA,41,2026-07-01,2026-04-01,"11-25",TRUE,"RC","Yes","Teamsters Local 728",1,"Teamsters",0.882352941176471,"Yes",4
