"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"20-RC-392439","Region 20, San Francisco, California","Costco",2026-08-07,NA,"Kailua Kona","HI",NA,NA,250,NA,"Hawaii Teamsters and Allied  Workers, Local 996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RC","No","Hawaii Teamsters and Allied  Workers, Local 996",1,"Teamsters",NA,"Still Open",NA
"20-RC-386001","Region 20, San Francisco, California","Reworld Honolulu, LLC",2026-04-30,2026-06-23,"Kapolei","HI",NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Certification of Results","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"101-500",TRUE,"RC","No",NA,0,"Uncoded",NA,"No",NA
"20-RC-384965","Region 20, San Francisco, California","Peraton Inc.",2026-04-16,2026-06-09,"Waimea","HI","A",2026-05-26,5,NA,"International Association of Machinists and Aerospace Workers, Local Lodge 1998",3,NA,NA,NA,NA,0,3,NA,NA,NA,"International Association of Machinists and Aerospace Workers, Local Lodge 1998","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time and regular part-time Administrative Assistants, Engineering 
		      Technicians, and Mechanical Technicians employed by the Employer at Kokee 
                  Park Geophysical Observatory.

Excluded:  All other employees, managers, security guards, and supervisors as defined by 
                   the Act.",NA,NA,NA,40,2026-04-01,2026-04-01,"<5",TRUE,"RC","Yes","International Association of Machinists and Aerospace Workers, Local Lodge 1998",1,"IAM",1,"Yes",2
"20-RC-381876","Region 20, San Francisco, California","Signature Flight Support LLC d/b/a Signature Aviation",2026-02-25,2026-04-14,"Honolulu","HI","A",2026-03-27,35,NA,"Hawaii Teamsters and Allied Workers, Local 996",10,NA,NA,NA,NA,18,29,NA,1,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time Fueler CDL-HI, Fueler, Airside Experience
Leader, Airside Experience Leader-CDL, Airside Experience Specialist-CDL, Airside
Experience Specialist, Guest Experience Leader, Guest Experience Specialist, and Quality
Control Technician.

Excluded: All other employees, managers, security guards, and supervisors as defined by
the Act.",NA,NA,NA,30,2026-01-01,2026-01-01,"26-50",TRUE,"RC","Yes","Hawaii Teamsters and Allied Workers, Local 996",1,"Teamsters",0.357142857142857,"No",7
"20-RD-379486","Region 20, San Francisco, California","Servco Pacific",2026-01-21,2026-02-24,"Hilo","HI","A",2026-02-13,22,NA,"International Longshore and Warehouse Union, Local 142",12,NA,NA,NA,NA,7,19,NA,NA,NA,"International Longshore and Warehouse Union, Local 142","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All regular full-time and part-time Technicians, Parts Personnel, and Lot/Utility Personnel.

Excluded:  All other employees, including guards, watchmen, and supervisors, as defined by the Act.",NA,NA,NA,23,2026-01-01,2026-01-01,"11-25",TRUE,"RD","Yes","International Longshore and Warehouse Union, Local 142",1,"ILWU",0.631578947368421,"Yes",3
"20-RM-379318","Region 20, San Francisco, California","Young Brothers, LLC",2026-01-16,2026-01-23,"Honolulu","HI",NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dismissal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-01-01,"11-25",TRUE,"RM","No",NA,0,"Uncoded",NA,"Other",NA
"20-RC-378244","Region 20, San Francisco, California","Young Brothers, LLC",2026-01-02,2026-04-29,"Honolulu","HI",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Certific. of Representative","Closed",NA,NA,NA,NA,NA,NA,2026-01-01,"6-10",TRUE,"RC","No",NA,0,"Uncoded",NA,"Yes",NA
"20-RD-377081","Region 20, San Francisco, California","Charter Communications, LLC d/b/a Spectrum",2025-12-12,2026-01-22,"Kahului","HI","A",2026-01-07,44,NA,"International Brotherhood of Electrical Workers, Local 1186",3,NA,NA,NA,NA,38,41,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included:	All production and maintenance employees of the Employer performing work related to construction, installation, maintenance and service in the Cable Communications Industry.

Excluded: Office clerical employees, professional employees, guards, watchmen, and managers and supervisors as defined by the Act.",NA,NA,NA,26,2026-01-01,2025-10-01,"26-50",TRUE,"RD","Yes","International Brotherhood of Electrical Workers, Local 1186",1,"IBEW",0.0731707317073171,"No",3
"20-RC-373248","Region 20, San Francisco, California","Kay & Associates, Inc.",2025-09-12,2025-12-05,"Kailua","HI","A",2025-11-20,7,NA,"International Association of Machinists and Aerospace Workers, Local Lodge 1998",7,NA,NA,NA,NA,0,7,NA,3,NA,"International Association of Machinists and Aerospace Workers, Local Lodge 1998","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Aircraft Mechanics I,II, and III employed by
the Employer's operation performing aircraft maintenance functions for aircraft assigned
to the Marine Aerial Refueler Transport Squadron 153 (VMGR-153) stationed at Marine
Corps Air Station Kaneohe Bay, HI.

Excluded: All other employees, office clerical employees, professional employees,
managerial employees, guards, and supervisors as defined in the Act.",NA,NA,NA,69,2025-10-01,2025-07-01,"6-10",TRUE,"RC","Yes","International Association of Machinists and Aerospace Workers, Local Lodge 1998",1,"IAM",1,"Yes",0
"20-RM-370794","Region 20, San Francisco, California","FMCNA Waianae Coast Nanakuli BCA USA Bio-Medical Applications of California Inc.",2025-08-05,2025-12-04,"Nanakuli","HI","A",2025-11-19,9,NA,"Hawaii Teamsters and Allied Workers, Local 996",3,NA,NA,NA,NA,4,7,NA,NA,NA,NA,"Initial","Revised Single Labor Org","Certification of Results","Closed","Included: All full-time and part-time patient care technicians and unit clerks performing work at the Nanakuli Clinic.

Excluded: All other employees, registered nurses, and supervisors as defined by the Act.",NA,NA,NA,106,2025-10-01,2025-07-01,"6-10",TRUE,"RM","Yes","Hawaii Teamsters and Allied Workers, Local 996",1,"Teamsters",0.428571428571429,"No",2
