"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"14-RC-392781","Region 14, Saint Louis, Missouri","Ryder Truck Rental",2026-08-13,NA,"Wood River","IL",NA,NA,3,NA,"International Brotherhood of Teamsters Local 525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","International Brotherhood of Teamsters Local 525",1,"Teamsters",NA,"Still Open",NA
"13-RC-392694","Region 13, Chicago, Illinois","Ecology Solutions LLC, a division of Lakeshore Recycling Services",2026-08-12,NA,"Rosemont","IL",NA,NA,28,NA,"International Union of Operating Engineers Local 150 AFL CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","International Union of Operating Engineers Local 150 AFL CIO",1,"IUOE",NA,"Still Open",NA
"13-RC-392561","Region 13, Chicago, Illinois","CBRE",2026-08-11,NA,"Chicago","IL",NA,NA,2,NA,"International Union of Operating Engineers, Local 399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","International Union of Operating Engineers, Local 399",1,"IUOE",NA,"Still Open",NA
"13-RC-392489","Region 13, Chicago, Illinois","The Adler Planetarium",2026-08-10,NA,"Chicago","IL",NA,NA,1,NA,"Adler Planetarium Workers United, AFSCME Council 31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","Adler Planetarium Workers United, AFSCME Council 31",2,"Multiple",NA,"Still Open",NA
"25-RC-392431","Region 25, Indianapolis, Indiana","IMI Illinois, LLC",2026-08-07,NA,"Tuscola","IL",NA,NA,6,NA,"General Teamsters, Local Union No. 26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","General Teamsters, Local Union No. 26",1,"Teamsters",NA,"Still Open",NA
"25-RM-392508","Region 25, Indianapolis, Indiana","IMI Illinois LLC",2026-08-07,NA,"Tuscola","IL",NA,NA,6,NA,"Teamsters Local 26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RM","No","Teamsters Local 26",1,"Teamsters",NA,"Still Open",NA
"13-RC-391993","Region 13, Chicago, Illinois","Allegiant Fire Protection, LLC",2026-08-03,NA,"Aurora","IL",NA,NA,7,NA,"International Brotherhood of Electrical Workers (IBEW) Local Union No. 461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","International Brotherhood of Electrical Workers (IBEW) Local Union No. 461",1,"IBEW",NA,"Still Open",NA
"13-RC-392111","Region 13, Chicago, Illinois","Keystone Automotive Industries, Inc.",2026-08-03,NA,"Alsip","IL",NA,NA,23,NA,"International Brotherhood of Teamsters, Local 731",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","International Brotherhood of Teamsters, Local 731",1,"Teamsters",NA,"Still Open",NA
"13-RC-392029","Region 13, Chicago, Illinois","AdaptHealth LLC",2026-07-31,NA,"Elmhurst","IL",NA,NA,38,NA,"Teamsters Local Union No. 705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","Teamsters Local Union No. 705",1,"Teamsters",NA,"Still Open",NA
"13-RC-392011","Region 13, Chicago, Illinois","Wheeling Skilled Nursing Facility, LLC d/b/a Bella Terra Wheeling",2026-07-31,NA,"Wheeling","IL",NA,NA,142,NA,"SEIU Healthcare Illinois and Indiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RC","No","SEIU Healthcare Illinois and Indiana",1,"SEIU",NA,"Still Open",NA
