"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"09-RC-392848","Region 09, Cincinnati, Ohio","MEINEKE CAR CARE CENTER",2026-08-14,NA,"New Albany","IN",NA,NA,3,NA,"International Association of Machinists and Aerospace Workers, AFL-CIO (IAM) Local 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","International Association of Machinists and Aerospace Workers, AFL-CIO (IAM) Local 2018",1,"IAM",NA,"Still Open",NA
"25-RC-392760","Region 25, Indianapolis, Indiana","IMI Indiana, LLC",2026-08-13,NA,"Fishers","IN",NA,NA,13,NA,"Teamsters Local 135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Teamsters Local 135",1,"Teamsters",NA,"Still Open",NA
"25-RM-391231","Region 25, Indianapolis, Indiana","Static Media, Inc.",2026-07-22,2026-07-29,"Fishers","IN",NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RM","No",NA,0,"Uncoded",NA,"Other",NA
"25-RC-390920","Region 25, Indianapolis, Indiana","MasterSpas, LLC",2026-07-17,NA,"Fort Wayne","IN",NA,NA,13,NA,"International Brotherhood of Teamsters Local No. 414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","International Brotherhood of Teamsters Local No. 414",1,"Teamsters",NA,"Still Open",NA
"25-RD-390693","Region 25, Indianapolis, Indiana","Indiana Air Power, Inc. d/b/a CompressAir",2026-07-15,2026-08-14,"La Porte","IN","A",2026-08-06,13,NA,"International Union of Operating Engineers Local 150, AFL-CIO",8,NA,NA,NA,NA,5,13,NA,NA,NA,"International Union of Operating Engineers Local 150, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full and part time employees in the bargaining unit, namely Master 
Technician, Senior Technician, Junior Technician, and Entry Technician, employed by the 
Employer at its Elkhart, Indiana and La Porte, Indiana facilities. 

Excluded:  All office employees, sales personnel, clerical and janitorial employees, sales 
coordinators, shop supervisors and supervisory employees, parts runners, guards and 
professional employees as defined in the Act.",NA,NA,NA,22,2026-07-01,2026-07-01,"11-25",TRUE,"RD","Yes","International Union of Operating Engineers Local 150, AFL-CIO",1,"IUOE",0.615384615384615,"Yes",0
"25-RC-389899","Region 25, Indianapolis, Indiana","Kroger Limited Partnership II d/b/a Crossroad Farms Dairy",2026-07-02,NA,"Indianapolis","IN","A",2026-07-31,10,NA,"Teamsters Local 135",9,NA,NA,NA,NA,0,9,NA,NA,NA,"Teamsters Local 135","Initial","Single Labor Organization",NA,"Open","Included:  All full-time and regular part-time laboratory technicians and lead laboratory technicians employed by the Employer at its facility located at 400 Shortridge Road, Indianapolis, Indiana.

Excluded:  All managerial employees, office clerical employees, guards, professional employees and supervisors as defined in the Act, and all other employees.",NA,NA,NA,29,2026-07-01,2026-07-01,"6-10",TRUE,"RC","Yes","Teamsters Local 135",1,"Teamsters",1,"Still Open",1
"25-RC-389375","Region 25, Indianapolis, Indiana","Blue Chip Casino, LLC",2026-06-24,2026-08-10,"Michigan City","IN","A",2026-07-31,20,NA,"Teamsters Local Union No.135",18,NA,NA,NA,NA,2,20,NA,1,NA,"Teamsters Local Union No.135","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Slot Attendants and Dual Rate Slot Attendants employed by the Employer at its Michigan City, Indiana facility.

Excluded: All temporary employees, confidential employees, office clerical employees, guards, professional employees, and supervisors as defined in the Act, and all other employees.",NA,NA,NA,37,2026-07-01,2026-04-01,"11-25",TRUE,"RC","Yes","Teamsters Local Union No.135",1,"Teamsters",0.9,"Yes",0
"13-RC-389317","Region 13, Chicago, Illinois","Indiana American Water",2026-06-23,2026-06-30,"Lowell","IN",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"6-10",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"25-RC-388978","Region 25, Indianapolis, Indiana","Heidelberg Materials U.S. Cement, LLC",2026-06-16,NA,"Logansport","IN","A",2026-07-21,70,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied & Industrial Service Workers International Union, AFL-CIO, CLC",31,NA,NA,NA,NA,18,49,NA,18,"Y",NA,"Initial","Single Labor Organization",NA,"Open","Included: All full-time and regular part-time production employees, maintenance employees, and lab employees employed by the Employer at its facility in Logansport, Indiana.
Excluded: All temporary employees, agency employees, jointly-employed employees, managerial employees, office clerical employees, guards, professional employees, and supervisors as defined in the Act.
Others permitted to vote: The parties have agreed that electricians and mechanics may vote in the election but their ballots will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,35,2026-07-01,2026-04-01,"51-100",TRUE,"RC","Yes","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied & Industrial Service Workers International Union, AFL-CIO, CLC",1,"USW",0.63265306122449,"Still Open",21
"09-RC-388637","Region 09, Cincinnati, Ohio","BATESVILLE PRODUCTS, INC",2026-06-10,NA,"Lawrenceburg","IN",NA,NA,18,NA,"International Brotherhood of Teamsters (IBT), Local 135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"11-25",TRUE,"RC","No","International Brotherhood of Teamsters (IBT), Local 135",1,"Teamsters",NA,"Still Open",NA
