"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"18-RC-392855","Region 18, Minneapolis, Minnesota","WDC Acquisition LLC D/B/A Wellman",2026-08-12,NA,"Creston","IA",NA,NA,70,NA,"District 6, International Association of Machinists and Aerospace Workers, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","District 6, International Association of Machinists and Aerospace Workers, AFL-CIO",1,"IAM",NA,"Still Open",NA
"25-RC-389432","Region 25, Indianapolis, Indiana","OpCo Bettendorf, IA, LLC d/b/a Bettendorf Health Care Center",2026-06-24,2026-07-29,"Bettendorf","IA","A",2026-07-21,7,NA,"OpCo Bettendorf, IA, LLC d/b/a Bettendorf Health Care Center",6,NA,NA,NA,NA,0,0,NA,NA,NA,"United Food and Commercial Workers Local 431","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time and PRN Registered Nurses employed by the Employer at its facility located at 2730 Crow Creek Road, Bettendorf, Iowa.

Excluded: All nonprofessional employees, managerial employees, office clerical employees, guards, and supervisors as defined in the Act.",NA,NA,NA,27,2026-07-01,2026-04-01,"6-10",TRUE,"RC","Yes","OpCo Bettendorf, IA, LLC d/b/a Bettendorf Health Care Center",0,"Uncoded",NA,"Yes",1
"18-RC-388882","Region 18, Minneapolis, Minnesota","Siouxland Regional Transit System",2026-06-15,2026-06-29,"Sioux City","IA",NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"26-50",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"18-RC-388296","Region 18, Minneapolis, Minnesota","Mydatt Services, Inc., d/b/a Block by Block",2026-06-02,2026-07-10,"Iowa City","IA","A",2026-06-27,16,NA,"Teamsters Local 238",8,NA,NA,NA,NA,5,13,NA,NA,NA,"Teamsters Local 238","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Clean Ambassadors and Team Leaders employed by the Employer in the Iowa City Downtown District in Iowa City, Iowa.
Excluded: All other employees, managers, and guards and supervisors as defined in the National Labor Relations Act.",NA,NA,NA,25,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","Teamsters Local 238",1,"Teamsters",0.615384615384615,"Yes",3
"18-RD-387742","Region 18, Minneapolis, Minnesota","Northwest Iowa Hospital Corporation d/b/a UnityPoint Health - St Luke - Downtown",2026-05-27,2026-06-30,"Sioux City","IA","A",2026-06-18,191,NA,"United Food and Commercial Workers, Local 222IN",71,NA,NA,NA,NA,80,151,NA,8,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time, regular part-time, and PRN Registered Nurses employed by the Employer at its hospital currently located at 801 5th Street, Sioux City, Iowa; excluding all other employees, managerial employees, and guards, and supervisors as defined in the Act.",NA,NA,NA,22,2026-04-01,2026-04-01,"101-500",TRUE,"RD","Yes","United Food and Commercial Workers, Local 222IN",0,"Uncoded",0.470198675496689,"No",40
"18-RC-387370","Region 18, Minneapolis, Minnesota","Siouxland Regional Transit System (SRTS)",2026-05-18,2026-06-05,"Sioux City","IA",NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"25-RC-386676","Region 25, Indianapolis, Indiana","Fair Oaks Foods, LLC",2026-05-11,2026-06-26,"Davenport","IA","A",2026-06-17,13,NA,"United Food & Commercial Workers Union, Local 431",11,NA,NA,NA,NA,2,13,NA,NA,NA,"United Food & Commercial Workers Union, Local 431","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time and regular part-time maintenance mechanics, ammonia technicians, wastewater technicians, and electricians employed by the Employer at its facility located at 2951 Enterprise Way, Davenport, Iowa.

Excluded:  All temporary employees, managers, office clerical employees, guards, professional employees, supervisors as defined by the Act, and all other employees.",NA,NA,NA,37,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","United Food & Commercial Workers Union, Local 431",1,"UFCW",0.846153846153846,"Yes",0
"18-RC-386209","Region 18, Minneapolis, Minnesota","River Hills Community Health Center",2026-05-01,2026-06-03,"Centerville","IA",NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dismissal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"25-RC-385311","Region 25, Indianapolis, Indiana","Fair Oaks Foods, LLC",2026-04-21,2026-04-29,"Davenport","IA",NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"101-500",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"25-RC-379991","Region 25, Indianapolis, Indiana","Lutheran Home for the Aged Association - East d/b/a Davenport Lutheran Home",2026-01-28,2026-06-26,"Davenport","IA","A",2026-06-17,18,NA,"United Food & Commercial Workers Local 431",10,NA,NA,NA,NA,4,14,NA,1,NA,"United Food & Commercial Workers Local 431","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time and regular part-time employees in the classifications of Registered Nurse (RN) and Licensed Practical Nurse (LPN) employed by the Employer at its 1130 West 53rd St., Davenport, Iowa, facility.

Excluded:  All nonprofessional employees, PRNs, office clerical employees, managers, guards and supervisors as defined in the Act, and all other employees.",NA,NA,NA,140,2026-04-01,2026-01-01,"11-25",TRUE,"RC","Yes","United Food & Commercial Workers Local 431",1,"UFCW",0.714285714285714,"Yes",4
