"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"14-RC-387545","Region 14, Saint Louis, Missouri","Bert Nash Community Mental Health Center, Inc.",2026-05-26,2026-07-07,"Lawrence","KS","C",2026-06-25,253,NA,"International Brotherhood of Teamsters, Local 696",113,NA,NA,NA,NA,52,168,NA,3,NA,"International Brotherhood of Teamsters, Local 696","Initial","Single Labor Organization","Certific. of Representative","Closed","VOTING GROUP A (non-professional):
Including: All full-time and regular part-time Case Managers, Admission Care Navigators,
Waiver Facilitators, Residential Case Managers, Lead Crises Case Managers, Crises Case
Managers, Client Care Coordinators, Client Care Specialists, Medical Records, Accounting
Specialists (Staff Accountant), Office Support Specialists, Parent Support Specialists, Billing
Specialists, Insurance Specialists, Accounts Payable Specialists, Payroll Specialists, Unit
Coordinators, Behavioral Health Specialists, Peer Behavior Health Specialists, Lead Behavioral
Health Specialists, Peer Support Specialists and IT Technicians employed by the Employer at its
facilities located at 200 Maine Street, 346 Maine Street, 1000 West 2nd Street and 950 West 2nd
Street, Lawrence, Kansas
Excluding: Office clerical workers, guards and supervisors as defined in the Act and all other
employees.
Others Permitted to Vote: The parties have agreed that Strategic Marketing Coordinator,
Community Engagement Coordinator, Executive Assistants, Program Coordinators, Executive
Assistant Crises Services, Finance Project Accountant, Strategic Marketing Coordinator, IT
Helpdesk Technician and EHR Database Specialist may vote in the election but their ballots will
be challenged since their eligibility has not been resolved. No decision has been made regarding
whether the individuals in these classifications or groups are included in, or excluded from, the
bargaining unit. The eligibility or inclusion of these individuals will be resolved if necessary,
following the election.","VOTING GROUP B (professional)
Including: All full-time and regular part-time Therapists, Outpatient Therapists, Mobile
Response Therapists, Providers, Registered Nurses, Licensed Practical Nurses, Psychiatric Nurse
Practitioners, Psychiatrists, Clinical Consultant Electronic Health Record, and Homeless
Outreach Specialists employed by the Employer at its facilities located at 200 Maine Street, 346
Maine Street, 1000 West 2nd Street and 950 West 2nd Street, Lawrence, Kansas.
Excluding: Office clerical employees, guards and supervisors as defined in the Act, and all
other employees.
Others Permitted to Vote: The parties have agreed that the Clinical Consultant Electronic
Health Record, Charge Nurses, Clinical and Business Quality Analysts, Clinical Quality and
Outcomes Coordinator, Clinical and Business Operations Analyst and Organizational Excellence
Coordinator may vote in the election but their ballots will be challenged since their eligibility
has not been resolved. No decision has been made regarding whether the individuals in these
classifications or groups are included in or excluded from, the bargaining unit. The eligibility or
inclusion of these individuals will be resolved, if necessary, following the election.
If a majority of the professional employees in Voting Group B vote for inclusion in a unit with all
other non-professional employees (Voting Group A), the following employees will constitute a
unit appropriate for the purposes of collective bargaining within the meaning of Section 9(b) of
the Act:","VOTING GROUP B (professional)
Including: All full-time and regular part-time Therapists, Outpatient Therapists, Mobile
Response Therapists, Providers, Registered Nurses, Licensed Practical Nurses, Psychiatric Nurse
Practitioners, Psychiatrists, Clinical Consultant Electronic Health Record, and Homeless
Outreach Specialists employed by the Employer at its facilities located at 200 Maine Street, 346
Maine Street, 1000 West 2nd Street and 950 West 2nd Street, Lawrence, Kansas.
Excluding: Office clerical employees, guards and supervisors as defined in the Act, and all
other employees.
Others Permitted to Vote: The parties have agreed that the Clinical Consultant Electronic
Health Record, Charge Nurses, Clinical and Business Quality Analysts, Clinical Quality and
Outcomes Coordinator, Clinical and Business Operations Analyst and Organizational Excellence
Coordinator may vote in the election but their ballots will be challenged since their eligibility
has not been resolved. No decision has been made regarding whether the individuals in these
classifications or groups are included in or excluded from, the bargaining unit. The eligibility or
inclusion of these individuals will be resolved, if necessary, following the election.
If a majority of the professional employees in Voting Group B vote for inclusion in a unit with all
other non-professional employees (Voting Group A), the following employees will constitute a
unit appropriate for the purposes of collective bargaining within the meaning of Section 9(b) of
the Act:","VOTING GROUP B (professional)
Including: All full-time and regular part-time Therapists, Outpatient Therapists, Mobile
Response Therapists, Providers, Registered Nurses, Licensed Practical Nurses, Psychiatric Nurse
Practitioners, Psychiatrists, Clinical Consultant Electronic Health Record, and Homeless
Outreach Specialists employed by the Employer at its facilities located at 200 Maine Street, 346
Maine Street, 1000 West 2nd Street and 950 West 2nd Street, Lawrence, Kansas.
Excluding: Office clerical employees, guards and supervisors as defined in the Act, and all
other employees.
Others Permitted to Vote: The parties have agreed that the Clinical Consultant Electronic
Health Record, Charge Nurses, Clinical and Business Quality Analysts, Clinical Quality and
Outcomes Coordinator, Clinical and Business Operations Analyst and Organizational Excellence
Coordinator may vote in the election but their ballots will be challenged since their eligibility
has not been resolved. No decision has been made regarding whether the individuals in these
classifications or groups are included in or excluded from, the bargaining unit. The eligibility or
inclusion of these individuals will be resolved, if necessary, following the election.
If a majority of the professional employees in Voting Group B vote for inclusion in a unit with all
other non-professional employees (Voting Group A), the following employees will constitute a
unit appropriate for the purposes of collective bargaining within the meaning of Section 9(b) of
the Act:",30,2026-04-01,2026-04-01,"101-500",TRUE,"RC","Yes","International Brotherhood of Teamsters, Local 696",1,"Teamsters",0.684848484848485,"Yes",88
"14-RD-383594","Region 14, Saint Louis, Missouri","Forterra Pipe & Precast LLC d/b/a Rinker Materials",2026-03-25,2026-05-04,"Bonner Springs","KS","A",2026-04-23,19,1,"Heavy Construction Laborers' Local Union No. 663",7,NA,NA,NA,NA,8,15,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time employees engaged in production at the Employer's business located at 23600 West 40th Street, Shawnee, Kansas 66226 
Excluded: All office clerical employees, maintenance employees, quality control employees, confidential employees, guards and supervisors as defined in the Act and all other employees.",NA,NA,NA,29,2026-04-01,2026-01-01,"11-25",TRUE,"RD","Yes","Heavy Construction Laborers' Local Union No. 663",1,"LIUNA",0.466666666666667,"No",4
"14-RD-380957","Region 14, Saint Louis, Missouri","Heartland Rural Electric Cooperative, Inc.",2026-02-12,2026-03-23,"Girard","KS","A",2026-03-12,25,NA,"International Brotherhood of Electrical Workers Local 304",16,NA,NA,NA,NA,3,19,NA,6,NA,"International Brotherhood of Electrical Workers Local 304","Initial","Single Labor Organization","Certific. of Representative","Closed","All full time and regular part-time journeyman linemen, staking techs, tree trimmers and apprentice tree trimmers employed by the Employer at its facilities located at 110 Enterprise St., Girard, Kansas, 110 S. 6th Street, Mound City, Kansas and 102 E. !st Street, Gas, Kansas, but EXCLUDING office clerical employees, professional employees, confidential employees, guards and supervisors as defined in the Act, and all other employees.",NA,NA,NA,28,2026-01-01,2026-01-01,"11-25",TRUE,"RD","Yes","International Brotherhood of Electrical Workers Local 304",1,"IBEW",0.842105263157895,"Yes",6
"14-RC-378040","Region 14, Saint Louis, Missouri","EquipmentShare, Inc.",2025-12-30,2026-01-26,"Elwood","KS","A",2026-01-14,5,NA,"International Union of Operating Engineers Local Union No.101-S",4,NA,NA,NA,NA,0,4,NA,NA,NA,"International Union of Operating Engineers Local Union No.101-S","Initial","Single Labor Organization","Certific. of Representative","Closed","All employees who are engaged in the repairing, maintenance, transporting and handling of construction equipment of any kind or type, that is owned, stored or leased by the Employer at 807 Roseport Road, Elwood, Kansas 66090, but EXCLUDING office clerical employees, salesmen, superintendents, professional employees, guards and supervisors as defined in the Act, and all other employees.",NA,NA,NA,15,2026-01-01,2025-10-01,"<5",TRUE,"RC","Yes","International Union of Operating Engineers Local Union No.101-S",1,"IUOE",1,"Yes",1
"14-RC-377910","Region 14, Saint Louis, Missouri","Transdev Services, Inc.",2025-12-29,2026-02-10,"Olathe","KS","A",2026-01-29,4,NA,"Amalgamated Transit Union Local 1287",3,NA,NA,NA,NA,0,3,NA,NA,NA,"Amalgamated Transit Union Local 1287","Initial","Single Labor Organization","Certific. of Representative","Closed","All full time and regular part-time utility employees employed by the Employer at its 1701 West 56 Highway, Olathe, Kansas  66061 location, but EXCLUDING All office clerical employees, confidential managers, professional employees, guards and supervisors as defined in the Act, and all other employees.",NA,NA,NA,31,2026-01-01,2025-10-01,"<5",TRUE,"RC","Yes","Amalgamated Transit Union Local 1287",1,"ATU",1,"Yes",1
"14-RC-374217","Region 14, Saint Louis, Missouri","EquipmentShare.com  Inc.",2025-09-29,2025-12-15,"Lenexa","KS","A",2025-12-05,10,NA,"International Union of Operating Engineers Local 101-S",7,NA,NA,NA,NA,0,7,NA,1,NA,"International Union of Operating Engineers Local 101-S","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time employees who are engaged in the repairing, maintenance, transporting and handling of construction equipment of any kind or type, owned, stored or leased by the Employer employed by the Employer at its shop and/or shops located at 9600 Dice Lane, Lenexa, Kansas, but EXCLUDING office clerical employees, salesmen, superintendents, professional employees, guards and supervisors as defined in the Act.",NA,NA,NA,67,2025-10-01,2025-07-01,"6-10",TRUE,"RC","Yes","International Union of Operating Engineers Local 101-S",1,"IUOE",1,"Yes",3
"14-RC-371191","Region 14, Saint Louis, Missouri","PAR Electrical Contractors LLC",2025-08-12,2025-12-05,"Lenexa","KS","A",2025-11-19,9,2,"International Brotherhood of Electrical Workers Local 53",5,NA,NA,NA,NA,0,5,NA,NA,NA,"International Brotherhood of Electrical Workers Local 53","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Field Mechanics employed by the Employer working in the company's Central Region, but EXCLUDING Field Mechanics in the West and East Regions, Corporate Shop Mechanics, office clerical employees, professional employees, guards and supervisors as defined in the Act and all other employees.",NA,NA,NA,99,2025-10-01,2025-07-01,"6-10",TRUE,"RC","Yes","International Brotherhood of Electrical Workers Local 53",1,"IBEW",1,"Yes",4
"14-RC-370486","Region 14, Saint Louis, Missouri","Tessenderlo Kerley, Inc.",2025-07-31,2025-09-08,"Coffeyville","KS","A",2025-08-28,19,NA,"International Union of Operating Engineers Local 123",17,NA,NA,NA,NA,2,19,NA,NA,NA,"International Union of Operating Engineers Local 123","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time maintenance, I&E technicians, operators, loaders and quality control safety technicians employed by the Employer at its facility located at 515 North Laurel Street, Coffeyville, Kansas, but EXCLUDING all other employees, office clerical employees, professional employees, guards and supervisors as defined in the Act.",NA,NA,NA,28,2025-07-01,2025-07-01,"11-25",TRUE,"RC","Yes","International Union of Operating Engineers Local 123",1,"IUOE",0.894736842105263,"Yes",0
"14-RC-369020","Region 14, Saint Louis, Missouri","Phaze One Electric, LLC",2025-07-09,2025-08-25,"Olathe","KS","A",2025-08-14,27,NA,"International Brotherhood of Electrical Workers, Local 124",15,NA,NA,NA,NA,5,20,NA,1,NA,"International Brotherhood of Electrical Workers, Local 124","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time electricians and apprentices employed by the Employer at is facility located at 19935 W. 162nd St., Olathe, Kansas  66062, but EXCLUDING office clerical employees, professional employees, confidential employees, guards and supervisors as defined by the Act and all other employees.",NA,NA,NA,36,2025-07-01,2025-07-01,"26-50",TRUE,"RC","Yes","International Brotherhood of Electrical Workers, Local 124",1,"IBEW",0.75,"Yes",7
"14-RC-368120","Region 14, Saint Louis, Missouri","Johnson Controls Fire Protection L.P.",2025-06-25,2025-08-18,"Lenexa","KS","A",2025-08-06,25,NA,"Sprinkler Fitters Local 314 of the United Association of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States & Canada",14,NA,NA,NA,NA,11,25,NA,NA,NA,"Sprinkler Fitters Local 314 of the United Association of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States & Canada","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Sprinkler Installers, Sprinkler Apprentices, Sprinkler Service Technicians, Sprinkler Inspectors, Fire Alarm/Sprinkler Inspectors, Suppression Installers, and Suppression Technicians at its facility located at 11019 Strang Line Road, Lenexa, Kansas, but EXCLUDING all other employees, including Route Service and Sales Representatives, Fire Installers, Fire Service Technicians, Fire Alarm Inspectors, professional employees, office clerical employees, guards, and supervisors, as defined in the Act.",NA,NA,NA,42,2025-07-01,2025-04-01,"11-25",TRUE,"RC","Yes","Sprinkler Fitters Local 314 of the United Association of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States & Canada",1,"UA",0.56,"Yes",0
