"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"09-RC-392531","Region 09, Cincinnati, Ohio","TRANE TECHNOLOGIES COMPANY LLC",2026-08-10,NA,"Louisville","KY",NA,NA,12,NA,"United Association of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States and Canada, AFL-CIO (PPF) Local 502 Plumbers, Pipefitters and Service Technicians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","United Association of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States and Canada, AFL-CIO (PPF) Local 502 Plumbers, Pipefitters and Service Technicians",0,"Uncoded",NA,"Still Open",NA
"09-RC-392237","Region 09, Cincinnati, Ohio","STARBUCKS CORPORATION",2026-08-04,NA,"Louisville","KY",NA,NA,17,NA,"Workers United, affiliated with Service Employees International Union, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Workers United, affiliated with Service Employees International Union, AFL-CIO",1,"WU",NA,"Still Open",NA
"10-RD-391750","Region 10, Atlanta, Georgia","LG & E and KU Energy, LLC",2026-07-29,2026-07-31,"Louisville","KY",NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"09-RC-390385","Region 09, Cincinnati, Ohio","ABM INDUSTRY GROUPS, LLC",2026-07-09,2026-07-31,"Louisville","KY","A",2026-07-23,10,NA,"General Drivers, Warehousemen & Helpers, Local Union No. 89, affiliated with the International Brotherhood of Teamsters",9,NA,NA,NA,NA,0,9,NA,NA,NA,"General Drivers, Warehousemen & Helpers, Local Union No. 89, affiliated with the International Brotherhood of Teamsters","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Mechanics and Sanitation Technicians, excluding all other employees, guards, and supervisors as defined in the Act.",NA,NA,NA,14,2026-07-01,2026-07-01,"6-10",TRUE,"RC","Yes","General Drivers, Warehousemen & Helpers, Local Union No. 89, affiliated with the International Brotherhood of Teamsters",1,"Teamsters",1,"Yes",1
"09-RC-388430","Region 09, Cincinnati, Ohio","IMI KENTUCKY, LLC",2026-06-08,2026-07-06,"Bardstown","KY","A",2026-06-25,11,NA,"General Drivers, Warehousemen and Helpers, Local Union No. 89, affiliated with the International Brotherhood of Teamsters",10,NA,NA,NA,NA,1,11,NA,NA,NA,"General Drivers, Warehousemen and Helpers, Local Union No. 89, affiliated with the International Brotherhood of Teamsters","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Ready Mix Drivers employed by the Employer its 664 Airport Road, Bardstown, Kentucky facility; excluding Loader Operators, all other employees, sales employees, office clerical employees, professional employees, guards and supervisors, as defined in the Act.",NA,NA,NA,17,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","General Drivers, Warehousemen and Helpers, Local Union No. 89, affiliated with the International Brotherhood of Teamsters",1,"Teamsters",0.909090909090909,"Yes",0
"10-RC-388386","Region 10, Atlanta, Georgia","Starbucks Corporation",2026-06-05,2026-07-23,"Bowling Green","KY","A",2026-07-15,17,NA,"Workers United a/w Service Employees International Union AFL-CIO",11,NA,NA,NA,NA,3,14,NA,1,NA,"Workers United a/w Service Employees International Union AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time Baristas and Shift Supervisors employed by the Employer at its facility located at 617 Hennessy Way, Bowling Green, Kentucky 42101.

EXCLUDED: All other employees, Coffeehouse Leaders, store managers, assistant store managers, office clerical employees, professional managers, employees, guards, and supervisors as defined by the Act",NA,NA,NA,40,2026-07-01,2026-04-01,"11-25",TRUE,"RC","Yes","Workers United a/w Service Employees International Union AFL-CIO",1,"WU",0.785714285714286,"Yes",3
"09-RC-388349","Region 09, Cincinnati, Ohio","KENTUCKY POWER, A SUBSIDIARY OF AMERICAN ELECTRIC POWER, INC.",2026-06-05,2026-07-15,"Ashland","KY","A",2026-07-07,2,NA,"Local Union 978, International Brotherhood of Electrical Workers, AFL-CIO",2,NA,NA,NA,NA,0,2,NA,NA,NA,"Local Union 978, International Brotherhood of Electrical Workers, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Meter Readers, Meter Servicers, and Field Revenue Specialist employed by the Kentucky Power Company, a subsidiary of American Electric Power, Inc., at its at 12333 Kevin Avenue, Ashland, Kentucky, facility, excluding office clerical employees, confidential employees, professional employees, managerial employees, guards and supervisors as defined in the Act.

If a majority of valid ballots are cast for Local Union 978, International Brotherhood of Electrical Workers, AFL-CIO, they will be taken to have indicated the employees’ desire to be included in the existing bargaining unit employees identified in the Collective Bargaining Agreement between Local Union 978, International Brotherhood of Electrical Workers, AFL-CIO & Kentucky Power, a subsidiary of American Electric Power, Inc., dated February 14, 2026, to March 31, 2031, currently represented by the Local Union 978, International Brotherhood of Electrical Workers, AFL-CIO: all production and maintenance employees, including line mechanics, line general servicers, line area servicers, station electricians, station servicers, meter electricians, driver ground worker, ground worker, fleet technicians and stores attendants employed by the employer in its Ashland, Kentucky, service area.  If a majority of valid ballots are not cast for representation, they will be taken to have indicated the employees’ desire to remain unrepresented.",NA,NA,NA,32,2026-07-01,2026-04-01,"<5",TRUE,"RC","Yes","Local Union 978, International Brotherhood of Electrical Workers, AFL-CIO",1,"IBEW",1,"Yes",0
"10-RC-386058","Region 10, Atlanta, Georgia","GHD Services Inc.",2026-04-30,2026-06-01,"Calvert City","KY",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"<5",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"09-RD-385219","Region 09, Cincinnati, Ohio","WASTE MANAGEMENT OF KENTUCKY, L.L.C.",2026-04-20,2026-06-02,"Louisville","KY","A",2026-05-22,14,NA,"Teamsters Local Union 783, affiliated with the International Brotherhood of Teamsters",5,NA,NA,NA,NA,8,13,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All persons engaged in the operation of heavy equipment of all types, which work is being engaged in or done in connection with the Company's daily receipt and disposal of waste in the landfill operation in Jefferson County, Kentucky, but excluding all other employees, all office and clerical employees, mechanics, helpers, maintenance employees, guards, professional employees, and supervisors.",NA,NA,NA,32,2026-04-01,2026-04-01,"11-25",TRUE,"RD","Yes","Teamsters Local Union 783, affiliated with the International Brotherhood of Teamsters",1,"Teamsters",0.384615384615385,"No",1
"09-RC-384597","Region 09, Cincinnati, Ohio","KENTUCKY POWER COMPANY",2026-04-10,2026-05-14,"Ashland","KY","A",2026-05-05,10,NA,"Local Union 978, International Brotherhood of Electrical Workers, AFL-CIO",10,NA,NA,NA,NA,0,10,NA,NA,NA,"Local Union 978, International Brotherhood of Electrical Workers, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Distribution Dispatching Associates, Distribution Dispatchers, Distribution Dispatching Seniors employed by the Kentucky Power Company, but excluding all office clerical employees, confidential employees, professional employees, guards, supervisors as defined in the Act.",NA,NA,NA,25,2026-04-01,2026-04-01,"6-10",TRUE,"RC","Yes","Local Union 978, International Brotherhood of Electrical Workers, AFL-CIO",1,"IBEW",1,"Yes",0
