"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"15-RC-391950","Region 15, New Orleans, Louisiana","Jazz Casino Company LLC d/b/a Caesars New Orleans",2026-07-31,NA,"New Orleans","LA",NA,NA,325,NA,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America (UAW), AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RC","No","International Union, United Automobile, Aerospace and Agricultural Implement Workers of America (UAW), AFL-CIO",1,"UAW",NA,"Still Open",NA
"15-RC-391696","Region 15, New Orleans, Louisiana","The Inkwell Press",2026-07-28,NA,"New Orleans","LA",NA,NA,10,NA,"International Brotherhood Teamsters Local Union 270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","International Brotherhood Teamsters Local Union 270",1,"Teamsters",NA,"Still Open",NA
"15-RC-388053","Region 15, New Orleans, Louisiana","Swaybox Studios, Inc.",2026-06-02,2026-07-29,"New Orleans","LA","A",2026-07-21,137,NA,"International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, its Territories, and Canada (IATSE)",84,NA,NA,NA,NA,35,119,NA,9,NA,"International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, its Territories, and Canada (IATSE)","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees employed by Swaybox Studios, Inc. at or out of its facility located at 155 Brookhollow Esplanade, New Orleans, Louisiana, in the following classifications:
 
•       CG Environment Artist
•	Hair/Fur
•	Junior Mold and Cast Fabricator
•	CG Modeler
•	MoMo Animation Performer Second
•	Senior Story Artist
•	MoMo Animation Performer Lead
•	MoMo Animation Performer
•	Animator
•	Mid Level Carpenter
•	Digital Puppetry Artist
•	Fabric Dyer/Print Tech
•	Junior Fabricator Generalist
•	Junior Set Painter
•	Laser Cut/Water Jet Technician
•	Lead Puppet Painter
•	Senior Fabricator Generalist
•	Senior Face Lookdev Artist
•	Senior Pipeline Developer/Engineer
•	Vehicle File Prep
•	Story Artist
•	VFX Data Wrangler
•	1st Assistant Editor
•	3D Pinter Technician
•	3D Tracking Artist
•	Accounting Clerk
•	Action Board Junior Story A1tist
•	Animatic Comp Artist
•	Animatic Editor
•	Animation Performance / Rigging Coordinator
•	Animation Lead
•	Art Department Production Assistant
•	Assistant Accountant
•	Assistant MoMo Animation Editor
•	Assistant Production Manager
•	Assistant Creative Technical Director
•	Blendshape Artist
•	Camera & Lighting Technician
•	Carpenter
•	CG Character Modeler
•	CG Rigger
•	CG Set Modeler
•	Character Sculptor
•	Data Wrangler
•	Digital Fabricator Generalist
•	Digital Fabricator
•	Editorial Production Assistant
•	Editor
•	Fab1icator Generalist
•	Facilities Associate
•	Facilities Manager
•	Grip
•	House Runner
•	IT Desktop Support
•	Junior Costumer
•	Junior Puppet Hair/Fur
•	Junior Prop Fabricator
•	Junior Prop Fabricator - Generalist
•	Junior Puppet Generalist
•	Junior Puppet Painter
•	Junior Storyboard Artist
•	Lead CG Generalist
•	Lead Costumer
•	Lead Digital Fabricator
•	Lead Hair/Fur
•	Lead Puppet Fabricator
•	Lead Puppet Wrangler
•	Lead Set Painter
•	Lead Set Sculptor
•	Maya Technical Director
•       Mid Level Costumer 
•       Mold and Cast Fabricator
•	MoMo Animation Editor
•	Nuke Technical Director
•	Office Production Assistant
•	Payroll Accountant
•	Print Technician
•	Prop Fabricator
•	Puppet Fabrication Coordinator
•	Puppet Fabrication Production Assistant
•	Puppet Generalist
•	Studio Receptionist 
•       Schedule Consultant
•       Script and Continuity Coordinator 
•       Second Assistant Director
•       Senior Carpenter
•	Senior CG Generalist
•	Senior Costumer
•	Senior Digital Fabricator
•	Senior Mold and Cast Fabricator
•	Senior Pipeline Integration Engineer
•	Senior Prop Fabricator
•	Senior Puppet Hair/Fur
•	Senior System Administrator
•	Senior Vehicle Engineer
•       Senior Vehicle Painter
•       Set Fabrication Asset Manager
•       Set Fabrication Coordinator
•	Set Fabrication Production Assistant
•	Set File Prep
•	Sets Graphic Designer
•	Set Layout Designer
•	Set Painter
•	Sets Painter
•	Software Engineer 
•       Animatic Sound Mix 
•       Story/Edit/Art Coordinator 
•       Studio Custodian
•       VFX Coordinator
•	Video Assist Lead
•	Visual Development Artist
•	1st Animator (Face)
•	Action Board Story Artist
•	AE Animatic Comp Artist
•	Animation Coordinator 
•       Art Coordinator
•	Art Director-Puppets
•	Art Generalist
•       Assistant Editor
•       Assistant Facilities Manager
•       Boom Operator 
•       Blendshapes Modeler
•	CG Character Artist
•	Character A1tist
•	Character Designer
•	Clean Up Story Artist
•	Concept Designer
•	Continuity Coordinator
•	Costume Design Illustrator 
•       Creative Tech Assistant 
•       Dimmer Board Operator 
•       Electric Lighting Technician
•	Face Sanding
•	First Assistant Accountant
•	First Assistant Director
•	Gaffer
•	Graphic Artist
•	Senior Graphic Artist
•       Junior AE Animatic Comp Artist 
•       Junior Production Assistant
•	Junior Prop Fabricator - Graphic Miniature
•	Junior Sets Production Assistant
•	Lead Carpenter
•	Lead CG Rigger
•	Lead Mold and Cast
•	Lead Vehicle Engineer
•	Lighting Color Script
•       Look Development Artist
•       Look Development Coordinator
•	Mid Level Clay Sculptor
•	Mid Level Fabricator - Greens
•	Mid Level Fabricator - Lighting
•	Mid Level Mold and Cast
•	Mid Level Upholstery
•	Parts Trimmer/Sander 
•       Payroll Clerk
•	Pipeline Developer
•	Pipeline Integration Engineer
•	Production Assistant
•	Production Designer
•	Scenic Painter
•	Script Supervisor
•       Set Designer
•       Set Dresser
•       Sets Mold/Cast Fabricator
•	Storyboard Artist
•	System Administrator
•	System Engineer
•	Vehicle Concept Designer
•	Vehicle Designer
•	Vehicle Production Assistant 
•       Virtual Pipeline Technician 
•       Sculptor
•	Video Engineer

Excluded: All other employees, managers, confidential employees, guards, and supervisors as defined by the National Labor Relations Act.",NA,NA,NA,49,2026-07-01,2026-04-01,"101-500",TRUE,"RC","Yes","International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, its Territories, and Canada (IATSE)",1,"IATSE",0.705882352941177,"Yes",18
"15-RC-388141","Region 15, New Orleans, Louisiana","Centerra Group, a Constellis Company",2026-06-02,2026-06-05,"New Orleans","LA",NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"26-50",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"15-RC-382212","Region 15, New Orleans, Louisiana","Southwestern Electric Power Co.",2026-03-04,2026-04-27,"Shreveport","LA","A",2026-04-17,4,NA,"International Brotherhood of Electrical Workers Local #329 / System Council U-9",3,NA,NA,NA,NA,1,4,NA,NA,NA,"International Brotherhood of Electrical Workers Local #329 / System Council U-9","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  Building Maintenance Technicians B and A at the following locations:
                 6710 Resilient Way, Shreveport LA 71119
                 105 McNeil St., Shreveport LA 71101
                 428 Travis St., Shreveport LA 71101
                 6130 Union St., Shreveport LA 71108

Excluded:  All other employees, including office clerical employees, professional employees, temporary 
employees, guards, and supervisors as defined in the Act.",NA,NA,NA,44,2026-04-01,2026-01-01,"<5",TRUE,"RC","Yes","International Brotherhood of Electrical Workers Local #329 / System Council U-9",1,"IBEW",0.75,"Yes",0
"15-UC-379423","Region 15, New Orleans, Louisiana","The Administrators of the Tulane Educational Fund",2026-01-21,2026-03-12,"New Orleans","LA",NA,NA,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-01-01,"101-500",TRUE,"UC","No",NA,0,"Uncoded",NA,"Other",NA
"15-RC-375191","Region 15, New Orleans, Louisiana","CSP DeRidder, LLC d/b/a Canfor Southern Pine",2025-11-20,2026-04-23,"DeRidder","LA","A",2026-04-15,128,NA,"Southern Regional Council of Carpenters Local Union #3101",52,NA,NA,NA,NA,68,120,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included:  All lumbermill workers, including operators, electricians, technicians, mechanics, millwrights, utility workers, scale and shipping clerks, and warehouse, assistants.

Excluded:  All other employees, managers, clerical and professional employees, supervisors, and guards as defined under the Act.",NA,NA,NA,146,2026-04-01,2025-10-01,"101-500",TRUE,"RC","Yes","Southern Regional Council of Carpenters Local Union #3101",1,"UBC",0.433333333333333,"No",8
"15-RD-374373","Region 15, New Orleans, Louisiana","Harmony House Nursing Home",2025-10-21,2026-01-07,"Shreveport","LA",NA,NA,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2025-10-01,"101-500",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"15-RD-372826","Region 15, New Orleans, Louisiana","Sanderson Farms, LLC d/b/a Wayne-Sanderson Farms",2025-09-05,2025-11-17,"Hammond","LA","A",2025-09-25,510,2,"United Food and Commercial Workers, Local 455",242,NA,NA,NA,NA,134,376,NA,NA,NA,"United Food and Commercial Workers, Local 455","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All production and maintenance employees, including truck drivers, employed at the Employer's Hammond, Louisiana facility.

Excluded: All office clerical employees, guards and/or watchmen, salesmen, professional employees, and supervisors as defined in the Act.",NA,NA,NA,20,2025-07-01,2025-07-01,"500>",TRUE,"RD","Yes","United Food and Commercial Workers, Local 455",1,"UFCW",0.643617021276596,"Yes",134
"15-RC-372529","Region 15, New Orleans, Louisiana","Entergy Louisiana, LLC",2025-09-02,2026-02-26,"Westlake","LA","A",2025-12-09,20,NA,"International Brotherhood of Electrical Workers Local 2286",9,NA,NA,NA,NA,8,17,NA,3,"Y","International Brotherhood of Electrical Workers Local 2286","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees employed as Production Technician I, Production Technician II, Production Technician IIl, Production Technician-CRO and Production Technician CRO-Sr.

Excluded: All other employees, managers, supervisors, and guards as defined under the Act.",NA,NA,NA,98,2025-10-01,2025-07-01,"11-25",TRUE,"RC","Yes","International Brotherhood of Electrical Workers Local 2286",1,"IBEW",0.529411764705882,"Yes",3
