"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"01-RC-391510","Region 01, Boston, Massachusetts","Maine Monitor",2026-07-27,2026-08-07,"Hallowell","ME",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"01-RC-382919","Region 01, Boston, Massachusetts","The Holy Donut, Inc.",2026-03-16,2026-04-28,"Portland","ME","A",2026-04-20,8,NA,"INTERNATIONAL ASSOCIATION OF MACHINISTS AND AEROSPACE WORKERS DISTRICT 4, LOCAL S6",7,NA,NA,NA,NA,0,7,NA,NA,NA,"INTERNATIONAL ASSOCIATION OF MACHINISTS AND AEROSPACE WORKERS DISTRICT 4, LOCAL S6","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Guest Service Associates and Guest Service Team Leads employed by the Employer at its 194 Park Avenue, Portland, ME 04102, location.

Excluded: All seasonal employees, office clerical employees, confidential employees, managers, guards, professional employees, and supervisors as defined by the Act.",NA,NA,NA,35,2026-04-01,2026-01-01,"6-10",TRUE,"RC","Yes","INTERNATIONAL ASSOCIATION OF MACHINISTS AND AEROSPACE WORKERS DISTRICT 4, LOCAL S6",1,"IAM",1,"Yes",1
"01-RC-381947","Region 01, Boston, Massachusetts","SPACE Gallery",2026-02-27,2026-03-09,"Portland","ME",NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-01-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"01-UC-377718","Region 01, Boston, Massachusetts","Food AND Medicine",2025-12-19,2026-04-17,"Brewer","ME",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2025-10-01,"6-10",TRUE,"UC","No",NA,0,"Uncoded",NA,"Other",NA
"01-RC-374929","Region 01, Boston, Massachusetts","LIWS of New England Waste Services LLC",2025-11-19,2025-12-31,"Mexico","ME","A",2025-12-18,24,NA,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL UNION NO. 340",24,NA,NA,NA,NA,0,24,NA,NA,NA,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL UNION NO. 340","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time drivers, mechanics, and helpers employed by the Employer at its 360 River Road, Mexico, Maine facility, but excluding all office clerical employees, confidential employees, managers, guards, professional employees and supervisors as defined in the Act.",NA,NA,NA,29,2025-10-01,2025-10-01,"11-25",TRUE,"RC","Yes","INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL UNION NO. 340",1,"Teamsters",1,"Yes",0
"01-RC-374895","Region 01, Boston, Massachusetts","Preble Street",2025-11-18,2025-12-19,"Bangor","ME","A",2025-12-10,25,NA,"Maine Service Employees Association, SEIU Local 1989",17,NA,NA,NA,NA,2,19,NA,NA,NA,"Maine Service Employees Association, SEIU Local 1989","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, regular part-time, and regular per diem warehouse & distribution support staff, intake & diversion specialists, shelter navigators, housing navigators, and sous chefs employed at the Employer’s Hope House Health and Living Center in Bangor, Maine.

Excluded: All confidential employees, managers, and guards, professional employees and supervisors as defined in the Act. 
To be eligible to vote, a Regular Per Diem employee must have worked at least 4 out of the last 8 weeks prior to the payroll eligibility date, November 22, 2025, and also worked an average of at least 4 hours per week or more during the 13-week period prior to November 22, 2025. (Worked at least a total of 52 hours over 13 weeks)",NA,NA,NA,22,2025-10-01,2025-10-01,"11-25",TRUE,"RC","Yes","Maine Service Employees Association, SEIU Local 1989",1,"SEIU",0.894736842105263,"Yes",6
"01-RC-374776","Region 01, Boston, Massachusetts","NCR ATLEOS CORPORATION",2025-11-17,2026-05-04,"Hudson","ME",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2025-10-01,"<5",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"01-RD-374382","Region 01, Boston, Massachusetts","Independence Advocates of Maine (IAM-3Rivers)",2025-10-29,2025-11-26,"Orono","ME",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dismissal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2025-10-01,"11-25",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"01-RD-373821","Region 01, Boston, Massachusetts","Xpress Natural Gas",2025-09-23,2025-09-30,"Baileyville","ME",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2025-07-01,"<5",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"01-RD-373311","Region 01, Boston, Massachusetts","Northern Maine Medical Center",2025-09-15,2026-03-27,"Fort Kent","ME","A",2026-01-07,64,NA,"Maine State Nurses Association/National Nurses Organizing Committee/National Nurses United",34,NA,NA,NA,NA,23,57,NA,6,NA,"Maine State Nurses Association/National Nurses Organizing Committee/National Nurses United","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time, regular part-time and per diem registered nurses employed by Northern Maine Medical Center at its acute-care facility currently located at 194 E Main Street, Fort Kent, Maine but excluding RN Office – MP FP, RN – Clinical Informatics, RN – Oncology, RN Lead – Oncology, RN Care Coordinator – MP IM, registered nurses employed by registries or other agencies providing outside labor to the Employer, nurse administrators, managerial employees, confidential employees, temporary employees, and guards, and supervisors as defined in the Act.",NA,NA,NA,114,2026-01-01,2025-07-01,"51-100",TRUE,"RD","Yes","Maine State Nurses Association/National Nurses Organizing Committee/National Nurses United",1,"NNU",0.596491228070175,"Yes",7
"01-RC-371578","Region 01, Boston, Massachusetts","Maine Trust for Local News, L3C",2025-08-19,2025-11-19,"South Portland","ME","A",2025-09-29,49,NA,"The NewsGuild of Maine, Communication Workers of America, Local 31128",34,NA,NA,NA,NA,1,35,NA,NA,NA,"The NewsGuild of Maine, Communication Workers of America, Local 31128","Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time employees employed by the Employer on its Community News staff, and at the Sun Journal and the Times Record, and all full-time and regular part-time non-editorial employees employed by the Employer at the Morning Sentinel and the Kennebec Journal.
                                                                                       
Excluded: All editorial department employees at the Morning Sentinel and the Kennebec Journal, all advertising department employees and Creative Service Designers at the Kennebec Journal, office clerical employees, confidential employees, managers, guards, professional employees and supervisors as defined in the Act.",NA,NA,NA,41,2025-07-01,2025-07-01,"26-50",TRUE,"RC","Yes","The NewsGuild of Maine, Communication Workers of America, Local 31128",1,"NewsGuild",0.971428571428571,"No",14
