"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"05-RC-391850","Region 05, Baltimore, Maryland","MTAC, Inc.",2026-07-29,NA,"Camp Springs","MD",NA,NA,51,NA,"International Union, Security, Police and Fire Professionals of America (SPFPA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","International Union, Security, Police and Fire Professionals of America (SPFPA)",1,"SPFPA",NA,"Still Open",NA
"05-RC-391384","Region 05, Baltimore, Maryland","Baltimore Animal Rescue and Care Shelter, Inc.",2026-07-23,NA,"Baltimore","MD",NA,NA,66,NA,"American Federation of State, County & Municipal Employees, Maryland Council 3, AFSCME, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","American Federation of State, County & Municipal Employees, Maryland Council 3, AFSCME, AFL-CIO",1,"AFSCME",NA,"Still Open",NA
"05-RC-391323","Region 05, Baltimore, Maryland","Universal Protection Service, LLC d/b/a Allied Universal Security Services",2026-07-23,NA,"Linthicum","MD",NA,NA,120,NA,"International Union, Security, Police and Fire Professionals of America (SPFPA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RC","No","International Union, Security, Police and Fire Professionals of America (SPFPA)",1,"SPFPA",NA,"Still Open",NA
"05-RC-391059","Region 05, Baltimore, Maryland","Johns Hopkins Health System Corporation",2026-07-20,NA,"Dundalk","MD",NA,NA,58,NA,"International Brotherhood of Teamsters Local 570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","International Brotherhood of Teamsters Local 570",1,"Teamsters",NA,"Still Open",NA
"05-RC-390668","Region 05, Baltimore, Maryland","Tatitlek Federal Services, LLC",2026-07-14,NA,"Catonsville","MD",NA,NA,16,NA,"Governed United Security Professionals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Governed United Security Professionals",0,"Uncoded",NA,"Still Open",NA
"05-RC-389902","Region 05, Baltimore, Maryland","Haus of K LLC d/b/a Baby's on Fire",2026-07-02,2026-07-14,"Baltimore","MD",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"05-RC-389786","Region 05, Baltimore, Maryland","KBRwyle Technology Solutions, LLC",2026-07-01,2026-07-07,"Fulton","MD",NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"05-RC-389644","Region 05, Baltimore, Maryland","Triple Canopy, a Constellis Company",2026-06-29,NA,"Silver Spring","MD",NA,NA,240,NA,"International Guards Union of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"101-500",TRUE,"RC","No","International Guards Union of America",0,"Uncoded",NA,"Still Open",NA
"05-UD-389440","Region 05, Baltimore, Maryland","HBC Management Services, Inc.",2026-06-25,NA,"Urbana","MD",NA,NA,48,NA,"Union Rights for Security Officers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"26-50",TRUE,"UD","No","Union Rights for Security Officers",1,"URSO",NA,"Still Open",NA
"05-RC-389182","Region 05, Baltimore, Maryland","Starbucks Corporation",2026-06-22,2026-08-06,"Columbia","MD","A",2026-07-29,27,NA,"Workers United a/w Service Employees International Union",19,NA,NA,NA,NA,3,22,NA,NA,NA,"Workers United a/w Service Employees International Union","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time baristas and shift supervisors employed by the Employer at its facility currently located at 5400 Lynx Lane, Columbia, Maryland, but excluding all assistant store managers, store managers, office clerical employees, guards, and supervisors as defined in the Act.",NA,NA,NA,37,2026-07-01,2026-04-01,"26-50",TRUE,"RC","Yes","Workers United a/w Service Employees International Union",1,"WU",0.863636363636364,"Yes",5
