"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"01-RC-392776","Region 01, Boston, Massachusetts","Sam Adams Boston Brewing",2026-08-13,NA,"Boston","MA",NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No",NA,0,"Uncoded",NA,"Still Open",NA
"01-RC-392468","Region 01, Boston, Massachusetts","Sonesta International Hotels Corporation",2026-08-07,NA,"Cambridge","MA",NA,NA,45,NA,"UNITE HERE, Local 26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","UNITE HERE, Local 26",1,"UNITE HERE",NA,"Still Open",NA
"01-RC-392267","Region 01, Boston, Massachusetts","Durham School Services, L.P.",2026-08-05,NA,"Easthampton","MA",NA,NA,6,NA,"United Food and Commercial Workers Union, Local 1459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","United Food and Commercial Workers Union, Local 1459",1,"UFCW",NA,"Still Open",NA
"01-RC-392257","Region 01, Boston, Massachusetts","Durham School Services, L.P.",2026-08-05,NA,"Easthampton","MA",NA,NA,26,NA,"United Food and Commercial Workers Union, Local 1459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","United Food and Commercial Workers Union, Local 1459",1,"UFCW",NA,"Still Open",NA
"01-RC-392052","Region 01, Boston, Massachusetts","The Eric Carle Museum of Picture Book Art, Inc.",2026-08-03,NA,"Amherst","MA",NA,NA,36,NA,"TECHNICAL, OFFICE & PROFESSIONAL UNION, Local 2110 UAW, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","TECHNICAL, OFFICE & PROFESSIONAL UNION, Local 2110 UAW, AFL-CIO",1,"UAW",NA,"Still Open",NA
"01-RC-391936","Region 01, Boston, Massachusetts","Cherry Pi LLC, d/b/a Catalpa Coffee",2026-07-31,NA,"Northampton","MA",NA,NA,7,NA,"United Food and Commercial Workers Union, Local 1459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","United Food and Commercial Workers Union, Local 1459",1,"UFCW",NA,"Still Open",NA
"01-RC-391728","Region 01, Boston, Massachusetts","Amherst Nursing Home, Inc. d/b/a Center for Extended Care-Amherst",2026-07-29,NA,"Amherst","MA",NA,NA,32,NA,"1199SEIU, United Healthcare Workers East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","1199SEIU, United Healthcare Workers East",1,"SEIU",NA,"Still Open",NA
"01-RC-391445","Region 01, Boston, Massachusetts","UMass Memorial Medical Center, Inc.",2026-07-24,NA,"Worcester","MA",NA,NA,2,NA,"MASSACHUSETTS NURSES ASSOCIATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","MASSACHUSETTS NURSES ASSOCIATION",1,"NNU",NA,"Still Open",NA
"01-RC-391456","Region 01, Boston, Massachusetts","UMass Memorial Medical Center, Inc.",2026-07-24,NA,"Worcester","MA",NA,NA,3,NA,"Massachusetts Nurses Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","Massachusetts Nurses Association",1,"NNU",NA,"Still Open",NA
"01-RC-391034","Region 01, Boston, Massachusetts","WHDH-TV/WLVI-TV",2026-07-21,2026-07-23,"Boston","MA",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"01-RC-390744","Region 01, Boston, Massachusetts","Boston Medical Center Affiliated Physicians",2026-07-15,2026-07-27,"Brockton","MA",NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"01-RM-390082","Region 01, Boston, Massachusetts","UMASS MEMORIAL MEDICAL CENTER",2026-07-06,2026-07-21,"Worcester","MA",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RM","No",NA,0,"Uncoded",NA,"Other",NA
"01-RC-389976","Region 01, Boston, Massachusetts","Justice Resource Institute, Inc.",2026-07-06,NA,"Needham Heights","MA",NA,NA,340,NA,"SERVICE EMPLOYEES INTERNATIONAL UNION, LOCAL 509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RC","No","SERVICE EMPLOYEES INTERNATIONAL UNION, LOCAL 509",1,"SEIU",NA,"Still Open",NA
"01-RC-389901","Region 01, Boston, Massachusetts","WHDH-TV, LLC",2026-07-02,2026-08-03,"Boston","MA","A",2026-07-24,4,NA,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL UNION NO. 1228",4,NA,NA,NA,NA,0,4,NA,NA,NA,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL UNION NO. 1228","Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time news/video coordinators.

Excluded: All office clerical employees, confidential employees, managers, guards, professional employees and supervisors as defined by the Act.",NA,NA,NA,22,2026-07-01,2026-07-01,"<5",TRUE,"RC","Yes","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL UNION NO. 1228",1,"IBEW",1,"No",0
"01-RC-389662","Region 01, Boston, Massachusetts","Mass General Brigham Home Care, Inc.",2026-06-29,NA,"Newton","MA",NA,NA,81,NA,"International Brotherhood of Teamsters Local 25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"51-100",TRUE,"RC","No","International Brotherhood of Teamsters Local 25",1,"Teamsters",NA,"Still Open",NA
"01-RC-389264","Region 01, Boston, Massachusetts","Lawrence General Hospital d/b/a Merrimack Health Lawrence Hospital",2026-06-23,2026-07-30,"Lawrence","MA","A",2026-07-22,530,NA,"1199SEIU, United Healthcare Workers East a/w Service Employees International Union, AFL-CIO",296,NA,NA,NA,NA,34,330,NA,38,NA,"1199SEIU, United Healthcare Workers East a/w Service Employees International Union, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, regular part-time, and per diem non-professional employees employed by the Employer at its facility located at 1 General Street, Lawrence, MA, including the job classifications set forth in the chart below.
Excluded: All confidential employees, managers, guards, physicians, registered nurses, technical employees, business office clerical employees, skilled maintenance employees, and professional employees and supervisors as defined in the Act. 

Administrative Assistant
Anesthesia Technician
Behavioral Health Technician
Cafeteria Assistant
Case Management Resource Specialist
Central Scheduler
Certified Nursing Assistant
Certified Pharmacy Technician
Certified Sterile Processing Technician
Client Services Representative
Clinical Administrative Coordinator
Cook
Courier
CT Assistant 
Department Secretary I
Echocardiogram Technician
EEG Technician
Emergency Department (ED) Technician
Endoscopy Technician
Environmental Services (EVS) Associate I
Environmental Services (EVS) Associate II
Environmental Services (EVS) Associate III
Environmental Services (EVS) Floor/Projects Technician
Environmental Services (EVS) Technician
Equipment/Supplies Coordinator
ET Technician
Financial Counselor
Food Service Associate
Groundskeeper
Histology Assistant
Host
Interpreter
Interpreter (ASL)
Inventory Specialist
Lead Anesthesia Technician
Lead Cook
Lead CT Assistant
Lead Endoscopy Technician
Lead Linen Control Associate
Lead Operating Room Attendant
Lead Patient Transporter
Lead Phlebotomist
Lead Sterile Processing Technician
Lead Storeroom Clerk
Linen Control Associate
Materials Management Purchasing Agent
Medical Assistant II
Medical Assistant/Phlebotomist
MRI Assistant
Nursing Assistant
Office Coordinator
Office-Image Correlator Assistant
Operating Room (OR) Booking Coordinator
Operating Room (OR) Material Handler
Patient Access and Scheduler Assistant
Patient Access Representative
Patient Navigator
Patient Safety Observer
Patient Transporter
Pharmacy IT Technician
Pharmacy Purchasing Agent
Pharmacy Technician II
Phlebotomist
Physical Therapy Aide
Pre-Admission Testing Secretary
Radiology Assistant
Receptionist
Shuttle Bus Driver
Sleep Medicine Assistant
Sterile Processing Technician
Supply Chain Operations Associate
Supply Chain Strategic Sourcing Specialist
Support Service Specialist
Surgical Aide
Surgical Services Liaison
Unit Secretary
Unit Secretary Aide
Unit Secretary Coordinator",NA,NA,NA,29,2026-07-01,2026-04-01,"500>",TRUE,"RC","Yes","1199SEIU, United Healthcare Workers East a/w Service Employees International Union, AFL-CIO",1,"SEIU",0.896969696969697,"Yes",200
"01-RC-388596","Region 01, Boston, Massachusetts","Boston Bouldering Project, LLC",2026-06-10,2026-07-17,"Somerville","MA","A",2026-07-09,75,NA,"Chicago and Midwest Regional Joint Board, Workers United/SEIU, AFL-CIO",42,NA,NA,NA,NA,6,54,NA,6,NA,"Chicago and Midwest Regional Joint Board, Workers United/SEIU, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees employed by the Employer at its facility at 12A Tyler St, Somerville, MA 02143.

Excluded: All seasonal employees, office clerical employees, confidential employees, managers, guards, professional employees, and supervisors as defined in the Act.

Others permitted to vote: The parties agree that the classification of Adult Program Coordinator may vote in the election, but their ballots will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individual(s) in this classification or group are included in or excluded from the bargaining unit. The eligibility or inclusion of these individual(s), if any, will be resolved, if necessary, following the election.",NA,NA,NA,29,2026-07-01,2026-04-01,"51-100",TRUE,"RC","Yes","Chicago and Midwest Regional Joint Board, Workers United/SEIU, AFL-CIO",2,"Multiple",0.875,"Yes",27
"01-RC-388165","Region 01, Boston, Massachusetts","Amerigas Propane, Inc.",2026-06-03,2026-06-11,"Westport","MA",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"<5",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"01-RC-387950","Region 01, Boston, Massachusetts","Starbucks Corporation",2026-06-01,2026-07-16,"Brookline","MA","A",2026-07-08,8,NA,"Workers United a/w Service Employees International Union",6,NA,NA,NA,NA,1,7,NA,NA,NA,"Workers United a/w Service Employees International Union","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time baristas employed by the Employer at its facility located at 15 Harvard Street, Brookline, MA 02445.
Excluded: All store managers, assistant store managers, shift managers, office clerical employees, guards, professional employees and supervisors as defined by the Act.",NA,NA,NA,37,2026-07-01,2026-04-01,"6-10",TRUE,"RC","Yes","Workers United a/w Service Employees International Union",1,"WU",0.857142857142857,"Yes",1
"01-RC-387661","Region 01, Boston, Massachusetts","Boston Medical Center-South Corporation",2026-05-27,2026-07-06,"Brockton","MA","A",2026-06-25,3,NA,"MASSACHUSETTS NURSES ASSOCIATION",3,NA,NA,NA,NA,0,3,NA,NA,NA,"MASSACHUSETTS NURSES ASSOCIATION","Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time Nurse Educators employed by the Employer at its 235 N. Pearl Street, Brockton MA facility. 
 
Excluded: All other RNs, other professional employees, physicians, technical employees, service and maintenance employees, nurse administrators, office clerical employees, nonprofessional employees, managers, confidential employees, guards, and supervisors as defined by the Act, and other employees.",NA,NA,NA,29,2026-04-01,2026-04-01,"<5",TRUE,"RC","Yes","MASSACHUSETTS NURSES ASSOCIATION",1,"NNU",1,"No",0
"01-RC-387216","Region 01, Boston, Massachusetts","Enel North America, Inc.",2026-05-19,NA,"Andover","MA","A",2026-06-24,15,NA,"International Brotherhood of Electrical Workers, Local Union No. 326",7,NA,NA,NA,NA,6,13,NA,NA,NA,"International Brotherhood of Electrical Workers, Local Union No. 326","Initial","Single Labor Organization",NA,"Open","Included: All full-time and regular part-time control room operators employed by the Employer at its facility located at 100 Brickstone Square, Suite 300, Andover, MA.

Excluded: All office clerical employees, confidential employees, managers, guards, professional employees and supervisors as defined by the Act.


",NA,NA,NA,36,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","International Brotherhood of Electrical Workers, Local Union No. 326",1,"IBEW",0.538461538461538,"Still Open",2
"01-RC-386852","Region 01, Boston, Massachusetts","CBRE, Inc.",2026-05-12,2026-07-16,"Boston","MA","A",2026-07-08,9,NA,"International Union of Operating Engineers Local 877",8,NA,NA,NA,NA,0,8,NA,NA,NA,"International Union of Operating Engineers Local 877","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Senior HVAC Technicians, HVAC Technicians, Maintenance Technicians, Plumbers, and Electricians employed by the Employer at the facilities located at 645 Summer Street, Boston, MA and 15 Necco Street, Boston, MA.

Excluded: All confidential employees, office clerical employees, managers, guards, professional employees and supervisors as defined in the Act.",NA,NA,NA,57,2026-07-01,2026-04-01,"6-10",TRUE,"RC","Yes","International Union of Operating Engineers Local 877",1,"IUOE",1,"Yes",1
"01-RC-386814","Region 01, Boston, Massachusetts","MV Transportation, Inc.",2026-05-12,2026-06-12,"Springfield","MA","A",2026-06-04,3,NA,"UNITED FOOD AND COMMERCIAL WORKERS UNION, LOCAL 1459",3,NA,NA,NA,NA,0,3,NA,NA,NA,"UNITED FOOD AND COMMERCIAL WORKERS UNION, LOCAL 1459","Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time office administrative employees employed by the Employer at its Springfield, MA location.
Excluded: All employees in the existing unit of drivers, confidential employees, managers, guards, professional employees and supervisors as defined by the Act.

If a majority of valid ballots are cast for United Food and Commercial Workers Union, Local 1459, they will be taken to have indicated the employees’ desire to be included in the existing unit of Dispatchers, Schedulers, Reservations employees, Utility Workers, Road Supervisors, and Driver-Trainers currently represented by United Food and Commercial Workers Union, Local 1459.  If a majority of valid ballots are not cast for representation, they will be taken to have indicated the employees’ desire to remain unrepresented.",NA,NA,NA,23,2026-04-01,2026-04-01,"<5",TRUE,"RC","Yes","UNITED FOOD AND COMMERCIAL WORKERS UNION, LOCAL 1459",1,"UFCW",1,"No",0
"01-RC-386705","Region 01, Boston, Massachusetts","Phoenix Management, Inc.",2026-05-11,2026-06-11,"Chicopee","MA","A",2026-06-03,6,NA,"United Food & Commercial Workers Union, Local 1459",5,NA,NA,NA,NA,0,5,NA,1,NA,"United Food & Commercial Workers Union, Local 1459","Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED: All full-time and regular part-time seasonal laborers-grounds maintenance employees employed by the Employer at its Westover ARB, Chicopee, Massachusetts facility.

EXCLUDED:  Office clerical employees, confidential employees, casual employees, managers, guards, professional employees and supervisors as defined by the Act.",NA,NA,NA,23,2026-04-01,2026-04-01,"6-10",TRUE,"RC","Yes","United Food & Commercial Workers Union, Local 1459",1,"UFCW",1,"No",1
"01-RD-386749","Region 01, Boston, Massachusetts","Spectrum Health Systems, Inc.",2026-05-11,NA,"Westborough","MA",NA,NA,50,NA,"AFSCME, Council 93, Local 1877, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"26-50",TRUE,"RD","No","AFSCME, Council 93, Local 1877, AFL-CIO",1,"AFSCME",NA,"Still Open",NA
