"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"07-RC-392708","Region 07, Detroit, Michigan","Solar Technology, LLC",2026-08-11,NA,"Hemlock","MI",NA,NA,1200,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC or United Steelworkers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"500>",TRUE,"RC","No","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC or United Steelworkers",1,"USW",NA,"Still Open",NA
"07-RC-392844","Region 07, Detroit, Michigan","U.S Foods",2026-08-07,NA,"Wixom","MI",NA,NA,3,NA,"Local 337, International Brotherhood of Teamsters (IBT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","Local 337, International Brotherhood of Teamsters (IBT)",1,"Teamsters",NA,"Still Open",NA
"07-RC-392744","Region 07, Detroit, Michigan","Highland Tank",2026-08-07,NA,"Clarkston","MI",NA,NA,30,NA,"Local 614, International Brotherhood of Teamsters (IBT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","Local 614, International Brotherhood of Teamsters (IBT)",1,"Teamsters",NA,"Still Open",NA
"07-RC-392816","Region 07, Detroit, Michigan","Intersect Healthcare Of Cedar Springs",2026-08-07,NA,"Cedar Springs","MI",NA,NA,68,NA,"Local 406, International Brotherhood of Teamsters (IBT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","Local 406, International Brotherhood of Teamsters (IBT)",1,"Teamsters",NA,"Still Open",NA
"07-RD-392463","Region 07, Detroit, Michigan","High Profile Webberville",2026-08-04,NA,"Webberville","MI",NA,NA,15,NA,"Local 951, United Food and Commercial Workers Union",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RD","No","Local 951, United Food and Commercial Workers Union",1,"UFCW",NA,"Still Open",NA
"07-RD-392081","Region 07, Detroit, Michigan","Starbucks Corporation",2026-08-03,NA,"Brighton","MI",NA,NA,27,NA,"Workers United",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RD","No","Workers United",1,"WU",NA,"Still Open",NA
"07-RC-392051","Region 07, Detroit, Michigan","Bridgestone Retail Operations, LLC",2026-07-31,NA,"Wyoming","MI",NA,NA,4,NA,"District 60, International Association of Machinists and Aerospace Workers (IAM), AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","District 60, International Association of Machinists and Aerospace Workers (IAM), AFL-CIO",1,"IAM",NA,"Still Open",NA
"07-RC-391125","Region 07, Detroit, Michigan","Henry Ford St John Hospital",2026-07-20,NA,"Detroit","MI",NA,NA,23,NA,"Michigan Association of Police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Michigan Association of Police",0,"Uncoded",NA,"Still Open",NA
"07-RC-391058","Region 07, Detroit, Michigan","Detroit Historical Society",2026-07-17,NA,"Detroit","MI",NA,NA,50,NA,"Local 925, American Federation of State, County and Municipal Employees (AFSCME), AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","Local 925, American Federation of State, County and Municipal Employees (AFSCME), AFL-CIO",1,"AFSCME",NA,"Still Open",NA
"07-RC-391079","Region 07, Detroit, Michigan","Blue Compass RV",2026-07-16,NA,"Midland","MI",NA,NA,10,NA,"Local 406, International Brotherhood of Teamsters (IBT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","Local 406, International Brotherhood of Teamsters (IBT)",1,"Teamsters",NA,"Still Open",NA
"07-RC-390740","Region 07, Detroit, Michigan","PACE Southeast Michigan",2026-07-15,NA,"Dearborn","MI",NA,NA,11,NA,"Local 337, International Brotherhood of Teamsters (IBT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Local 337, International Brotherhood of Teamsters (IBT)",1,"Teamsters",NA,"Still Open",NA
"07-RC-390728","Region 07, Detroit, Michigan","Meadow Brook Theatre Company",2026-07-13,2026-07-20,"Rochester","MI",NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"07-RD-391045","Region 07, Detroit, Michigan","High Profile Buchanan",2026-07-10,2026-07-30,"Buchanan","MI",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"07-UC-390101","Region 07, Detroit, Michigan","Indiana Michigan Power Company",2026-06-30,2026-07-20,"Bridgman","MI",NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"11-25",TRUE,"UC","No",NA,0,"Uncoded",NA,"Other",NA
"07-RC-390084","Region 07, Detroit, Michigan","Lennox National Account Services LLC",2026-06-29,NA,"Livonia","MI","A",2026-08-13,6,NA,"Local 636, Pipefitters, Steamfitters, Refrigeration and Air Conditioning Service",4,NA,NA,NA,NA,1,6,NA,1,NA,"Local 636, Pipefitters, Steamfitters, Refrigeration and Air Conditioning Service","Initial","Single Labor Organization",NA,"Open",NA,NA,NA,NA,45,2026-07-01,2026-04-01,"6-10",TRUE,"RC","Yes","Local 636, Pipefitters, Steamfitters, Refrigeration and Air Conditioning Service",0,"Uncoded",0.8,"Still Open",1
"07-RD-389868","Region 07, Detroit, Michigan","Penske Truck Leasing Co., L.P.",2026-06-29,NA,"Grand Rapids","MI",NA,NA,27,NA,"Local 406, International Brotherhood of Teamsters (IBT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"26-50",TRUE,"RD","No","Local 406, International Brotherhood of Teamsters (IBT)",1,"Teamsters",NA,"Still Open",NA
