"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"18-RC-392554","Region 18, Minneapolis, Minnesota","ATE Management of Duluth as managers for the Duluth Transit Authority",2026-08-13,NA,"Duluth","MN",NA,NA,4,NA,"Teamsters General Local No. 346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","Teamsters General Local No. 346",1,"Teamsters",NA,"Still Open",NA
"18-RD-392707","Region 18, Minneapolis, Minnesota","MiEnergy Cooperative",2026-08-11,NA,"Rushford","MN",NA,NA,25,NA,"IBEW Local Union 949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RD","No","IBEW Local Union 949",1,"IBEW",NA,"Still Open",NA
"18-RC-392423","Region 18, Minneapolis, Minnesota","Hutchinson Health",2026-08-07,NA,"Hutchinson","MN",NA,NA,123,NA,"Minnesota Nurses Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RC","No","Minnesota Nurses Association",1,"NNU",NA,"Still Open",NA
"18-RC-391968","Region 18, Minneapolis, Minnesota","Fairview Health Services",2026-07-31,NA,"Edina","MN",NA,NA,44,NA,"Minnesota Nurses Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","Minnesota Nurses Association",1,"NNU",NA,"Still Open",NA
"18-RC-390512","Region 18, Minneapolis, Minnesota","Minneapolis Bouldering Project, LLC",2026-07-10,2026-08-14,"Minneapolis","MN","A",2026-08-06,117,NA,"Workers United a/w SEIU",72,NA,NA,NA,NA,7,79,NA,9,NA,"Workers United a/w SEIU","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees employed by the Employer at its facilities located at 1433 W River Rd. N, Minneapolis, MN, 55411 and 42 W Water St., St. Paul, MN 55107. 

Excluded: All seasonal employees, office clerical employees, confidential employees, managers, professional employees, and guards and supervisors as defined in the Act, as amended.",NA,NA,NA,27,2026-07-01,2026-07-01,"101-500",TRUE,"RC","Yes","Workers United a/w SEIU",1,"WU",0.911392405063291,"Yes",38
"18-RC-390251","Region 18, Minneapolis, Minnesota","Knife River Corporation - North Central",2026-07-09,2026-08-07,"Hutchinson","MN","A",2026-07-29,6,NA,"International Brotherhood of Teamsters, Local 120",6,NA,NA,NA,NA,0,6,NA,NA,NA,"International Brotherhood of Teamsters, Local 120","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time drivers employed by the Employer at its Hutchinson, Minnesota facility. 

Excluded: All other employees, managerial employees, clerical employees, guards, and supervisors as defined in the Act.",NA,NA,NA,20,2026-07-01,2026-07-01,"6-10",TRUE,"RC","Yes","International Brotherhood of Teamsters, Local 120",1,"Teamsters",1,"Yes",0
"18-RC-390075","Region 18, Minneapolis, Minnesota","Lakeview Memorial Hospital Association, Inc.",2026-07-06,NA,"Oak Park Heights","MN","A",2026-08-11,38,NA,"SEIU Healthcare Minnesota & Iowa",30,NA,NA,NA,NA,2,32,NA,NA,NA,"SEIU Healthcare Minnesota & Iowa","Initial","Single Labor Organization",NA,"Open","INCLUDED: All full-time and regular part-time Registered Nurses, Nurse Practitioners, Medical Social Workers, Music Therapists, and Spiritual Counselors employed by the Employer in the Hospice Department at 5803 Neal Ave N.

EXCLUDED: All other professional employees, non-professional employees, confidential employees, business office employees, managerial employees, guards and supervisors as defined by the Act.
",NA,NA,NA,36,2026-07-01,2026-07-01,"26-50",TRUE,"RC","Yes","SEIU Healthcare Minnesota & Iowa",1,"SEIU",0.9375,"Still Open",6
"18-RC-390106","Region 18, Minneapolis, Minnesota","Knife River",2026-07-06,2026-07-14,"Hutchinson","MN",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"18-RC-389870","Region 18, Minneapolis, Minnesota","Knife River Corporation - North Central",2026-07-02,2026-08-05,"Annandale","MN","A",2026-07-24,3,NA,"International Brotherhood of Teamsters, Local 120",3,NA,NA,NA,NA,0,3,NA,NA,NA,"International Brotherhood of Teamsters, Local 120","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time drivers employed by the Employer at its Annandale, Minnesota facility. 

Excluded: All other employees, managerial employees, clerical employees, guards, and supervisors as defined in the Act.",NA,NA,NA,22,2026-07-01,2026-07-01,"<5",TRUE,"RC","Yes","International Brotherhood of Teamsters, Local 120",1,"Teamsters",1,"Yes",0
"18-RC-389924","Region 18, Minneapolis, Minnesota","Metropolitan Transportation Network, Inc.",2026-07-01,NA,"Fridley","MN",NA,NA,40,NA,"Teamsters Local 120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","Teamsters Local 120",1,"Teamsters",NA,"Still Open",NA
