"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"15-RC-387492","Region 15, New Orleans, Louisiana","Gloster Forest Products, LLC",2026-05-21,2026-07-07,"Gloster","MS","A",2026-06-26,131,1,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC",59,NA,NA,NA,NA,51,110,NA,5,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:
All full-time and regular part-time production and maintenance employees employed by the Employer at its Gloster, MS facility.

EXCLUDED:
All other employees, temporary employees, agency and joint employees, office clerical and professional employees, guards, and supervisors as defined in the Act.",NA,NA,NA,36,2026-04-01,2026-04-01,"101-500",TRUE,"RC","Yes","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC",1,"USW",0.536363636363636,"Yes",21
"15-RC-375035","Region 15, New Orleans, Louisiana","Spire Mississippi, Inc.",2025-11-19,2025-12-19,"Hattiesburg","MS",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2025-10-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"15-RC-368079","Region 15, New Orleans, Louisiana","Marmic Fire & Safety Co., Inc.",2025-06-24,2025-08-11,"Gulfport","MS","A",2025-08-01,5,NA,"United Association of Apprentices and Journeymen of the Plumbing and Pipefitting Industry of the U.S. and Canada, Road Sprinkler Fitters Local 669",0,NA,NA,NA,NA,5,5,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full time and regular part time Helper Sprinkler Technicians, Sprinkler Technicians, Sprinkler Superintendents, and Sprinkler Service Managers employed out of the Employer’s Gulfport, MS,location.

Excluded: All other employees, including administrative, confidential, office clerical, guards, supervisors, and managers as defined by the Act.",NA,NA,NA,38,2025-07-01,2025-04-01,"<5",TRUE,"RC","Yes","United Association of Apprentices and Journeymen of the Plumbing and Pipefitting Industry of the U.S. and Canada, Road Sprinkler Fitters Local 669",1,"UA",0,"No",0
"15-RC-366826","Region 15, New Orleans, Louisiana","Starbucks Corporation",2025-06-03,2025-07-09,"Ridgeland","MS","A",2025-07-01,17,NA,"Workers United a/w SEIU",14,NA,NA,NA,NA,0,14,NA,NA,NA,"Workers United a/w SEIU","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Baristas and Shift Supervisors employed by the Employer at its facility located at 832 E County Line Road, Ridgeland, Mississippi 39157. 

Excluded: All store managers, assistant store managers, office clericals, guards, professional employees and supervisors as defined by the Act, and all other employees.",NA,NA,NA,28,2025-07-01,2025-04-01,"11-25",TRUE,"RC","Yes","Workers United a/w SEIU",1,"WU",1,"Yes",3
"15-RC-360159","Region 15, New Orleans, Louisiana","Entergy",2025-02-12,2025-04-23,"Jackson","MS","A",2025-04-07,26,NA,"International Brotherhood of Electrical Workers Local #605",14,NA,NA,NA,NA,8,22,NA,NA,NA,"International Brotherhood of Electrical Workers Local #605","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:  All Clerks-Specialty I, Clerks-Specialty II, and Clerks-Specialty Sr employed by the Employer at the following facilities:

520 Highway 51 South, Brookhaven, MS 39601
100 W. Sunflower Road, Cleveland, MS 38732
905 Highway 80 West, Clinton, MS 39056
641 Main Street, Greenville, MS 38701
57 W Nat G. Troutt Road, Grenada, MS 38901
96 Highway 51 North, Hernando, MS 38632
234 Second Street, Indianola, MS 38751
901 Larson Street, Jackson, MS 39202
740 E South Street, Jackson, MS 39201
720 Highway 35 Bypass, Kosciusko, MS 39090
1165 Highway 51 North, Madison, MS 39130
127 N Main Street, Magee, MS 39111
300 N Broadway Avenue, McComb, MS 39648
247 D’Everaux Drive, Natchez, MS 39121
5741 Highway 80 East, Pearl, MS 39208
114 N Center Street, Senatobia, MS 38668
3619 Josephine Road, Tunica, MS 38676
1450 Highway 61 North, Vicksburg, MS 39180

EXCLUDED: All other employees, managers, guards, and supervisors as defined in the Act.",NA,NA,NA,54,2025-04-01,2025-01-01,"26-50",TRUE,"RC","Yes","International Brotherhood of Electrical Workers Local #605",1,"IBEW",0.636363636363636,"Yes",4
"15-RC-350428","Region 15, New Orleans, Louisiana","CAE USA, Inc.",2024-09-13,2024-10-17,"Meridian","MS","A",2024-10-09,3,NA,"International Association of Machinists and Aerospace Workers, AFL-CIO",3,NA,NA,NA,NA,0,3,NA,NA,NA,"International Association of Machinists and Aerospace Workers, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees, including Simulator Pilot Instructors and Simulator Technicians working at Key Field ANGB, Meridian, Mississippi on the KC-135 program for CAE USA, Inc.
Excluded: Office clerical employees, professional employees, site managers, managerial employees, guards, and supervisors, as defined in the Act.",NA,NA,NA,26,2024-10-01,2024-07-01,"<5",TRUE,"RC","Yes","International Association of Machinists and Aerospace Workers, AFL-CIO",1,"IAM",1,"Yes",0
"15-RD-348781","Region 15, New Orleans, Louisiana","AT&T Mobility Services LLC",2024-08-21,2025-01-30,"Ridgeland","MS",NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dismissal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2024-07-01,"26-50",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"15-RM-343654","Region 15, New Orleans, Louisiana","Peco Foods, Inc.",2024-06-05,2024-11-07,"West Point","MS",NA,NA,619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dismissal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2024-04-01,"500>",TRUE,"RM","No",NA,0,"Uncoded",NA,"Other",NA
"15-RC-343607","Region 15, New Orleans, Louisiana","Starbucks Corporation",2024-06-04,2024-06-26,"Jackson","MS","A",2024-06-18,14,NA,"Workers United Southern Regional Joint Board",12,NA,NA,NA,NA,0,12,NA,NA,NA,"Workers United Southern Regional Joint Board","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Baristas and Shift Supervisors employed by the Employer at its facility located at 1220 E Northside Dr., Maywood Mart, Jackson, MS 39211.
Excluded: All store managers, assistant store managers, office clericals, guards, professional employees and supervisors as defined by the Act, and all other employees.",NA,NA,NA,14,2024-04-01,2024-04-01,"11-25",TRUE,"RC","Yes","Workers United Southern Regional Joint Board",1,"WU",1,"Yes",2
"15-RC-343034","Region 15, New Orleans, Louisiana","Peco Foods, Inc.",2024-05-28,2024-10-01,"West Point","MS","A",2024-08-29,643,1,"United Food and Commercial Workers International Union Local 1529",278,NA,NA,NA,NA,49,327,NA,23,NA,"United Food and Commercial Workers International Union Local 1529","Rerun","Single Labor Organization","Dismissal Non-adjusted","Closed","Included: All full-time and regular part-time production and maintenance employees, quality assurance technicians, warehouse employees, and shipping and receiving employees. 

Excluded: Official clerical employees, guards, professional employees, and supervisors as defined in the Act.",NA,NA,NA,93,2024-07-01,2024-04-01,"500>",TRUE,"RC","Yes","United Food and Commercial Workers International Union Local 1529",1,"UFCW",0.850152905198777,"Other",316
