"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"14-RC-392630","Region 14, Saint Louis, Missouri","Good Day Farm D/B/A Greenlight Dispensary",2026-08-11,NA,"Joplin","MO",NA,NA,17,NA,"United Food and Commercial Workers Local 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","United Food and Commercial Workers Local 2",1,"UFCW",NA,"Still Open",NA
"14-RD-392219","Region 14, Saint Louis, Missouri","Aramark",2026-08-04,NA,"Saint Joseph","MO",NA,NA,33,NA,"UNITE HERE Local 74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RD","No","UNITE HERE Local 74",1,"UNITE HERE",NA,"Still Open",NA
"14-RC-391928","Region 14, Saint Louis, Missouri","Ford Motor Company",2026-07-30,NA,"Kansas City","MO",NA,NA,1,NA,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America, UAW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","International Union, United Automobile, Aerospace and Agricultural Implement Workers of America, UAW",1,"UAW",NA,"Still Open",NA
"14-RC-391610","Region 14, Saint Louis, Missouri","Shuttlewagon, Inc.",2026-07-27,NA,"Kansas City","MO",NA,NA,41,NA,"International Union of Painters and Allied Trades, (IUPAT) District Council 3 Local Union 820",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","International Union of Painters and Allied Trades, (IUPAT) District Council 3 Local Union 820",1,"IUPAT",NA,"Still Open",NA
"14-RC-391327","Region 14, Saint Louis, Missouri","Ford Motor Company",2026-07-23,2026-07-30,"Kansas City","MO",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"14-RC-391107","Region 14, Saint Louis, Missouri","Nickell Electric Company, Inc.",2026-07-21,NA,"Greenwood","MO",NA,NA,8,NA,"International Brotherhood of Electrical Workers, Local No. 124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","International Brotherhood of Electrical Workers, Local No. 124",1,"IBEW",NA,"Still Open",NA
"14-RM-391046","Region 14, Saint Louis, Missouri","Woodard & Curran, Inc.",2026-07-20,NA,"Defiance","MO",NA,NA,7,NA,"International Union of Operating Engineers, Local 148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RM","No","International Union of Operating Engineers, Local 148",1,"IUOE",NA,"Still Open",NA
"14-RD-390664","Region 14, Saint Louis, Missouri","Missouri Red Quarries, Inc.",2026-07-14,NA,"Ironton","MO",NA,NA,9,NA,"Laborer' International Union of North America, Local No. 830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RD","No","Laborer' International Union of North America, Local No. 830",0,"Uncoded",NA,"Still Open",NA
"14-RC-390166","Region 14, Saint Louis, Missouri","Herzog Transit Services, Inc.",2026-07-07,NA,"Kansas City","MO","A",2026-08-13,69,NA,"International Brotherhood of Teamsters, Local No. 955",41,NA,NA,NA,NA,11,52,NA,1,NA,"International Brotherhood of Teamsters, Local No. 955","Initial","Single Labor Organization",NA,"Open","Included: All full-time and regular part—time operators, technicians, laborers, leads, and
service maintainers employed by the Employer from its facility located at 600 East 3“! Street,
Kansas City, Missouri.
Excluded: Office clerical employees, professional employees, confidential employees,
guards and supervisors as defined in the Act, and all other employees.",NA,NA,NA,37,2026-07-01,2026-07-01,"51-100",TRUE,"RC","Yes","International Brotherhood of Teamsters, Local No. 955",1,"Teamsters",0.788461538461538,"Still Open",17
"14-RC-390006","Region 14, Saint Louis, Missouri","Clean Harbors Environmental Services, Inc.",2026-07-06,NA,"Independence","MO","A",2026-08-14,13,NA,"International Brotherhood of Teamsters, Local No. 541",6,NA,NA,NA,NA,6,12,NA,1,"Y","International Brotherhood of Teamsters, Local No. 541","Initial","Single Labor Organization",NA,"Open","Included: All full-time and regular part-time Class A CDL Drivers, Class A CDL Liquid
Drivers, Class B CDL Drivers, Retail Technician/CDL, Van/Flatbed Operators, Wet Vac Trailer Operators, Transporter Trailer Operator, CleanPack Chemists, and CleanPack Chemist/CDLs employed by the Employer at the Independence, Missouri location.

Excluded: Administrator, District Administrator, National Transportation Driver Tankers,
Truck to Truck Technicians, office clerical employees, professional employees, confidential
employees, guards and supervisors as defined in the Act and all other employees.",NA,NA,NA,39,2026-07-01,2026-07-01,"11-25",TRUE,"RC","Yes","International Brotherhood of Teamsters, Local No. 541",1,"Teamsters",0.5,"Still Open",1
