"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"19-RC-389884","Region 19, Seattle, Washington","St. Patrick Hospital",2026-07-01,2026-08-13,"Missoula","MT","B",2026-08-05,224,NA,"SEIU Healthcare 1199NW, affiliated with AFL-CIO",123,NA,NA,NA,NA,56,179,NA,NA,NA,"SEIU Healthcare 1199NW, affiliated with AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Unit A (Service Employees)  

Included: All full-time, part-time, and per diem service employees employed by the Employer at St. Patrick Hospital including the classifications: associate administrative coordinator, associate anesthesia technician, associate certified nursing assistant, associate clerical assistant, associate laboratory assistant, associate pharmacy technician, associate radiology technologist, associate operating room assistant, associate sterile processing technician, central supply distribution technician, certified nursing assistant, clinical assistant, cook, courier, diagnostic imaging assistant, emergency technician, EMT basic, endoscopic technician, environmental services technician, financial services cashier, food service attendant, groundskeeper, laboratory assistant, lead environmental services technician, lead sterile processing technician, materials coordinator, musical thanatologist, nutrition attendant, patient admissions coordinators, patient placement coordinator, procedural scheduler, rehabilitation aide, senior certified nursing assistant, senior emergency technician, senior endoscopic technician, senior environmental services technician, senior laboratory assistant, senior patient liaison, senior patient scheduler, senior sterile processing technician, senior telemetry technician, sterile processing technician, nursing assistant student, and utilization review specialist.

Excluded: All guards, supervisors, confidential employees, employees in other bargaining units, and all other employees, including physicians, RNs, professionals, skilled maintenance, and office clerical, employed by the employer.","Unit B (Technical Employees) 

Included: All full-time, part-time, and per diem technical employees employed by the Employer at St. Patrick Hospital including the classifications: , associate EEG technician, associate Electrophysiology technician, associate respiratory care practitioner, associate surgical technician, associate Ultrasound technologist, cardiovascular technologist, CT technologist, Echocardiograph technologist, EKG technician, Electrophysiology technician, lead cardiovascular technologist, lead Electrophysiology technician, lead pharmacy buyer, lead pharmacy program specialist, lead pharmacy technician, lead respiratory care practitioner, lead surgical technician, lead surgical technician first assistant, LPN/LVN, mammography technologist, medical laboratory technician, MRI technologist, pharmacy technician, polysomnographer, physical therapy assistant, radiology interventional technologist, radiology technologist, respiratory care practitioner, senior cardiovascular technologist, senior CT technologist, senior echocardiograph technologist, senior EEG technician, senior LPN/LVN, senior mammography technologist, senior medical laboratory technician, senior MRI technologist, senior nuclear medicine technologist, senior pharmacy technician, senior radiology interventional technologist, senior radiology technologist, senior respiratory care practitioner, senior surgical technician, senior ultrasound technologist, surgical technician, surgical technician first assistant, and ultrasound technologist.  

Excluded: All guards, supervisors, confidential employees, employees in other bargaining units, and all other employees including physicians, RNs, professionals, skilled maintenance, service, and office clerical employed by the employer.","Unit B (Technical Employees) 

Included: All full-time, part-time, and per diem technical employees employed by the Employer at St. Patrick Hospital including the classifications: , associate EEG technician, associate Electrophysiology technician, associate respiratory care practitioner, associate surgical technician, associate Ultrasound technologist, cardiovascular technologist, CT technologist, Echocardiograph technologist, EKG technician, Electrophysiology technician, lead cardiovascular technologist, lead Electrophysiology technician, lead pharmacy buyer, lead pharmacy program specialist, lead pharmacy technician, lead respiratory care practitioner, lead surgical technician, lead surgical technician first assistant, LPN/LVN, mammography technologist, medical laboratory technician, MRI technologist, pharmacy technician, polysomnographer, physical therapy assistant, radiology interventional technologist, radiology technologist, respiratory care practitioner, senior cardiovascular technologist, senior CT technologist, senior echocardiograph technologist, senior EEG technician, senior LPN/LVN, senior mammography technologist, senior medical laboratory technician, senior MRI technologist, senior nuclear medicine technologist, senior pharmacy technician, senior radiology interventional technologist, senior radiology technologist, senior respiratory care practitioner, senior surgical technician, senior ultrasound technologist, surgical technician, surgical technician first assistant, and ultrasound technologist.  

Excluded: All guards, supervisors, confidential employees, employees in other bargaining units, and all other employees including physicians, RNs, professionals, skilled maintenance, service, and office clerical employed by the employer.","Unit B (Technical Employees) 

Included: All full-time, part-time, and per diem technical employees employed by the Employer at St. Patrick Hospital including the classifications: , associate EEG technician, associate Electrophysiology technician, associate respiratory care practitioner, associate surgical technician, associate Ultrasound technologist, cardiovascular technologist, CT technologist, Echocardiograph technologist, EKG technician, Electrophysiology technician, lead cardiovascular technologist, lead Electrophysiology technician, lead pharmacy buyer, lead pharmacy program specialist, lead pharmacy technician, lead respiratory care practitioner, lead surgical technician, lead surgical technician first assistant, LPN/LVN, mammography technologist, medical laboratory technician, MRI technologist, pharmacy technician, polysomnographer, physical therapy assistant, radiology interventional technologist, radiology technologist, respiratory care practitioner, senior cardiovascular technologist, senior CT technologist, senior echocardiograph technologist, senior EEG technician, senior LPN/LVN, senior mammography technologist, senior medical laboratory technician, senior MRI technologist, senior nuclear medicine technologist, senior pharmacy technician, senior radiology interventional technologist, senior radiology technologist, senior respiratory care practitioner, senior surgical technician, senior ultrasound technologist, surgical technician, surgical technician first assistant, and ultrasound technologist.  

Excluded: All guards, supervisors, confidential employees, employees in other bargaining units, and all other employees including physicians, RNs, professionals, skilled maintenance, service, and office clerical employed by the employer.",35,2026-07-01,2026-07-01,"101-500",TRUE,"RC","Yes","SEIU Healthcare 1199NW, affiliated with AFL-CIO",1,"SEIU",0.687150837988827,"Yes",45
"19-RC-389884","Region 19, Seattle, Washington","St. Patrick Hospital",2026-07-01,2026-08-13,"Missoula","MT","A",2026-08-05,463,NA,"SEIU Healthcare 1199NW, affiliated with AFL-CIO",323,NA,NA,NA,NA,46,369,NA,NA,NA,"SEIU Healthcare 1199NW, affiliated with AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Unit A (Service Employees)  

Included: All full-time, part-time, and per diem service employees employed by the Employer at St. Patrick Hospital including the classifications: associate administrative coordinator, associate anesthesia technician, associate certified nursing assistant, associate clerical assistant, associate laboratory assistant, associate pharmacy technician, associate radiology technologist, associate operating room assistant, associate sterile processing technician, central supply distribution technician, certified nursing assistant, clinical assistant, cook, courier, diagnostic imaging assistant, emergency technician, EMT basic, endoscopic technician, environmental services technician, financial services cashier, food service attendant, groundskeeper, laboratory assistant, lead environmental services technician, lead sterile processing technician, materials coordinator, musical thanatologist, nutrition attendant, patient admissions coordinators, patient placement coordinator, procedural scheduler, rehabilitation aide, senior certified nursing assistant, senior emergency technician, senior endoscopic technician, senior environmental services technician, senior laboratory assistant, senior patient liaison, senior patient scheduler, senior sterile processing technician, senior telemetry technician, sterile processing technician, nursing assistant student, and utilization review specialist.

Excluded: All guards, supervisors, confidential employees, employees in other bargaining units, and all other employees, including physicians, RNs, professionals, skilled maintenance, and office clerical, employed by the employer.","Unit B (Technical Employees) 

Included: All full-time, part-time, and per diem technical employees employed by the Employer at St. Patrick Hospital including the classifications: , associate EEG technician, associate Electrophysiology technician, associate respiratory care practitioner, associate surgical technician, associate Ultrasound technologist, cardiovascular technologist, CT technologist, Echocardiograph technologist, EKG technician, Electrophysiology technician, lead cardiovascular technologist, lead Electrophysiology technician, lead pharmacy buyer, lead pharmacy program specialist, lead pharmacy technician, lead respiratory care practitioner, lead surgical technician, lead surgical technician first assistant, LPN/LVN, mammography technologist, medical laboratory technician, MRI technologist, pharmacy technician, polysomnographer, physical therapy assistant, radiology interventional technologist, radiology technologist, respiratory care practitioner, senior cardiovascular technologist, senior CT technologist, senior echocardiograph technologist, senior EEG technician, senior LPN/LVN, senior mammography technologist, senior medical laboratory technician, senior MRI technologist, senior nuclear medicine technologist, senior pharmacy technician, senior radiology interventional technologist, senior radiology technologist, senior respiratory care practitioner, senior surgical technician, senior ultrasound technologist, surgical technician, surgical technician first assistant, and ultrasound technologist.  

Excluded: All guards, supervisors, confidential employees, employees in other bargaining units, and all other employees including physicians, RNs, professionals, skilled maintenance, service, and office clerical employed by the employer.","Unit B (Technical Employees) 

Included: All full-time, part-time, and per diem technical employees employed by the Employer at St. Patrick Hospital including the classifications: , associate EEG technician, associate Electrophysiology technician, associate respiratory care practitioner, associate surgical technician, associate Ultrasound technologist, cardiovascular technologist, CT technologist, Echocardiograph technologist, EKG technician, Electrophysiology technician, lead cardiovascular technologist, lead Electrophysiology technician, lead pharmacy buyer, lead pharmacy program specialist, lead pharmacy technician, lead respiratory care practitioner, lead surgical technician, lead surgical technician first assistant, LPN/LVN, mammography technologist, medical laboratory technician, MRI technologist, pharmacy technician, polysomnographer, physical therapy assistant, radiology interventional technologist, radiology technologist, respiratory care practitioner, senior cardiovascular technologist, senior CT technologist, senior echocardiograph technologist, senior EEG technician, senior LPN/LVN, senior mammography technologist, senior medical laboratory technician, senior MRI technologist, senior nuclear medicine technologist, senior pharmacy technician, senior radiology interventional technologist, senior radiology technologist, senior respiratory care practitioner, senior surgical technician, senior ultrasound technologist, surgical technician, surgical technician first assistant, and ultrasound technologist.  

Excluded: All guards, supervisors, confidential employees, employees in other bargaining units, and all other employees including physicians, RNs, professionals, skilled maintenance, service, and office clerical employed by the employer.","Unit B (Technical Employees) 

Included: All full-time, part-time, and per diem technical employees employed by the Employer at St. Patrick Hospital including the classifications: , associate EEG technician, associate Electrophysiology technician, associate respiratory care practitioner, associate surgical technician, associate Ultrasound technologist, cardiovascular technologist, CT technologist, Echocardiograph technologist, EKG technician, Electrophysiology technician, lead cardiovascular technologist, lead Electrophysiology technician, lead pharmacy buyer, lead pharmacy program specialist, lead pharmacy technician, lead respiratory care practitioner, lead surgical technician, lead surgical technician first assistant, LPN/LVN, mammography technologist, medical laboratory technician, MRI technologist, pharmacy technician, polysomnographer, physical therapy assistant, radiology interventional technologist, radiology technologist, respiratory care practitioner, senior cardiovascular technologist, senior CT technologist, senior echocardiograph technologist, senior EEG technician, senior LPN/LVN, senior mammography technologist, senior medical laboratory technician, senior MRI technologist, senior nuclear medicine technologist, senior pharmacy technician, senior radiology interventional technologist, senior radiology technologist, senior respiratory care practitioner, senior surgical technician, senior ultrasound technologist, surgical technician, surgical technician first assistant, and ultrasound technologist.  

Excluded: All guards, supervisors, confidential employees, employees in other bargaining units, and all other employees including physicians, RNs, professionals, skilled maintenance, service, and office clerical employed by the employer.",35,2026-07-01,2026-07-01,"101-500",TRUE,"RC","Yes","SEIU Healthcare 1199NW, affiliated with AFL-CIO",1,"SEIU",0.875338753387534,"Yes",94
"19-RM-386179","Region 19, Seattle, Washington","Winter Sports, Inc. d/b/a Whitefish Mountain Resort",2026-05-01,NA,"Whitefish","MT",NA,NA,2,NA,"Communications Workers of America, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"<5",TRUE,"RM","No","Communications Workers of America, AFL-CIO",1,"CWA",NA,"Still Open",NA
"19-RC-384772","Region 19, Seattle, Washington","Missoula Emergency Services Inc",2026-04-14,2026-05-26,"Missoula","MT","A",2026-05-15,105,NA,"International Brotherhood of Teamsters, Local 2",35,NA,NA,NA,NA,49,84,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED: All full-time and part-time EMTs (including EMT-B & EMT-P), AEMTs, Paramedics, and Critical Care Paramedics, including shift supervisors, employed by the Employer out of its Missoula facilities. 
EXCLUDED: Office clerical, professional, and managerial employees, and guards and supervisors as defined in the Act.",NA,NA,NA,31,2026-04-01,2026-04-01,"101-500",TRUE,"RC","Yes","International Brotherhood of Teamsters, Local 2",1,"Teamsters",0.416666666666667,"No",21
"27-RC-383977","Region 27, Denver, Colorado","Summit Fire & Security LLC",2026-04-01,NA,"Billings","MT","A",2026-04-15,11,NA,"Road Sprinkler Fitters Local Union 669 a/w United Association of Journeymen and Apprentices of the Plumber and Pipefitting Industry of the United States and Canada",2,NA,NA,NA,NA,6,10,NA,2,NA,NA,"Initial","Single Labor Organization",NA,"Open","INCLUDED: All full-time and regular part-time Sprinkler Fitters employed by the Employer at its facility located at 3004 1st Avenue S, Billings, MT 59101 engaged primarily or exclusively in the installation, maintenance, and repair of the fire sprinkler systems, including the unloading, handling by hand or with power equipment, and installation of all piping or tubing, appurtenances, and equipment pertaining thereto, including both overhead and underground water mains, fire hydrants, and hydrant mains, standpipes, and hose connections to sprinkler systems, sprinkler tank heaters, and air lines used in connection with fire sprinkler systems, but excluding steam fire protection systems and excluding the inspection or testing of fire protection systems. 

EXCLUDED: All other employees, including all field technicians not primarily engaged in the scope of work described above (for example, technicians handling inspections, alarm systems, surveillance systems, air sampling smoke detection systems, dry chemical systems, CO2 systems, clean agent systems, and pre-engineered systems), all office clerical employees, confidential employees, managers, guards, and supervisors, as defined in the Act.",NA,NA,NA,14,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","Road Sprinkler Fitters Local Union 669 a/w United Association of Journeymen and Apprentices of the Plumber and Pipefitting Industry of the United States and Canada",1,"UA",0.25,"Still Open",3
"27-RC-383488","Region 27, Denver, Colorado","US Bakery/Franz",2026-03-24,2026-04-07,"Billings","MT",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-01-01,"<5",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"19-RC-380414","Region 19, Seattle, Washington","Butte Primary Clinics (Intermountain Health)",2026-02-04,2026-02-10,"Butte","MT",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-01-01,"6-10",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"27-RD-378868","Region 27, Denver, Colorado","Mountain West Holding Company",2026-01-13,2026-04-09,"Butte","MT","A",2026-03-30,155,6,"Montana Laborers Local No. 1686, affiliated with Laborers International Union of North America, AFL-CIO",19,NA,NA,NA,NA,62,84,NA,3,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time employees performing work within the jurisdiction of 
Montana Laborers Local 1686, including only employees employed in the classifications listed in the 
Wage & Benefit Addendum of the 2012-2015 collective-bargaining agreement between the Employer and 
Montana Laborers Local 1686, who are employed by the Employer in or out of its facilities located 
in Billings, Butte, Bozeman, and Missoula, Montana.
Excluded: Office clerical employees, engineers, managers, guards, professional
employees and supervisors as defined in the Act, and all other employees.",NA,NA,NA,76,2026-01-01,2026-01-01,"101-500",TRUE,"RD","Yes","Montana Laborers Local No. 1686, affiliated with Laborers International Union of North America, AFL-CIO",1,"LIUNA",0.234567901234568,"No",74
"27-RC-377810","Region 27, Denver, Colorado","Starbucks Corporation",2025-12-23,2026-02-11,"Billings","MT","A",2026-01-29,15,NA,"Workers United a/w Service Employees International Union, AFL-CIO",12,NA,NA,NA,NA,1,13,NA,NA,NA,"Workers United a/w Service Employees International Union, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Baristas and Shift Supervisors employed by
the Employer at Store No. 26010 located in Billings, Montana.

Excluded: All Store Managers, Assistant Store Managers, office clerical employees,
confidential employees, managerial employees, professional employees, guards and
supervisors, as defined in the Act.",NA,NA,NA,37,2026-01-01,2025-10-01,"11-25",TRUE,"RC","Yes","Workers United a/w Service Employees International Union, AFL-CIO",1,"WU",0.923076923076923,"Yes",2
"19-RD-376865","Region 19, Seattle, Washington","St. John's Hospital, d/b/a Cabinet Peaks Medical Center",2025-12-10,2026-03-27,"Libby","MT","A",2026-03-19,58,NA,"Montana Nurses Association, American Federation of Teachers, AFL-CIO",41,NA,NA,NA,NA,10,52,NA,1,NA,"Montana Nurses Association, American Federation of Teachers, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All registered nurses employed as staff nurses by the Employer at its Libby, Montana facility. 
Excluded: All other employees, Chief Nursing Officer, Discharge Coordinator, Nursing Shift Supervisors/Managers, Operating Room Manager, advanced practices nurses (i.e., CRNA, FNP), and guards and supervisors as defined in the Act.",NA,NA,NA,99,2026-01-01,2025-10-01,"51-100",TRUE,"RD","Yes","Montana Nurses Association, American Federation of Teachers, AFL-CIO",1,"AFT",0.803921568627451,"Yes",7
