"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"14-RC-383176","Region 14, Saint Louis, Missouri","ROAM Share d/b/a Heartland Bikeshare",2026-03-19,2026-04-01,"Omaha","NE",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-01-01,"<5",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"14-RC-374659","Region 14, Saint Louis, Missouri","Sysco Lincoln, Inc.",2025-11-17,2026-03-19,"Lincoln","NE","A",2026-03-09,139,NA,"International Brotherhood of Teamsters, Local Union No. 554",53,NA,NA,NA,NA,73,126,NA,3,NA,"International Brotherhood of Teamsters, Local Union No. 554","Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time Delivery Drivers, Class B Drivers, Shuttle Drivers, Special Delivery Drivers, Delivery Driver Helpers, and Driver Trainees employed by the Employer at its Lincoln Facility located at 900 Kingbird Road, Lincoln, Nebraska and its domiciles located at 605 North Cottonwood Street, North Platte, Nebraska; 2302 South North Road, Grand Island, Nebraska; 324 389th Street West, Sioux City, Iowa; 2301 Veterans Memorial Highway, Council Bluffs, Iowa; and 27084 Mueller Place, Sioux Falls, South Dakota, but EXCLUDING all other employees including office clerical employees, professional employees, and guards and supervisors as defined in the Act.",NA,NA,NA,112,2026-01-01,2025-10-01,"101-500",TRUE,"RC","Yes","International Brotherhood of Teamsters, Local Union No. 554",1,"Teamsters",0.420634920634921,"No",13
"14-RC-373147","Region 14, Saint Louis, Missouri","J&G Dirt Works LLC",2025-09-11,2025-12-31,"Riverdale","NE","A",2025-12-16,24,NA,"Steamfitters and Plumbers Local Union No. 464",5,NA,NA,NA,NA,14,19,NA,1,NA,"Steamfitters and Plumbers Local Union No. 464","Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time Operators, Drillers, Laborers, Tappers, Stabbers, Swampers, Locaters, Welders, Fusers, Fitters, Plumbers and Foremen employed by the Employer conducting gas pipeline/distribution work in the State of Nebraska, but EXCLUDING office clerical employees, professional employees, managerial employers, guards and supervisors as defined by the Act, and all other employees.",NA,NA,NA,96,2025-10-01,2025-07-01,"11-25",TRUE,"RC","Yes","Steamfitters and Plumbers Local Union No. 464",1,"UA",0.263157894736842,"No",5
"14-RD-369907","Region 14, Saint Louis, Missouri","Allied Construction Services, Inc. d/b/a Color, Inc.",2025-07-23,2025-08-29,"Papillion","NE",NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2025-07-01,"26-50",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"14-RC-369053","Region 14, Saint Louis, Missouri","FireGuard, LLC",2025-07-10,2025-08-29,"Omaha","NE","A",2025-08-20,4,NA,"Road Sprinkler Fitters Local Union No. 669, U.A., AFL-CIO",4,NA,NA,NA,NA,0,4,NA,NA,NA,"Road Sprinkler Fitters Local Union No. 669, U.A., AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time sprinkler fitters employed by the Employer out of its office located at 4404 South 76th Circle, Omaha, Nebraska 68127, but EXCLUDING all other employees including office clerical employees, professional employees, managerial employees, guards and supervisors as defined by the Act.",NA,NA,NA,41,2025-07-01,2025-07-01,"<5",TRUE,"RC","Yes","Road Sprinkler Fitters Local Union No. 669, U.A., AFL-CIO",1,"UA",1,"Yes",0
"14-RD-365781","Region 14, Saint Louis, Missouri","Ardent Mills, LLC",2025-05-16,2025-07-11,"Omaha","NE","A",2025-06-12,26,1,"Local 50G, Bakery, Confectionery, Tobacco Workers and Grain Millers International Union (BCTGM), AFL-CIO, CLC",21,NA,NA,NA,NA,2,23,NA,NA,NA,"Local 50G, Bakery, Confectionery, Tobacco Workers and Grain Millers International Union (BCTGM), AFL-CIO, CLC","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time employees employed by the Employer at its facility located at 1521 North 16th Street, Omaha, Nebraska, but EXCLUDING office clerical employees, janitors, lab room employees, buyers, salesmen, professional employees, guards and supervisors as defined in the Act.",NA,NA,NA,27,2025-04-01,2025-04-01,"26-50",TRUE,"RD","Yes","Local 50G, Bakery, Confectionery, Tobacco Workers and Grain Millers International Union (BCTGM), AFL-CIO, CLC",1,"BCTGM",0.91304347826087,"Yes",3
"14-RC-360942","Region 14, Saint Louis, Missouri","Union for Contemporary Art",2025-02-25,2025-03-28,"Omaha","NE",NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2025-01-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"14-RC-352950","Region 14, Saint Louis, Missouri","Graham Tire Co. Of Kearney, LLC",2024-10-18,2024-11-07,"Kearney","NE",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2024-10-01,"6-10",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"14-RD-345542","Region 14, Saint Louis, Missouri","The Oilgear Company",2024-07-02,2024-08-16,"Fremont","NE","A",2024-08-07,45,NA,"IAMAW, Local Lodge 31, AFL-CIO",17,NA,NA,NA,NA,25,42,NA,NA,NA,"IAMAW, Local Lodge 31, AFL-CIO","Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time production and maintenance employees, including hourly team leaders and the shipping and receiving employees employed by the Employer at its facility located at 905 South Downing Street, Fremont, Nebraska but EXCLUDING office clerical employees, industrial engineering employees, professional employees, guards and supervisors as defined in the Act, and all other employees.",NA,NA,NA,36,2024-07-01,2024-07-01,"26-50",TRUE,"RD","Yes","IAMAW, Local Lodge 31, AFL-CIO",1,"IAM",0.404761904761905,"No",3
"14-RC-339797","Region 14, Saint Louis, Missouri","Associated Wholesale Grocers",2024-04-11,2024-04-17,"Norfolk","NE",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2024-04-01,"6-10",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"14-RM-332731","Region 14, Saint Louis, Missouri","Starbucks Corporation",2023-12-29,2024-02-26,"Omaha","NE",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dismissal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2023-10-01,"11-25",TRUE,"RM","No",NA,0,"Uncoded",NA,"Other",NA
"14-RC-332183","Region 14, Saint Louis, Missouri","Starbucks Corporation",2023-12-19,2024-02-09,"Omaha","NE","A",2024-01-29,14,NA,"Workers United/SEIU",10,NA,NA,NA,NA,1,11,NA,NA,NA,"Workers United/SEIU","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time hourly baristas and shift supervisors employed by the Employer at the Employer’s store located at 219 South 72nd Street, Crossroads Corner, Omaha, Nebraska, but EXCLUDING all Store Managers, Assistant Store Managers, professional employees, office clerical employees, guards, and supervisors as defined by the Act.",NA,NA,NA,41,2024-01-01,2023-10-01,"11-25",TRUE,"RC","Yes","Workers United/SEIU",1,"WU",0.909090909090909,"Yes",3
