"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"32-RC-392868","Region 32, Oakland, California","US Foods",2026-08-14,NA,"Reno","NV",NA,NA,4,NA,"Teamsters Local 533",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","Teamsters Local 533",1,"Teamsters",NA,"Still Open",NA
"32-RC-392605","Region 32, Oakland, California","Herc Rentals Inc.",2026-08-10,NA,"Sparks","NV",NA,NA,13,NA,"Operating Engineers Local Union No. 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Operating Engineers Local Union No. 3",1,"IUOE",NA,"Still Open",NA
"28-RC-392523","Region 28, Phoenix, Arizona","American Residential Services LLC d/b/a YES! Air Conditioning, Heating, Plumbing & Electric",2026-08-05,NA,"Las Vegas","NV",NA,NA,18,NA,"United Association of Journeymen and Apprentices of the Plumbing and Pipefitting Industry of the United States and Canada Local Union No. 525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","United Association of Journeymen and Apprentices of the Plumbing and Pipefitting Industry of the United States and Canada Local Union No. 525",0,"Uncoded",NA,"Still Open",NA
"32-RC-391332","Region 32, Oakland, California","Starbucks Corporation",2026-07-22,NA,"Reno","NV",NA,NA,16,NA,"Workers United",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Workers United",1,"WU",NA,"Still Open",NA
"28-RC-391053","Region 28, Phoenix, Arizona","Residential Fire Protection d/b/a On Guard Fire Protection",2026-07-20,NA,"Las Vegas","NV","A",2026-08-14,17,NA,"Road Sprinkler Fitters Local 669",6,NA,NA,NA,NA,8,21,NA,7,"Y",NA,"Initial","Single Labor Organization",NA,"Open","INCLUDED: All full-time and regular part-time Fire Sprinkler Foreman, Fire Sprinkler Fitter, Fire Sprinkler Installer, and Fire Sprinkler Apprentice employees employed by the Employer in the Employer's Commercial Division at its facility located in Las Vegas, Nevada.

EXCLUDED: All other employees, office clerical employees, professional employees, guards, and supervisors as defined in the Act.",NA,NA,NA,25,2026-07-01,2026-07-01,"11-25",TRUE,"RC","Yes","Road Sprinkler Fitters Local 669",1,"UA",0.428571428571429,"Still Open",3
"28-RC-390680","Region 28, Phoenix, Arizona","MSG The Sphere Las Vegas Sphere and Sphere Entertainment Co.",2026-07-13,NA,"Las Vegas","NV","A",2026-08-05,22,NA,"General Teamsters, Airline, Aerospace and Allied Employees, Warehousemen, Drivers, Construction, Rock and Sand, Local 986",18,NA,NA,NA,NA,1,20,NA,1,NA,"General Teamsters, Airline, Aerospace and Allied Employees, Warehousemen, Drivers, Construction, Rock and Sand, Local 986","Initial","Single Labor Organization",NA,"Open","INCLUDED: All full-time and regular part-time MSPH food and beverage warehouse workers employed by the Employer at its facility in Las Vegas, Nevada.

EXCLUDED: All other employees already represented by a labor organization, guards, managers, and supervisors as defined by the Act.",NA,NA,NA,23,2026-07-01,2026-07-01,"11-25",TRUE,"RC","Yes","General Teamsters, Airline, Aerospace and Allied Employees, Warehousemen, Drivers, Construction, Rock and Sand, Local 986",1,"Teamsters",0.947368421052632,"Still Open",3
"28-RC-390392","Region 28, Phoenix, Arizona","West Henderson Hospital",2026-07-06,2026-07-17,"Henderson","NV",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"32-RC-389996","Region 32, Oakland, California","Cognizant Technology Solutions U.S. Corporation",2026-07-02,2026-08-13,"Reno","NV","A",2026-08-05,47,NA,"Communications Workers of America, Local 9413",19,NA,NA,NA,NA,25,44,NA,NA,NA,"Communications Workers of America, Local 9413","Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time Process Engineers (PEs), Senior Process Engineers (SPEs), and Subject Matter Experts (SMEs). employed by the Employer at is facility located at 6840 Sierra Center Pkwy, Reno, NV. 89511; Excluding: all other employees, Sr. Director, Associate Director, Portfolio Delivery Leads, Managers, and Team Leads, independent contractors, office clerical employees, guards, and supervisors as defined by the Act.",NA,NA,NA,34,2026-07-01,2026-07-01,"26-50",TRUE,"RC","Yes","Communications Workers of America, Local 9413",1,"CWA",0.431818181818182,"No",3
"28-RC-389354","Region 28, Phoenix, Arizona","First Coast Security Solutions",2026-06-23,2026-07-02,"Las Vegas","NV",NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"32-RC-388149","Region 32, Oakland, California","Sierra Pacific Power Company d/b/a NV Energy",2026-06-02,2026-07-20,"Reno","NV","A",2026-07-09,7,NA,"International Brotherhood of Electrical Workers, Local Union 1245",5,NA,NA,NA,NA,2,7,NA,NA,NA,"International Brotherhood of Electrical Workers, Local Union 1245","Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time EIM Operations Analysts and Senior EIM Operations Analysts employed by the Employer at its facility located 6100 Neil Rd, Reno, NV 89511; excluding employees represented by other labor organizations, confidential employees, office clerical employees, guards, and supervisors as defined by the National Labor Relations Act.",NA,NA,NA,37,2026-07-01,2026-04-01,"6-10",TRUE,"RC","Yes","International Brotherhood of Electrical Workers, Local Union 1245",1,"IBEW",0.714285714285714,"No",0
"28-RC-387378","Region 28, Phoenix, Arizona","Core-Mark US, LLC",2026-05-18,2026-07-08,"Henderson","NV","A",2026-06-11,7,NA,"International Brotherhood of Teamsters, Local 14",7,NA,NA,NA,NA,0,7,NA,NA,NA,"International Brotherhood of Teamsters, Local 14","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time sanitation workers employed by the Employer in Henderson, Nevada.

EXCLUDED: All other employees, office clerical employees, professional employees, managerial employees, guards, and supervisors as defined in the Act.",NA,NA,NA,24,2026-04-01,2026-04-01,"6-10",TRUE,"RC","Yes","International Brotherhood of Teamsters, Local 14",1,"Teamsters",1,"Yes",0
"28-RC-386140","Region 28, Phoenix, Arizona","Venue Management Systems, LLC d/b/a UrVenue",2026-04-30,NA,"Las Vegas","NV","A",2026-05-29,14,NA,"Communications Workers of America",8,NA,NA,NA,NA,2,11,NA,1,NA,"Communications Workers of America","Initial","Single Labor Organization",NA,"Open","INCLUDED: All full-time and regular part-time design coordinator, onboarding experience manager, data analyst, data engineer, accounts receivable, senior implementation specialist, senior onboarding specialist, junior developer, product specialist, sales assistant, senior partnership manager, and client partner employed by the Employer at its facility in Las Vegas, Nevada.

Others permitted to vote: The parties have agreed that the Design Coordinator may vote in the election, but her ballot will be challenged because her eligibility has not been resolved. No decision has been made regarding whether the individual in this classification or group is included in, or excluded from, the bargaining unit. The eligibility or inclusion of this individual will be resolved following the election.

EXCLUDED: All other employees, temporary employees, independent contractors, guards and supervisors as defined in the Act.

",NA,NA,NA,29,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","Communications Workers of America",1,"CWA",0.8,"Still Open",4
"28-RC-385891","Region 28, Phoenix, Arizona","Mandalay Bay, LLC d/b/a Mandalay Bay Resort & Casino",2026-04-27,2026-06-02,"Las Vegas","NV","A",2026-05-15,125,NA,"General Teamsters, Airline, Aerospace and Allied Employees, Warehousemen, Drivers, Construction, Rock and Sand, Local 986",96,NA,NA,NA,NA,1,97,NA,NA,NA,"General Teamsters, Airline, Aerospace and Allied Employees, Warehousemen, Drivers, Construction, Rock and Sand, Local 986","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time, regular part-time, and on-call Front Desk Clerk, Head Cashier Clerk, and Front Desk Guest Service Representative employees employed by the Employer at its facilities, Mandalay Bay Resort & Casino, and W Las Vegas, located in Las Vegas, Nevada.

EXCLUDED: All other employees, employees already represented by a labor organization, office clerical employees, managerial employees, guards, and supervisors as defined in the Act.",NA,NA,NA,18,2026-04-01,2026-04-01,"101-500",TRUE,"RC","Yes","General Teamsters, Airline, Aerospace and Allied Employees, Warehousemen, Drivers, Construction, Rock and Sand, Local 986",1,"Teamsters",0.989690721649485,"Yes",28
"28-RD-385686","Region 28, Phoenix, Arizona","Sphere Entertainment Group, LLC",2026-04-27,2026-05-04,"Las Vegas","NV",NA,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"101-500",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"28-RC-385248","Region 28, Phoenix, Arizona","Venue Management Systems, LLC [UrVenue]",2026-04-17,2026-05-01,"Las Vegas","NV",NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
