"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"01-RC-392119","Region 01, Boston, Massachusetts","AmeriGas Propane, Inc.",2026-08-03,NA,"Londonderry","NH",NA,NA,5,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied & Industrial Service Workers International Union, AFL-CIO, CLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied & Industrial Service Workers International Union, AFL-CIO, CLC",1,"USW",NA,"Still Open",NA
"01-RC-386909","Region 01, Boston, Massachusetts","First Student, Inc.",2026-05-13,2026-07-06,"Belmont","NH","A",2026-06-25,1,NA,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 633",1,NA,NA,NA,NA,0,1,NA,NA,NA,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 633","Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time dispatchers employed by the Employer at its 592 Laconia Road, Belmont, New Hampshire facility.

Excluded: All office clerical employees, confidential employees, managers, guards, and professional employees and supervisors as defined in the Act.",NA,NA,NA,43,2026-04-01,2026-04-01,"<5",TRUE,"RC","Yes","INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 633",1,"Teamsters",1,"No",0
"01-RC-377851","Region 01, Boston, Massachusetts","Starbucks Corporation",2025-12-23,2026-01-30,"Salem","NH",NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2025-10-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"01-RC-370456","Region 01, Boston, Massachusetts","CONCORD HOSPITAL - LACONIA, CONCORD HOSPITAL - FRANKLIN",2025-07-31,2025-09-12,"Laconia","NH","A",2025-09-04,179,2,"STATE EMPLOYEES ASSOCIATION OF NEW HAMPSHIRE, (SEA), SERVICE EMPLOYEES INTERNATIONAL UNION (SEIU) LOCAL 1984",78,NA,NA,NA,NA,74,152,NA,3,NA,"STATE EMPLOYEES ASSOCIATION OF NEW HAMPSHIRE, (SEA), SERVICE EMPLOYEES INTERNATIONAL UNION (SEIU) LOCAL 1984","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, regular part-time and per diem registered nurses employed by Concord Hospital - Laconia and/or Concord Hospital – Franklin and working at their acute care hospitals in Laconia, NH and/or in Franklin, NH.

Excluded: Nurse Practitioners, Advanced Practice Providers, office clerical employees, confidential employees, managers, guards, nonprofessional employees and supervisors as defined in the Act.",NA,NA,NA,35,2025-07-01,2025-07-01,"101-500",TRUE,"RC","Yes","STATE EMPLOYEES ASSOCIATION OF NEW HAMPSHIRE, (SEA), SERVICE EMPLOYEES INTERNATIONAL UNION (SEIU) LOCAL 1984",1,"SEIU",0.513157894736842,"Yes",27
"01-RC-369551","Region 01, Boston, Massachusetts","Stericycle, Inc. d/b/a Shred-It",2025-07-18,2025-09-04,"Hudson","NH","A",2025-08-22,21,NA,"International Brotherhood of Teamsters Local 633",7,NA,NA,NA,NA,12,19,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time drivers employed by the Employer at its facility located at 1 Wall Street, Hudson, NH 03051.
Excluded: All dispatchers, warehouse employees, confidential employees, managers, guards, professional employees and supervisors as defined in the Act, and all other employees.",NA,NA,NA,35,2025-07-01,2025-07-01,"11-25",TRUE,"RC","Yes","International Brotherhood of Teamsters Local 633",1,"Teamsters",0.368421052631579,"No",2
"01-RC-361340","Region 01, Boston, Massachusetts","Garda CL New England, Inc.",2025-03-05,2025-04-11,"Manchester","NH","A",2025-04-03,25,NA,"United Federation LEOS-PBA",14,NA,NA,NA,NA,3,17,NA,NA,NA,"United Federation LEOS-PBA","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Drivers & Messengers, Lead Vault Custodians and Vault Custodians performing guard duties as defined in Section 9(B)(3) of the Act; but excluding all office clerical employees, confidential employees, managers, professional employees and supervisors as defined in the Act, and all other employees.",NA,NA,NA,29,2025-04-01,2025-01-01,"11-25",TRUE,"RC","Yes","United Federation LEOS-PBA",1,"United Federation LEOS-PBA",0.823529411764706,"Yes",8
"01-RC-361097","Region 01, Boston, Massachusetts","Starbucks Corporation",2025-02-28,2025-03-27,"Littleton","NH",NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2025-01-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"01-RC-360965","Region 01, Boston, Massachusetts","Mary Hitchcock Memorial Hospital d/b/a Hampstead Hospital",2025-02-26,2025-04-25,"Hampstead","NH","A",2025-04-17,39,21,"STATE EMPLOYEES ASSOCIATION OF NH, INC., SEIU LOCAL 1984",10,NA,NA,NA,NA,21,31,NA,6,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time Registered Nurses, Social Workers, Teachers, APRN Psychiatry II, Behavioral Analyst, Clinical Pharmacist and Milieu Supervisors employed by the Employer at its Hampstead, NH facility.

Excluded: All Human Resources personnel, Information Technology, Operations Managers, Facility Managers, CEO, CFO, COO, Compliance Officer, Contract Manager, General Counsel, Internal Investigator, managers, guards and supervisors as defined in the Act, and all other employees.  

Others Permitted to Vote: The parties agree that Nursing Supervisors and Quality Management Specialists may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.","Included: All full-time and regular part-time Counselors, Senior Counselors, Admissions Staff, Receptionists, Maintenance Staff, Family Advocates, Therapists, Activities Staff, Mental Health Technicians, Peer Support Specialists, Teaching Aids, Aids, Activities Therapist and ROI Specialist employed by the Employer at its Hampstead, NH facility.

Excluded: All Human Resources personnel, Information Technology, Operations Managers, Facility Managers, CEO, CFO, COO, Compliance Officer, Contract Manager, General Counsel, Internal Investigator, managers, guards, professional employees and supervisors as defined in the Act, and all other employees.","Included: All full-time and regular part-time Counselors, Senior Counselors, Admissions Staff, Receptionists, Maintenance Staff, Family Advocates, Therapists, Activities Staff, Mental Health Technicians, Peer Support Specialists, Teaching Aids, Aids, Activities Therapist and ROI Specialist employed by the Employer at its Hampstead, NH facility.

Excluded: All Human Resources personnel, Information Technology, Operations Managers, Facility Managers, CEO, CFO, COO, Compliance Officer, Contract Manager, General Counsel, Internal Investigator, managers, guards, professional employees and supervisors as defined in the Act, and all other employees.","Included: All full-time and regular part-time Counselors, Senior Counselors, Admissions Staff, Receptionists, Maintenance Staff, Family Advocates, Therapists, Activities Staff, Mental Health Technicians, Peer Support Specialists, Teaching Aids, Aids, Activities Therapist and ROI Specialist employed by the Employer at its Hampstead, NH facility.

Excluded: All Human Resources personnel, Information Technology, Operations Managers, Facility Managers, CEO, CFO, COO, Compliance Officer, Contract Manager, General Counsel, Internal Investigator, managers, guards, professional employees and supervisors as defined in the Act, and all other employees.",50,2025-04-01,2025-01-01,"26-50",TRUE,"RC","Yes","STATE EMPLOYEES ASSOCIATION OF NH, INC., SEIU LOCAL 1984",1,"SEIU",0.32258064516129,"No",8
"01-RC-360965","Region 01, Boston, Massachusetts","Mary Hitchcock Memorial Hospital d/b/a Hampstead Hospital",2025-02-26,2025-04-25,"Hampstead","NH","A",2025-04-17,58,NA,"STATE EMPLOYEES ASSOCIATION OF NH, INC., SEIU LOCAL 1984",15,NA,NA,NA,NA,30,45,NA,1,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time Registered Nurses, Social Workers, Teachers, APRN Psychiatry II, Behavioral Analyst, Clinical Pharmacist and Milieu Supervisors employed by the Employer at its Hampstead, NH facility.

Excluded: All Human Resources personnel, Information Technology, Operations Managers, Facility Managers, CEO, CFO, COO, Compliance Officer, Contract Manager, General Counsel, Internal Investigator, managers, guards and supervisors as defined in the Act, and all other employees.  

Others Permitted to Vote: The parties agree that Nursing Supervisors and Quality Management Specialists may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.","Included: All full-time and regular part-time Counselors, Senior Counselors, Admissions Staff, Receptionists, Maintenance Staff, Family Advocates, Therapists, Activities Staff, Mental Health Technicians, Peer Support Specialists, Teaching Aids, Aids, Activities Therapist and ROI Specialist employed by the Employer at its Hampstead, NH facility.

Excluded: All Human Resources personnel, Information Technology, Operations Managers, Facility Managers, CEO, CFO, COO, Compliance Officer, Contract Manager, General Counsel, Internal Investigator, managers, guards, professional employees and supervisors as defined in the Act, and all other employees.","Included: All full-time and regular part-time Counselors, Senior Counselors, Admissions Staff, Receptionists, Maintenance Staff, Family Advocates, Therapists, Activities Staff, Mental Health Technicians, Peer Support Specialists, Teaching Aids, Aids, Activities Therapist and ROI Specialist employed by the Employer at its Hampstead, NH facility.

Excluded: All Human Resources personnel, Information Technology, Operations Managers, Facility Managers, CEO, CFO, COO, Compliance Officer, Contract Manager, General Counsel, Internal Investigator, managers, guards, professional employees and supervisors as defined in the Act, and all other employees.","Included: All full-time and regular part-time Counselors, Senior Counselors, Admissions Staff, Receptionists, Maintenance Staff, Family Advocates, Therapists, Activities Staff, Mental Health Technicians, Peer Support Specialists, Teaching Aids, Aids, Activities Therapist and ROI Specialist employed by the Employer at its Hampstead, NH facility.

Excluded: All Human Resources personnel, Information Technology, Operations Managers, Facility Managers, CEO, CFO, COO, Compliance Officer, Contract Manager, General Counsel, Internal Investigator, managers, guards, professional employees and supervisors as defined in the Act, and all other employees.",50,2025-04-01,2025-01-01,"51-100",FALSE,"RC","Yes","STATE EMPLOYEES ASSOCIATION OF NH, INC., SEIU LOCAL 1984",1,"SEIU",0.333333333333333,"No",13
"01-RC-360976","Region 01, Boston, Massachusetts","Starbucks Corporation",2025-02-26,2025-04-11,"Seabrook","NH","A",2025-04-03,17,NA,"Workers United a/w Service Employees International Union",6,NA,NA,NA,NA,5,11,NA,NA,NA,"Workers United a/w Service Employees International Union","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Baristas and Shift Supervisors employed by the Employer at its facility located at 570 Lafayette Road, Seabrook, NH 03874. 
Excluded: All store managers, assistant store managers, office clerical employees, guards, professional employees and supervisors as defined by the Act.",NA,NA,NA,36,2025-04-01,2025-01-01,"11-25",TRUE,"RC","Yes","Workers United a/w Service Employees International Union",1,"WU",0.545454545454545,"Yes",6
