"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"22-RC-392696","Region 22, Newark, New Jersey","St. Michael's Medical Center",2026-08-12,NA,"Newark","NJ",NA,NA,2,NA,"JNESO, District Council 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","JNESO, District Council 1",0,"Uncoded",NA,"Still Open",NA
"22-RC-391825","Region 22, Newark, New Jersey","Richard Grubb and Associates",2026-07-30,NA,"Cranbury","NJ",NA,NA,24,NA,"Teamsters Local 469",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Teamsters Local 469",1,"Teamsters",NA,"Still Open",NA
"22-RM-391300","Region 22, Newark, New Jersey","Princeton University Plasma Physics Laboratory",2026-07-21,2026-07-28,"Princeton","NJ",NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RM","No",NA,0,"Uncoded",NA,"Other",NA
"22-RC-390950","Region 22, Newark, New Jersey","Northwest Essex Community Healthcare Network, Inc.",2026-07-17,NA,"Belleville","NJ",NA,NA,35,NA,"District 1199J, National Union of Hospital and Health Care Employees, AFSCME, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","District 1199J, National Union of Hospital and Health Care Employees, AFSCME, AFL-CIO",1,"AFSCME",NA,"Still Open",NA
"22-RC-390972","Region 22, Newark, New Jersey","Complete Care at Wall, LLC",2026-07-16,NA,"Wall","NJ",NA,NA,55,NA,"District 1199J, National Union of Hospital and Health Care Employees, AFSCME, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","District 1199J, National Union of Hospital and Health Care Employees, AFSCME, AFL-CIO",1,"AFSCME",NA,"Still Open",NA
"22-RC-390478","Region 22, Newark, New Jersey","CBS STUDIOS, INC.",2026-07-10,2026-08-11,"Kearny","NJ","A",2026-07-29,25,NA,"LABORERS INTERNATIONAL UNION OF NORTH AMERICA, LOCAL 724",13,NA,NA,NA,NA,0,13,NA,3,NA,"LABORERS INTERNATIONAL UNION OF NORTH AMERICA, LOCAL 724","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:  	All full-time and regular part-time Production Assistants (PA) including 1st Team Production Assistants, Art Department Production Assistants, Construction Production Assistants, Costume Department Production Assistants, Office Production Assistants, Key Set Production Assistants, Set Production Assistants, Additional Set Production Assistants, Paperwork Production Assistants, Unit Production Assistants, and Walkie Production Assistants employed by the Employer on the episodic television production entitled “Cupertino” at its 10 Basin Drive, Kearny, New Jersey facility. 
EXCLUDED:  	All Office Clerical Employees, Guards, Professional Employees, and Supervisors as defined in the Act, and all other employees.
OTHERS PERMITTED TO VOTE: The parties have agreed that the following employees may vote in the election but their ballots will be challenged since their eligibility has not been resolved: Executive Producers’ Assistants, Producers’ Assistants, Production Secretaries, and Showrunners’ Assistants.
No decision has been made regarding whether these classifications are included or excluded from the bargaining unit(s). The eligibility or inclusion of these employees will be resolved, including any community of interest issues, if necessary, following the election.",NA,NA,NA,19,2026-07-01,2026-07-01,"11-25",TRUE,"RC","Yes","LABORERS INTERNATIONAL UNION OF NORTH AMERICA, LOCAL 724",1,"LIUNA",1,"Yes",12
"22-RC-390287","Region 22, Newark, New Jersey","SUSSEX COUNTY IMAGING, LLC D/B/A IMAGECARE CENTERS",2026-07-08,NA,"Sparta","NJ","A",2026-08-14,11,NA,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL NO. 125",6,NA,NA,NA,NA,1,7,NA,NA,NA,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL NO. 125","Initial","Single Labor Organization",NA,"Open","INCLUDED:  	All Full-Time and Regular Part-Time, Seasonal, and Per Diem* Assistant Technicians employed by the Employer at its 89 Sparta Avenue, Suites 110 and 120, Sparta, New Jersey and 222 High Street, Suite 101, Newton, NJ locations.
EXCLUDED:  	All Office Clerical Employees, Guards, Professional Employees, and Supervisors as defined in the Act, and all other employees.
",NA,NA,NA,37,2026-07-01,2026-07-01,"11-25",TRUE,"RC","Yes","INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL NO. 125",1,"Teamsters",0.857142857142857,"Still Open",4
"22-RC-389971","Region 22, Newark, New Jersey","NJMHMC, LLC d/b/a Secaucus University Hospital, f/k/a Hudson Regional Hospital",2026-07-02,NA,"Secaucus","NJ","A",2026-08-06,37,NA,"Health Professional and Allied Employees AFT/AFL-CIO",25,NA,NA,NA,NA,0,25,NA,NA,NA,"Health Professional and Allied Employees AFT/AFL-CIO","Initial","Single Labor Organization",NA,"Open","Included:	All full-time, regular part-time, and per diem* professional employees, including speech-language pathologists, social workers, inpatient and outpatient physical therapists, pharmacists, and dietitians, employed by the Employer at its facility located at 55 Meadowlands Parkway, Secaucus, New Jersey 07094.

Excluded:	All registered nurses, physicians, guards, supervisors, technical unit employees, and managers as defined in the Act, and all other employees.
",NA,NA,NA,35,2026-07-01,2026-07-01,"26-50",TRUE,"RC","Yes","Health Professional and Allied Employees AFT/AFL-CIO",1,"AFT",1,"Still Open",12
"22-RC-389631","Region 22, Newark, New Jersey","Pye-Barker Fire & Safety, LLC",2026-06-29,NA,"Carlstadt","NJ",NA,NA,20,NA,"Sprinkler Fitters and Apprentices Local 696",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"11-25",TRUE,"RC","No","Sprinkler Fitters and Apprentices Local 696",0,"Uncoded",NA,"Still Open",NA
"22-RC-389453","Region 22, Newark, New Jersey","YONA EAGLE STAFF LEASING, LLC",2026-06-25,2026-08-13,"Matawan","NJ","A",2026-07-30,22,NA,"1199 SEIU UNITED HEALTHCARE WORKERS EAST",11,NA,NA,NA,NA,0,11,NA,NA,NA,"1199 SEIU UNITED HEALTHCARE WORKERS EAST","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDING: 	All full-time, regular part-time and per diem* housekeeping aides, porters, laundry aides, dietary aides, and cooks employees employed by the Employer at its 625 Route 34, Matawan, New Jersey location.

	EXCLUDING: 	All office clerical employees, managerial employees, guards, professional employees and supervisors as defined in the Act, and all other employees.

*Eligible to vote are those employees who averaged 4 hours or more per week during the 13 weeks prior to the pay period ending June 27, 2026.  Davison-Paxson, 185 NLRB 21 (1970).",NA,NA,NA,35,2026-07-01,2026-04-01,"11-25",TRUE,"RC","Yes","1199 SEIU UNITED HEALTHCARE WORKERS EAST",1,"SEIU",1,"Yes",11
