"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"28-RC-392639","Region 28, Phoenix, Arizona","Starbucks Corporation",2026-08-07,NA,"Bernalillo","NM",NA,NA,19,NA,"Workers United a/w Service Employees International Union AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Workers United a/w Service Employees International Union AFL-CIO",1,"WU",NA,"Still Open",NA
"28-RC-390864","Region 28, Phoenix, Arizona","El Centro Family Health",2026-07-14,NA,"Espanola","NM",NA,NA,215,NA,"District 1199NM, National Union of Hospital and Healthcare Employees, AFSCME, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RC","No","District 1199NM, National Union of Hospital and Healthcare Employees, AFSCME, AFL-CIO",1,"AFSCME",NA,"Still Open",NA
"28-RC-390142","Region 28, Phoenix, Arizona","Amentum Services, Inc.",2026-07-06,NA,"Holloman AFB","NM","A",2026-07-29,32,NA,"International Association of Machinists and Aerospace Workers, AFL-CIO, Local Lodge 2515",21,NA,NA,NA,NA,5,30,NA,4,NA,"International Association of Machinists & Aerospace Workers, AFL-CIO, Local Lodge 2515","Initial","Single Labor Organization",NA,"Open","INCLUDED: All full-time and regular part-time Supply Clerks, Supply Techs, Logistic Specialists, Workload Specialists, Fuels Support Equipment Mechanics, Fuels Support Equipment Technicians, Mobile AC Arresting Systems Technicians, Traffic Management Specialists, QA’s, Property Specialists, Heavy Equipment Mechanics, Fabrication Technicians, Power Pro Technician/Ground Support Equipment Mechanics, and Packing and Crating employed by the Employer at its Holloman AFB operation.

Others permitted to vote: The parties have agreed that Technical Order Distribution Office (TODO) and Procurement Specialists may vote in the election but their ballots will be challenged
since their eligibility has not been resolved. No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.

EXCLUDED: All other employees, clerical employees, confidential employees, temporary employees, seasonal employees, managerial employees, guards and supervisors as defined in the Act.",NA,NA,NA,23,2026-07-01,2026-07-01,"26-50",TRUE,"RC","Yes","International Association of Machinists and Aerospace Workers, AFL-CIO, Local Lodge 2515",1,"IAM",0.807692307692308,"Still Open",6
"28-RC-390199","Region 28, Phoenix, Arizona","El Centro Family Health",2026-07-06,2026-07-14,"Espanola","NM",NA,NA,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"28-RC-389248","Region 28, Phoenix, Arizona","Real Time Solutions, Inc.",2026-06-23,NA,"Albuquerque","NM",NA,NA,32,NA,"Communications Workers of America Local 7011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"26-50",TRUE,"RC","No","Communications Workers of America Local 7011",1,"CWA",NA,"Still Open",NA
"28-RC-389167","Region 28, Phoenix, Arizona","Amentum Services, Inc.",2026-06-18,2026-06-25,"Holloman AFB","NM",NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"26-50",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"28-RC-388369","Region 28, Phoenix, Arizona","McCormick & Company, Inc.",2026-06-04,2026-07-22,"Las Cruces","NM","A",2026-07-09,15,NA,"International Brotherhood of Teamsters Local 492",4,NA,NA,NA,NA,10,14,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED: All full-time and regular part-time drivers, operators, maintenance employees, quality assurance employees, and warehouse employees.
 
EXCLUDED: All other employees, clerical employees, confidential employees, temporary employees, seasonal employees, managerial employees, guards and supervisors as defined in the Act, as amended.",NA,NA,NA,35,2026-07-01,2026-04-01,"11-25",TRUE,"RC","Yes","International Brotherhood of Teamsters Local 492",1,"Teamsters",0.285714285714286,"No",1
"28-RC-387499","Region 28, Phoenix, Arizona","Nightlight Electric Company, Inc.",2026-05-20,2026-07-09,"Farmington","NM","A",2026-06-26,21,NA,"International Brotherhood of Electrical Workers Local Union 611",3,NA,NA,NA,NA,18,21,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED: All full-time and regular part-time Journeyman Electricians, Electrician Apprentices, and Electrician Helpers employed by the Employer in New Mexico.

EXCLUDED: All other employees, office clericals, managerial employees, confidential employees, guards and supervisors as defined by the Act.",NA,NA,NA,37,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","International Brotherhood of Electrical Workers Local Union 611",1,"IBEW",0.142857142857143,"No",0
"28-RC-387106","Region 28, Phoenix, Arizona","Lockheed Martin Corporation",2026-05-15,NA,"Kirtland AFB","NM","A",2026-07-02,60,NA,"International Association of Machinists & Aerospace Workers, Local Lodge 794, AFL-CIO",51,NA,NA,NA,NA,0,52,NA,1,NA,"International Association of Machinists & Aerospace Workers, Local Lodge 794, AFL-CIO","Initial","Single Labor Organization",NA,"Open","INCLUDED:	All full-time and regular part-time employees assigned to the HH-60W Combat Rescue Helicopter (CRH) Training Program Interim Contract Support (ICS) in the following locations:  Davis-Monthan Air Force Base in Arizona, Kirtland Air Force Base in New Mexico, Moody Air Force Base in Georgia, Nellis Air Force Base in Nevada, and Patrick Space Force Base in Florida, who work in the following job classifications:  Classified Cyber Security, Classified Cyber Security Senior, Configuration Analyst Senior, Database Administrator Senior, Database Administrator Staff, Delivery & Sustainment Quality Representative Senior, Delivery & Sustainment Quality Representative Staff, Field Engineer, Field Engineer Associate, Field Engineer Senior, Field Engineer Staff, Flight Operations Aircrew Senior Staff, Flight Operations Aircrew Staff, Flight Simulation Trainer Senior Staff, Project Management & Planning Operations Representative Staff, Security Representative Senior, Security Representative Staff, Staff Property Analyst, Systems Administrator Staff, and Systems Engineer Staff.

EXCLUDED:	All other employees including managers, confidential employees, office clerical employees, guards, and supervisors as defined by the Act.
",NA,NA,NA,48,2026-07-01,2026-04-01,"51-100",TRUE,"RC","Yes","International Association of Machinists & Aerospace Workers, Local Lodge 794, AFL-CIO",1,"IAM",1,"Still Open",9
"28-RC-387134","Region 28, Phoenix, Arizona","Nightlight Electric Company",2026-05-15,2026-05-19,"Farmington","NM",NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
