"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"02-RC-392612","Region 02, New York, New York","Allied Universal Security Services",2026-08-10,NA,"New York","NY",NA,NA,73,NA,"Local One Security Officers Union",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","Local One Security Officers Union",0,"Uncoded",NA,"Still Open",NA
"29-RC-392268","Region 29, Brooklyn, New York","Starbucks Corporation",2026-08-05,NA,"Queens","NY",NA,NA,23,NA,"Workers United, affiliated with Service Employees International Union (SEIU)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Workers United, affiliated with Service Employees International Union (SEIU)",1,"WU",NA,"Still Open",NA
"29-RD-391934","Region 29, Brooklyn, New York","Senior Transportation Town of Babylon",2026-07-30,2026-08-10,"Amityville","NY",NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"02-RC-391785","Region 02, New York, New York","Auto Zone, Inc.",2026-07-29,2026-08-04,"White Plains","NY",NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"29-UD-391804","Region 29, Brooklyn, New York","New York Arena Partners, LLC",2026-07-29,NA,"Elmont","NY",NA,NA,230,NA,"Local 32BJ SEIU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"UD","No","Local 32BJ SEIU",1,"SEIU",NA,"Still Open",NA
"02-RC-391591","Region 02, New York, New York","CBRE, Inc.",2026-07-24,NA,"New York","NY",NA,NA,31,NA,"International Union of Operating Engineers, Local 30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","International Union of Operating Engineers, Local 30",1,"IUOE",NA,"Still Open",NA
"29-RC-391459","Region 29, Brooklyn, New York","Eon Mechanical, Inc.",2026-07-23,2026-08-05,"Fresh Meadows","NY",NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"02-RC-391241","Region 02, New York, New York","New York Blood Center",2026-07-22,NA,"Rye","NY",NA,NA,14,NA,"International Union of Operating Engineers, AFL-CIO Local 30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","International Union of Operating Engineers, AFL-CIO Local 30",1,"IUOE",NA,"Still Open",NA
"03-RC-391296","Region 03, Buffalo, New York","Together for Youth",2026-07-22,NA,"Albany","NY",NA,NA,20,NA,"INTERNATIONAL UNION, SECURITY, POLICE AND FIRE PROFESSIONALS OF AMERICA (SPFPA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","INTERNATIONAL UNION, SECURITY, POLICE AND FIRE PROFESSIONALS OF AMERICA (SPFPA)",1,"SPFPA",NA,"Still Open",NA
"02-RC-391390","Region 02, New York, New York","DXO East Productions, LLC.",2026-07-22,NA,"New York","NY",NA,NA,26,NA,"Laborers International Union of North America, Local 724",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","Laborers International Union of North America, Local 724",1,"LIUNA",NA,"Still Open",NA
"29-RC-391174","Region 29, Brooklyn, New York","NewYork-Presbyterian Queens Hospital",2026-07-21,NA,"Flushing","NY","A",2026-08-13,163,NA,"1199 SEIU Healthcare Workers East",92,NA,NA,NA,NA,5,118,NA,21,NA,"1199 SEIU Healthcare Workers East","Initial","Single Labor Organization",NA,"Open","Included: All full-time and regular part-time employees in the titles of Administrative Clerk,
Cafe Cashier, Clerk Receptionist, Clerk Typist, Clerk Typist/Inventory Clerk, Client Services Representative, Distribution Clerk, Laboratory Aide, Patient Access Representative—Rehabilitation, Patient Access Representative—Orthopedics, Patient Navigator, Patient Navigator—GI, Patient Navigator—Cardiac Catheter, Patient Registrar and Senior Patient Registrar, at New York-Presbyterian Queens Hospital located at 56-45 Main Street, Flushing, NY 11355, as residual to the existing service unit represented by 1199 SEIU United Healthcare Workers East.

Excluded: All guards, managers, confidential employees and supervisors as defined by the Act.
",NA,NA,NA,23,2026-07-01,2026-07-01,"101-500",TRUE,"RC","Yes","1199 SEIU Healthcare Workers East",1,"SEIU",0.948453608247423,"Still Open",66
"29-RC-391239","Region 29, Brooklyn, New York","A&E Properties I MGMT LLC",2026-07-21,NA,"Jackson Heights","NY",NA,NA,6,NA,"Local 808, International Brotherhood of Teamsters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","Local 808, International Brotherhood of Teamsters",1,"Teamsters",NA,"Still Open",NA
"03-RC-391108","Region 03, Buffalo, New York","Care Access Research LLC",2026-07-21,NA,"Clifton Park","NY",NA,NA,24,NA,"Teamsters Local 294, affiliated with the International Brotherhood of Teamsters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Teamsters Local 294, affiliated with the International Brotherhood of Teamsters",1,"Teamsters",NA,"Still Open",NA
"02-RC-390957","Region 02, New York, New York","200 East 83rd Street Condominium",2026-07-17,2026-07-28,"New York","NY",NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"02-RC-390898","Region 02, New York, New York","Northern Westchester Hospital",2026-07-15,NA,"Mount Kisco","NY",NA,NA,15,NA,"1199 SEIU Healthcare Workers East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","1199 SEIU Healthcare Workers East",1,"SEIU",NA,"Still Open",NA
