"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"10-RC-392839","Region 10, Atlanta, Georgia","RATP Dev, Inc.",2026-08-14,NA,"Asheville","NC",NA,NA,85,NA,"Amalgamated Transit Union, Local Union 128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","Amalgamated Transit Union, Local Union 128",1,"ATU",NA,"Still Open",NA
"10-RC-392346","Region 10, Atlanta, Georgia","Carvana Logistics LLC",2026-08-06,NA,"Charlotte","NC",NA,NA,51,NA,"International Brotherhood of Teamsters Local 71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","International Brotherhood of Teamsters Local 71",1,"Teamsters",NA,"Still Open",NA
"10-RC-392179","Region 10, Atlanta, Georgia","Butterball, LLC",2026-08-04,NA,"Raeford","NC",NA,NA,50,NA,"United Food and Commercial Workers International Union Local No. 1208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","United Food and Commercial Workers International Union Local No. 1208",1,"UFCW",NA,"Still Open",NA
"10-RC-391969","Region 10, Atlanta, Georgia","Vestis Services, LLC",2026-07-31,NA,"Greensboro","NC",NA,NA,9,NA,"Teamsters Local 391",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","Teamsters Local 391",1,"Teamsters",NA,"Still Open",NA
"10-RC-391824","Region 10, Atlanta, Georgia","Alsco Inc.",2026-07-30,NA,"Wilmington","NC",NA,NA,5,NA,"Teamsters Local 391 Affiliated with International Brotherhood of Teamsters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","Teamsters Local 391 Affiliated with International Brotherhood of Teamsters",1,"Teamsters",NA,"Still Open",NA
"10-RC-391711","Region 10, Atlanta, Georgia","Carvana Logistics LLC",2026-07-29,NA,"Concord","NC",NA,NA,57,NA,"International Brotherhood of Teamsters Local 71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","International Brotherhood of Teamsters Local 71",1,"Teamsters",NA,"Still Open",NA
"10-RC-388966","Region 10, Atlanta, Georgia","MV Transportation, Inc.",2026-06-17,2026-07-23,"Cary","NC","A",2026-07-15,95,NA,"Amalgamated Transit Union 1328",31,NA,NA,NA,NA,4,35,NA,NA,NA,"Amalgamated Transit Union 1328","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time drivers and road supervisors 
employed at the Employer’s RDU facility located at 200 Haleys Branch Road 
Morrisville, North Carolina, 27560. 

Excluded: All other employees, office clerical employees, professional 
employees, managers, guards, and supervisors as defined by the Act.",NA,NA,NA,28,2026-07-01,2026-04-01,"51-100",TRUE,"RC","Yes","Amalgamated Transit Union 1328",1,"ATU",0.885714285714286,"Yes",60
"10-RC-388330","Region 10, Atlanta, Georgia","Corning Optical Communications, LLC",2026-06-04,2026-06-12,"Winston-Salem","NC",NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"101-500",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"10-RC-387769","Region 10, Atlanta, Georgia","Starbucks Corporation",2026-05-27,2026-07-09,"Greensboro","NC","A",2026-06-30,25,NA,"Workers United a/w SEIU",14,NA,NA,NA,NA,3,17,NA,1,NA,"Workers United a/w SEIU","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time Baristas and Shift Supervisors employed by the Employer at its facility located at 1400 Four Seasons Station Drive, Greensboro, North Carolina 27407 (Coffeehouse #82925).

EXCLUDED: All Store Managers/Coffeehouse Leaders, assistant store managers, office clericals, guards, and supervisors as defined by the Act.",NA,NA,NA,34,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","Workers United a/w SEIU",1,"WU",0.823529411764706,"Yes",8
"10-RC-383864","Region 10, Atlanta, Georgia","Goldbelt Integrated Logistics Services, Inc.",2026-03-30,2026-05-20,"Elizabeth City","NC","A",2026-05-12,66,NA,"International Union of Electrical Workers- Communication Workers of America (Industrial Division of the Communication Workers of America)",51,NA,NA,NA,NA,2,53,NA,NA,NA,"International Union of Electrical Workers- Communication Workers of America (Industrial Division of the Communication Workers of America)","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time warehouse specialists, materials expeditors, supply technicians, materials coordinators, logistics supply specialists II, logistics supply specialist III, and woodworker/packer expeditors employed by the Employer in Elizabeth City, North Carolina.
 
Excluded: All other employees, office clerical employees, professional employees, managers, guards and supervisors as defined in the Act.",NA,NA,NA,43,2026-04-01,2026-01-01,"51-100",TRUE,"RC","Yes","International Union of Electrical Workers- Communication Workers of America (Industrial Division of the Communication Workers of America)",1,"CWA",0.962264150943396,"Yes",13
