"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"18-RM-384995","Region 18, Minneapolis, Minnesota","IXOM Watercare Inc.",2026-04-15,2026-07-29,"Dickinson","ND","A",2026-07-21,18,1,"International Brotherhood of Teamsters, Local 638",15,NA,NA,NA,NA,1,16,NA,NA,NA,"International Brotherhood of Teamsters, Local 638","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time and regular part-time Field Services Technicians I & II and Crew Chiefs I & II working out of the 3225 ND-22, Dickinson, North Dakota facility;

Excluded:  All other employees, managers, guards and supervisors as defined by the Act.",NA,NA,NA,97,2026-07-01,2026-04-01,"11-25",TRUE,"RM","Yes","International Brotherhood of Teamsters, Local 638",1,"Teamsters",0.9375,"Yes",2
"18-RC-382542","Region 18, Minneapolis, Minnesota","Capital Electric Cooperative, Inc.",2026-03-09,2026-04-28,"Bismarck","ND","A",2026-04-08,5,NA,"IBEW Local 1593",5,NA,NA,NA,NA,0,5,NA,NA,NA,"IBEW Local 1593","Initial","Single Labor Organization","Certification of Results","Closed","Included: All Staking Engineers, GIS Technician, Energy Services Technicians, and Energy Services Coordinators; 

Excluded: All other employees, confidential employees, guards and supervisors as defined by Act.

If a majority of valid ballots are cast for IBEW Local 1593, they will be taken to have indicated the employees’ desire to be included in the existing employee unit, consisting of lineworkers and meter technicians, among other classifications,  currently represented by the incumbent Union. If a majority of valid ballots are not cast for representation, they will be taken to have indicated the employees’ desire to remain unrepresented.",NA,NA,NA,30,2026-04-01,2026-01-01,"<5",TRUE,"RC","Yes","IBEW Local 1593",1,"IBEW",1,"No",0
"18-RC-350818","Region 18, Minneapolis, Minnesota","New Century Ag",2024-09-19,2026-07-20,"Crosby","ND","A",2024-10-10,26,NA,"Teamsters Local 638",10,NA,NA,NA,NA,7,17,NA,9,"Y",NA,"Initial","Single Labor Organization","Withdrawal Non-adjusted","Closed","All full-time and regular part-time employees employed by the Employer at its facility currently located at 11790 ND-5, Crosby, North Dakota, excluding all managerial employees, confidential employees, and guards and supervisors as defined by the National Labor Relations Act.",NA,NA,NA,21,2024-10-01,2024-07-01,"26-50",TRUE,"RC","Yes","Teamsters Local 638",1,"Teamsters",0.588235294117647,"Other",9
"18-RD-349356","Region 18, Minneapolis, Minnesota","Vaderstad, Inc.",2024-08-28,2025-04-02,"Wahpeton","ND","A",2024-09-25,75,NA,"District Lodge 5, International Association of Machinists and Aerospace Workers, AFL-CIO",30,NA,NA,NA,NA,41,71,NA,5,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time production and maintenance employees, including leads, employed by the Employer at their 17885 ND 13 Wahpeton, ND facility; excluding all other employees, office clerical employees, professional employees, and guards and supervisors as defined by the Act, as amended.",NA,NA,NA,28,2024-07-01,2024-07-01,"51-100",TRUE,"RD","Yes","District Lodge 5, International Association of Machinists and Aerospace Workers, AFL-CIO",1,"IAM",0.422535211267606,"No",4
"18-RC-345487","Region 18, Minneapolis, Minnesota","St. Alexius Medical Center",2024-07-02,2024-08-01,"Bismarck","ND","A",2024-07-25,5,NA,"Minnesota Nurses Association",5,NA,NA,NA,NA,0,5,NA,NA,NA,"Minnesota Nurses Association","Initial","Single Labor Organization","Certification of Results","Closed","All full-time, regular part-time, and per-diem RN Case Managers employed by the Employer at the St. Alexius Medical Center located at 900 East Broadway, Bismarck, North Dakota; excluding all other RNs, all physicians, technical employees, nonprofessionals, business office clericals, maintenance employees, all other professionals, managers, and guards and supervisors as defined by the Act, as amended.",NA,NA,NA,23,2024-07-01,2024-07-01,"<5",TRUE,"RC","Yes","Minnesota Nurses Association",1,"NNU",1,"No",0
"18-RD-344235","Region 18, Minneapolis, Minnesota","Vaderstad",2024-06-11,2024-06-14,"Wahpeton","ND",NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2024-04-01,"51-100",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"18-RM-337699","Region 18, Minneapolis, Minnesota","Starbucks Corporation",2024-03-05,2024-04-25,"Grand Forks","ND",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dismissal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2024-01-01,"11-25",TRUE,"RM","No",NA,0,"Uncoded",NA,"Other",NA
"18-RC-336347","Region 18, Minneapolis, Minnesota","Starbucks Corporation",2024-02-20,2024-04-01,"Grand Forks","ND","A",2024-03-25,25,NA,"Workers United",13,NA,NA,NA,NA,10,23,NA,NA,NA,"Workers United","Initial","Single Labor Organization","Certific. of Representative","Closed","Including all full-time and regular part-time baristas and shift supervisors employed by the Employer at its facility located at 626 S. Washington St., Grand Forks, North Dakota; but excluding assistant store managers, store managers, office clerical employees, guards, professional employees, and supervisors as defined in the Act.",NA,NA,NA,34,2024-01-01,2024-01-01,"11-25",TRUE,"RC","Yes","Workers United",1,"WU",0.565217391304348,"Yes",2
"18-RC-325636","Region 18, Minneapolis, Minnesota","Cass County Electric Cooperative",2023-09-12,2023-10-19,"Fargo","ND","A",2023-10-12,3,NA,"International Brotherhood of Electrical Workers, Local 1426",2,NA,NA,NA,NA,0,2,NA,1,NA,"International Brotherhood of Electrical Workers, Local 1426","Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time Meter and Apparatus Technicians employed by the Employer at its facility currently located at 4100 32nd Avenue South, Fargo, North Dakota; but excluding confidential employees, employees already represented by International Brotherhood of Electrical Workers, Local 1426, and guards and supervisors as defined in the National Labor Relations Act, as amended. 

If a majority of valid ballots are cast for International Brotherhood of Electrical Workers, Local 1426, they will be taken to have indicated the employees’ desire to be included in the existing electrical and warehouse employee unit employed at the Employer’s Fargo, North Dakota, facility currently represented by International Brotherhood of Electrical Workers, Local 1426. If a majority of valid ballots are not cast for representation, they will be taken to have indicated the employees’ desire to remain unrepresented. 

Others permitted to vote: The parties have agreed that the Meter and Apparatus Supervisor may vote in the election, but their ballot will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individual in this classification or group are included in, or excluded from, the bargaining unit. The eligibility or inclusion of this individuals will be resolved, if necessary, following the election.",NA,NA,NA,30,2023-10-01,2023-07-01,"<5",TRUE,"RC","Yes","International Brotherhood of Electrical Workers, Local 1426",1,"IBEW",1,"No",1
"18-RC-322729","Region 18, Minneapolis, Minnesota","Vaderstad, Inc.",2023-07-31,2023-07-31,"Wahpeton","ND",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2023-07-01,"<5",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"18-RC-321594","Region 18, Minneapolis, Minnesota","Vaderstad, Inc.",2023-07-12,2023-08-25,"Wahpeton","ND","A",2023-08-18,103,NA,"District Lodge 5, International Association of Machinists and Aerospace Workers AFL-CIO",50,NA,NA,NA,NA,42,92,NA,1,NA,"District Lodge 5, International Association of Machinists and Aerospace Workers AFL-CIO","Initial","Revised Single Labor Org","Certific. of Representative","Closed","Included: All full-time and regular part-time production and maintenance employees, including leads, employed by the Employer at their 17885 ND 13 Wahpeton, ND Facility.

Excluded: All other employees, office clerical employees, professional employees, and guards and supervisors as defined by the Act, as amended.

Others permitted to vote: The parties have agreed that individuals in the Quality Assurance Technician position may vote in the election, but their ballots will be challenged since their eligibility has not been resolved. The Employer’s position is that these individuals do not share a sufficient community of interest with the other employees to be appropriately including in the bargaining unit. It is the Petitioner’s position that they should be included in the bargaining unit. No decision has been made regarding whether the individuals in this classification are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,37,2023-07-01,2023-07-01,"101-500",TRUE,"RC","Yes","District Lodge 5, International Association of Machinists and Aerospace Workers AFL-CIO",1,"IAM",0.543478260869565,"Yes",11
"18-RC-321594","Region 18, Minneapolis, Minnesota","Vaderstad, Inc.",2023-07-12,2023-08-25,"Wahpeton","ND","A",2023-08-10,103,NA,"District Lodge 5, International Association of Machinists and Aerospace Workers AFL-CIO",46,NA,NA,NA,NA,41,87,NA,6,"Y",NA,"Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time production and maintenance employees, including leads, employed by the Employer at their 17885 ND 13 Wahpeton, ND Facility.

Excluded: All other employees, office clerical employees, professional employees, and guards and supervisors as defined by the Act, as amended.

Others permitted to vote: The parties have agreed that individuals in the Quality Assurance Technician position may vote in the election, but their ballots will be challenged since their eligibility has not been resolved. The Employer’s position is that these individuals do not share a sufficient community of interest with the other employees to be appropriately including in the bargaining unit. It is the Petitioner’s position that they should be included in the bargaining unit. No decision has been made regarding whether the individuals in this classification are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,29,2023-07-01,2023-07-01,"101-500",FALSE,"RC","Yes","District Lodge 5, International Association of Machinists and Aerospace Workers AFL-CIO",1,"IAM",0.528735632183908,"Yes",16
"18-RD-306876","Region 18, Minneapolis, Minnesota","Rugby Manufacturing Company",2022-11-09,2022-12-28,"Rugby","ND","A",2022-12-20,68,NA,"District Lodge 5, International Association of Machinists and Aerospace Workers, AFL-CIO",19,NA,NA,NA,NA,32,51,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included:  All full-time and regular part-time production and maintenance employees employed by the Employer at its 515 First Street, Rugby, North Dakota facility;

Excluded: Office clerical employees, professional employees, managerial employees, and guards and supervisors as defined by the Act, as amended.",NA,NA,NA,41,2022-10-01,2022-10-01,"51-100",TRUE,"RD","Yes","District Lodge 5, International Association of Machinists and Aerospace Workers, AFL-CIO",1,"IAM",0.372549019607843,"No",17
"18-RC-301118","Region 18, Minneapolis, Minnesota","Clark Equipment Company d/b/a Bobcat Company",2022-08-10,2022-10-05,"Bismarck","ND","A",2022-09-28,692,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC",348,NA,NA,NA,NA,288,636,NA,2,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time production and maintenance employees employed by the Employer at its facility currently located at 521 South 22nd Street, Bismarck, North Dakota, excluding all other employees, including training coordinators, quality technicians, cycle counters, lean team leads, office clerical employees, confidential employees, sales employees, professional employees, temporary employees, managerial employees, and guards and supervisors as defined by the Act, as amended.",NA,NA,NA,49,2022-07-01,2022-07-01,"500>",TRUE,"RC","Yes","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC",1,"USW",0.547169811320755,"Yes",56
"18-RD-271749","Region 18, Minneapolis, Minnesota","Cash-Wa Distributing Co. of Fargo, LLC",2021-01-22,2021-04-07,"Fargo","ND","A",2021-03-16,69,3,"Teamsters Local 120",26,NA,NA,NA,NA,16,42,NA,2,NA,"Teamsters Local 120","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time drivers and warehouse employees employed by the Employer and reporting into the Fargo Distributing Center, 4101 15th Avenue North, Fargo, North Dakota, 58102, and the domiciles associated with the Fargo Distributing Center located in: (1) Pillager, Alexandria, Maple Grove and Bemidji, Minnesota, (2) Sioux Falls and Watertown, South Dakota, and (3) Grand Forks, North Dakota; excluding all clerical employees, professional employees, sanitation employees, managers, employees at the domiciles located in Minot and Bismarck, North Dakota, and guards and supervisors as defined by the Act, and all other employees.",NA,NA,NA,53,2021-01-01,2021-01-01,"51-100",TRUE,"RD","Yes","Teamsters Local 120",1,"Teamsters",0.619047619047619,"Yes",27
"18-RM-251778","Region 18, Minneapolis, Minnesota","Xcel Protective Services, Inc.",2019-11-14,2019-11-22,"Cavalier","ND",NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2019-10-01,"11-25",TRUE,"RM","No",NA,0,"Uncoded",NA,"Other",NA
