"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"08-RD-392505","Region 08, Cleveland, Ohio","Kinnect",2026-08-07,NA,"Cleveland","OH",NA,NA,33,NA,"Office and Professional Employees International Union, Local 792",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RD","No","Office and Professional Employees International Union, Local 792",1,"OPEIU",NA,"Still Open",NA
"09-RM-391876","Region 09, Cincinnati, Ohio","OHIOHEALTH NELSONVILLE HEALTH CENTER",2026-07-29,NA,"Nelsonville","OH",NA,NA,14,NA,"International Union of Operating Engineers, AFL-CIO (IUOE) Local 18-S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RM","No","International Union of Operating Engineers, AFL-CIO (IUOE) Local 18-S",1,"IUOE",NA,"Still Open",NA
"09-RC-391290","Region 09, Cincinnati, Ohio","JDRC MANAGED SERVICES, LLC",2026-07-23,NA,"Chillicothe","OH",NA,NA,18,NA,"United Food and Commercial Workers, Local 1059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","United Food and Commercial Workers, Local 1059",1,"UFCW",NA,"Still Open",NA
"08-RC-391023","Region 08, Cleveland, Ohio","Sonic Drive-In",2026-07-20,2026-07-21,"Rossford","OH",NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"08-RD-390646","Region 08, Cleveland, Ohio","INEOS Pigments USA, LLC",2026-07-13,2026-07-17,"Ashtabula","OH",NA,NA,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"08-RC-390624","Region 08, Cleveland, Ohio","The Musical Arts Association d/b/a The Cleveland Orchestra",2026-07-10,2026-07-24,"Cleveland","OH",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"08-RC-390633","Region 08, Cleveland, Ohio","Red Bull Distribution Company, Inc.",2026-07-10,NA,"Boardman","OH",NA,NA,8,NA,"Chauffeurs, Teamsters, Warehousemen and Helpers, Teamsters Local Union No. 377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","Chauffeurs, Teamsters, Warehousemen and Helpers, Teamsters Local Union No. 377",1,"Teamsters",NA,"Still Open",NA
"08-RD-390388","Region 08, Cleveland, Ohio","Ineos Pigments",2026-07-09,2026-07-17,"Ashtabula","OH",NA,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"09-RC-390303","Region 09, Cincinnati, Ohio","WOESTE MOTORS, INC. D/B/A HONDA EAST",2026-07-09,NA,"Cincinnati","OH",NA,NA,18,NA,"International Association of Machinists and Aerospace Workers, AFL-CIO (IAM) Local 1943",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","International Association of Machinists and Aerospace Workers, AFL-CIO (IAM) Local 1943",1,"IAM",NA,"Still Open",NA
"08-RC-390068","Region 08, Cleveland, Ohio","Tremco CPG Inc.",2026-07-06,2026-08-04,"Cleveland","OH",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
