"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"19-RC-392125","Region 19, Seattle, Washington","Legacy Good Samaritan Medical Center",2026-07-31,NA,"Portland","OR",NA,NA,38,NA,"SEIU Local 49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","SEIU Local 49",1,"SEIU",NA,"Still Open",NA
"19-RM-392101","Region 19, Seattle, Washington","Protocall Services, Inc.",2026-07-31,NA,"Portland","OR",NA,NA,342,NA,"Office & Professional Employees International Union, Local 11, affiliated with the AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RM","No","Office & Professional Employees International Union, Local 11, affiliated with the AFL-CIO",1,"OPEIU",NA,"Still Open",NA
"19-RC-391789","Region 19, Seattle, Washington","Sunoco GP LLC",2026-07-29,NA,"Portland","OR",NA,NA,9,NA,"Teamsters Local Union No. 305, affiliated with International Brotherhood of Teamsters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","Teamsters Local Union No. 305, affiliated with International Brotherhood of Teamsters",1,"Teamsters",NA,"Still Open",NA
"19-RM-391798","Region 19, Seattle, Washington","Hood River Electric Cooperative, Inc. d/b/a Hood River Electric & Internet Co-op",2026-07-29,NA,"Hood River","OR",NA,NA,9,NA,"International Brotherhood of Electrical Workers, Local 125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RM","No","International Brotherhood of Electrical Workers, Local 125",1,"IBEW",NA,"Still Open",NA
"19-RM-391530","Region 19, Seattle, Washington","American Rock Products",2026-07-24,NA,"Hermiston","OR",NA,NA,12,NA,"Teamster Food Processors, Chauffeurs, Warehousemen and Helpers, Local Union 670, affiliated with the International Brotherhood of Teamsters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RM","No","Teamster Food Processors, Chauffeurs, Warehousemen and Helpers, Local Union 670, affiliated with the International Brotherhood of Teamsters",1,"Teamsters",NA,"Still Open",NA
"19-RC-390595","Region 19, Seattle, Washington","Mission Linen & Uniform Service d/b/a Mission Linen",2026-07-13,NA,"Bend","OR","A",2026-08-13,11,NA,"General Teamsters Auto Truck Drivers and Helpers Local Union 162",10,NA,NA,NA,NA,1,11,NA,NA,NA,"General Teamsters Auto Truck Drivers and Helpers Local Union 162","Initial","Single Labor Organization",NA,"Open","Included: All full-time and regular part-time Route Sales and Service Representatives (“RSSR”) employed by Employer at its facility located at 1331 NE 1st Street, Bend, Oregon.

Excluded: All other employees, managerial employees, office clerical employees, confidential employees, and guards and supervisors as defined in the Act.
",NA,NA,NA,31,2026-07-01,2026-07-01,"11-25",TRUE,"RC","Yes","General Teamsters Auto Truck Drivers and Helpers Local Union 162",1,"Teamsters",0.909090909090909,"Still Open",0
"19-RC-389872","Region 19, Seattle, Washington","Japanese Garden Society of Oregon d/b/a Portland Japanese Garden",2026-06-30,2026-08-04,"Portland","OR","A",2026-07-27,23,NA,"Laborer's International Union of North America, Local 483",16,NA,NA,NA,NA,6,22,NA,NA,NA,"Laborer's International Union of North America, Local 483","Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time Visitor Relations employees, including Visitor Relations Associates, Seasonal Visitor Relations Associates, Visitor Relations Supervisors,  employed by the Employer at its facility located at 611 Southwest Kingston Avenue in Portland, Oregon.

Excluded: All other employees, assistant managers, managers, and guards and supervisors as defined by the Act.",NA,NA,NA,27,2026-07-01,2026-04-01,"11-25",TRUE,"RC","Yes","Laborer's International Union of North America, Local 483",0,"Uncoded",0.727272727272727,"No",1
"19-RC-389654","Region 19, Seattle, Washington","Dark Horse Comics",2026-06-29,2026-07-08,"Milwaukie","OR",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"6-10",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"19-RC-389567","Region 19, Seattle, Washington","Providence Health and Services - Oregon d/b/a Providence Milwaukie Hospital",2026-06-26,2026-07-31,"Milwaukie","OR",NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Certific. of Representative","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"51-100",TRUE,"RC","No",NA,0,"Uncoded",NA,"Yes",NA
"19-RC-389407","Region 19, Seattle, Washington","KRO LLC",2026-06-24,NA,"Portland","OR",NA,NA,22,NA,"Sliders Union Williams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"11-25",TRUE,"RC","No","Sliders Union Williams",0,"Uncoded",NA,"Still Open",NA
