"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"05-RC-392580","Region 05, Baltimore, Maryland","Lamar Advertising",2026-08-10,NA,"Lemoyne","PA",NA,NA,8,NA,"Sheet Metal, Air, Rail, Transportation (SMART) Local 19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","Sheet Metal, Air, Rail, Transportation (SMART) Local 19",1,"SMART",NA,"Still Open",NA
"06-RC-392467","Region 06, Pittsburgh, Pennsylvania","Peoples Natural Gas Company, LLC",2026-08-07,NA,"Pittsburgh","PA",NA,NA,5,NA,"Utility Workers Union of America, AFL-CIO, Local 612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","Utility Workers Union of America, AFL-CIO, Local 612",1,"UWUA",NA,"Still Open",NA
"04-RC-391923","Region 04, Philadelphia, Pennsylvania","Tenor Health Foundation, Inc. d/b/a Commonwealth Health Advance Imaging Specialists",2026-07-30,2026-08-07,"Dunmore","PA",NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"06-RC-391924","Region 06, Pittsburgh, Pennsylvania","Pittsburgh Symphony Orchestra",2026-07-30,NA,"Pittsburgh","PA",NA,NA,20,NA,"I.A.T.S.E Local 862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","I.A.T.S.E Local 862",0,"Uncoded",NA,"Still Open",NA
"04-RC-391653","Region 04, Philadelphia, Pennsylvania","Delaware Valley Community Health, Inc.",2026-07-28,NA,"Philadelphia","PA",NA,NA,16,NA,"District 1199C, National Union of Hospital and Health Care Employees, AFSCME, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","District 1199C, National Union of Hospital and Health Care Employees, AFSCME, AFL-CIO",1,"AFSCME",NA,"Still Open",NA
"04-RC-391531","Region 04, Philadelphia, Pennsylvania","Brightview Holdings DBA Brightview Landscaping",2026-07-27,2026-08-03,"Allentown","PA",NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"04-RD-391343","Region 04, Philadelphia, Pennsylvania","Airgas USA, LLC",2026-07-23,NA,"Allentown","PA",NA,NA,7,NA,"Teamsters Local Union No. 773 a/w International Brotherhood of Teamsters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RD","No","Teamsters Local Union No. 773 a/w International Brotherhood of Teamsters",1,"Teamsters",NA,"Still Open",NA
"04-RC-391161","Region 04, Philadelphia, Pennsylvania","First Student, Inc.",2026-07-21,NA,"King of Prussia","PA",NA,NA,66,NA,"Teamsters Local 384 a/w the International Brotherhood of Teamsters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","Teamsters Local 384 a/w the International Brotherhood of Teamsters",1,"Teamsters",NA,"Still Open",NA
"04-RC-390701","Region 04, Philadelphia, Pennsylvania","Albert Einstein Medical Center",2026-07-15,2026-07-27,"Philadelphia","PA",NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"06-RD-390577","Region 06, Pittsburgh, Pennsylvania","Lenzner Lines LLC",2026-07-13,NA,"Sewickley","PA",NA,NA,3,NA,"General Teamsters, Chauffers, and Helpers, Local 249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RD","No","General Teamsters, Chauffers, and Helpers, Local 249",1,"Teamsters",NA,"Still Open",NA
