"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"01-RC-392819","Region 01, Boston, Massachusetts","Jones Lang LaSalle Americas, Inc.",2026-08-14,NA,"West Greenwich","RI",NA,NA,3,NA,"International Union of Operating Engineers, Local 877",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","International Union of Operating Engineers, Local 877",1,"IUOE",NA,"Still Open",NA
"01-RC-392395","Region 01, Boston, Massachusetts","Jones Lang LaSalle Americas, Inc.",2026-08-07,NA,"West Greenwich","RI",NA,NA,18,NA,"International Union of Operating Engineers Local 877",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","International Union of Operating Engineers Local 877",1,"IUOE",NA,"Still Open",NA
"01-RC-391656","Region 01, Boston, Massachusetts","Stericycle, Inc.",2026-07-28,2026-08-05,"Pawtucket","RI",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"01-RC-391619","Region 01, Boston, Massachusetts","Rhode Island School of Design",2026-07-28,NA,"Providence","RI",NA,NA,62,NA,"International Brotherhood of Teamsters Local 251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","International Brotherhood of Teamsters Local 251",1,"Teamsters",NA,"Still Open",NA
"01-RD-389594","Region 01, Boston, Massachusetts","Rhode Island CVS Pharmacy, LLC",2026-06-26,NA,"Middletown","RI",NA,NA,12,NA,"International Association of Machinists and Aerospace Workers, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"11-25",TRUE,"RD","No","International Association of Machinists and Aerospace Workers, AFL-CIO",1,"IAM",NA,"Still Open",NA
"01-RD-386635","Region 01, Boston, Massachusetts","Skyfuel Pvd, LLC",2026-05-08,2026-05-19,"Warwick","RI",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"<5",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"01-RC-386511","Region 01, Boston, Massachusetts","Ocean State Media Group",2026-05-07,2026-06-26,"Providence","RI","A",2026-06-17,14,NA,"Screen Actors Guild - American Federation of Television and Radio Artists (SAG-AFTRA)",10,NA,NA,NA,NA,4,14,NA,NA,NA,"Screen Actors Guild - American Federation of Television and Radio Artists (SAG-AFTRA)","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees of Ocean State Media Group who create content for broadcast and digital platforms, including Reporters, Senior Reporters, Political Reporters, Senior Digital Editors, Digital Media Managers, Promotions and Fundraising Producers, Photojournalists, Producers, Producers/ Reporters, Producers/Hosts, Hosts/Arts and Culture Reporters, and Hosts.

Excluded: All office clerical employees, confidential employees, managers, guards, and supervisors as defined in the Act, and all other employees.",NA,NA,NA,41,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","Screen Actors Guild - American Federation of Television and Radio Artists (SAG-AFTRA)",1,"SAG-AFTRA",0.714285714285714,"Yes",0
"01-RC-386392","Region 01, Boston, Massachusetts","Cox Electric and Kool Co.",2026-05-06,2026-05-12,"Coventry","RI",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"<5",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"01-RC-386095","Region 01, Boston, Massachusetts","Starbucks Corporation",2026-05-01,2026-06-22,"Providence","RI","A",2026-06-09,22,NA,"Workers United a/w Service Employees International Union",12,NA,NA,NA,NA,10,22,NA,NA,NA,"Workers United a/w Service Employees International Union","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time baristas and shift supervisors employed by the Employer at its facility located at 635 North Main Street, Providence, Rhode Island

Excluded: All store managers, assistant store managers, office clerical employees, guards, professional employees and supervisors as defined by the Act.",NA,NA,NA,39,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","Workers United a/w Service Employees International Union",1,"WU",0.545454545454545,"Yes",0
"01-RC-384760","Region 01, Boston, Massachusetts","Global Spectrum, L.P. d/b/a Oak View Group",2026-04-13,2026-05-07,"Providence","RI","A",2026-04-29,67,NA,"United Food and Commercial Workers, Local No. 328 a/w United Food and Commercial Workers International Union, AFL-CIO",31,NA,NA,NA,NA,6,37,NA,1,NA,"United Food and Commercial Workers, Local No. 328 a/w United Food and Commercial Workers International Union, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time ushers, usher supervisors, and guest services employees employed by the Employer at the Amica Mutual Pavilion and Rhode Island Convention Center, and ushers/ticket sellers employed by the Employer at the Rhode Island Convention Center.

Excluded: All office clerical employees, confidential employees, managers, guards, professional employees and supervisors as defined in the Act, and all other non-Admissions Department and ticketing system employees.",NA,NA,NA,16,2026-04-01,2026-04-01,"51-100",TRUE,"RC","Yes","United Food and Commercial Workers, Local No. 328 a/w United Food and Commercial Workers International Union, AFL-CIO",1,"UFCW",0.837837837837838,"Yes",30
