"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"10-RC-385801","Region 10, Atlanta, Georgia","United American Security, LLC d/b/a GardaWorld Security Services",2026-04-28,2026-07-07,"North Charleston","SC","A",2026-06-24,227,NA,"International Union, Security, Police and Fire Professionals of America (SPFPA)",40,NA,NA,NA,NA,6,46,NA,6,NA,"International Union, Security, Police and Fire Professionals of America (SPFPA)","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All employees performing guard duties as defined in section 9(b)(3) of the National Labor Relations Act, employed by the Employer at the Google data center job site located at 1669 Garrott Avenue, Moncks Corner, South Carolina.

Excluded: All other employees, office clerical employes, temporary employees, confidential employees, professional employees, managers and supervisors as defined in the Act.",NA,NA,NA,57,2026-04-01,2026-04-01,"101-500",TRUE,"RC","Yes","International Union, Security, Police and Fire Professionals of America (SPFPA)",1,"SPFPA",0.869565217391304,"Yes",181
"10-RC-385362","Region 10, Atlanta, Georgia","Legends Global",2026-04-22,2026-06-18,"Florence","SC",NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Certific. of Representative","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"26-50",TRUE,"RC","No",NA,0,"Uncoded",NA,"Yes",NA
"10-RD-385368","Region 10, Atlanta, Georgia","Georgetown Nursing Center",2026-04-22,2026-04-29,"Georgetown","SC",NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"11-25",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"10-RC-384728","Region 10, Atlanta, Georgia","Garda World Security Services",2026-04-13,2026-04-20,"Moncks Corner","SC",NA,NA,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"101-500",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"10-RC-384229","Region 10, Atlanta, Georgia","Starbucks Corporation",2026-04-03,2026-05-18,"Greer","SC","A",2026-05-08,17,NA,"Workers United a/w Service Employees International Union, AFL-CIO",13,NA,NA,NA,NA,2,15,NA,NA,NA,"Workers United a/w Service Employees International Union, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed",NA,NA,NA,NA,35,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","Workers United a/w Service Employees International Union, AFL-CIO",1,"WU",0.866666666666667,"Yes",2
"10-RC-379274","Region 10, Atlanta, Georgia","Garda World Security Services",2026-01-16,2026-01-29,"Moncks Corner","SC",NA,NA,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-01-01,"101-500",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"10-RC-377842","Region 10, Atlanta, Georgia","Starbucks Corporation",2025-12-23,NA,"Greenville","SC",NA,NA,15,NA,"Workers United a/w SEIU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2025-10-01,"11-25",TRUE,"RC","No","Workers United a/w SEIU",1,"WU",NA,"Still Open",NA
"10-RC-370505","Region 10, Atlanta, Georgia","UNFI United Natural Foods, Inc.",2025-07-31,2025-09-15,"Richburg","SC","A",2025-09-05,52,NA,"International Brotherhood of Teamsters Local 509",27,NA,NA,NA,NA,15,42,NA,NA,NA,"International Brotherhood of Teamsters Local 509","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time drivers employed by the Employer and who work at its Richburg, South Carolina facility located at 578B L&C Distribution Park, Richburg, South Carolina 29729, and all drivers who are domiciled at the Employer’s domicile located at 1801 Rutherford Road, Greenville, South Carolina 29609.

Excluded: All casual employees, clerical employees, sanitation employees, maintenance employees, confidential employees, professional employees, managers, guards and supervisors as defined in the National Labor Relations Act.",NA,NA,NA,36,2025-07-01,2025-07-01,"51-100",TRUE,"RC","Yes","International Brotherhood of Teamsters Local 509",1,"Teamsters",0.642857142857143,"Yes",10
"10-RC-370193","Region 10, Atlanta, Georgia","New Bern Transport Corporation, a wholly owned subsidiary of PepsiCo, Inc.",2025-07-28,2025-08-19,"Rock Hill","SC",NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2025-07-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"10-RC-360419","Region 10, Atlanta, Georgia","Bluebird Healthcare, Inc., d/b/a Oak View Health & Rehabilitation",2025-02-18,2026-07-08,"Conway","SC","A",2025-03-21,79,1,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, USW",21,NA,NA,NA,NA,37,58,NA,4,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, USW","Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time Certified Nurse Assistants (CNA), laundry employees, dietary employees including cooks, housekeeping employees, Restorative Nurse Assistants (RNA),  maintenance employees, Medical Records Staff, Receptionists, Central Supply Staff, Business Office Staff, and Activities Staff who were employed by the Employer at its facility located at 3300 4th Avenue, Conway, South Carolina, but excluding all other employees, confidential employees, professional employees, managerial employees, guards, and supervisors as defined in the Act.",NA,NA,NA,31,2025-01-01,2025-01-01,"51-100",TRUE,"RC","Yes","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, USW",1,"USW",0.362068965517241,"No",21
