"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"18-RC-382762","Region 18, Minneapolis, Minnesota","Vitalant",2026-03-10,2026-04-28,"Rapid City","SD","A",2026-04-10,18,NA,"Teamsters Local 120",7,NA,NA,NA,NA,10,0,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time Donor Care Technicians and Donor Care Team Leaders employed by the Employer at its 2209 W Omaha St, Rapid City, SD 57702; excluding all managers, and guards and supervisors as defined by the Act, as amended, and all other employees.",NA,NA,NA,31,2026-04-01,2026-01-01,"11-25",TRUE,"RC","Yes","Teamsters Local 120",1,"Teamsters",NA,"No",1
"18-RC-382204","Region 18, Minneapolis, Minnesota","Bluepeak",2026-03-03,2026-03-16,"Spearfish","SD",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-01-01,"6-10",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"18-RC-379699","Region 18, Minneapolis, Minnesota","Pan-O-Gold Baking Co.",2026-01-22,2026-02-20,"Sioux Falls","SD",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-01-01,"<5",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"18-RM-332507","Region 18, Minneapolis, Minnesota","NORTHWESTERN CORPORATION d/b/a NORTHWESTERN ENERGY (NWE)",2023-12-22,2024-10-09,"Sioux Falls","SD","A",2024-04-12,3,NA,"International Brotherhood of Electrical Workers, Local 426",3,NA,NA,NA,NA,0,0,NA,NA,NA,"International Brotherhood of Electrical Workers, Local 426","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Distribution Operations Controllers employed by the Employer at its facility in Huron, South Dakota.
Excluded: All other employees, managerial employees, and guards and supervisors as defined by the National Labor Relations Act.",NA,NA,NA,112,2024-04-01,2023-10-01,"<5",TRUE,"RM","Yes","International Brotherhood of Electrical Workers, Local 426",1,"IBEW",NA,"Yes",0
"18-RC-319207","Region 18, Minneapolis, Minnesota","Starbucks Corporation",2023-06-01,2023-07-20,"Aberdeen","SD","A",2023-07-13,16,NA,"Chicago and Midwest Regional Joint Board, Workers United / SEIU",2,NA,NA,NA,NA,10,12,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included:  All full-time and regular part-time Baristas and Shift Supervisors employed by the Employer at 3307 7th Avenue SE, Aberdeen, South Dakota 57401;

Excluded:  Store managers, Office Clericals, Professional Employees, and Guards and Supervisors as defined by the Act.",NA,NA,NA,42,2023-07-01,2023-04-01,"11-25",TRUE,"RC","Yes","Chicago and Midwest Regional Joint Board, Workers United / SEIU",1,"WU",0.166666666666667,"No",4
"18-RD-292174","Region 18, Minneapolis, Minnesota","Egger Steel Company",2022-03-14,2022-03-29,"Sioux Falls","SD",NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2022-01-01,"26-50",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"18-RC-284869","Region 18, Minneapolis, Minnesota","Vitalant",2021-10-20,2022-01-19,"Rapid City","SD","A",2022-01-11,12,1,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL 120",5,NA,NA,NA,NA,5,10,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included:  All full-time and part-time Donor Care Specialists and Assistant Donor Care Supervisors.

Excluded:  All Donor Relations Specialists, Hospital Services Technicians, Senior Facility Resource Coordinators, Donor Recruitment Representatives, Medical Affairs Counselors, and all managers, confidential employees, and guards and supervisors as defined by the Act.",NA,NA,NA,83,2022-01-01,2021-10-01,"11-25",TRUE,"RC","Yes","INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL 120",1,"Teamsters",0.5,"No",2
"18-RC-277109","Region 18, Minneapolis, Minnesota","Midwest Air Traffic Control Service, Inc.",2021-05-13,2021-06-28,"Rapid City","SD","A",2021-06-21,4,NA,"National Air Traffic Controllers Association, AFL-CIO (NATCA)",4,NA,NA,NA,NA,0,4,NA,NA,NA,"National Air Traffic Controllers Association, AFL-CIO (NATCA)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time air traffic control specialists employed by the Employer at the Rapid City Regional Airport Air Traffic Control Tower located in Rapid City, South Dakota; excluding all other employees, including air traffic managers, office clerical employees, professional employees, managerial employees, and guards and supervisors as defined by the Act, as amended.",NA,NA,NA,39,2021-04-01,2021-04-01,"<5",TRUE,"RC","Yes","National Air Traffic Controllers Association, AFL-CIO (NATCA)",1,"NATCA",1,"Yes",0
"18-RC-266678","Region 18, Minneapolis, Minnesota","H&S Enterprises, Inc",2020-09-25,2020-12-14,"Aberdeen","SD","A",2020-12-07,18,NA,"TEAMSTERS LOCAL 120",6,NA,NA,NA,NA,10,16,NA,1,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All regular full-time and regular part-time drivers employed by the employer and reporting into at the Aberdeen facility, 810 3rd Avenue S.E., Aberdeen, South Dakota; but excluding all clerical employees, warehouse workers, professional employees, managers, supervisors and guards as defined by the Act, and all other employees.",NA,NA,NA,73,2020-10-01,2020-07-01,"11-25",TRUE,"RC","Yes","TEAMSTERS LOCAL 120",1,"Teamsters",0.375,"No",2
"18-RC-262027","Region 18, Minneapolis, Minnesota","RIDLEY USA, INC. D/B/A HUBBARD FEEDS",2020-06-22,2020-08-27,"Huron","SD","A",2020-08-20,9,NA,"LOCAL UNION #620, LIUNA",8,NA,NA,NA,NA,0,8,NA,NA,NA,"LOCAL UNION #620, LIUNA","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time warehouse, production, maintenance, and truck driver employees employed by the Employer at its facility located at 115 Custer Avenue SE, Huron, South Dakota; excluding all other employees, office clerical employees, and guards and supervisors as defined in the Act, as amended.",NA,NA,NA,59,2020-07-01,2020-04-01,"6-10",TRUE,"RC","Yes","LOCAL UNION #620, LIUNA",1,"LIUNA",1,"Yes",1
