"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"10-RC-392483","Region 10, Atlanta, Georgia","Ascent Chemical",2026-08-07,NA,"Cleveland","TN",NA,NA,28,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC or United Steelworkers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC or United Steelworkers",1,"USW",NA,"Still Open",NA
"10-RC-392402","Region 10, Atlanta, Georgia","Karns Fire Department",2026-08-06,NA,"Knoxville","TN",NA,NA,19,NA,"United Firefighters of Karns Local 4900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","United Firefighters of Karns Local 4900",0,"Uncoded",NA,"Still Open",NA
"10-RM-392172","Region 10, Atlanta, Georgia","Volunteer Ministry Center (VMC)",2026-08-04,2026-08-05,"Knoxville","TN",NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RM","No",NA,0,"Uncoded",NA,"Other",NA
"10-RC-391380","Region 10, Atlanta, Georgia","Service Electric Company",2026-07-23,NA,"Chattanooga","TN",NA,NA,6,NA,"International Brotherhood of Electrical Workers Local 175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","International Brotherhood of Electrical Workers Local 175",1,"IBEW",NA,"Still Open",NA
"15-UC-390837","Region 15, New Orleans, Louisiana","Novel LLC",2026-07-16,2026-08-06,"Memphis","TN",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unit Clarification","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"UC","No",NA,0,"Uncoded",NA,"Other",NA
"10-RC-390592","Region 10, Atlanta, Georgia","Dark Horse Electric, LLC",2026-07-14,NA,"Sunbright","TN","A",2026-08-12,16,NA,"International Brotherhood of Electrical Workers Local Union 270",14,NA,NA,NA,NA,1,17,NA,2,NA,"International Brotherhood of Electrical Workers Local Union 270","Initial","Single Labor Organization",NA,"Open",NA,NA,NA,NA,29,2026-07-01,2026-07-01,"11-25",TRUE,"RC","Yes","International Brotherhood of Electrical Workers Local Union 270",1,"IBEW",0.933333333333333,"Still Open",1
"10-RC-389577","Region 10, Atlanta, Georgia","ENFRA Solutions",2026-06-26,2026-07-01,"Nashville","TN",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"<5",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"15-RM-389315","Region 15, New Orleans, Louisiana","Build A Bear Workshop, Inc.",2026-06-23,2026-08-07,"Collierville","TN",NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Certification of Results","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"6-10",TRUE,"RM","No",NA,0,"Uncoded",NA,"No",NA
"15-RC-388240","Region 15, New Orleans, Louisiana","Green Energy Origin Tennessee, LLC",2026-06-04,2026-07-07,"Memphis","TN","A",2026-06-26,28,1,"Bakery, Confectionery, Tobacco Workers and Grain Millers International Union (BCTGM), AFL-CIO, CLC",22,NA,NA,NA,NA,2,24,NA,2,NA,"Bakery, Confectionery, Tobacco Workers and Grain Millers International Union (BCTGM), AFL-CIO, CLC","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: 
All full-time and regular part-time production and maintenance employees and lab employees, employed by Green Energy Origin Tennessee, LLC, at its facility located at 2665 Fite Road, Memphis, Tennessee 38127.

Excluded:
All other employees, including office clerical employees, professional employees, guards, and supervisors as defined in the Act.",NA,NA,NA,22,2026-04-01,2026-04-01,"26-50",TRUE,"RC","Yes","Bakery, Confectionery, Tobacco Workers and Grain Millers International Union (BCTGM), AFL-CIO, CLC",1,"BCTGM",0.916666666666667,"Yes",4
"10-RC-387926","Region 10, Atlanta, Georgia","Astec Industries",2026-05-29,2026-06-05,"Chattanooga","TN",NA,NA,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"101-500",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
