"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"16-RC-392366","Region 16, Fort Worth, Texas","Panola Harrison Electric Cooperative",2026-08-06,NA,"Marshall","TX",NA,NA,14,NA,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL 738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL 738",1,"IBEW",NA,"Still Open",NA
"16-RD-392349","Region 16, Fort Worth, Texas","Allied Aviation Fueling Company of San Antonio, Inc.",2026-08-06,NA,"San Antonio","TX",NA,NA,38,NA,"International Association of Machinists & Aerospace Workers, District 142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RD","No","International Association of Machinists & Aerospace Workers, District 142",1,"IAM",NA,"Still Open",NA
"28-RC-392294","Region 28, Phoenix, Arizona","V2X, Inc.",2026-07-31,NA,"Fort Bliss","TX",NA,NA,4,NA,"International Association of Machinists & Aerospace Workers, AFL-CIO, Local Lodge 2515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","International Association of Machinists & Aerospace Workers, AFL-CIO, Local Lodge 2515",1,"IAM",NA,"Still Open",NA
"28-RC-391837","Region 28, Phoenix, Arizona","Sterling Medical Associates, Inc.",2026-07-29,NA,"Fort Bliss","TX",NA,NA,8,NA,"IUOE Local 351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","IUOE Local 351",1,"IUOE",NA,"Still Open",NA
"28-RC-391836","Region 28, Phoenix, Arizona","WJM Professional Services LLC",2026-07-29,NA,"Fort Bliss","TX",NA,NA,28,NA,"IUOE Local 351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","IUOE Local 351",1,"IUOE",NA,"Still Open",NA
"28-RC-391959","Region 28, Phoenix, Arizona","Magnificus Corporation",2026-07-29,NA,"Fort Bliss","TX",NA,NA,37,NA,"IUOE Local 351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","IUOE Local 351",1,"IUOE",NA,"Still Open",NA
"16-RC-391655","Region 16, Fort Worth, Texas","Vestis Services, LLC",2026-07-28,NA,"Dallas","TX",NA,NA,7,NA,"Teamsters Local Union 745",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","Teamsters Local Union 745",1,"Teamsters",NA,"Still Open",NA
"16-RC-391718","Region 16, Fort Worth, Texas","Iron Oak Energy Management LLC",2026-07-28,NA,"Crane","TX",NA,NA,50,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO/CLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO/CLC",1,"USW",NA,"Still Open",NA
"16-RC-390987","Region 16, Fort Worth, Texas","Rusk County Electric Cooperative, Inc.",2026-07-20,NA,"Henderson","TX",NA,NA,5,NA,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL 738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL 738",1,"IBEW",NA,"Still Open",NA
"16-RC-390960","Region 16, Fort Worth, Texas","Ash Grove Cement Company",2026-07-17,NA,"Midlothian","TX",NA,NA,85,NA,"International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmith, Forgers and Helpers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmith, Forgers and Helpers",1,"IBB",NA,"Still Open",NA
"16-RC-390605","Region 16, Fort Worth, Texas","Starbucks Corporation",2026-07-14,NA,"Amarillo","TX",NA,NA,24,NA,"Workers United",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Workers United",1,"WU",NA,"Still Open",NA
"16-RC-390359","Region 16, Fort Worth, Texas","AEP Texas Company",2026-07-09,2026-08-05,"Uvalde","TX","A",2026-07-28,11,NA,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 738",8,NA,NA,NA,NA,1,9,NA,NA,NA,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 738","Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED: All full time and regular part time Service Crew Leaders, Service Mechanics (A, B, C, & D), Line Crew Leaders, & Line Mechanics (A, B, C, & D), employed by the Employer reporting to the Uvalde Service Center located at 512 West Leona Street, Uvalde, Texas 78801, and to the Carrizo Spring Area Office located at Hwy 83 North, Carrizo Springs, Texas 78834.

EXCLUDED: All other employees, including office, clerical employees, professional employees, guards and supervisors as defined by the Act.",NA,NA,NA,19,2026-07-01,2026-07-01,"11-25",TRUE,"RC","Yes","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 738",1,"IBEW",0.888888888888889,"No",2
"16-RD-389005","Region 16, Fort Worth, Texas","Texas Public Radio",2026-06-17,2026-07-31,"San Antonio","TX","A",2026-07-23,11,NA,"SCREEN ACTORS GUILD - AMERICAN FEDERATION OF TELEVISION AND RADIO ARTISTS (SAG-AFTRA)",5,NA,NA,NA,NA,6,11,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included:
All full-time and regular part-time employees of Texas Public Radio who create News content for broadcast and digital platforms including Reporters, Reporter IIs, News Desk Assistants, Producers, Reporter & Producers, Anchor/Producers, Engagement Producer/Intern Coordinators, and Contributing Editors employed by the Employer at or out of its facility located at 321 West Commerce Street, San Antonio, Texas 78205, who were employed by the Employer during the payroll period ending June 14, 2026.

Excluded:
All other employees, Marketing Department employees, Development Department employees, employees of KPAC, guards and supervisors as defined by the Act.",NA,NA,NA,36,2026-07-01,2026-04-01,"11-25",TRUE,"RD","Yes","SCREEN ACTORS GUILD - AMERICAN FEDERATION OF TELEVISION AND RADIO ARTISTS (SAG-AFTRA)",1,"SAG-AFTRA",0.454545454545455,"No",0
"16-RC-388830","Region 16, Fort Worth, Texas","Rusk County Electric Cooperative, Inc.",2026-06-15,2026-07-16,"Henderson","TX","A",2026-07-08,13,NA,"International Brotherhood of Electrical Workers, Local 738",13,NA,NA,NA,NA,0,13,NA,NA,NA,"International Brotherhood of Electrical Workers, Local 738","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:  All full-time and regular part-time apprentices, journeyman linemen (all classes), and line foremen. 

EXCLUDED: All other employees, including office clerical employees, professional employees, guards and supervisors as defined by the Act.",NA,NA,NA,23,2026-07-01,2026-04-01,"11-25",TRUE,"RC","Yes","International Brotherhood of Electrical Workers, Local 738",1,"IBEW",1,"Yes",0
"16-RC-388721","Region 16, Fort Worth, Texas","Pye-Barker Fire & Safety",2026-06-11,2026-07-23,"Schertz","TX",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
