"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"27-RC-389972","Region 27, Denver, Colorado","Metro Surfaces, LLC",2026-07-02,NA,"Salt Lake City","UT",NA,NA,30,NA,"International Union of Bricklayers & Allied Craftworkers Mountain West Administrative District Council, Local Union 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","International Union of Bricklayers & Allied Craftworkers Mountain West Administrative District Council, Local Union 1",0,"Uncoded",NA,"Still Open",NA
"27-RC-388454","Region 27, Denver, Colorado","SSA Containers, Inc.",2026-06-08,2026-07-14,"Draper","UT","A",2026-07-01,113,NA,"International Longshore and Warehouse Union, Local 63, Office Clerical Unit",72,NA,NA,NA,NA,37,110,NA,1,NA,"International Longshore and Warehouse Union, Local 63, Office Clerical Unit","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees employed by the Employer, SSA Containers, Inc. located at 11814 S. Election Rd., Suite 210 Draper, Utah 84020, in the following positions: Associate Vessel Planner, Billing Lead, Billing Specialist. Billing Specialist – Terminal, Billing Supervisor, Customer Service Rep, Customer Support Specialist, Government Specialist, Inbound Specialist, Junior Vessel Planner, Lead Hazardous Specialist, Longshore Labor Analyst, Outbound Specialist, Payroll Specialist – Terminal, Senior Longshore Labor Analyst, Senior Vessel Planner, Systems Support Analyst, and Vessel Planning Supervisor.
Excluded: Contractor/temporary employees, confidential employees, professional employees, other clerical employees, managers, guards, supervisors, as defined by the Act, and all other employees.",NA,NA,NA,23,2026-07-01,2026-04-01,"101-500",TRUE,"RC","Yes","International Longshore and Warehouse Union, Local 63, Office Clerical Unit",1,"ILWU",0.660550458715596,"Yes",4
"27-RD-387246","Region 27, Denver, Colorado","Marathon Petroleum Logistics Services LLC",2026-05-18,NA,"Roosevelt","UT",NA,NA,29,NA,"International Brotherhood of Teamsters Local 222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"26-50",TRUE,"RD","No","International Brotherhood of Teamsters Local 222",1,"Teamsters",NA,"Still Open",NA
"27-RC-386487","Region 27, Denver, Colorado","EquipmentShare, Inc.",2026-05-06,2026-05-29,"North Salt Lake","UT",NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-04-01,"51-100",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"27-RC-379993","Region 27, Denver, Colorado","Quester Gas Company d/b/a Enbridge Gas Utah",2026-01-28,2026-03-03,"Salt Lake City","UT","A",2026-02-19,11,NA,"Utility Workers Union of America, AFL-CIO",6,NA,NA,NA,NA,4,10,NA,NA,NA,"Utility Workers Union of America, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time LNG Technician I, LNG Technician II, LNG Technician 
Ill, and LNG Technician IV employed by the Employer at its Magna, UT facility.

Excluded: All office clerical employees, professional employees, managerial employees, guards, and 
supervisors, as defined in the Act, and all other employees.",NA,NA,NA,22,2026-01-01,2026-01-01,"11-25",TRUE,"RC","Yes","Utility Workers Union of America, AFL-CIO",1,"UWUA",0.6,"Yes",1
"27-RC-374683","Region 27, Denver, Colorado","Hexcel Corporation",2025-11-14,2026-01-20,"West Valley City","UT","A",2026-01-09,56,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC",15,NA,NA,NA,NA,37,52,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time Lab Technicians I, Lab Technicians II,
Lab Technicians III, Lab Specialists, and Lead Technicians employed by the
Employer in its Matrix Laboratory at its West Valley City, Utah facility.

Excluded: All office clerical employees, confidential employees, professional
employees, managerial employees, guards, supervisors as defined by the
Act, and all other employees.",NA,NA,NA,56,2026-01-01,2025-10-01,"51-100",TRUE,"RC","Yes","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC",1,"USW",0.288461538461538,"No",4
"27-RC-374639","Region 27, Denver, Colorado","Phoenix Defense, LLC",2025-11-14,2025-11-19,"Bluffdale","UT",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2025-10-01,"<5",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"27-RD-374501","Region 27, Denver, Colorado","Smith Power Products, Inc.",2025-11-06,2025-12-17,"Salt Lake City","UT","A",2025-12-09,58,NA,"Operating Engineers Local Union No. 3",15,NA,NA,NA,NA,35,52,NA,2,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time employees employed by the Employer in the Parts and Service Department of the Employer’s operations including those in the following classifications: A Mechanic, B Mechanic, C Mechanic, Field Service Mechanic T, Field Service Mechanic, Shops Helper, Mechanic, Shop Truck Driver, Lub Sundry Technician, A Partsman, B Partmans, Journeyman, Driver, Shipping/Receiving Clerk, Warehouseman, Parts Department Helper, Foreman.
Excluded: Office clerical employees, professional employees, guards, and supervisors as defined in the Act.",NA,NA,NA,33,2025-10-01,2025-10-01,"51-100",TRUE,"RD","Yes","Operating Engineers Local Union No. 3",1,"IUOE",0.3,"No",8
"27-RC-374177","Region 27, Denver, Colorado","The SunTrapp, LLC",2025-09-26,2025-11-26,"Salt Lake City","UT",NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2025-07-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"27-RC-371720","Region 27, Denver, Colorado","KK Mechanical Inc.",2025-08-20,NA,"Ogden","UT","A",2025-09-25,52,NA,"UA Local 140, Plumbers, Pipefitters, HVAC&R, affiliated with United Association of Journeymen and Apprentices of Plumbing and Pipe Fitting Industry of the United States and Canada, AFL-CIO",8,NA,NA,NA,NA,36,50,NA,6,NA,"UA Local 140, Plumbers, Pipefitters, HVAC&R, affiliated with United Association of Journeymen and Apprentices of Plumbing and Pipe Fitting Industry of the United States and Canada, AFL-CIO","Initial","Single Labor Organization",NA,"Open","Included: All full-time and regular part-time employees primarily engaged in plumbing, pipefitting, or welding work who are employed by the Employer and working out of its facility located at 2775 Midland Dr, Ogden, Utah. 

Excluded: Office-clerical employees, managers, guards, supervisors as defined by the Act, and all other employees. 
",NA,NA,NA,36,2025-07-01,2025-07-01,"51-100",TRUE,"RC","Yes","UA Local 140, Plumbers, Pipefitters, HVAC&R, affiliated with United Association of Journeymen and Apprentices of Plumbing and Pipe Fitting Industry of the United States and Canada, AFL-CIO",1,"UA",0.181818181818182,"Still Open",8
"27-RC-371085","Region 27, Denver, Colorado","Park City Mountain Resort",2025-08-11,2025-08-13,"Park City","UT",NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2025-07-01,"51-100",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"27-RC-370548","Region 27, Denver, Colorado","VR CPC Holdings, Inc. d/b/a Park City Mountain Resort",2025-07-31,2025-09-08,"Park City","UT","A",2025-08-28,27,NA,"Communications Workers of America, Local 7781, AFL-CIO",15,NA,NA,NA,NA,1,20,NA,4,NA,"Communications Workers of America, Local 7781, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time* Entry Bike Patrol, Intermediate Bike Patrol, and Advanced Bike 
Patrol employed by the Employer at its Park City Mountain Resort located in Park City, Utah.

Excluded: All trail maintenance crew employees, office clerical employees,
confidential employees, professional employees, managers, guards, and
supervisors as defined in the Act.",NA,NA,NA,28,2025-07-01,2025-07-01,"26-50",TRUE,"RC","Yes","Communications Workers of America, Local 7781, AFL-CIO",1,"CWA",0.9375,"Yes",11
"27-RC-368517","Region 27, Denver, Colorado","Starbucks Corporation",2025-07-01,2025-08-20,"West Valley City","UT","A",2025-08-12,18,NA,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",13,NA,NA,NA,NA,1,14,NA,NA,NA,"Chicago and Midwest Regional Joint Board, Workers United/SEIU","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Baristas and Shift Supervisors employed by
the Employer at Store No. 68374 located in West Valley City, Utah.

Excluded: All Store Managers, Assistant Store Managers, office clerical employees, confidential 
employees, managerial employees, professional employees, guards and
supervisors, as defined in the Act.",NA,NA,NA,42,2025-07-01,2025-07-01,"11-25",TRUE,"RC","Yes","Chicago and Midwest Regional Joint Board, Workers United/SEIU",1,"WU",0.928571428571429,"Yes",4
"27-RC-366579","Region 27, Denver, Colorado","Dragonfly Wellness, LLC",2025-05-28,2025-07-08,"Salt Lake City","UT",NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dismissal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2025-04-01,"26-50",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"27-RC-366171","Region 27, Denver, Colorado","Curaleaf UT, LLC",2025-05-22,2025-07-02,"North Salt Lake","UT","A",2025-06-24,20,NA,"United Food and Commercial Workers International Union, Local 99",13,NA,NA,NA,NA,1,16,NA,2,NA,"United Food and Commercial Workers International Union, Local 99","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part time HPLC Technicians, Processing Lab Technicians, Production Technicians, Kitchen Technicians, Logistics Coordinators, Inventory Coordinators, Delivery Drivers, employed by the Employer at its facilities located at 263 South River Bend Way, Suite 500, North Salt Lake, UT 84054.
 
Excluded: All other employees, office clerical employees, supervisors, managers, and guards as defined in the Act.",NA,NA,NA,33,2025-04-01,2025-04-01,"11-25",TRUE,"RC","Yes","United Food and Commercial Workers International Union, Local 99",1,"UFCW",0.928571428571429,"Yes",6
