"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"01-RC-392118","Region 01, Boston, Massachusetts","Rural Community Transportation, Inc.",2026-08-03,NA,"Derby","VT",NA,NA,13,NA,"Chauffeurs, Teamsters, Warehousemen and Helpers Union No. 597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Chauffeurs, Teamsters, Warehousemen and Helpers Union No. 597",1,"Teamsters",NA,"Still Open",NA
"01-RC-388318","Region 01, Boston, Massachusetts","All States Construction, Inc.",2026-06-05,2026-07-02,"Irasburg","VT","A",2026-06-24,17,NA,"Chauffeurs, Teamsters, Warehousemen and Helpers Union No. 597",10,NA,NA,NA,NA,7,17,NA,NA,NA,"Chauffeurs, Teamsters, Warehousemen and Helpers Union No. 597","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Flowboy Drivers, Flowboy/Lowbed Drivers, Triaxle Drivers, Tack Truck Drivers and Water Truck Drivers employed by the Employer at its Irasburg, VT facility; but excluding all office clerical employees, confidential employees, managers, guards, professional employees and supervisors as defined in the Act.",NA,NA,NA,19,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","Chauffeurs, Teamsters, Warehousemen and Helpers Union No. 597",1,"Teamsters",0.588235294117647,"Yes",0
"03-RC-388091","Region 03, Buffalo, New York","The Rutland Hospital, Inc. d/b/a Rutland Regional Medical Center",2026-06-02,NA,"Rutland","VT","A",2026-06-25,21,NA,"Rutland Regional Medical Center Security United",13,NA,NA,NA,NA,6,19,NA,NA,NA,"Rutland Regional Medical Center Security United","Initial","Single Labor Organization",NA,"Open",NA,NA,NA,NA,23,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","Rutland Regional Medical Center Security United",0,"Uncoded",0.684210526315789,"Still Open",2
"03-RC-385770","Region 03, Buffalo, New York","Vermont Electric Power Company, Inc.",2026-04-28,2026-06-02,"Rutland","VT","A",2026-05-20,6,NA,"IBEW Local Union #300",5,NA,NA,NA,NA,1,6,NA,NA,NA,"IBEW Local Union #300","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Telecommunications/Network Technicians – 1, 2, and 3 employed by the Employer at its Rutland, Vermont facility.

Excluded: Managers, and guards, professional employees and supervisors as defined in the Act, and all other employees.

Others permitted to vote: The parties have agreed that employees in the classification of Telecommunications/Network Supervisor may vote in the election, but their ballots will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,22,2026-04-01,2026-04-01,"6-10",TRUE,"RC","Yes","IBEW Local Union #300",1,"IBEW",0.833333333333333,"Yes",0
"03-RM-385757","Region 03, Buffalo, New York","Connected Circles, LLC",2026-04-28,2026-06-02,"Plainfield","VT","A",2026-05-19,12,NA,"Connected Circles Educators Association",3,NA,NA,NA,NA,9,0,NA,NA,NA,"Connected Circles Educators Association","Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED: All full-time and regular part-time employees in the following titles: Teacher/Special Educator, Coordinator of Educational Planning and Reporting, Hearthkeeper/Health Educator, Connector, Building Cleaner, employed by the Employer at its Vermont facilities located in and around 30 Loop Road, Plainfield, Vermont.

EXCLUDED: Executive Director, Connector of Social Resources, Business Manager/Human Resources, Lead Teacher, Lead Connector, office clerical employees, confidential employees, managers, guards, professional employees and supervisors as defined by the Act, and all other employees.",NA,NA,NA,21,2026-04-01,2026-04-01,"11-25",TRUE,"RM","Yes","Connected Circles Educators Association",0,"Uncoded",NA,"No",0
"03-RC-384237","Region 03, Buffalo, New York","Road to Hana, Inc. d/b/a Healthy Living",2026-04-06,NA,"South Burlington","VT","A",2026-05-01,291,1,"Rochester Regional Joint Board, Workers United",105,NA,NA,NA,NA,69,105,NA,29,NA,"Rochester Regional Joint Board, Workers United","Initial","Single Labor Organization",NA,"Open","Included: All full-time and regular part-time non-professional employees employed by the Employer at the Employer’s South Burlington, Williston, and Saratoga Springs facilities.

Excluded: All confidential employees, professional employees, guards, supervisors as defined in the Act, and all other employees.
",NA,NA,NA,25,2026-04-01,2026-04-01,"101-500",TRUE,"RC","Yes","Rochester Regional Joint Board, Workers United",1,"WU",0.603448275862069,"Still Open",117
"03-RC-384172","Region 03, Buffalo, New York","Barnes & Noble, Inc.",2026-04-03,2026-05-12,"South Burlington","VT","A",2026-04-29,22,NA,"United Food & Commercial Workers Union, Local 1459",13,NA,NA,NA,NA,5,19,NA,1,NA,"United Food & Commercial Workers Union, Local 1459","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Booksellers, Senior Booksellers, Lead Booksellers, Inventory Cluster Supports, Baristas, Senior Baristas, Lead Baristas and Café Team Experts employed by the Employer at its South Burlington, Vermont facility.

Excluded: Store Managers, Assistant Store Managers, Deputy Assistant Store Managers, managers, and guards, professional employees and supervisors as defined in the Act.",NA,NA,NA,26,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","United Food & Commercial Workers Union, Local 1459",1,"UFCW",0.722222222222222,"Yes",4
"03-RC-382701","Region 03, Buffalo, New York","The Rutland Hospital, Inc. d/b/a Rutland Regional Medical Center",2026-03-11,2026-04-17,"Rutland","VT","A",2026-04-09,172,NA,"Rutland Healthcare Workers United, AFT Vermont, AFT, AFL-CIO",92,NA,NA,NA,NA,55,147,NA,19,NA,"Rutland Healthcare Workers United, AFT Vermont, AFT, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, regular part-time, and per-diem1 technical employees in the classifications of Breast Imaging Navigator, Cardiac Echo Sonographer, Cardiac Stress Technician, Clinic LPN, CT Technologist, Lung Cancer Screening Coordinator, Cytologist Tech Spec, EEG Tech, Emergency Psychiatric Technician, Emergency Room Technician I, Emergency Room Technician II, Histotechnologist, Histotechnology Tech Specialist, Laboratory Technical Associate, Lead Cardiac Echo Sonographer, Lead CT Technologist, Lead EEG Tech, Lead Interventional Rad Tech, Lead Mammography Technologist, Lead Medical Imaging Technologist, Lead MRI Technologist, Lead Pharmacy Tech, Lead Radiation Therapist, Lead Respiratory Care Prac, Lead Ultrasound Technologist, LPN, LPN Emergency, Mammography Technologist II, Mammography Technologist III, Medical Dosimetrist, Medical Imaging Technologist, Medical Lab Technician, MRI Technologist, Nuclear Medicine CT Tech, Nuclear Medicine CT Tech Lead, OR Surgical Tech, Patient Care Expediter, Pharmacy Tech I, Pharmacy Tech II, Pharmacy Tech III, Pharmacy Tech IV, Polysomnography Tech, Quality Control Mammo Tech, Radiation Therapist, Radiation Therapist/EMR Analyst, Radiology Tech, Rehab Tech, RCP Informatics Specialist, Respiratory Care Prac Edu, Respiratory Care Prac Hosp PD, Respiratory Care Prac Hosp I, Respiratory Care Prac Hosp II, Retail Pharmacy Tech, Sleep Health Educator, Sleep Technology Apprentice, Sterile Processing Techs, Sr. Sleep Health Educator, and Ultrasound Tech.
Excluded: All registered nurses, non-professional employees, physicians, professional employees, business office clerical employees, skilled maintenance employees, guards, supervisors as defined in the Act, and all other employees.
Others permitted to vote: The parties have agreed that employees in the classifications of Bio Med Tech I, Bio Med Tech II, Bio Med Imaging Spec, Bio Med Periop Spec, Cytotechnologist, Cytotechnologist II, Lab Advanced Tech Specialist, Lead Medical Lab Scientist, and Medical Lab Scientist may vote in the election but their ballots will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election

1 In order to be eligible to vote, a per diem employee must have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.",NA,NA,NA,29,2026-04-01,2026-01-01,"101-500",TRUE,"RC","Yes","Rutland Healthcare Workers United, AFT Vermont, AFT, AFL-CIO",1,"WU",0.625850340136054,"Yes",25
"03-RC-382700","Region 03, Buffalo, New York","The Rutland Hospital, Inc. d/b/a Rutland Regional Medical Center",2026-03-11,2026-04-17,"Rutland","VT","A",2026-04-09,492,NA,"Rutland Healthcare Workers United, AFT Vermont, AFT, AFL-CIO",228,NA,NA,NA,NA,167,395,NA,23,NA,"Rutland Healthcare Workers United, AFT Vermont, AFT, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, regular part-time, and per-diem¹ non-professional employees  in  the  
classifications  of   340B  Compliance  Coord,  Access Representative I, Access Representative II, 
Access Representative III, Admin Coordinator  Periop  Services,  Administrative  Assistant,  
Administrative Coordinator, Administrative Coordinator Clinic, Administrative Coordinator CM, 
Administrative  Coordinator  ED,  Administrative  Coordinator  Facilities, Administrative  
Coordinator  Hospital,  Administrative  Coordinator  Lab, Administrative Coordinator MG, 
Administrative Coordinator QS, Bone Marrow Program Coordinator,  Cook, Clinic Access  Specialist, 
Discharge Planning Assistant, Environmental Services Technician, Environmental Services Technician 
Surgical, FANS Training Development Coordinator, Floor Care Technician, Food Service Assistant, 
Front Office Assistant, Hospital Courier, Imaging Services Coordinator, Informatics Analyst 
Educator, Inventory Control Tech, Lab Outreach LIS Coordinator, Lead Clinical Support Services, 
Lead Linen Technician, Lead MA Coord, Lead Certified Ophthalmic Tech, Lead Phlebotomist, Linen 
Tech, MA Care Coordinator, Mailroom Messenger, Material Handler, Medical Assistant, Medical 
Assistant Hospital, Monitor Tech, Nutrition Technician, Omnicell Supply Tech, Ophthalmic Assistant 
Certified, OR Scheduler, Patient Safety Monitor, Peer Specialist, Phlebotomist I, Phlebotomist II, 
Phlebotomist III, Point of Care Specialist, Psychiatric Technician I, Psychiatric Technician II, PT 
Asst, PT Asst PD, Receiver Supply Chain, Referral Coordinator, SNTA I, Surgical and Procedural 
Coordinator, Testing Support Assistant, Transporter Aide, Unit LNA, and Unit Secretary

Excluded: All registered nurses, technical employees, physicians, professional employees, business 
office clerical employees, skilled maintenance employees, guards, supervisors as defined in the 
Act, and all other employees.

Others permitted to vote: The parties have agreed that employees in the classifications of Clinical 
Prof. Coder I, Clinical Prof. Coder II, Clinical Prof. Coder III, Coder I, Coder II, Coder III, 
Coding Quality Auditor, and Coding Educator may vote in the election but their ballots will be 
challenged since their eligibility has not been resolved. No decision has been made regarding 
whether the individuals in these classifications or groups are included in, or excluded from, the 
bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, 
following the election.

1
In order to be eligible to vote, a per diem employee must have worked an average of four (4) hours 
or more
per week during the 13 weeks immediately preceding the eligibility date for the election.",NA,NA,NA,29,2026-04-01,2026-01-01,"101-500",TRUE,"RC","Yes","Rutland Healthcare Workers United, AFT Vermont, AFT, AFL-CIO",1,"WU",0.577215189873418,"Yes",97
"03-RC-378197","Region 03, Buffalo, New York","Rural Community Transportation Inc.",2026-01-02,2026-01-07,"Saint Albans","VT",NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-01-01,"6-10",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"03-RC-377747","Region 03, Buffalo, New York","Starbucks Corporation",2025-12-23,2026-02-11,"Manchester Center","VT","A",2026-01-29,15,NA,"Workers United, affiliated with Service Employees International Union, AFL-CIO",12,NA,NA,NA,NA,2,14,NA,NA,NA,"Workers United, affiliated with Service Employees International Union, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Baristas and Shift Supervisors employed by the Employer at its facility located at 365 Depot St., Manchester Center, Vermont.
Excluded: All Store Managers, Assistant Store Managers, office clerical employees, guards and supervisors as defined by the Act.",NA,NA,NA,37,2026-01-01,2025-10-01,"11-25",TRUE,"RC","Yes","Workers United, affiliated with Service Employees International Union, AFL-CIO",1,"WU",0.857142857142857,"Yes",1
"03-RD-377003","Region 03, Buffalo, New York","COPLEY HOSPITAL, INC",2025-12-12,2026-01-23,"Morrisville","VT","A",2026-01-14,135,NA,"UNITED NURSES AND ALLIED PROFESSIONALS",73,NA,NA,NA,NA,38,111,NA,5,NA,"UNITED NURSES AND ALLIED PROFESSIONALS","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time, regular part-time, and per-diem* non-professional employees in the classifications of: Administrative Assistant, Administrative Unit Coordinator, Authorization Coordinator, CSR Technician, Dietary Technician, Endo Tech, EVS OR Technician, EVS Technician/Security, Food Service Worker, Health Information Specialist, HIM Lead, HIM Specialist, Intake Referral Specialist, Inventory Clerk, Laboratory Aide, Lead CSR Technician, Lead Radiology Scheduler, LNA, Maintenance Technician I, Maintenance Technician Il, Medical Assistant I, Medical Assistant II, Medical Assistant III, Nutrition Assistant, Operating Room Scheduler, Operating Room Service Aide, PAS Quality Assurance Specialist, Patient Care Assistant, Patient Engagement Specialist, Patient Engagement Specialist I, Patient Engagement Specialist Il, Patient Engagement Specialist III, Perioperative Unit Coordinator, Phlebotomist, Phlebotomist/Receptionist, Radiology Scheduler, Referral Specialist, Registrar, Registrar/Scheduler, Scheduler, Sous Chef, Team Leader, Transcriptionist, and Unit Coordinator employed by the Employer at its Morrisville and Waterbury, Vermont facilities. 
*Per diem employees who have worked an average of four (4) hours or more per week during the thirteen (13) weeks immediately preceding the eligibility date for the election are eligible to vote
EXCLUDED: all confidential employees, business office clerical employees, physicians, registered nurses, professional employees, technical employees, skilled maintenance employees, managers, guards, supervisors as defined in the Act, and all other employees.",NA,NA,NA,33,2026-01-01,2025-10-01,"101-500",TRUE,"RD","Yes","UNITED NURSES AND ALLIED PROFESSIONALS",1,"UNAP",0.657657657657658,"Yes",24
"03-RC-375124","Region 03, Buffalo, New York","Porter Medical Center",2025-11-20,2025-12-19,"Middlebury","VT","A",2025-12-09,13,NA,"PORTER FEDERATION OF NURSES AND HEALTH PROFESSIONALS, LOCAL 5753, AFT VT, AFT, AFL-CIO",6,NA,NA,NA,NA,6,12,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED: All full-time, regular part-time, and per-diem* nursing professional employees of the Employer employed at 115 Porter Drive, Middlebury, VT 05401, and at other Employer’s facilities located in and around Middlebury, Vermont, in the classifications of: Admissions/Discharge Coordinator RN (HP), Case Manager (RN), Case Manager RN - PD, Clinical Nurse Educator, Clinical Quality and Patient Safety Nurse, MDS Coordinator (RN), MDS Coordinator (RN) – PD, Nurse Examiner RN - NE, PMC Clinical Informaticist RN, as a residual to the existing PORTER FEDERATION OF NURSES AND HEALTH PROFESSIONALS, LOCAL 5753, AFT VT, AFT, AFL-CIO RN Bargaining Unit of employees currently represented by PORTER FEDERATION OF NURSES AND HEALTH PROFESSIONALS, LOCAL 5753, AFT VT, AFT, AFL-CIO as set forth in the parties’ current collective bargaining agreement. 
*The parties agreed that for purposes of eligibility in this election, per-diem employees must have worked an average of four (4) hours or more per week over the thirteen (13) weeks immediately preceding the eligibility date for the election.

EXCLUDED: All service and maintenance employees, LPNs, technical employees, physicians, business office clerical employees, non-nursing professionals, casual employees, managerial employees, confidential employees, guards, and supervisors as defined in the Act.",NA,NA,NA,19,2025-10-01,2025-10-01,"11-25",TRUE,"RC","Yes","PORTER FEDERATION OF NURSES AND HEALTH PROFESSIONALS, LOCAL 5753, AFT VT, AFT, AFL-CIO",1,"AFT",0.5,"No",1
