"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"06-RC-391495","Region 06, Pittsburgh, Pennsylvania","The Ziegenfelder Company",2026-07-27,NA,"Wheeling","WV",NA,NA,8,NA,"IUPAT, District Council 53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","IUPAT, District Council 53",1,"IUPAT",NA,"Still Open",NA
"06-RC-391026","Region 06, Pittsburgh, Pennsylvania","The Ziegenfelder Company",2026-07-20,2026-07-24,"Wheeling","WV",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"09-RC-390230","Region 09, Cincinnati, Ohio","101 13TH STREET OPERATIONS LLC D/B/A HERITAGE CENTER",2026-07-07,2026-07-29,"Huntington","WV",NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"05-RM-389158","Region 05, Baltimore, Maryland","PNGI Charles Town Gaming, LLC",2026-06-22,NA,"Charles Town","WV",NA,NA,16,NA,"Local 947, International Brotherhood of Service Workers, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"11-25",TRUE,"RM","No","Local 947, International Brotherhood of Service Workers, AFL-CIO",0,"Uncoded",NA,"Still Open",NA
"06-RC-387112","Region 06, Pittsburgh, Pennsylvania","Highline Warren LLC",2026-05-15,2026-07-06,"Glen Dale","WV","A",2026-06-25,201,NA,"Local 697, a/w International Brotherhood of Teamsters",108,NA,NA,NA,NA,70,178,NA,NA,NA,"Local 697, a/w International Brotherhood of Teamsters","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time production and maintenance employees, drivers, and yard jockeys employed at the Employer's Glen Dale, West Virginia facility.
Excluding: All office clerical employees, professional employees, guards and supervisors as defined in the Act and all other employees.",NA,NA,NA,41,2026-04-01,2026-04-01,"101-500",TRUE,"RC","Yes","Local 697, a/w International Brotherhood of Teamsters",1,"Teamsters",0.606741573033708,"Yes",23
"09-RC-386102","Region 09, Cincinnati, Ohio","AMERICAN ELECTRIC POWER",2026-05-01,2026-06-10,"Hurricane","WV","A",2026-06-02,10,NA,"Local Union 978, International Brotherhood of Electrical Workers, AFL-CIO",10,NA,NA,NA,NA,0,10,NA,NA,NA,"Local Union 978, International Brotherhood of Electrical Workers, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","All full time and regular part time Substation Protection & Controls Technician, Substation Protection & Controls Technician I, Substation Protection & Controls Technician II, Protection & Controls Technician Senior, Protection & Controls Technician Specialist Principle, and Substation Protection & Controls Field Technologist employed by American Electric Power at its Hurricane, West Virginia facility; excluding office clerical employees, confidential employees, professional employees, managerial employees, guards and supervisors as defined in the Act.

If a majority of valid ballots are cast for Local Union 978, International Brotherhood of Electrical Workers, AFL-CIO, they will be taken to have indicated the employees’ desire to be included in the existing unit of “All probationary and regular production and maintenance employees employed by the Charleston Bargaining Unit (including MRO Utility Workers and MRO Servicers), but excluding all casual, temporary, confidential, office and plant clerical, accounting, professional, technical, and sales employees, guards, janitors and supervisory employees as defined by the National Labor Relations Act.” currently represented by the Local Union 978, International Brotherhood of Electrical Workers, AFL-CIO.  If a majority of valid ballots are not cast for representation, they will be taken to have indicated the employees’ desire to remain unrepresented.",NA,NA,NA,32,2026-04-01,2026-04-01,"6-10",TRUE,"RC","Yes","Local Union 978, International Brotherhood of Electrical Workers, AFL-CIO",1,"IBEW",1,"Yes",0
"06-RC-384535","Region 06, Pittsburgh, Pennsylvania","Hope Gas, Inc.",2026-04-09,2026-05-19,"Morgantown","WV","A",2026-05-11,5,NA,"United Gas Workers Union, Local 69",0,NA,NA,NA,NA,4,4,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All employees employed by the Employer as corrosion technicians at the Employer’s Clarksburg, Gassaway, Morgantown, and Parkersburg, West Virginia facilities.

Excluded: Confidential secretaries, office clerical employees, guards, executives, and professional employees and supervisors as defined in the Act.",NA,NA,NA,32,2026-04-01,2026-04-01,"<5",TRUE,"RC","Yes","United Gas Workers Union, Local 69",0,"Uncoded",0,"No",1
"05-RC-384147","Region 05, Baltimore, Maryland","Starbucks Corporation",2026-04-02,2026-05-21,"Inwood","WV","A",2026-05-13,19,NA,"Workers United a/w Service Employees International Union",11,NA,NA,NA,NA,8,19,NA,NA,NA,"Workers United a/w Service Employees International Union","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time baristas and shift supervisors employed by the Employer at its facility currently located at 24 Terroso Way, Inwood, West Virginia, but excluding all assistant store managers, store managers, office clerical employees, guards, and supervisors as defined in the Act.",NA,NA,NA,41,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","Workers United a/w Service Employees International Union",1,"WU",0.578947368421053,"Yes",0
"06-RC-383896","Region 06, Pittsburgh, Pennsylvania","TCL Specialties LLC",2026-03-30,2026-05-04,"Proctor","WV","A",2026-04-24,69,NA,"United Steel Paper and Forestry Rubber Manufacturing Energy Allied Industrial and Service Workers International Union AFL-CIO, CLC",32,NA,NA,NA,NA,34,66,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time maintenance technicians, operators, electrical and instrumentation technicians, warehouse employees, and general laborers at the Employer's 17595 Energy Road, Proctor, WV 26055 facility.

Excluded: All other employees including office clerical employees, confidential employees, managerial employees, guards, and professional employees and supervisors as defined in the Act.",NA,NA,NA,25,2026-04-01,2026-01-01,"51-100",TRUE,"RC","Yes","United Steel Paper and Forestry Rubber Manufacturing Energy Allied Industrial and Service Workers International Union AFL-CIO, CLC",1,"USW",0.484848484848485,"No",3
"09-RC-382722","Region 09, Cincinnati, Ohio","HOOTEN EQUIPMENT COMPANY, LLC",2026-03-12,NA,"Charleston","WV","A",2026-04-07,18,NA,"United Association of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States and Canada, Local 625, AFL-CIO (PPF)",9,NA,NA,NA,NA,9,18,NA,NA,NA,NA,"Initial","Single Labor Organization",NA,"Open","All full-time and regular part-time service department technicians, installers, and helpers employed by the Employer out of its Charleston, West Virginia facility, excluding all other employees, professional employees, office clerical employees, guards and supervisors as defined in the Act.",NA,NA,NA,26,2026-04-01,2026-01-01,"11-25",TRUE,"RC","Yes","United Association of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States and Canada, Local 625, AFL-CIO (PPF)",1,"UA",0.5,"Still Open",0
"06-RC-382683","Region 06, Pittsburgh, Pennsylvania","Jackie Withrow WVA Facility Operations LLC d/b/a Majestic Care of Beckley",2026-03-11,2026-04-24,"Beckley","WV","A",2026-04-16,71,NA,"Service Employees International Union District WKO",27,NA,NA,NA,NA,2,29,NA,1,NA,"Service Employees International Union District WKO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, part-time, and casual Licensed Practical Nurses (LPN), Certified Nurse Assistants (CNA), Restorative Nursing Assistants, Activities Assistants, Maintenance Assistants, Housekeeping Aides, Dietary Aides, Dietary Cooks, and Laundry Aides employed by the Employer at its facility located at 105 S. Eisenhower Dr., Beckley, WV 25801.

Excluded: All Executive Directors, Directors of Nursing Services, Unit Managers, Infection Control Nurses, Medical Records Clerks, Registered Nurses, Social Services Assistants, Business Office Managers, Administrative Assistants, confidential employees, and guards, and professional employees and supervisors as defined by the Act.",NA,NA,NA,36,2026-04-01,2026-01-01,"51-100",TRUE,"RC","Yes","Service Employees International Union District WKO",1,"SEIU",0.931034482758621,"Yes",42
