"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"18-RC-392632","Region 18, Minneapolis, Minnesota","Three Bears Resort",2026-08-10,NA,"Warrens","WI",NA,NA,38,NA,"Communication Workers of America, District IV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","Communication Workers of America, District IV",1,"CWA",NA,"Still Open",NA
"18-RC-392573","Region 18, Minneapolis, Minnesota","SSM Health Care of Wisconsin, Inc. d/b/a SSM Health Dean Medical Group",2026-08-10,NA,"Madison","WI",NA,NA,380,NA,"SEIU Wisconsin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RC","No","SEIU Wisconsin",1,"SEIU",NA,"Still Open",NA
"18-RD-392319","Region 18, Minneapolis, Minnesota","Cumberland Memorial Hospital",2026-08-05,2026-08-13,"Cumberland","WI",NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"18-RC-391617","Region 18, Minneapolis, Minnesota","Service Sanitation Wisconsin, Inc.",2026-07-27,NA,"New Berlin","WI",NA,NA,17,NA,"International Brotherhood of Teamsters, Local 200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","International Brotherhood of Teamsters, Local 200",1,"Teamsters",NA,"Still Open",NA
"18-RC-391475","Region 18, Minneapolis, Minnesota","3M Company",2026-07-22,NA,"Prairie du Chien","WI",NA,NA,465,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied & Industrial Service Workers International Union, AFL-CIO, CLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RC","No","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied & Industrial Service Workers International Union, AFL-CIO, CLC",1,"USW",NA,"Still Open",NA
"18-RC-390476","Region 18, Minneapolis, Minnesota","Painters USA, Inc.",2026-07-09,NA,"Eagle","WI",NA,NA,16,NA,"International Union of Painters and Allied Trades, District Council No. 7, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","International Union of Painters and Allied Trades, District Council No. 7, AFL-CIO",1,"IUPAT",NA,"Still Open",NA
"18-RC-390486","Region 18, Minneapolis, Minnesota","Sysco Baraboo, LLC",2026-07-08,NA,"Baraboo","WI",NA,NA,90,NA,"Teamsters Local Union Number 120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","Teamsters Local Union Number 120",1,"Teamsters",NA,"Still Open",NA
"18-RC-390027","Region 18, Minneapolis, Minnesota","Starbucks Corporation",2026-07-06,2026-08-14,"Verona","WI","A",2026-08-05,21,NA,"Workers United, a/w Service Employees International Union, AFL-CIO",5,NA,NA,NA,NA,14,19,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time Baristas and Shift Supervisors employed by the Employer at its facility currently located at 147 West End Circle, Verona, Wisconsin.

Excluded: All store managers, assistant store managers, office clericals, professional employees, and guards and supervisors as defined by the Act.",NA,NA,NA,30,2026-07-01,2026-07-01,"11-25",TRUE,"RC","Yes","Workers United, a/w Service Employees International Union, AFL-CIO",1,"WU",0.263157894736842,"No",2
"18-RD-390389","Region 18, Minneapolis, Minnesota","Whitewater MFG. Group",2026-07-06,2026-07-17,"Whitewater","WI",NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RD","No",NA,0,"Uncoded",NA,"Other",NA
"18-RC-390055","Region 18, Minneapolis, Minnesota","QSI, LLC",2026-07-01,2026-07-29,"Milwaukee","WI",NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"18-RC-389391","Region 18, Minneapolis, Minnesota","Ocean Spray Cranberries, Inc.",2026-06-22,2026-08-07,"Wisconsin Rapids","WI","A",2026-07-29,68,NA,"International Brotherhood of Electrical Workers, Local 965",34,NA,NA,NA,NA,29,63,NA,NA,NA,"International Brotherhood of Electrical Workers, Local 965","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Production Resources, Operators, CCE Operators, Hi-Lift Operators, Logistics Operators, CCI Technicians, Team Leaders and Truck Drivers employed by the Employer at or out of its facility currently located at 3130 Industrial Street, Wisconsin Rapids, Wisconsin.

Excluded: All other employees, confidential employees, managers, and guards and supervisors defined by the Act.",NA,NA,NA,37,2026-07-01,2026-04-01,"51-100",TRUE,"RC","Yes","International Brotherhood of Electrical Workers, Local 965",1,"IBEW",0.53968253968254,"Yes",5
"18-RC-389358","Region 18, Minneapolis, Minnesota","Midwest Organic Services Association Inc",2026-06-22,NA,"Viroqua","WI",NA,NA,3,NA,"Office and Professional Employees International Union Local 39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"<5",TRUE,"RC","No","Office and Professional Employees International Union Local 39",1,"OPEIU",NA,"Still Open",NA
"18-RC-389251","Region 18, Minneapolis, Minnesota","Alliant Energy Corporation",2026-06-18,2026-07-29,"Madison","WI","A",2026-07-21,6,NA,"International Brotherhood of Electrical Workers, Local Union 965",4,NA,NA,NA,NA,2,6,NA,NA,NA,"International Brotherhood of Electrical Workers, Local Union 965","Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time Senior Technical Trainers employed by the Employer out of its Fond du Lac Training Center.  

Excluded: All other employees, confidential employees, managers, and guards, and supervisors as defined by the Act.  

If a majority of valid ballots are cast for the International Brotherhood of Electrical Workers, Local Union 965, they will be taken to have indicated the employees’ desire to be included in the existing bargaining unit consisting of employees within the job classifications set forth in Articles XXXVI and XXXVII of the parties’ most recent collective-bargaining agreement, currently represented by International Brotherhood of Electrical Workers, Local Union 965. If a majority of valid ballots are not cast for representation, they will be taken to have indicated the employees’ desire to remain unrepresented.

OPTV",NA,NA,NA,33,2026-07-01,2026-04-01,"6-10",TRUE,"RC","Yes","International Brotherhood of Electrical Workers, Local Union 965",1,"IBEW",0.666666666666667,"No",0
