"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"27-RC-392486","Region 27, Denver, Colorado","Extreme Precision Industrial Contractors, LLC",2026-08-07,NA,"Gillette","WY",NA,NA,14,NA,"Plumbers and Pipefitters Local 192 affiliated with United Association of Journeymen and Apprentices of the Plumbing and Pipefitting Industry of the United States and Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Plumbers and Pipefitters Local 192 affiliated with United Association of Journeymen and Apprentices of the Plumbing and Pipefitting Industry of the United States and Canada",0,"Uncoded",NA,"Still Open",NA
"27-RD-383366","Region 27, Denver, Colorado","Wells Fargo Bank, N.A.",2026-03-23,NA,"Casper","WY",NA,NA,6,NA,"Wells Fargo Workers United, affiliated with Communications Workers of America Union, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-01-01,"6-10",TRUE,"RD","No","Wells Fargo Workers United, affiliated with Communications Workers of America Union, AFL-CIO",2,"Multiple",NA,"Still Open",NA
"27-RC-375233","Region 27, Denver, Colorado","Jackson Hole Mountain Resort Corporation",2025-11-20,2026-01-14,"Teton Village","WY","A",2026-01-08,90,NA,"Communications Workers of America, Local 7781",32,NA,NA,NA,NA,42,90,NA,16,"Y",NA,"Initial","Single Labor Organization","Withdrawal Non-adjusted","Closed","Included: All full-time and regular part-time ski patrollers employed by the Employer.
Excluded: Office clerical employees, professional employees, confidential employees, managerial employees, guards, and supervisors, as defined in the Act.",NA,NA,NA,49,2026-01-01,2025-10-01,"51-100",TRUE,"RC","Yes","Communications Workers of America, Local 7781",1,"CWA",0.432432432432432,"Other",16
"27-RC-368877","Region 27, Denver, Colorado","Mountain Cement Company LLC",2025-07-07,2025-08-28,"Laramie","WY","A",2025-08-20,79,1,"INTERNATIONAL BROTHERHOOD OF BOILERMAKERS, IRON SHIP BUILDERS, BLACKSMITH, FORGERS, AND HELPERS, LOCAL 101",40,NA,NA,NA,NA,26,78,NA,12,NA,"INTERNATIONAL BROTHERHOOD OF BOILERMAKERS, IRON SHIP BUILDERS, BLACKSMITH, FORGERS, AND HELPERS, LOCAL 101","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Dust Collector Mechanics, Electricians, Instrumentation Technicians, Laborers, Loader Operators, Lube Oiler Repairmen, Mix Chemists, Mobile Equipment Mechanics, Shipping Operators, Truck Drivers, Utility Operators, and Welder/Mechanics employed by the Employer at its Laramie, Wyoming facility.
 
Excluded: Quarry Technicians, office clerical employees, professional employees, guards, and supervisors, as defined in the Act, and all other employees.",NA,NA,NA,44,2025-07-01,2025-07-01,"51-100",TRUE,"RC","Yes","INTERNATIONAL BROTHERHOOD OF BOILERMAKERS, IRON SHIP BUILDERS, BLACKSMITH, FORGERS, AND HELPERS, LOCAL 101",1,"IBB",0.606060606060606,"Yes",13
"27-RC-364523","Region 27, Denver, Colorado","Wyo-Ben, Inc.",2025-04-28,2025-05-21,"Lovell","WY",NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2025-04-01,"11-25",TRUE,"RC","No",NA,0,"Uncoded",NA,"Other",NA
"27-RD-352524","Region 27, Denver, Colorado","Wyo-Ben, Inc.",2024-10-10,2024-11-21,"Greybull","WY","A",2024-11-13,71,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial, and Service Workers International Union, AFL-CIO, CLC, Local #11-656",33,NA,NA,NA,NA,27,60,NA,NA,NA,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial, and Service Workers International Union, AFL-CIO, CLC, Local #11-656","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time production, maintenance, and production mining 
employees employed by the Employer at its facility located in Greybull, Wyoming.
Excluded: Laboratory employees and all other technicians (which includes field employees engaged in 
locating, surveying, drilling, discovery and assessment work in the field areas of the Company), 
clerical employees, office janitor or janitress, administrative employees, supervisory employees as 
defined in the Labor Management
Relations Act, guards and watchmen.",NA,NA,NA,34,2024-10-01,2024-10-01,"51-100",TRUE,"RD","Yes","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial, and Service Workers International Union, AFL-CIO, CLC, Local #11-656",1,"USW",0.55,"Yes",11
"27-RC-349057","Region 27, Denver, Colorado","Wells Fargo Bank, N.A.",2024-08-26,2024-10-04,"Casper","WY","A",2024-09-26,5,NA,"Wells Fargo Workers United, affiliated with Communication Workers of America, AFL-CIO",3,NA,NA,NA,NA,2,5,NA,NA,NA,"Wells Fargo Workers United, affiliated with Communication Workers of America, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Tellers, Personal Bankers, Personal Bankers, 
Relationship Bankers, and Branch Operations Coordinators employed by the Employer at its facility 
located at 3500 Cy Avenue, Casper, WY 82604.
Excluded:  All  office clerical  employees,  Branch Managers,  Branch  Operations Associate 
Managers, Service Managers, Financial Advisors, professional employees, confidential employees, 
guards, and supervisors, as defined in the Act, and all other
employees.",NA,NA,NA,31,2024-07-01,2024-07-01,"<5",TRUE,"RC","Yes","Wells Fargo Workers United, affiliated with Communication Workers of America, AFL-CIO",2,"Multiple",0.6,"Yes",0
"27-RC-347151","Region 27, Denver, Colorado","Short Powerline Service, LLC",2024-07-29,2025-04-24,"Glenrock","WY","A",2025-04-11,19,NA,"International Brotherhood of Electrical Workers, Local 322, AFL-CIO, CLC",3,NA,NA,NA,NA,8,11,NA,NA,NA,NA,"Initial","Revised Single Labor Org","Certification of Results","Closed","Included: All full-time and regular part-time journeyman and apprentice electricians, journeyman 
and apprentice linemen, and line equipment operators employed by the
Employer.

Excluded: Office clerical employees, owners, guards, professional employees and
supervisors as defined in the Act.",NA,NA,NA,256,2025-04-01,2024-07-01,"11-25",TRUE,"RC","Yes","International Brotherhood of Electrical Workers, Local 322, AFL-CIO, CLC",1,"IBEW",0.272727272727273,"No",8
"27-RC-347151","Region 27, Denver, Colorado","Short Powerline Service, LLC",2024-07-29,2025-04-24,"Glenrock","WY","A",2024-09-03,14,NA,"International Brotherhood of Electrical Workers, Local 322, AFL-CIO, CLC",3,NA,NA,NA,NA,8,11,NA,6,"Y","International Brotherhood of Electrical Workers, Local 322, AFL-CIO, CLC","Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time journeyman and apprentice electricians, journeyman 
and apprentice linemen, and line equipment operators employed by the
Employer.

Excluded: Office clerical employees, owners, guards, professional employees and
supervisors as defined in the Act.",NA,NA,NA,36,2024-07-01,2024-07-01,"11-25",FALSE,"RC","Yes","International Brotherhood of Electrical Workers, Local 322, AFL-CIO, CLC",1,"IBEW",0.272727272727273,"No",3
"27-RM-339133","Region 27, Denver, Colorado","Starbucks Corporation",2024-04-02,2024-04-30,"Cheyenne","WY",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dismissal Non-adjusted","Closed",NA,NA,NA,NA,NA,NA,2024-04-01,"11-25",TRUE,"RM","No",NA,0,"Uncoded",NA,"Other",NA
