"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"01-RC-374712","Region 01, Boston, Massachusetts","Babson College",2025-11-17,NA,"Wellesley","MA",NA,NA,22,NA,"AMERICAN COALITION OF PUBLIC SAFETY (ACOPS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2025-10-01,"11-25",TRUE,"RC","No","AMERICAN COALITION OF PUBLIC SAFETY (ACOPS)",1,"ACOPS",NA,"Still Open",NA
"01-RC-313126","Region 01, Boston, Massachusetts","Northeastern University",2023-03-01,2024-03-08,"Boston","MA","A",2023-09-11,15,NA,"American Coalition of Public Safety",14,NA,NA,NA,NA,0,14,NA,NA,NA,"American Coalition of Public Safety","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time sergeants, sergeant detectives, and detectives employed by the Employer at its Boston, Massachusetts location, but excluding all managers and supervisors as defined in the Act.",NA,NA,NA,194,2023-07-01,2023-01-01,"11-25",TRUE,"RC","Yes","American Coalition of Public Safety",1,"ACOPS",1,"Yes",1
"01-RC-248425","Region 01, Boston, Massachusetts","Endicott College",2019-09-18,2019-10-22,"Beverly","MA","A",2019-10-11,11,NA,"AMERICAN COALITION OF PUBLIC SAFETY, LOCAL 24",11,NA,NA,NA,NA,0,11,NA,NA,NA,"AMERICAN COALITION OF PUBLIC SAFETY, LOCAL 24","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time campus police officers, but excluding all other employees, per diem campus police officers, campus police sergeants, campus police lieutenants, campus police captains, Chief of Police, aide to the Chief of Police, dispatchers, managers, and supervisors as defined in the Act.",NA,NA,NA,23,2019-10-01,2019-07-01,"11-25",TRUE,"RC","Yes","AMERICAN COALITION OF PUBLIC SAFETY, LOCAL 24",1,"ACOPS",1,"Yes",0
"01-RC-162232","Region 01, Boston, Massachusetts","WHEATON COLLEGE",2015-10-20,2015-12-08,"NORTON","MA","A",2015-11-30,13,NA,"AMERICAN COALITION OF PUBLIC SAFETY, LOCAL 22",9,NA,NA,NA,NA,3,12,NA,NA,NA,"AMERICAN COALITION OF PUBLIC SAFETY, LOCAL 22","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:  ALL FULL-TIME, PART-TIME, AND PER DIEM POLICE PATROL OFFICERS AND DISPATCHERS EMPLOYEDE WITHIN WHEATON'S DEPARTMENT OF PUBLIC SAFETY.

EXCLUDED:  ALL OTHER EMPLOYEES, SUPERVISORS, AND GUARDS AS DEFINED IN THE ACT",NA,NA,NA,41,2015-10-01,2015-10-01,"11-25",TRUE,"RC","Yes","AMERICAN COALITION OF PUBLIC SAFETY, LOCAL 22",1,"ACOPS",0.75,"Yes",1
"01-RC-139931","Region 01, Boston, Massachusetts","MERRIMACK COLLEGE",2014-10-30,2015-02-03,"North Andover","MA","A",2015-01-22,18,NA,"AMERICAN COALITION OF PUBLIC SAFETY (ACOPS) LOCAL 18",15,NA,NA,NA,NA,3,18,NA,NA,NA,"AMERICAN COALITION OF PUBLIC SAFETY (ACOPS) LOCAL 18","Initial","Single Labor Organization","Certific. of Representative","Closed",NA,NA,NA,NA,84,2015-01-01,2014-10-01,"11-25",TRUE,"RC","Yes","AMERICAN COALITION OF PUBLIC SAFETY (ACOPS) LOCAL 18",1,"ACOPS",0.833333333333333,"Yes",0
"08-RC-133311","Region 08, Cleveland, Ohio","Case Western Reserve University",2014-07-23,2014-09-08,"Cleveland","OH","A",2014-08-28,14,NA,"AMERICAN COALITION OF PUBLIC SAFETY, LOCAL 22",5,NA,NA,NA,NA,9,14,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time police officers employed by the Employer at 10900 Euclid Avenue, Cleveland, Ohio but excluding all office clerical employees, all security officers, and all professional employees, guards and supervisors as defined in the Act, and all other employees.",NA,NA,NA,36,2014-07-01,2014-07-01,"11-25",TRUE,"RC","Yes","AMERICAN COALITION OF PUBLIC SAFETY, LOCAL 22",1,"ACOPS",0.357142857142857,"No",0
"01-RC-121020","Region 01, Boston, Massachusetts","TRUSTEES OF BOSTON UNIVERSITY",2014-01-23,2014-04-21,"BOSTON","MA","A",2014-04-10,9,NA,"AMERICAN COALITION OF PUBLIC SAFETY, LOCAL 22",7,NA,NA,NA,NA,1,8,NA,NA,NA,"AMERICAN COALITION OF PUBLIC SAFETY, LOCAL 22","Initial","Single Labor Organization","Certific. of Representative","Closed","All regular full time and part time sergeants employed by the Employer at its university and medical campuses in Boston, Massachusetts; but excluding all other full time and regular part time employees, managers, guards and supervisors as defined by the Act.",NA,NA,NA,77,2014-04-01,2014-01-01,"6-10",TRUE,"RC","Yes","AMERICAN COALITION OF PUBLIC SAFETY, LOCAL 22",1,"ACOPS",0.875,"Yes",1
"08-RC-081126","Region 08, Cleveland, Ohio","University Circle, Inc.",2012-05-16,2012-07-05,"Cleveland","OH","A",2012-06-21,23,NA,"NEW ENGLAND COALITION OF PUBLIC SAFETY (NECOPS)",15,NA,NA,NA,NA,4,19,NA,3,NA,"NEW ENGLAND COALITION OF PUBLIC SAFETY (NECOPS)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time officers and sergeants employed by the Employer at its facility located at 12100 Euclid Avenue, Cleveland, Ohio, but excluding all lieutenants, captains, dispatchers, deputy chiefs, chiefs, office clerical employees, professional employees, all guards and supervisors as defined in the Act and all other employees",NA,NA,NA,36,2012-04-01,2012-04-01,"11-25",TRUE,"RC","Yes","NEW ENGLAND COALITION OF PUBLIC SAFETY (NECOPS)",1,"ACOPS",0.789473684210526,"Yes",4
"34-RC-077428","Region 01, Boston, Massachusetts","University of New Haven",2012-03-27,2012-09-27,"West Haven","CT","A",2012-09-19,23,NA,"NEW ENGLAND COALITION OF PUBLIC SAFETY (NECOPS)",13,NA,NA,NA,NA,8,23,NA,2,NA,"NEW ENGLAND COALITION OF PUBLIC SAFETY (NECOPS)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Patrolmen, Police Officers, Sergeants, Parking Compliance Officers, and Dispatchers employed by the Employer at its West Haven, Connecticut facility; but excluding all other employees, Chief of Police, Assistant Chief of Police, office clerical employees, and professional employees and supervisors as defined in the National Labor Relations Act, as amended.",NA,NA,NA,176,2012-07-01,2012-01-01,"11-25",TRUE,"RC","Yes","NEW ENGLAND COALITION OF PUBLIC SAFETY (NECOPS)",1,"ACOPS",0.619047619047619,"Yes",2
"01-RC-073853","Region 01, Boston, Massachusetts","Rhode Island School of Design",2012-02-06,2012-06-07,"Providence","RI","A",2012-04-06,3,NA,"NEW ENGLAND COALITION OF PUBLIC SAFETY",3,NA,NA,NA,NA,0,3,NA,NA,NA,"NEW ENGLAND COALITION OF PUBLIC SAFETY","Initial","Single Labor Organization","Certific. of Representative","Closed",NA,NA,NA,NA,60,2012-04-01,2012-01-01,"<5",TRUE,"RC","Yes","NEW ENGLAND COALITION OF PUBLIC SAFETY",1,"ACOPS",1,"Yes",0
