"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"21-RC-392137","Region 21, Los Angeles, California","Emergency Ambulance Service, Inc.",2026-08-03,NA,"Brea","CA",NA,NA,97,NA,"United EMS Workers, AFSCME Local 4911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","United EMS Workers, AFSCME Local 4911",1,"AFSCME",NA,"Still Open",NA
"04-RC-391653","Region 04, Philadelphia, Pennsylvania","Delaware Valley Community Health, Inc.",2026-07-28,NA,"Philadelphia","PA",NA,NA,16,NA,"District 1199C, National Union of Hospital and Health Care Employees, AFSCME, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","District 1199C, National Union of Hospital and Health Care Employees, AFSCME, AFL-CIO",1,"AFSCME",NA,"Still Open",NA
"05-RC-391384","Region 05, Baltimore, Maryland","Baltimore Animal Rescue and Care Shelter, Inc.",2026-07-23,NA,"Baltimore","MD",NA,NA,66,NA,"American Federation of State, County & Municipal Employees, Maryland Council 3, AFSCME, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","American Federation of State, County & Municipal Employees, Maryland Council 3, AFSCME, AFL-CIO",1,"AFSCME",NA,"Still Open",NA
"22-RC-390950","Region 22, Newark, New Jersey","Northwest Essex Community Healthcare Network, Inc.",2026-07-17,NA,"Belleville","NJ",NA,NA,35,NA,"District 1199J, National Union of Hospital and Health Care Employees, AFSCME, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","District 1199J, National Union of Hospital and Health Care Employees, AFSCME, AFL-CIO",1,"AFSCME",NA,"Still Open",NA
"07-RC-391058","Region 07, Detroit, Michigan","Detroit Historical Society",2026-07-17,NA,"Detroit","MI",NA,NA,50,NA,"Local 925, American Federation of State, County and Municipal Employees (AFSCME), AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","Local 925, American Federation of State, County and Municipal Employees (AFSCME), AFL-CIO",1,"AFSCME",NA,"Still Open",NA
"25-RC-390852","Region 25, Indianapolis, Indiana","Moultrie County Beacon Inc.",2026-07-17,NA,"Sullivan","IL",NA,NA,70,NA,"American Federation of State, County and Municipal Employees (AFSCME), Council 31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","American Federation of State, County and Municipal Employees (AFSCME), Council 31",1,"AFSCME",NA,"Still Open",NA
"22-RC-390972","Region 22, Newark, New Jersey","Complete Care at Wall, LLC",2026-07-16,NA,"Wall","NJ",NA,NA,55,NA,"District 1199J, National Union of Hospital and Health Care Employees, AFSCME, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","District 1199J, National Union of Hospital and Health Care Employees, AFSCME, AFL-CIO",1,"AFSCME",NA,"Still Open",NA
"28-RC-390864","Region 28, Phoenix, Arizona","El Centro Family Health",2026-07-14,NA,"Espanola","NM",NA,NA,215,NA,"District 1199NM, National Union of Hospital and Healthcare Employees, AFSCME, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RC","No","District 1199NM, National Union of Hospital and Healthcare Employees, AFSCME, AFL-CIO",1,"AFSCME",NA,"Still Open",NA
"02-RC-388070","Region 02, New York, New York","Broadway Housing Communities",2026-06-01,2026-06-29,"Manhattan","NY","A",2026-06-16,18,NA,"District Council 37, American Federation of State, County & Municipal Employees, AFL-CIO",14,NA,NA,NA,NA,2,16,NA,NA,NA,"District Council 37, American Federation of State, County & Municipal Employees, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees employed by the Employer as Family Assistant Coordinator, Assistant Teacher, Head Teacher, Administrative Assistant, School Aide, and Kitchen Aide, at the Sugar Hill Museum Preschool located at 898 St. Nicholas Ave. New York.
Excluded: All other employees including office clerical employees, guards, professional employees and supervisors as defined in the Act.",NA,NA,NA,15,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","District Council 37, American Federation of State, County & Municipal Employees, AFL-CIO",1,"AFSCME",0.875,"Yes",2
"19-RC-387282","Region 19, Seattle, Washington","Tuality Healthcare d/b/a Hillsboro Medical Center",2026-05-18,2026-06-11,"Hillsboro","OR","A",2026-06-03,2,NA,"Oregon AFSCME Council 75",2,NA,NA,NA,NA,0,2,NA,NA,NA,"Oregon AFSCME Council 75","Initial","Single Labor Organization","Certification of Results","Closed","Included:  All full-time, part-time and on-call professional employees employed by the Employer at Hillsboro Internal Medicine Clinic located at 364 S.E. 8th Avenue, Suite 301, Hillsboro, OR in the following job classifications: Behavioral Health Care Manager and Social Worker/Behavioral Health Scientist.
Excluded:  All other employees, non-professional employees, employees at other locations, physicians, nurse practitioners, registered nurses, and managers, guards and supervisors as defined by the National Labor Relations Act.",NA,NA,NA,16,2026-04-01,2026-04-01,"<5",TRUE,"RC","Yes","Oregon AFSCME Council 75",1,"AFSCME",1,"No",0
