"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"22-RC-389971","Region 22, Newark, New Jersey","NJMHMC, LLC d/b/a Secaucus University Hospital, f/k/a Hudson Regional Hospital",2026-07-02,NA,"Secaucus","NJ","A",2026-08-06,37,NA,"Health Professional and Allied Employees AFT/AFL-CIO",25,NA,NA,NA,NA,0,25,NA,NA,NA,"Health Professional and Allied Employees AFT/AFL-CIO","Initial","Single Labor Organization",NA,"Open","Included:	All full-time, regular part-time, and per diem* professional employees, including speech-language pathologists, social workers, inpatient and outpatient physical therapists, pharmacists, and dietitians, employed by the Employer at its facility located at 55 Meadowlands Parkway, Secaucus, New Jersey 07094.

Excluded:	All registered nurses, physicians, guards, supervisors, technical unit employees, and managers as defined in the Act, and all other employees.
",NA,NA,NA,35,2026-07-01,2026-07-01,"26-50",TRUE,"RC","Yes","Health Professional and Allied Employees AFT/AFL-CIO",1,"AFT",1,"Still Open",12
"32-RM-388282","Region 32, Oakland, California","Seneca Family of Agencies",2026-06-04,NA,"Oakland","CA","A",2026-07-01,95,NA,"California Federation of Teachers",71,NA,NA,NA,NA,12,83,NA,NA,NA,"California Federation of Teachers","Initial","Single Labor Organization",NA,"Open",NA,NA,NA,NA,27,2026-07-01,2026-04-01,"51-100",TRUE,"RM","Yes","California Federation of Teachers",1,"AFT",0.855421686746988,"Still Open",12
"32-RC-387871","Region 32, Oakland, California","Seneca Family of Agencies",2026-05-28,2026-07-10,"Oakland","CA","A",2026-07-01,35,NA,"California Federation of Teachers",25,NA,NA,NA,NA,5,30,NA,NA,NA,"California Federation of Teachers","Initial","Single Labor Organization","Certific. of Representative","Closed","VOTING GROUP A - PROFESSIONAL EMPLOYEES
      All full-time and regular part-time Bilingual School Therapists, Clinical Psych Interns, 
Speech Pathologists, Teachers-Education Specialist, Teachers-Long Term Sub, Teachers-Intern Credential, Therapists-School Based and Lead Therapists-School employed by the Employer’s at its non-public located schools located at Bridges Academy, 8945 Golf Links Road, Oakland, CA 94605;  Catalyst Academy, 1060 Manor Road, El Sobrante, CA 94803;James Baldwin Academy, 2275 Arlington Dr., San Leandro, CA 94578-1132; Maya Angelou Academy, 3695 High St., Oakland, CA 94619-2105 and Pathfinder Academy, 600 G St., Union City, CA 94587-2400; excluding nurses, confidential employees, office clerical employees, guards and supervisors as defined in the Act.

VOTING GROUP B - NON-PROFESSIONAL EMPLOYEES
All full-time and regular part-time, Assistant Teachers, Bilingual Counselors, Bilingual Mental Health Counselors, Bilingual QA Specialists/PA, Bilingual School-Based Counselors, Classroom Counselors, Clinical Counseling Associates, Counselors – School-Based,  Lead QA Specialist/Program Assistants, Mental Health Associates, Mental Health Associates – Manager Track, Mental Health Counselors, Program Operations Associates, Quality Assurance Specialist/Program Assistants, Senior Mental Health Counselors, Senior Mental Health Counselors- Clinical, Teacher Associates and Vocational Associates employed by the Employer’s at its non-public located schools located  at Bridges Academy, 8945 Golf Links Road, Oakland, CA 94605;  Catalyst Academy, 1060 Manor Road, El Sobrante, CA 94803;James Baldwin Academy, 2275 Arlington Dr., San Leandro, CA 94578-1132; Maya Angelou Academy, 3695 High St., Oakland, CA 94619-2105 and Pathfinder Academy, 600 G St., Union City, CA 94587-2400; excluding confidential employees, office clerical employees, guards and supervisors as defined in the Act.",NA,NA,NA,34,2026-07-01,2026-04-01,"26-50",TRUE,"RC","Yes","California Federation of Teachers",1,"AFT",0.833333333333333,"Yes",5
"32-RC-387871","Region 32, Oakland, California","Seneca Family of Agencies",2026-05-28,2026-07-10,"Oakland","CA","B",2026-07-01,95,NA,"California Federation of Teachers",71,NA,NA,NA,NA,12,83,NA,NA,NA,"California Federation of Teachers","Initial","Single Labor Organization","Certific. of Representative","Closed","VOTING GROUP A - PROFESSIONAL EMPLOYEES
      All full-time and regular part-time Bilingual School Therapists, Clinical Psych Interns, 
Speech Pathologists, Teachers-Education Specialist, Teachers-Long Term Sub, Teachers-Intern Credential, Therapists-School Based and Lead Therapists-School employed by the Employer’s at its non-public located schools located at Bridges Academy, 8945 Golf Links Road, Oakland, CA 94605;  Catalyst Academy, 1060 Manor Road, El Sobrante, CA 94803;James Baldwin Academy, 2275 Arlington Dr., San Leandro, CA 94578-1132; Maya Angelou Academy, 3695 High St., Oakland, CA 94619-2105 and Pathfinder Academy, 600 G St., Union City, CA 94587-2400; excluding nurses, confidential employees, office clerical employees, guards and supervisors as defined in the Act.

VOTING GROUP B - NON-PROFESSIONAL EMPLOYEES
All full-time and regular part-time, Assistant Teachers, Bilingual Counselors, Bilingual Mental Health Counselors, Bilingual QA Specialists/PA, Bilingual School-Based Counselors, Classroom Counselors, Clinical Counseling Associates, Counselors – School-Based,  Lead QA Specialist/Program Assistants, Mental Health Associates, Mental Health Associates – Manager Track, Mental Health Counselors, Program Operations Associates, Quality Assurance Specialist/Program Assistants, Senior Mental Health Counselors, Senior Mental Health Counselors- Clinical, Teacher Associates and Vocational Associates employed by the Employer’s at its non-public located schools located  at Bridges Academy, 8945 Golf Links Road, Oakland, CA 94605;  Catalyst Academy, 1060 Manor Road, El Sobrante, CA 94803;James Baldwin Academy, 2275 Arlington Dr., San Leandro, CA 94578-1132; Maya Angelou Academy, 3695 High St., Oakland, CA 94619-2105 and Pathfinder Academy, 600 G St., Union City, CA 94587-2400; excluding confidential employees, office clerical employees, guards and supervisors as defined in the Act.",NA,NA,NA,34,2026-07-01,2026-04-01,"51-100",TRUE,"RC","Yes","California Federation of Teachers",1,"AFT",0.855421686746988,"Yes",12
"19-RC-386258","Region 19, Seattle, Washington","Renal Care Group, Inc.",2026-05-04,2026-06-15,"Bonney Lake","WA","A",2026-06-05,1,NA,"Washington State Nurses Association, a/w the AFT",1,NA,NA,NA,NA,0,1,NA,NA,NA,"Washington State Nurses Association, a/w the AFT","Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time Registered Nurses employed by the Employer at its Bonney Lake facility.  
Excluded: All other employees and guards and supervisors as defined in the Act.",NA,NA,NA,32,2026-04-01,2026-04-01,"<5",TRUE,"RC","Yes","Washington State Nurses Association, a/w the AFT",1,"AFT",1,"No",0
"19-RD-385346","Region 19, Seattle, Washington","Legacy Meridian Park Medical Center",2026-04-22,2026-06-12,"Tualatin","OR","A",2026-06-02,150,NA,"Oregon Federation of Nurses and Health Professionals, Local 5017, AFT, AFL-CIO",83,NA,NA,NA,NA,32,115,NA,2,NA,"Oregon Federation of Nurses and Health Professionals, Local 5017, AFT, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, regular part-time, on-call and supplemental technical employees employed by the Employer at its acute care hospital located at 19300 SW 65th Avenue, Tualatin, Oregon in the following classifications: Cardiopulmonary Technologists, Clinical Specialist Anesthesia Technicians, Echo Sonographer, Echo Sonographer Lead, Endoscopy Technicians, Women Services Surgical Technologists, Imaging Lead, CT Technologist, CT Technologist Lead, Mammography Technologist, MRI Technologist, MRI Technologist Lead, Nuclear Medicine Technologist, Nuclear Medicine Technologist Lead, Radiologic Technologist, Radiologic Technologist Lead, Respiratory Therapist, Surgical Technologist, Surgical Technologist Lead, Pharmacy Technician, Ultrasound Technologist, Ultrasound Technologist Lead, Sterile Processing Technician 1, Sterile Processing Technician 2, Sterile Processing Technician Lead, Sonographer, Cath Lab Technologist, Central Sterile Specialist, X-ray Technologist, and X-ray Technologist Lead. 

Excluded: All other non-professional employees, professional employees, physicians, registered nurses, business office clerical employees, skilled maintenance employees, confidential employees, managerial employees, and guards and supervisors as defined in the Act.",NA,NA,NA,41,2026-04-01,2026-04-01,"101-500",TRUE,"RD","Yes","Oregon Federation of Nurses and Health Professionals, Local 5017, AFT, AFL-CIO",1,"AFT",0.721739130434783,"Yes",35
"19-RC-384947","Region 19, Seattle, Washington","Providence Health and Services - Oregon dba Providence Hood River Memorial Hospital",2026-04-15,2026-06-01,"Hood River","OR","A",2026-05-21,37,NA,"Oregon Nurses Association",25,NA,NA,NA,NA,3,28,NA,2,NA,"Oregon Nurses Association","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, regular part-time, and per diem technical employees employed by the Employer at its acute care hospital, Providence Hood River Memorial Hospital, located at 810 12th St. Hood River, OR 97031 including the following classifications: Associate Radiology Technologist, CT Technologist, Echocardiograph Technologist, Lead Echocardiograph Technologist, Lead Respiratory Care Practitioner, Mammography Technologist, MRI Technologist, Nuclear Medicine Technologist, Radiology Technologist, Respiratory Care Practitioner, Surgical Technician, and Ultrasound Technologist.

Excluded: All other non-professional employees, professional employees, physicians, registered nurses, business office clerical employees, service and maintenance employees, skilled maintenance employees, managers, and guards and supervisors as defined by the Act.",NA,NA,NA,36,2026-04-01,2026-04-01,"26-50",TRUE,"RC","Yes","Oregon Nurses Association",1,"AFT",0.892857142857143,"Yes",9
"19-RC-384340","Region 19, Seattle, Washington","Swedish Health Services d/b/a Swedish Medical Group",2026-04-06,2026-06-03,"Seattle","WA","A",2026-05-26,113,1,"Northwest Medicine United, AFT Local 6552, AFL-CIO",86,NA,NA,NA,NA,10,96,NA,NA,NA,"Northwest Medicine United, AFT Local 6552, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time, regular part-time and per diem Physicians employed by the Employer as Hospitalists working in either the Hospitalist WA or Hospitalist WA Edmonds Departments at its facilities located at: 751 NE Blakely Drive, Issaquah, WA 98029; 500 17th Ave, Seattle, WA 98122; 747 Broadway, Seattle, WA 98122; 5300 Tallman Ave NW, Seattle, WA 98107; and 21601 76th Ave W, Edmonds, WA 98026. 

Excluded: Medical directors, specialist Hospitalists, registered nurses, other professional employees, non-professional employees, business office clerical employees, skilled maintenance employees, and guards and supervisors as defined by the Act.",NA,NA,NA,50,2026-04-01,2026-04-01,"101-500",TRUE,"RC","Yes","Northwest Medicine United, AFT Local 6552, AFL-CIO",1,"AFT",0.895833333333333,"Yes",17
"19-RC-384252","Region 19, Seattle, Washington","Oregon Center for Creative Learning d/b/a The Ivy School",2026-04-03,2026-05-20,"Medford","OR","A",2026-05-12,55,NA,"Oregon School Employees Association (OSEA), AFT Local 6732",2,NA,NA,NA,NA,31,33,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time classroom and food service employees, including teachers , lead teachers , satellite campus directors, assistant teachers, teacher aids, and cooks employed by the Employer at the facilities located at: 413 West Main St. Medford, OR; 713 Summit Ave. Medford, OR; 2430 Griffin Creek Rd. Medford, OR; 286 Mace Rd. Medford, OR; 2832 W. Main St. Medford, OR; 156 Upper Applegate Rd. Jacksonville, OR; and 110 SW 4th St. Grants Pass, OR.

Excluded: All managerial employees, confidential employees, and guards and supervisors as defined by the Act.",NA,NA,NA,39,2026-04-01,2026-04-01,"51-100",TRUE,"RC","Yes","Oregon School Employees Association (OSEA), AFT Local 6732",1,"AFT",0.0606060606060606,"No",22
"19-RC-383733","Region 19, Seattle, Washington","MultiCare Good Samaritan Hospital",2026-03-27,2026-05-08,"Puyallup","WA","A",2026-04-30,7,NA,"Washington State Nurses Association, affiliated with the American Federation of Teachers",7,NA,NA,NA,NA,0,7,NA,NA,NA,"Washington State Nurses Association, affiliated with the American Federation of Teachers","Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time, regular part-time, and per diem Oncology Triage RNs employed by the Employer at its acute care hospital located at 401 15th Ave SE, Puyallup, Washington and at its oncology clinic located at 400 15th Ave SE, in Puyallup, Washington.   
Excluded: All other employees, confidential employees, professional employees, clerical employees, guards, managers and supervisors as defined in the Act.",NA,NA,NA,34,2026-04-01,2026-01-01,"6-10",TRUE,"RC","Yes","Washington State Nurses Association, affiliated with the American Federation of Teachers",1,"AFT",1,"No",0
