"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"28-RC-332613","Region 28, Phoenix, Arizona","Albuquerque Mail Service, Inc.",2023-12-27,2024-01-30,"Albuquerque","NM","A",2024-01-18,75,NA,"American Postal Workers Union, Albuquerque Local 380, AFL-CIO",37,NA,NA,NA,NA,30,68,NA,1,NA,"American Postal Workers Union, Albuquerque Local 380, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time Mail Drivers employed by the Employer.

EXCLUDED: All other employees and classifications of employees, including mechanics and Commercial Freight Drivers, seasonal employees, temporary employees, office clerical employees,  professional employees, managerial employees, guards, and supervisors as defined in the Act.
 
The parties stipulate that regular part-time employees are those defined by the Board in Davison-Paxon Co., 185 NLRB 21 (1970), and for voter eligibility purposes, only those employees who averaged 4 or more hours per week for the quarter preceding the eligibility date will be eligible to vote.",NA,NA,NA,22,2024-01-01,2023-10-01,"51-100",TRUE,"RC","Yes","American Postal Workers Union, Albuquerque Local 380, AFL-CIO",1,"APWU",0.552238805970149,"Yes",8
"05-RC-323336","Region 05, Baltimore, Maryland","10 Roads Express, LLC",2023-08-07,2023-10-18,"Capitol Heights","MD","A",2023-10-10,40,3,"American Postal Workers Union, AFL-CIO",14,NA,NA,NA,NA,4,18,NA,1,NA,"American Postal Workers Union, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed",NA,NA,NA,NA,64,2023-10-01,2023-07-01,"26-50",TRUE,"RC","Yes","American Postal Workers Union, AFL-CIO",1,"APWU",0.777777777777778,"Yes",22
"05-RC-320817","Region 05, Baltimore, Maryland","10 Roads Express",2023-06-28,2023-08-31,"Richmond","VA","A",2023-08-23,38,1,"American Postal Workers Union, AFL-CIO",17,NA,NA,NA,NA,0,17,NA,NA,NA,"American Postal Workers Union, AFL-CIO","Initial","Single Labor Organization",NA,"Closed","All full-time and regular part-time drivers employed by the Employer at the facility located at 3429 Charles City Road, Richmond, Virginia 23231, excluding all other employees, temporary/seasonal drivers, managerial employees, guards, and supervisors as defined by the National Labor Relations Act.",NA,NA,NA,56,2023-07-01,2023-04-01,"26-50",TRUE,"RC","Yes","American Postal Workers Union, AFL-CIO",1,"APWU",1,"Other",21
"05-RC-320817","Region 05, Baltimore, Maryland","10 Roads Express",2023-06-28,2023-08-31,"Richmond","VA","A",2023-08-23,38,1,"American Postal Workers Union, AFL-CIO",17,NA,NA,NA,NA,0,17,NA,NA,NA,"American Postal Workers Union, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time drivers employed by the Employer at the facility located at 3429 Charles City Road, Richmond, Virginia 23231, excluding all other employees, temporary/seasonal drivers, managerial employees, guards, and supervisors as defined by the National Labor Relations Act.",NA,NA,NA,56,2023-07-01,2023-04-01,"26-50",FALSE,"RC","Yes","American Postal Workers Union, AFL-CIO",1,"APWU",1,"Yes",21
"05-RC-318665","Region 05, Baltimore, Maryland","10 Roads Express, LLC",2023-05-23,2023-07-27,"Brandywine","MD","A",2023-07-19,46,2,"American Postal Workers Union, AFL-CIO",27,NA,NA,NA,NA,3,30,NA,5,NA,"American Postal Workers Union, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time drivers employed by the Employer at the facility located at 7901 Short Cut Road, Brandywine, Maryland 20613, excluding all other employees, managerial employees, guards, and supervisors as defined by the National Labor Relations Act.",NA,NA,NA,57,2023-07-01,2023-04-01,"26-50",TRUE,"RC","Yes","American Postal Workers Union, AFL-CIO",1,"APWU",0.9,"Yes",16
"09-RC-312042","Region 09, Cincinnati, Ohio","10 ROADS EXPRESS LLC",2023-02-10,2023-12-20,"Columbus","OH","A",2023-03-14,10,NA,"American Postal Workers Union, AFL-CIO",3,NA,NA,NA,NA,3,6,NA,4,"Y",NA,"Initial","Single Labor Organization","Withdrawal Non-adjusted","Closed","All full-time and regular part-time mechanic employees employed by the Employer at its 100 Joyce Avenue, Columbus, Ohio facility; excluding all office clerical employees, professional employees, guards and supervisors as defined in the Act, and all other employees.

If a majority of valid ballots are cast for American Postal Workers Union, AFL-CIO, they will be taken to have indicated the employees’ desire to be included in the existing unit of all full-time and regular part-time drivers who are dispatched or managed from the Employer’s 100 Joyce Avenue, Columbus, Ohio facility currently represented by American Postal Workers Union, AFL-CIO. If a majority of valid ballots are not cast for representation, they will be taken to have indicated the employees’ desire to remain unrepresented.",NA,NA,NA,32,2023-01-01,2023-01-01,"6-10",TRUE,"RC","Yes","American Postal Workers Union, AFL-CIO",1,"APWU",0.5,"Other",4
"09-RC-307062","Region 09, Cincinnati, Ohio","10 ROADS EXPRESS, LLC",2022-11-14,2023-02-06,"Columbus","OH","A",2023-01-26,119,NA,"American Postal Workers Union, AFL-CIO",57,NA,NA,NA,NA,21,78,NA,9,NA,"American Postal Workers Union, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time drivers who are dispatched or managed from the Employer’s 1000 Joyce Avenue, Columbus, Ohio facility; excluding office clerical employees, managers and all professional employees, guards and supervisors as defined in the Act, and all other employees.",NA,NA,NA,73,2023-01-01,2022-10-01,"101-500",TRUE,"RC","Yes","American Postal Workers Union, AFL-CIO",1,"APWU",0.730769230769231,"Yes",41
"25-RC-304698","Region 25, Indianapolis, Indiana","10 Roads Express, LLC",2022-10-05,2022-12-07,"Peoria","IL","A",2022-11-29,78,2,"American Postal Workers Union, AFL-CIO",53,NA,NA,NA,NA,10,63,NA,3,NA,"American Postal Workers Union, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time drivers dispatched or managed from the 1100 SW Monarch St Peoria, IL facility.
 Excluded: All office clerical employees, professional employees, managerial employees, confidential employees, guards and supervisors as defined in the Act, and all other employees.",NA,NA,NA,55,2022-10-01,2022-10-01,"51-100",TRUE,"RC","Yes","American Postal Workers Union, AFL-CIO",1,"APWU",0.841269841269841,"Yes",15
"04-RC-295653","Region 04, Philadelphia, Pennsylvania","10 Roads Express, LLC",2022-05-10,2022-07-27,"Harrisburg","PA","A",2022-07-19,102,2,"American Postal Workers Union, AFL-CIO",45,NA,NA,NA,NA,31,76,NA,6,NA,"American Postal Workers Union, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Drivers who are dispatched or managed from the Employer’s 1901 Old Crooked Hill Road, Harrisburg, Pennsylvania facility.

Excluded:  All other employees, clericals, office employees, professional employees, managers, guards and supervisors as defined in the Act.",NA,NA,NA,70,2022-07-01,2022-04-01,"101-500",TRUE,"RC","Yes","American Postal Workers Union, AFL-CIO",1,"APWU",0.592105263157895,"Yes",26
"10-RC-252700","Region 10, Atlanta, Georgia","United States Postal Service",2019-12-03,2019-12-27,"Greensboro","NC","A",2019-12-17,251,NA,"American Postal Workers Union AFL-CIO",161,NA,NA,NA,NA,47,208,NA,NA,NA,"American Postal Workers Union AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","All EAS-18 career specialists employed by the Employer at its facility located in Greensboro, North Carolina, but excluding all other classification, and specifically excluding all non-career specialists, guards, and supervisors as defined in the Act.",NA,NA,NA,14,2019-10-01,2019-10-01,"101-500",TRUE,"RC","Yes","American Postal Workers Union AFL-CIO",1,"APWU",0.774038461538462,"Yes",43
