"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"10-RC-392839","Region 10, Atlanta, Georgia","RATP Dev, Inc.",2026-08-14,NA,"Asheville","NC",NA,NA,85,NA,"Amalgamated Transit Union, Local Union 128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","Amalgamated Transit Union, Local Union 128",1,"ATU",NA,"Still Open",NA
"21-RC-389086","Region 21, Los Angeles, California","Transdev Services, Inc.",2026-06-18,2026-07-31,"Chula Vista","CA","A",2026-07-23,6,NA,"San Diego Bus Drivers', Amalgamated Transit Union, Local 1309, A.F.L. - C.I.O.",5,NA,NA,NA,NA,1,6,NA,NA,NA,"San Diego Bus Drivers', Amalgamated Transit Union, Local 1309, A.F.L. - C.I.O.","Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time safety and training supervisors employed by the Employer at its facility currently located at 3610 Main Street, Chula Vista, California.

Excluded: All other employees, drivers, mechanics, service workers, office clerical employees, confidential employees, professional employees, managerial employees, guards, and supervisors as defined in the Act.

If a majority of valid ballots are cast for the Petitioner, San Diego Bus Drivers', Amalgamated Transit Union, Local 1309, A.F.L. - C.I.O., they will be taken to have indicated the employees' desire to be included in the existing unit of non-supervisory radio dispatchers, non-supervisory desk dispatchers, and non-supervisory road supervisors currently represented by the Petitioner. 

If a majority of valid ballots are not cast for representation, they will be taken to have indicated the employees' desire to remain unrepresented.",NA,NA,NA,35,2026-07-01,2026-04-01,"6-10",TRUE,"RC","Yes","San Diego Bus Drivers', Amalgamated Transit Union, Local 1309, A.F.L. - C.I.O.",1,"ATU",0.833333333333333,"No",0
"10-RC-388966","Region 10, Atlanta, Georgia","MV Transportation, Inc.",2026-06-17,2026-07-23,"Cary","NC","A",2026-07-15,95,NA,"Amalgamated Transit Union 1328",31,NA,NA,NA,NA,4,35,NA,NA,NA,"Amalgamated Transit Union 1328","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time drivers and road supervisors 
employed at the Employer’s RDU facility located at 200 Haleys Branch Road 
Morrisville, North Carolina, 27560. 

Excluded: All other employees, office clerical employees, professional 
employees, managers, guards, and supervisors as defined by the Act.",NA,NA,NA,28,2026-07-01,2026-04-01,"51-100",TRUE,"RC","Yes","Amalgamated Transit Union 1328",1,"ATU",0.885714285714286,"Yes",60
"03-RC-388942","Region 03, Buffalo, New York","First Student, Inc.",2026-06-16,2026-07-27,"Syracuse","NY","A",2026-07-17,2,NA,"Local Union 580, Amalgamated Transit Union- A.F.L.-C.I.O",2,NA,NA,NA,NA,0,3,NA,1,NA,"Local Union 580, Amalgamated Transit Union- A.F.L.-C.I.O","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Road Supervisors employed by the Employer at its 2001 Lemoyne Avenue, Syracuse, New York facility.
Excluded: Confidential employees, guards, managers, and supervisors, as defined by the Act, and all other employees.",NA,NA,NA,31,2026-07-01,2026-04-01,"<5",TRUE,"RC","Yes","Local Union 580, Amalgamated Transit Union- A.F.L.-C.I.O",1,"ATU",1,"Yes",0
"07-RD-383654","Region 07, Detroit, Michigan","MV Transportation, Inc.",2026-03-24,2026-06-29,"Ypsilanti (Charter Township)","MI","A",2026-06-17,51,NA,"Local 26, Amalgamated Transit Union (ATU), AFL-CIO",8,NA,NA,NA,NA,23,0,NA,6,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included:All  full-time and regular part-time employees employed by the Employer at its Division 106 currently located at 4037 Morgan Road, Ypsilanti Michigan, including drivers, technicians, schedulers, dispatchers, road supervisors, utility workers, and administrative clerks; 

Excluded: but excluding guards and supervisors as defined in the Act.",NA,NA,NA,85,2026-04-01,2026-01-01,"51-100",TRUE,"RD","Yes","Local 26, Amalgamated Transit Union (ATU), AFL-CIO",1,"ATU",NA,"No",20
"10-RD-382493","Region 10, Atlanta, Georgia","First Student, Inc.",2026-03-09,NA,"Dalton","GA",NA,NA,59,NA,"Amalgamated Transit Union",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-01-01,"51-100",TRUE,"RD","No","Amalgamated Transit Union",1,"ATU",NA,"Still Open",NA
"14-RC-377910","Region 14, Saint Louis, Missouri","Transdev Services, Inc.",2025-12-29,2026-02-10,"Olathe","KS","A",2026-01-29,4,NA,"Amalgamated Transit Union Local 1287",3,NA,NA,NA,NA,0,3,NA,NA,NA,"Amalgamated Transit Union Local 1287","Initial","Single Labor Organization","Certific. of Representative","Closed","All full time and regular part-time utility employees employed by the Employer at its 1701 West 56 Highway, Olathe, Kansas  66061 location, but EXCLUDING All office clerical employees, confidential managers, professional employees, guards and supervisors as defined in the Act, and all other employees.",NA,NA,NA,31,2026-01-01,2025-10-01,"<5",TRUE,"RC","Yes","Amalgamated Transit Union Local 1287",1,"ATU",1,"Yes",1
"05-RM-376970","Region 05, Baltimore, Maryland","Transit Management of Alexandria, Inc.",2025-12-11,2026-01-14,"Alexandria","VA","A",2026-01-06,19,NA,"Amalgamated Transit Union Local 689 a/w Amalgamated Transit Union, AFL-CIO, CLC",17,NA,NA,NA,NA,2,19,NA,NA,NA,"Amalgamated Transit Union Local 689 a/w Amalgamated Transit Union, AFL-CIO, CLC","Initial","Single Labor Organization","Certification of Results","Closed","Included:  All full-time and regular part-time Transit Operations Supervisors and Field Supervisors employed by the Employer at its facility located at 3000 Business Center Drive, Alexandria, Virginia 22314.

Excluded:  All other employees, foremen, office clerical employees, professional employees, managerial employees, confidential employees, guards and supervisors as defined by the Act.

If a majority of valid ballots are cast for Amalgamated Transit Union Local 689 a/w Amalgamated Transit Union, AFL-CIO, CLC, they will be taken to have indicated the employees’ desire to be included in the following existing unit currently represented by Amalgamated Transit Union Local 689 a/w Amalgamated Transit Union, AFL-CIO, CLC, as certified in Case 05-RC-322975:

Included:  All full-time and regular part-time operators, mechanics, parts clerks, service workers, and cleaners. 

Excluded: All other employees, foremen, office clerical employees, professional employees, managerial employees, confidential employees, guards and supervisors as defined by the Act. 

If a majority of valid ballots are not cast for representation, they will be taken to have indicated the employees’ desire to remain unrepresented.",NA,NA,NA,26,2026-01-01,2025-10-01,"11-25",TRUE,"RM","Yes","Amalgamated Transit Union Local 689 a/w Amalgamated Transit Union, AFL-CIO, CLC",1,"ATU",0.894736842105263,"No",0
"12-RM-376256","Region 12, Tampa, Florida","MV Transportation, Inc.",2025-12-04,2026-01-05,"Port Saint Lucie","FL","A",2025-12-19,1,NA,"Amalgamated Transit Union, Local 1577, AFL-CIO",0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included:  All full-time and regular part-time maintenance foremen employed by the Employer at its facility located at 8620 LTC Parkway, Suite 103, Port St. Lucie, Florida.

Excluded:  All other employees, professional employees, managers, guards and supervisors as defined in the Act.",NA,NA,NA,15,2025-10-01,2025-10-01,"<5",TRUE,"RM","Yes","Amalgamated Transit Union, Local 1577, AFL-CIO",1,"ATU",0,"No",0
"27-RC-375602","Region 27, Denver, Colorado","Transdev Services, Inc.",2025-11-25,2026-01-14,"Denver","CO","A",2026-01-06,14,NA,"Amalgamated Transit Union, Local 1001, AFL-CIO/CLC",6,NA,NA,NA,NA,7,13,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time dispatchers and road supervisors employed
by the Employer at its Denver, Colorado facility.
Excluded: All office clerical employees, professional employees, managers, guards, and
supervisors, as defined in the Act, and all other employees.",NA,NA,NA,42,2026-01-01,2025-10-01,"11-25",TRUE,"RC","Yes","Amalgamated Transit Union, Local 1001, AFL-CIO/CLC",1,"ATU",0.461538461538462,"No",1
