"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"15-RC-388240","Region 15, New Orleans, Louisiana","Green Energy Origin Tennessee, LLC",2026-06-04,2026-07-07,"Memphis","TN","A",2026-06-26,28,1,"Bakery, Confectionery, Tobacco Workers and Grain Millers International Union (BCTGM), AFL-CIO, CLC",22,NA,NA,NA,NA,2,24,NA,2,NA,"Bakery, Confectionery, Tobacco Workers and Grain Millers International Union (BCTGM), AFL-CIO, CLC","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: 
All full-time and regular part-time production and maintenance employees and lab employees, employed by Green Energy Origin Tennessee, LLC, at its facility located at 2665 Fite Road, Memphis, Tennessee 38127.

Excluded:
All other employees, including office clerical employees, professional employees, guards, and supervisors as defined in the Act.",NA,NA,NA,22,2026-04-01,2026-04-01,"26-50",TRUE,"RC","Yes","Bakery, Confectionery, Tobacco Workers and Grain Millers International Union (BCTGM), AFL-CIO, CLC",1,"BCTGM",0.916666666666667,"Yes",4
"08-RC-380483","Region 08, Cleveland, Ohio","The Cleveland Bagel Company, LLC",2026-02-04,NA,"Cleveland","OH","A",2026-03-20,16,NA,"Bakery Confectionery Tobacco Workers and Grain Millers International Union Local Union No. 19",7,NA,NA,NA,NA,5,12,NA,NA,NA,"Bakery, Confectionery, Tobacco Workers & Grain Millers' International Union, Local No. 19","Initial","Revised Single Labor Org",NA,"Open","All full-time and regular part-time employees employed by the Employer at its 7501 Carnegie Ave., Cleveland, Ohio facility (Midtown facility), but excluding the Social Media Marketing position, General Managers, Secretaries, office clerical employees, professional employees, guards and supervisors as defined in the Act.",NA,NA,NA,44,2026-01-01,2026-01-01,"11-25",TRUE,"RC","Yes","Bakery Confectionery Tobacco Workers and Grain Millers International Union Local Union No. 19",1,"BCTGM",0.583333333333333,"Still Open",4
"08-RC-380486","Region 08, Cleveland, Ohio","The Cleveland Bagel Company, LLC",2026-02-04,NA,"Cleveland","OH","A",2026-03-20,16,NA,"Bakery Confectionery Tobacco Workers & Grain Millers International Union Local Union No. 19",7,NA,NA,NA,NA,5,12,NA,NA,NA,"Bakery, Confectionery, Tobacco Workers & Grain Millers' International Union, Local No. 19","Initial","Revised Single Labor Org",NA,"Open","All full-time and regular part-time employees employed by the Employer at its 4201 Detroit Ave., Cleveland, Ohio facility (Ohio City facility), but excluding the Social Media Marketing position, General Managers, Secretaries, office clerical employees, professional employees, guards and supervisors as defined in the Act. 
",NA,NA,NA,44,2026-01-01,2026-01-01,"11-25",TRUE,"RC","Yes","Bakery Confectionery Tobacco Workers & Grain Millers International Union Local Union No. 19",1,"BCTGM",0.583333333333333,"Still Open",4
"14-RD-365781","Region 14, Saint Louis, Missouri","Ardent Mills, LLC",2025-05-16,2025-07-11,"Omaha","NE","A",2025-06-12,26,1,"Local 50G, Bakery, Confectionery, Tobacco Workers and Grain Millers International Union (BCTGM), AFL-CIO, CLC",21,NA,NA,NA,NA,2,23,NA,NA,NA,"Local 50G, Bakery, Confectionery, Tobacco Workers and Grain Millers International Union (BCTGM), AFL-CIO, CLC","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time employees employed by the Employer at its facility located at 1521 North 16th Street, Omaha, Nebraska, but EXCLUDING office clerical employees, janitors, lab room employees, buyers, salesmen, professional employees, guards and supervisors as defined in the Act.",NA,NA,NA,27,2025-04-01,2025-04-01,"26-50",TRUE,"RD","Yes","Local 50G, Bakery, Confectionery, Tobacco Workers and Grain Millers International Union (BCTGM), AFL-CIO, CLC",1,"BCTGM",0.91304347826087,"Yes",3
"25-RC-349199","Region 25, Indianapolis, Indiana","Hearthside Food Solutions, LLC",2024-08-27,2024-10-03,"Michigan City","IN","A",2024-09-25,22,NA,"Bakery, Confectionery, Tobacco Workers, and Grain Millers Union, AFL-CIO, CLC, Local 1",2,NA,NA,NA,NA,17,19,NA,1,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and part-time maintenance employees employed by the Employer at its
Michigan City, Indiana facility.

Excluded: All office clerical employees, professional employees, guards and supervisors as
defined by the Act, and all other employees.",NA,NA,NA,29,2024-07-01,2024-07-01,"11-25",TRUE,"RC","Yes","Bakery, Confectionery, Tobacco Workers, and Grain Millers Union, AFL-CIO, CLC, Local 1",1,"BCTGM",0.105263157894737,"No",3
"01-RC-345053","Region 01, Boston, Massachusetts","Mascoma, LLC",2024-06-25,2024-08-30,"Lebanon","NH","A",2024-08-22,42,NA,"BAKERY CONFECTIONERY TOBACCO WORKERS AND GRAIN MILLERS INTERNATIONAL UNION, LOCAL 334",18,NA,NA,NA,NA,21,39,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","VOTING GROUP - UNIT A (PROFESSIONAL UNIT):

Professional Employees Included: All full-time and regular part-time Research Scientists, Senior Research Scientists, Application Scientists, Senior Bioinformatics Scientists, Bioinformatics Scientists, Data Scientists, Research Associate II employees, and Research Associate III employees employed by the Employer at its Lebanon, New Hampshire facility.
Excluded: All non-professional employees, office clerical employees, confidential employees, managers, guards, and supervisors as defined in the Act. 

VOTING GROUP - UNIT B (NON-PROFESSIONAL UNIT):

Non-Professional Employees Included: All full-time and regular part-time Research Associate I employees, Application Microbiologists, Bioinformatics Research Associates, Laboratory Technicians, and Laboratory Equipment Technicians employed by the Employer at its Lebanon, New Hampshire facility.
Excluded: All office clerical employees, confidential employees, managers, guards, and professional employees and supervisors as defined in the Act. 

OR

If a majority of voting professionals in Voting Group A vote to be included in a unit with non-professional employees in Voting Group B, the following combined unit is appropriate:
Combined Unit
INCLUDED: All full time and regular part-time Research Scientists, Senior Research Scientists, Application Scientists, Senior Bioinformatics Scientists, Bioinformatics Scientists, Data Scientists, Research Associate II employees, and Research Associate III employees, Research Associate I employees, Application Microbiologists, Bioinformatics Research Associates, Laboratory Technicians, and Laboratory Equipment Technicians employed by the Employer at its Lebanon, New Hampshire facility.
EXCLUDED: All office clerical employees, confidential employees, managers, guards, and supervisors as defined in the Act.",NA,NA,NA,58,2024-07-01,2024-04-01,"26-50",TRUE,"RC","Yes","BAKERY CONFECTIONERY TOBACCO WORKERS AND GRAIN MILLERS INTERNATIONAL UNION, LOCAL 334",1,"BCTGM",0.461538461538462,"No",3
"09-RC-339359","Region 09, Cincinnati, Ohio","HEARTHSIDE FOOD SOLUTIONS, LLC",2024-04-05,NA,"London","KY","A",2024-05-08,647,3,"Bakery, Confectionery, Tobacco Workers, and Grain Millers Local 57",222,NA,NA,NA,NA,304,526,NA,9,NA,NA,"Initial","Single Labor Organization",NA,"Open","All full-time and regular part-time production and maintenance employees, including mixing, packaging, warehouse, logistics, sanitation, and quality control employees employed by the Employer at its 1188 S. Laurel Road, London, Kentucky facility; but excluding all managers, lead employees, coordinators, specialists, security guards, temporary employees, office clerical employees, and supervisors as defined by the Act.",NA,NA,NA,33,2024-04-01,2024-04-01,"500>",TRUE,"RC","Yes","Bakery, Confectionery, Tobacco Workers, and Grain Millers Local 57",1,"BCTGM",0.422053231939163,"Still Open",121
"31-RM-337571","Region 31, Los Angeles, California","Frisco Baking Company, Inc.",2024-03-08,2025-06-13,"Los Angeles","CA","A",2025-04-25,16,NA,"Bakery, Confectionery, Tobacco Workers & Grain Millers International Union Local 37",5,NA,NA,NA,NA,6,11,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED: All full time and regular part time Foreman, Mixers, Oven Men, Journeyman Bakers, Checkers, Apprentice Rate #3s, Apprentice Rate #2s, Apprentice Rate #1s, Mechanics, and Cleaners/Packers employed by the Employer at its facility located at
621 W Ave 26, Los Angeles, CA 90065.

EXCLUDED: All other employees, including office clericals, guards, salesmen, professional employees, and supervisors as defined in the Act, as amended.",NA,NA,NA,413,2025-04-01,2024-01-01,"11-25",TRUE,"RM","Yes","Bakery, Confectionery, Tobacco Workers & Grain Millers International Union Local 37",1,"BCTGM",0.454545454545455,"No",5
"16-RC-327427","Region 16, Fort Worth, Texas","BIMBO BAKERIES USA, INC.",2023-10-06,2023-11-17,"Fort Worth","TX","A",2023-01-08,5,NA,"BAKERY CONFECTIONERY TOBACCO WORKERS AND GRAIN MILLERS INTERNATIONAL UNION AND ITS LOCAL NO. 111",0,NA,NA,NA,NA,5,5,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED: All full-time and regular part-time outlet store clerk employees employed by the Employer at its outlet store located at 7301 South Freeway, Fort Worth, Texas 76134.

EXCLUDED: All other employees including temporary, professional, office clerical, managers, guards, and supervisors as defined by the Act.",NA,NA,NA,-271,2023-01-01,2023-10-01,"<5",TRUE,"RC","Yes","BAKERY CONFECTIONERY TOBACCO WORKERS AND GRAIN MILLERS INTERNATIONAL UNION AND ITS LOCAL NO. 111",1,"BCTGM",0,"No",0
"16-RC-324948","Region 16, Fort Worth, Texas","Ardent Mills, LLC",2023-08-31,2023-11-13,"Sherman","TX","A",2023-11-02,1,NA,"BAKERY CONFECTIONERY TOBACCO WORKERS AND GRAIN MILLERS INTERNATIONAL UNION, AND ITS LOCAL 111, AFL-CIO, CLC",1,NA,NA,NA,NA,0,1,NA,NA,NA,"BAKERY CONFECTIONERY TOBACCO WORKERS AND GRAIN MILLERS INTERNATIONAL UNION, AND ITS LOCAL 111, AFL-CIO, CLC","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: Quality Assurance Technician employed by the Employer at its facility located at 408 E. Magnolia Street, Sherman, Texas 75090.

EXCLUDED: All other employees, including Temporary, Professional, Office Clerical, Managers, Guards, and Supervisors as defined in the Act.",NA,NA,NA,63,2023-10-01,2023-07-01,"<5",TRUE,"RC","Yes","BAKERY CONFECTIONERY TOBACCO WORKERS AND GRAIN MILLERS INTERNATIONAL UNION, AND ITS LOCAL 111, AFL-CIO, CLC",1,"BCTGM",1,"Yes",0
