"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"18-RC-392632","Region 18, Minneapolis, Minnesota","Three Bears Resort",2026-08-10,NA,"Warrens","WI",NA,NA,38,NA,"Communication Workers of America, District IV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","Communication Workers of America, District IV",1,"CWA",NA,"Still Open",NA
"20-RC-391740","Region 20, San Francisco, California","Wikimedia Foundation, Inc.",2026-07-28,NA,"San Francisco","CA",NA,NA,235,NA,"Communications Workers of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RC","No","Communications Workers of America",1,"CWA",NA,"Still Open",NA
"31-RC-390462","Region 31, Los Angeles, California","2nd Try, LLC",2026-07-10,NA,"Burbank","CA",NA,NA,20,NA,"Communications Workers of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Communications Workers of America",1,"CWA",NA,"Still Open",NA
"32-RC-389996","Region 32, Oakland, California","Cognizant Technology Solutions U.S. Corporation",2026-07-02,2026-08-13,"Reno","NV","A",2026-08-05,47,NA,"Communications Workers of America, Local 9413",19,NA,NA,NA,NA,25,44,NA,NA,NA,"Communications Workers of America, Local 9413","Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time Process Engineers (PEs), Senior Process Engineers (SPEs), and Subject Matter Experts (SMEs). employed by the Employer at is facility located at 6840 Sierra Center Pkwy, Reno, NV. 89511; Excluding: all other employees, Sr. Director, Associate Director, Portfolio Delivery Leads, Managers, and Team Leads, independent contractors, office clerical employees, guards, and supervisors as defined by the Act.",NA,NA,NA,34,2026-07-01,2026-07-01,"26-50",TRUE,"RC","Yes","Communications Workers of America, Local 9413",1,"CWA",0.431818181818182,"No",3
"28-RC-389248","Region 28, Phoenix, Arizona","Real Time Solutions, Inc.",2026-06-23,NA,"Albuquerque","NM",NA,NA,32,NA,"Communications Workers of America Local 7011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"26-50",TRUE,"RC","No","Communications Workers of America Local 7011",1,"CWA",NA,"Still Open",NA
"13-RC-389289","Region 13, Chicago, Illinois","Cardtronics USA, Inc.",2026-06-23,NA,"Chicago","IL",NA,NA,36,NA,"Communications Workers of America, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-04-01,"26-50",TRUE,"RC","No","Communications Workers of America, AFL-CIO",1,"CWA",NA,"Still Open",NA
"32-RC-388252","Region 32, Oakland, California","unWired Broadband, Inc.",2026-06-03,NA,"Fresno","CA","A",2026-07-09,12,NA,"Communications Workers of America",5,NA,NA,NA,NA,2,7,NA,3,"Y","Communications Workers of America","Initial","Single Labor Organization",NA,"Open","Included: All full-time and regular part-time Fiber Drop Assistants and Fiber Drop Specialists employed by the Employer at or from its facilities located at 4595 W Jacquelyn, Fresno, CA 9372 and 419 E Cross Ave, Tulare CA 93724.

Excluded: All other employees, confidential employes, office clerical employees, guards, and supervisors as defined by the Act.

Others permitted to vote: The parties have agreed that fiber technicians and lead fiber technicians may vote in the election, but their ballots will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,36,2026-07-01,2026-04-01,"11-25",TRUE,"RC","Yes","Communications Workers of America",1,"CWA",0.714285714285714,"Still Open",5
"32-RD-387173","Region 32, Oakland, California","Sealy Mattress Manufacturing Company, LLC",2026-05-18,2026-07-20,"Richmond","CA","A",2026-07-11,123,NA,"IUE-CWA, Local 89262",82,NA,NA,NA,NA,23,105,NA,NA,NA,"IUE-CWA, Local 89262","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Border Quilters, Box Spring Grid Assemblers, Box Truck Drivers (Non-CDL), Cutters, Glue Bridge employees, Janitors/Custodians, Line Loaders/Feeders, Loaders (Truck), Machine Operators, Maintenance I employees, - Hrly, Mattress Builders, Mattress Builders Multi Skill, Packers/Baggers, Panel Quilters, Production Coordinators, Quality Assurance Auditors, Quality Inspectors, Safety Coordinators, Sewers/Cappers, Sewers/Flanging, Sewers/Flanging-Capping, Sewers/Matt Borders, Sewers/Serging, Sewing Multi Skilled employees, Sewing Pillowtop employees, Shippers/receivers (Forklift), Tape Edgers, Truck Drivers, Unibody employees, and Upholsterers, employed by the Employer at its facility located at 1130 7th St., Richmond, CA 94801; excluding all other employees, confidential employees, office clerical employees, guards, and supervisors as defined by the Act.",NA,NA,NA,54,2026-07-01,2026-04-01,"101-500",TRUE,"RD","Yes","IUE-CWA, Local 89262",1,"CWA",0.780952380952381,"Yes",18
"21-RD-387169","Region 21, Los Angeles, California","EF International Language Schools, Inc.",2026-05-18,2026-06-15,"San Diego","CA","A",2026-06-05,22,NA,"Communications Workers of America Local 9509, AFL-CIO",2,NA,NA,NA,NA,14,16,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED: All full-time and regular part-time English as a Second Language (ESL) teachers in the Academic department at the San Diego Campus located at 3455 Kenyon Street, San Diego, California, as defined in the Certification of Representative issued by the National Labor Relations Board in Case No. 21-RC-236654.

EXCLUDED: All other employees, directors, academic coordinators, administrative employees, cafeteria employees, security employees, interns, trainers, housing employees, temporary employees, guards, professional employees, substitute employees; employees at any other EF facility, and employees of another employer, including any parents or affiliates of EF, EF employees who are supervisors, managers, or confidential employees under the National Labor Relations Act.",NA,NA,NA,18,2026-04-01,2026-04-01,"11-25",TRUE,"RD","Yes","Communications Workers of America Local 9509, AFL-CIO",1,"CWA",0.125,"No",6
"03-RC-386168","Region 03, Buffalo, New York","Sisters of Charity Hospital",2026-05-01,2026-06-15,"Cheektowaga","NY","A",2026-06-05,14,NA,"Communications Workers of America",7,NA,NA,NA,NA,4,11,NA,1,NA,"Communications Workers of America","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time, regular part-time, and per diem employees in the following titles: Substance Abuse Disorder Counselors, Substance Abuse Disorder Counselors II, Addictions Counselors, and Addictions Counselors II, employed by the Employer at its Clearview facility located at 2605 Harlem Road, Buffalo, New York.
EXCLUDED: Office clerical employees, confidential employees, managers, guards, professional employees and supervisors as defined by the Act, and all other employees.",NA,NA,NA,35,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","Communications Workers of America",1,"CWA",0.636363636363636,"Yes",3
