"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"03-RC-378494","Region 03, Buffalo, New York","Auburn Community Hospital",2026-01-06,2026-02-20,"Auburn","NY","A",2026-02-09,12,2,"Federal Contract Guards of America",8,NA,NA,NA,NA,1,9,NA,NA,NA,"Federal Contract Guards of America","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time and regular part-time Security Officers employed by the Employer at its 17 Lansing Street, Auburn, NY hospital.

Excluded:  Office clerical employees, administrative employees, managers, professional employees and supervisors as defined in the Act, and all other employees.",NA,NA,NA,34,2026-01-01,2026-01-01,"11-25",TRUE,"RC","Yes","Federal Contract Guards of America",1,"FCGOA",0.888888888888889,"Yes",3
"28-RC-378455","Region 28, Phoenix, Arizona","Paragon Professional Services, LLC and Asset Protection and Security Services, LP as Joint Employer",2026-01-05,2026-02-26,"El Paso","TX","A",2026-02-11,531,1,"Federal Contract Guards of America",121,NA,NA,NA,NA,56,189,NA,12,NA,"Federal Contract Guards of America","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time armed and unarmed detention security officers performing guard duties as defined in Section 9(b)(3) of the National Labor Relations Act, who are employed by the Employers at the United States Immigration and Customs Enforcement (ICE) El Paso Processing Center in El Paso, Texas.

EXCLUDED: All other employees, office clerical employees, professional employees, and supervisors as defined in the Act.",NA,NA,NA,37,2026-01-01,2026-01-01,"500>",TRUE,"RC","Yes","Federal Contract Guards of America",1,"FCGOA",0.68361581920904,"Yes",354
"04-RC-375291","Region 04, Philadelphia, Pennsylvania","Paragon Professional Services LLC",2025-11-21,2026-01-15,"Cinnaminson","NJ","A",2026-01-07,31,NA,"Federal Contract Guards of America (FCGOA)",8,NA,NA,NA,NA,15,23,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included:  All full-time and regular part-time Transportation Officers, Senior Transportations Officers, Lead Transportation Officers, and Trainers employed by the Employer at the 1702 Industrial Highway, Cinnaminson, New Jersey facility.

Excluded:  All other employees, including office clerical employees, confidential employees, managerial personnel, and supervisors as defined by the Act.",NA,NA,NA,47,2026-01-01,2025-10-01,"26-50",TRUE,"RC","Yes","Federal Contract Guards of America (FCGOA)",1,"FCGOA",0.347826086956522,"No",8
"29-RC-369915","Region 29, Brooklyn, New York","Universal Protection Service, LLC d/b/a Allied Universal Security Services",2025-07-22,2025-09-26,"Coram","NY","A",2025-09-15,4,NA,"Federal Contract Guards of America (FCGOA)",2,NA,NA,NA,NA,0,2,NA,NA,NA,"Federal Contract Guards of America (FCGOA)","Initial","Single Labor Organization","Certific. of Representative","Closed","EMPLOYEES ELIGIBLE TO VOTE:
All full-time and regular part-time Unarmed Security Officers, performing guard duties as defined in Section 9(B)(3) of the National Labor Relations Act, working at the Department of Social Services located at 80 Middle Country Road, Coram, New York, who were employed by the Employer during the payroll period ending July 31, 2025.

EMPLOYEES NOT ELIGIBLE TO VOTE:
All other employees, including office clerical employees, managerial personnel, and supervisors as defined by the Act.",NA,NA,NA,55,2025-07-01,2025-07-01,"<5",TRUE,"RC","Yes","Federal Contract Guards of America (FCGOA)",1,"FCGOA",1,"Yes",2
"29-RC-369898","Region 29, Brooklyn, New York","Universal Protection Service, LLC d/b/a Allied Universal Security Services",2025-07-22,2025-09-26,"Riverhead","NY","A",2025-09-15,5,NA,"Federal Contract Guards of America (FCGOA)",2,NA,NA,NA,NA,0,2,NA,NA,NA,"Federal Contract Guards of America (FCGOA)","Initial","Single Labor Organization","Certific. of Representative","Closed","EMPLOYEES ELIGIBLE TO VOTE:
All full-time and regular part-time Unarmed Security Officers, performing guard duties as defined in Section 9(B)(3) of the National Labor Relations Act, working at the Department of Social Services located at 605 Old Country Road, Riverhead, New York, who were employed by the Employer during the payroll period ending July 31, 2025.

EMPLOYEES NOT ELIGIBLE TO VOTE:
All other employees, including office clerical employees, managerial personnel, and supervisors as defined by the Act.",NA,NA,NA,55,2025-07-01,2025-07-01,"<5",TRUE,"RC","Yes","Federal Contract Guards of America (FCGOA)",1,"FCGOA",1,"Yes",3
"05-RC-369779","Region 05, Baltimore, Maryland","GXC Inc.",2025-07-22,2025-09-08,"Dover","DE","A",2025-08-28,15,NA,"Federal Contract Guards of America (FCGOA)",13,NA,NA,NA,NA,0,13,NA,NA,NA,"Federal Contract Guards of America (FCGOA)","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time armed and unarmed security officers employed by Employer assigned to Federal facilities within the State of Delaware under the Employer’s contract with the Department of Homeland Security, Federal Protective Service; but excluding all other employees, office clerical employees, managerial employees, and supervisors as defined in the Act.",NA,NA,NA,37,2025-07-01,2025-07-01,"11-25",TRUE,"RC","Yes","Federal Contract Guards of America (FCGOA)",1,"FCGOA",1,"Yes",2
"22-RC-354271","Region 22, Newark, New Jersey","ASSET PROTECTION AND SECURITY SERVICES, LP..",2024-11-06,2024-12-18,"Newark","NJ","A",2024-12-10,9,NA,"FEDERAL CONTRACT GUARDS OF AMERICA",8,NA,NA,NA,NA,0,8,NA,NA,NA,"FEDERAL CONTRACT GUARDS OF AMERICA","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: 	All full-time and regular part-time Transportation Officers and Lead Officers performing guard duties as defined in Section 9(b)(3) of the National Labor Relations Act, employed by the Employer at 614 Frelinghuysen Avenue Newark, New Jersey.
EXCLUDED:  All Office Clerical employees, Non-Guards, Professionals, and Supervisors as defined in the Act, and all other employees.",NA,NA,NA,34,2024-10-01,2024-10-01,"6-10",TRUE,"RC","Yes","FEDERAL CONTRACT GUARDS OF AMERICA",1,"FCGOA",1,"Yes",1
"02-RC-333871","Region 02, New York, New York","Universal Protection Service, LLC d/b/a Allied Universal Security Services",2024-01-19,2026-07-09,"Tarrytown","NY","A",2026-06-29,79,2,"Federal Contract Guards of America (FCGOA)",6,NA,NA,NA,NA,8,14,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Including:

All Security Professionals, Global Security Operations Command (GSOCs), EMTs, and Supervisors employed by the Employer at the Regeneron sites located at 777 Old Saw Mill River Road, Tarrytown, NY 10591; 1 Rockwood Road, Sleepy Hollow, New York, 10591; 175 King Street, Armonk,  New York 10504; and 3 Skyline Drive, Hawthorne, New York 10532.

Excluding 
All non-guards, clerical, professional, and confidential employees, managers, and supervisors within the meaning of Section 2(11) of the Act.",NA,NA,NA,892,2026-04-01,2024-01-01,"51-100",TRUE,"RC","Yes","Federal Contract Guards of America (FCGOA)",1,"FCGOA",0.428571428571429,"No",65
"22-RD-331652","Region 22, Newark, New Jersey","PRIME HEALTHCARE SERVICES – ST. MICHAEL’S, LLC d/b/a SAINT MICHAEL’S MEDICAL CENTER",2023-12-08,2024-01-17,"Ontario","CA","A",2024-01-08,25,NA,"Federal Contract Guards of America (FCGOA)",2,NA,NA,NA,NA,17,19,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED:  	All full-time, regular part-time and per diem* security guards/safety officers and lead security guards/safety officers employed by the Employer at its 111 Central Avenue, Newark, New Jersey facility.   
EXCLUDED:  	All office clerical employees, professional employees, non-guard employees, managers and supervisors as defined in the Act, and all other employees.
* Per diem employees are employees who have worked an average of at least four (4) hours per week during the calendar quarter preceding the eligibility date pursuant to Davison Paxon Co., 185 NLRB 21 (1970).",NA,NA,NA,31,2024-01-01,2023-10-01,"11-25",TRUE,"RD","Yes","Federal Contract Guards of America (FCGOA)",1,"FCGOA",0.105263157894737,"No",6
"16-RC-318192","Region 16, Fort Worth, Texas","MANAGEMENT & TRAINING CORPORATION",2023-05-16,2023-07-03,"Raymondville","TX","A",2023-06-23,154,NA,"FEDERAL CONTRACT GUARDS OF AMERICA (FCGOA)",63,NA,NA,NA,NA,7,70,NA,NA,NA,"FEDERAL CONTRACT GUARDS OF AMERICA (FCGOA)","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Detention Officers working for the Employer in El Valle Detention Facility located at 1800 Industrial Drive, Raymondville, Texas 78580 under the Employer’s contract with the U.S. Immigration and Customs Enforcement. 

Excluded: All other employees, including office clerical employees, professional employees, confidential employees, managers, non-guard employees under Section 9(b)(3) of the Act and supervisors as defined by the Act.",NA,NA,NA,38,2023-04-01,2023-04-01,"101-500",TRUE,"RC","Yes","FEDERAL CONTRACT GUARDS OF AMERICA (FCGOA)",1,"FCGOA",0.9,"Yes",84
