"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"05-RC-391511","Region 05, Baltimore, Maryland","Camden Wyoming Fire Company, Inc.",2026-07-27,NA,"Camden","DE",NA,NA,12,NA,"Kent Sussex Professional Firefighters, International Association of Fire Fighters (IAFF) Local 5121 a/w International Association of Fire Fighters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Kent Sussex Professional Firefighters, International Association of Fire Fighters (IAFF) Local 5121 a/w International Association of Fire Fighters",1,"IAFF",NA,"Still Open",NA
"06-RC-381492","Region 06, Pittsburgh, Pennsylvania","Heritage Valley Health Systems, Embrooke Inc.",2026-02-20,2026-04-01,"McKees Rocks","PA","A",2026-03-24,107,NA,"Embrooke Inc. Northwest EMS Local 5615, affiliated with the International Association of Fire Fighters",58,NA,NA,NA,NA,0,58,NA,2,NA,"Embrooke Inc. Northwest EMS Local 5615, affiliated with the International Association of Fire Fighters","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All Paramedics, Advanced Emergency Medical Technicians (AEMTs), Emergency Medical Technicians (EMTs), and Dispatchers employed by the Employer at its facilities located at 366 Helen Street, McKees Rocks, PA; 7221 Church Ave., Ben Avon, PA; 3100 Windgap Ave., Pittsburgh, PA (Crafton/Ingram Borough); 26 Municipal Dr., Clinton, PA (Findlay Township); 8036 Steubenville Pike, Oakdale, PA (North Fayette Township); 6111 Noblestown Rd., Oakdale, PA; and 2295 Tuscarawas Rd., Beaver, PA (Brighton Township).
 
Excluded: Confidential employees, Pre-Hospital Registered Nurses (PHRNs), and guards, and supervisors as defined in the Act.
 
Others permitted to vote: The parties have agreed that employees in the classification of Paramedic Lieutenant may vote in the election, but their ballots will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individuals in this classification are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,32,2026-01-01,2026-01-01,"101-500",TRUE,"RC","Yes","Embrooke Inc. Northwest EMS Local 5615, affiliated with the International Association of Fire Fighters",1,"IAFF",1,"Yes",49
"04-RM-380713","Region 04, Philadelphia, Pennsylvania","Bryn Athyn Fire Company",2026-02-09,2026-04-03,"Bryn Athyn","PA","A",2026-03-26,26,NA,"Fetters Mill Professional Firefighters Local 5608 a/w International Association of Fire Fighters",19,NA,NA,NA,NA,2,21,NA,NA,NA,"Fetters Mill Professional Firefighters Local 5608 a/w International Association of Fire Fighters","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time Lieutenants, Firefighter/Paramedics, Firefighter/Emergency Medical Technicians, and Firefighter/ Advanced Emergency Medical Technicians employed by the Employer at its facility located at 2815 Buck Road, Bryn Athyn, PA 19009.

EXCLUDED: Office clerical employees, confidential employees, managerial employees, guards and supervisors as defined in the Act.",NA,NA,NA,45,2026-01-01,2026-01-01,"26-50",TRUE,"RM","Yes","Fetters Mill Professional Firefighters Local 5608 a/w International Association of Fire Fighters",1,"IAFF",0.904761904761905,"Yes",5
"04-RC-370590","Region 04, Philadelphia, Pennsylvania","Mill Creek Fire Company",2025-08-04,2025-09-25,"Wilmington","DE","A",2025-09-25,27,NA,"International Association of Fire Fighters",11,NA,NA,NA,NA,10,21,NA,NA,NA,"International Association of Fire Fighters","Initial","Revised Single Labor Org","Certific. of Representative","Closed","Included: All full-time Fire Fighters, Emergency Medical Technicians (EMTs), and ambulance drivers below Captain rank employed by the Employer at its 3808 Kirkwood Highway, Marshallton, DE facility.

Excluded: All other employees, Lieutenants, clerical, guards, and supervisors as defined by the Act.",NA,NA,NA,52,2025-07-01,2025-07-01,"26-50",TRUE,"RC","Yes","International Association of Fire Fighters",1,"IAFF",0.523809523809524,"Yes",6
"04-RC-370590","Region 04, Philadelphia, Pennsylvania","Mill Creek Fire Company",2025-08-04,2025-09-25,"Wilmington","DE","A",2025-09-12,27,NA,"International Association of Fire Fighters",11,NA,NA,NA,NA,10,21,NA,4,"Y","International Association of Fire Fighters","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time Fire Fighters, Emergency Medical Technicians (EMTs), and ambulance drivers below Captain rank employed by the Employer at its 3808 Kirkwood Highway, Marshallton, DE facility.

Excluded: All other employees, Lieutenants, clerical, guards, and supervisors as defined by the Act.",NA,NA,NA,39,2025-07-01,2025-07-01,"26-50",FALSE,"RC","Yes","International Association of Fire Fighters",1,"IAFF",0.523809523809524,"Yes",6
"04-RC-362619","Region 04, Philadelphia, Pennsylvania","Pro Tec Fire Services, Inc.",2025-03-26,2025-05-19,"Philadelphia","PA","A",2025-05-09,7,NA,"Leonardo Professional Firefighters Local I-108 a/w International Association of Fire Fighters",5,NA,NA,NA,NA,1,6,NA,NA,NA,"Leonardo Professional Firefighters Local I-108 a/w International Association of Fire Fighters","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time captains and fire fighters employed by the Employer at its 3050 Red Lion Road, Philadelphia, PA facility.

EXCLUDED: All office clerical employees, managers, guards and supervisors as defined in the Act.",NA,NA,NA,44,2025-04-01,2025-01-01,"6-10",TRUE,"RC","Yes","Leonardo Professional Firefighters Local I-108 a/w International Association of Fire Fighters",1,"IAFF",0.833333333333333,"Yes",1
"18-RC-345499","Region 18, Minneapolis, Minnesota","Pro-Tec Fire Services, Inc.",2024-07-01,2024-08-16,"Appleton","WI","A",2024-08-09,7,NA,"Appleton International Airport Fire Fighters, International Association of Fire Fighters",7,NA,NA,NA,NA,0,7,NA,NA,NA,"Appleton International Airport Fire Fighters, International Association of Fire Fighters","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Public Safety Officers, Lieutenants, and Captains employed by the Employer at the Appleton, Wisconsin location.

Excluded:  All Deputy Chiefs, Fire Chiefs, all office clerical employees, and guards and supervisors as defined by the Act.",NA,NA,NA,39,2024-07-01,2024-07-01,"6-10",TRUE,"RC","Yes","Appleton International Airport Fire Fighters, International Association of Fire Fighters",1,"IAFF",1,"Yes",0
"10-RC-342258","Region 10, Atlanta, Georgia","Rural/Metro Corporation of Tennessee",2024-05-15,2024-06-27,"Chattanooga","TN","A",2024-06-18,18,NA,"International Association of Fire Fighters",14,NA,NA,NA,NA,0,14,NA,NA,NA,"International Association of Fire Fighters","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time captains, lieutenants and fire fighters employed by the
Employer at its Chattanooga, Tennessee facility but excluding all office clerical employees,
guards and supervisors as defined in the Act.",NA,NA,NA,34,2024-04-01,2024-04-01,"11-25",TRUE,"RC","Yes","International Association of Fire Fighters",1,"IAFF",1,"Yes",4
"32-RC-327749","Region 32, Oakland, California","Fiore Industries Inc.",2023-10-12,2023-12-14,"Mountain View","CA","A",2023-11-29,3,NA,"Moffett Field Firefighters, IAFF Local I-79",3,NA,NA,NA,NA,0,3,NA,NA,NA,"Moffett Field Firefighters, IAFF Local I-79","Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time Battalion Chiefs employed by the Employer at 580 Zook Road, Moffett Field, California 94035; excluding employees represented by a labor organization, confidential employees, office clerical employees, guards, and supervisors as defined by the Act.",NA,NA,NA,48,2023-10-01,2023-10-01,"<5",TRUE,"RC","Yes","Moffett Field Firefighters, IAFF Local I-79",1,"IAFF",1,"No",0
"04-RC-320239","Region 04, Philadelphia, Pennsylvania","Townsend Fire Department, Inc.",2023-06-20,2023-08-11,"Townsend","DE","A",2023-08-03,6,NA,"International Association of Fire Fighters Local 4417",4,NA,NA,NA,NA,2,6,NA,NA,NA,"International Association of Fire Fighters Local 4417","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time EMT/Firefighter employees employed by the Employer at its facility currently located at 107 Main Street, Townsend, Delaware.

EXCLUDED: All other employees, part-time employees, office clerical employees, professional employees, confidential employees, managerial employees, guards, and supervisors as defined in the Act.",NA,NA,NA,44,2023-07-01,2023-04-01,"6-10",TRUE,"RC","Yes","International Association of Fire Fighters Local 4417",1,"IAFF",0.666666666666667,"Yes",0
