"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"09-RC-392848","Region 09, Cincinnati, Ohio","MEINEKE CAR CARE CENTER",2026-08-14,NA,"New Albany","IN",NA,NA,3,NA,"International Association of Machinists and Aerospace Workers, AFL-CIO (IAM) Local 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","International Association of Machinists and Aerospace Workers, AFL-CIO (IAM) Local 2018",1,"IAM",NA,"Still Open",NA
"32-RD-392789","Region 32, Oakland, California","CalPortland",2026-08-12,NA,"San Jose","CA",NA,NA,7,NA,"IAM Local 1101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RD","No","IAM Local 1101",1,"IAM",NA,"Still Open",NA
"18-RC-392855","Region 18, Minneapolis, Minnesota","WDC Acquisition LLC D/B/A Wellman",2026-08-12,NA,"Creston","IA",NA,NA,70,NA,"District 6, International Association of Machinists and Aerospace Workers, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","District 6, International Association of Machinists and Aerospace Workers, AFL-CIO",1,"IAM",NA,"Still Open",NA
"16-RD-392349","Region 16, Fort Worth, Texas","Allied Aviation Fueling Company of San Antonio, Inc.",2026-08-06,NA,"San Antonio","TX",NA,NA,38,NA,"International Association of Machinists & Aerospace Workers, District 142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RD","No","International Association of Machinists & Aerospace Workers, District 142",1,"IAM",NA,"Still Open",NA
"31-RC-392088","Region 31, Los Angeles, California","Boeing LAX / Millennium Space Services",2026-08-03,NA,"El Segundo","CA",NA,NA,530,NA,"International Association of Machinists and Aerospace Workers, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"500>",TRUE,"RC","No","International Association of Machinists and Aerospace Workers, AFL-CIO",1,"IAM",NA,"Still Open",NA
"07-RC-392051","Region 07, Detroit, Michigan","Bridgestone Retail Operations, LLC",2026-07-31,NA,"Wyoming","MI",NA,NA,4,NA,"District 60, International Association of Machinists and Aerospace Workers (IAM), AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","District 60, International Association of Machinists and Aerospace Workers (IAM), AFL-CIO",1,"IAM",NA,"Still Open",NA
"28-RC-392294","Region 28, Phoenix, Arizona","V2X, Inc.",2026-07-31,NA,"Fort Bliss","TX",NA,NA,4,NA,"International Association of Machinists & Aerospace Workers, AFL-CIO, Local Lodge 2515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","International Association of Machinists & Aerospace Workers, AFL-CIO, Local Lodge 2515",1,"IAM",NA,"Still Open",NA
"19-RC-391354","Region 19, Seattle, Washington","Domino's Pizza LLC",2026-07-23,NA,"Kent","WA",NA,NA,59,NA,"International Association of Machinists & Aerospace Workers, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","International Association of Machinists & Aerospace Workers, AFL-CIO",1,"IAM",NA,"Still Open",NA
"32-RC-390416","Region 32, Oakland, California","Kay and Associates, Inc.",2026-07-10,2026-08-11,"Lemoore","CA","A",2026-07-29,36,NA,"International Association of Machinists and Aerospace Workers District 725",34,NA,NA,NA,NA,0,34,NA,NA,NA,"International Association of Machinists and Aerospace Workers District 725","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time Mechanic 3’s, Mechanic 2’s, Mechanic 1’s and Aircraft Workers employed by the Employer at VFA-125, O Level Flight Line Division, Hanger 5, NAS Lemoore, CA, excluding all other employees, confidential employees, office clerical employees, guards, and supervisors as defined by the Act.",NA,NA,NA,19,2026-07-01,2026-07-01,"26-50",TRUE,"RC","Yes","International Association of Machinists and Aerospace Workers District 725",1,"IAM",1,"Yes",2
"09-RC-390303","Region 09, Cincinnati, Ohio","WOESTE MOTORS, INC. D/B/A HONDA EAST",2026-07-09,NA,"Cincinnati","OH",NA,NA,18,NA,"International Association of Machinists and Aerospace Workers, AFL-CIO (IAM) Local 1943",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","International Association of Machinists and Aerospace Workers, AFL-CIO (IAM) Local 1943",1,"IAM",NA,"Still Open",NA
