"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"16-RC-390960","Region 16, Fort Worth, Texas","Ash Grove Cement Company",2026-07-17,NA,"Midlothian","TX",NA,NA,85,NA,"International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmith, Forgers and Helpers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RC","No","International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmith, Forgers and Helpers",1,"IBB",NA,"Still Open",NA
"19-RC-388104","Region 19, Seattle, Washington","Metro Machine Corp. d/b/a General Dynamics NASSCO-Bremerton",2026-06-02,2026-08-07,"Bremerton","WA","A",2026-07-30,47,NA,"International Brotherhood of Boilermakers, Iron Shipbuilders, Blacksmith, Forgers and Helpers Local 104",24,NA,NA,NA,NA,12,44,NA,8,NA,"International Brotherhood of Boilermakers, Iron Shipbuilders, Blacksmith, Forgers and Helpers Local 104","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees employed by the Employer and working at or out of its 423 Pacific Ave., Bremerton, WA 98337 facility in the following classifications: Driver; Electrician; Fire Watch; GFP Coordinator; Hot Cold Work Coordinator; Logistics Coordinator; Outside Machinist; Pier Coordinator; Pipefitter; Rigger; Sheetmetal Mechanic; Shipfitter; Warehouse Logistics Lead; Warehouse/Tool Room Associate; and Welder.

Excluded: All other employees, and guards and supervisors as defined by the Act.",NA,NA,NA,58,2026-07-01,2026-04-01,"26-50",TRUE,"RC","Yes","International Brotherhood of Boilermakers, Iron Shipbuilders, Blacksmith, Forgers and Helpers Local 104",1,"IBB",0.666666666666667,"Yes",11
"16-RC-386526","Region 16, Fort Worth, Texas","Fairbanks Morse, LLC",2026-05-06,2026-06-11,"Houston","TX","A",2026-06-03,18,NA,"International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmith, Forgers and Helpers",7,NA,NA,NA,NA,9,16,NA,1,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","INCLUDED: All Mechanics, Senior Mechanics, and Associate Mechanics working the “Pit Stop” service at the Employer's facility located at 12253 FM 529, Houston, Texas 77041.

EXCLUDED: All other employees including Field Service Technicians, confidential employees, office clerical employees, managerial employees, guards and supervisors as defined by the National Labor Relations Act.",NA,NA,NA,28,2026-04-01,2026-04-01,"11-25",TRUE,"RC","Yes","International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmith, Forgers and Helpers",1,"IBB",0.4375,"No",2
"10-RD-385128","Region 10, Atlanta, Georgia","The Sherwin-Williams Manufacturing Company",2026-04-20,2026-05-15,"Birmingham","AL","A",2026-05-07,83,NA,"International Brotherhood of Boilermakers Iron Ship Builders Blacksmith Forgers and Helpers",35,NA,NA,NA,NA,36,71,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time production, maintenance, and quality employees employed by Employer at its facility located at 90 Carson Road, Birmingham, Alabama but excluding all other employees, office clerical employees, guards, professional employees, confidential employees, managers, and supervisors as defined in the Act

(1) employees who have quit or been discharged for cause after the designated payroll period for eligibility, and, in a mail ballot election, before they mail in their ballots to the Board’s designated office, (2) employees engaged in a strike who have been discharged for cause since the commencement thereof and who have not been rehired or reinstated before the election date, and (3) employees engaged in an economic strike which began more than 12 months before the election date who have been permanently replaced.",NA,NA,NA,17,2026-04-01,2026-04-01,"51-100",TRUE,"RD","Yes","International Brotherhood of Boilermakers Iron Ship Builders Blacksmith Forgers and Helpers",1,"IBB",0.492957746478873,"No",12
"25-RC-377489","Region 25, Indianapolis, Indiana","BWXT Nuclear Operations Group, Inc.",2025-12-18,2026-02-04,"Mount Vernon","IN","A",2026-01-23,53,NA,"International Brotherhood of Boilermakers Iron Ship Builders Blacksmith Forgers and Helpers",17,NA,NA,NA,NA,30,47,NA,6,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time inspector, quality technician, and calibration technician employees employed by the Employer at its Mount Vernon, Indiana facility.

Excluded: All office clerical employees, managerial employees, guards, professional employees, supervisors as defined in the Act, and all other employees.",NA,NA,NA,36,2026-01-01,2025-10-01,"51-100",TRUE,"RC","Yes","International Brotherhood of Boilermakers Iron Ship Builders Blacksmith Forgers and Helpers",1,"IBB",0.361702127659574,"No",6
"10-RC-374579","Region 10, Atlanta, Georgia","Heatec, Inc.",2025-11-13,2025-12-29,"Chattanooga","TN","A",2025-12-16,139,NA,"International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmiths, Forgers and Helpers",43,NA,NA,NA,NA,84,127,NA,1,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time production and maintenance employees employed by the Employer at its facility located at 5200 Wilson Road, Chattanooga, Tennessee 37410, including team members and team leads, in the following departments: Assembly, Blast/Paint, Electrical, Machining, Production Control, Quality, Repair & Maintenance, Shipping/Receiving, Steel Processing Operations, Warehouse & Material Handlers, Welding, Welding Operations, but excluding all other hourly team members and team leads, all office and plant clerical employees, all employees employed by contractors, employee leasing companies, and/or temporary agencies, all professional employees, managers, guards and supervisors as defined in the Act.",NA,NA,NA,33,2025-10-01,2025-10-01,"101-500",TRUE,"RC","Yes","International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmiths, Forgers and Helpers",1,"IBB",0.338582677165354,"No",12
"14-RC-371245","Region 14, Saint Louis, Missouri","Sierra International LLC d/b/a Dometic Marine",2025-08-12,2025-09-19,"Litchfield","IL","A",2025-09-09,108,NA,"International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmith, Forgers and Helpers",55,NA,NA,NA,NA,43,98,NA,NA,NA,"International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmith, Forgers and Helpers","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time production employees, maintenance employees, warehouse employees, and truck driver employees employed by the Employer and working in Building 1 of the Employer’s facility located at 1 Sierra Place, Litchfield, IL, or Building 2 of the Employer's facility located at 725 McKinley Ave, Litchfield, IL.
 
Excluded: All other employees, including Student Factory Workers, temporary employees, office clerical employees, and professional employees, guards and supervisors as defined in the Act.",NA,NA,NA,28,2025-07-01,2025-07-01,"101-500",TRUE,"RC","Yes","International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmith, Forgers and Helpers",1,"IBB",0.561224489795918,"Yes",10
"27-RC-368877","Region 27, Denver, Colorado","Mountain Cement Company LLC",2025-07-07,2025-08-28,"Laramie","WY","A",2025-08-20,79,1,"INTERNATIONAL BROTHERHOOD OF BOILERMAKERS, IRON SHIP BUILDERS, BLACKSMITH, FORGERS, AND HELPERS, LOCAL 101",40,NA,NA,NA,NA,26,78,NA,12,NA,"INTERNATIONAL BROTHERHOOD OF BOILERMAKERS, IRON SHIP BUILDERS, BLACKSMITH, FORGERS, AND HELPERS, LOCAL 101","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Dust Collector Mechanics, Electricians, Instrumentation Technicians, Laborers, Loader Operators, Lube Oiler Repairmen, Mix Chemists, Mobile Equipment Mechanics, Shipping Operators, Truck Drivers, Utility Operators, and Welder/Mechanics employed by the Employer at its Laramie, Wyoming facility.
 
Excluded: Quarry Technicians, office clerical employees, professional employees, guards, and supervisors, as defined in the Act, and all other employees.",NA,NA,NA,44,2025-07-01,2025-07-01,"51-100",TRUE,"RC","Yes","INTERNATIONAL BROTHERHOOD OF BOILERMAKERS, IRON SHIP BUILDERS, BLACKSMITH, FORGERS, AND HELPERS, LOCAL 101",1,"IBB",0.606060606060606,"Yes",13
"10-RC-366901","Region 10, Atlanta, Georgia","Nichiha USA Inc.",2025-06-04,2025-07-21,"Macon","GA","A",2025-07-11,303,1,"International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmith, Forgers and Helpers",141,NA,NA,NA,NA,115,256,NA,14,NA,"International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmith, Forgers and Helpers","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full time and regular part time hourly Production and Maintenance 
employees at the employer's facility located at 3150 Avondale Mill Road, Macon, 
Georgia and 2000 White Elk Springs Court, Macon, Georgia, including employees in 
paint/ offline cutting, paint/ packaging, offline paint/ corners, forming/ cutting, quality control, packing, trim line, cleaning/ paint mixing, parts, planning, shutdown specialists and interpreters, waste water employees, and on-site and off-site warehouse employees. 

EXCLUDED: All other employees, office clerical employees, managers, professional employees, guards, and supervisors as defined in the Act.",NA,NA,NA,37,2025-07-01,2025-04-01,"101-500",TRUE,"RC","Yes","International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmith, Forgers and Helpers",1,"IBB",0.55078125,"Yes",47
"06-RC-361668","Region 06, Pittsburgh, Pennsylvania","Quality Carriers, Inc.",2025-03-10,2025-05-02,"Coraopolis","PA","A",2025-04-24,9,NA,"International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmiths, Forgers and Helpers, AFL-CIO",8,NA,NA,NA,NA,1,9,NA,NA,NA,"International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmiths, Forgers and Helpers, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time maintenance employees employed by the Employer at its facility located at 410 Coraopolis Road, Coraopolis, Pennsylvania 15108; but excluding: all salaried employees, drivers, other terminal drivers, office clerical employees, managers, guards, and professional employees and supervisors as defined in the Act.",NA,NA,NA,45,2025-04-01,2025-01-01,"6-10",TRUE,"RC","Yes","International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmiths, Forgers and Helpers, AFL-CIO",1,"IBB",0.888888888888889,"Yes",0
