"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"18-RD-392707","Region 18, Minneapolis, Minnesota","MiEnergy Cooperative",2026-08-11,NA,"Rushford","MN",NA,NA,25,NA,"IBEW Local Union 949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RD","No","IBEW Local Union 949",1,"IBEW",NA,"Still Open",NA
"10-RC-392521","Region 10, Atlanta, Georgia","AGL Services Company",2026-08-10,NA,"Atlanta","GA",NA,NA,7,NA,"International Brotherhood of Electrical Workers Local #1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","International Brotherhood of Electrical Workers Local #1997",1,"IBEW",NA,"Still Open",NA
"31-RC-392541","Region 31, Los Angeles, California","Crown Technical Systems",2026-08-10,NA,"Fontana","CA",NA,NA,200,NA,"International Brotherhood of Electrical Workers, IBEW 47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"101-500",TRUE,"RC","No","International Brotherhood of Electrical Workers, IBEW 47",1,"IBEW",NA,"Still Open",NA
"16-RC-392366","Region 16, Fort Worth, Texas","Panola Harrison Electric Cooperative",2026-08-06,NA,"Marshall","TX",NA,NA,14,NA,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL 738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL 738",1,"IBEW",NA,"Still Open",NA
"13-RC-391993","Region 13, Chicago, Illinois","Allegiant Fire Protection, LLC",2026-08-03,NA,"Aurora","IL",NA,NA,7,NA,"International Brotherhood of Electrical Workers (IBEW) Local Union No. 461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","International Brotherhood of Electrical Workers (IBEW) Local Union No. 461",1,"IBEW",NA,"Still Open",NA
"19-RM-391798","Region 19, Seattle, Washington","Hood River Electric Cooperative, Inc. d/b/a Hood River Electric & Internet Co-op",2026-07-29,NA,"Hood River","OR",NA,NA,9,NA,"International Brotherhood of Electrical Workers, Local 125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RM","No","International Brotherhood of Electrical Workers, Local 125",1,"IBEW",NA,"Still Open",NA
"10-RC-391380","Region 10, Atlanta, Georgia","Service Electric Company",2026-07-23,NA,"Chattanooga","TN",NA,NA,6,NA,"International Brotherhood of Electrical Workers Local 175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","International Brotherhood of Electrical Workers Local 175",1,"IBEW",NA,"Still Open",NA
"14-RC-391107","Region 14, Saint Louis, Missouri","Nickell Electric Company, Inc.",2026-07-21,NA,"Greenwood","MO",NA,NA,8,NA,"International Brotherhood of Electrical Workers, Local No. 124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"6-10",TRUE,"RC","No","International Brotherhood of Electrical Workers, Local No. 124",1,"IBEW",NA,"Still Open",NA
"16-RC-390987","Region 16, Fort Worth, Texas","Rusk County Electric Cooperative, Inc.",2026-07-20,NA,"Henderson","TX",NA,NA,5,NA,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL 738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL 738",1,"IBEW",NA,"Still Open",NA
"10-RC-390592","Region 10, Atlanta, Georgia","Dark Horse Electric, LLC",2026-07-14,NA,"Sunbright","TN","A",2026-08-12,16,NA,"International Brotherhood of Electrical Workers Local Union 270",14,NA,NA,NA,NA,1,17,NA,2,NA,"International Brotherhood of Electrical Workers Local Union 270","Initial","Single Labor Organization",NA,"Open",NA,NA,NA,NA,29,2026-07-01,2026-07-01,"11-25",TRUE,"RC","Yes","International Brotherhood of Electrical Workers Local Union 270",1,"IBEW",0.933333333333333,"Still Open",1
