"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"02-RC-345086","Region 02, New York, New York","Intercos America, Inc.",2024-06-25,2024-08-08,"West Nyack","NY","A",2024-07-31,52,NA,"Local 713 IBOTU, UMD, ILA",45,NA,NA,NA,NA,7,52,NA,NA,NA,"Local 713 IBOTU, UMD, ILA","Initial","Single Labor Organization","Certific. of Representative","Closed","Included:  All full-time and regular part-time production employees employed by the Employer at its facility located at 11O Brook Hill Dr., West Nyack, NY 10994.

Excluded: All other employees, including any employees employed by any agency or other third-party employer, quality control employees, shipping employees, warehouse employees, p>re-weight employees, mechanics, drivers, office clerical employees, and guards, professional employees, and supervisors as defined in the National Labor Relations Act.",NA,NA,NA,36,2024-07-01,2024-04-01,"51-100",TRUE,"RC","Yes","Local 713 IBOTU, UMD, ILA",1,"ILA",0.865384615384615,"Yes",0
"14-RD-311980","Region 14, Saint Louis, Missouri","SA Recycling, LLC",2023-02-09,2023-03-23,"Saint Louis","MO","A",2023-03-14,11,NA,"International Longshoremen's Association Local 1765, AFL-CIO",0,NA,NA,NA,NA,11,11,NA,NA,NA,"International Longshoremen's Association Local 1765, AFL-CIO","Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time production employees employed by the Employer at its facility located at 3620 Hall Street, St. Louis, Missouri.
but EXCLUDING All watchmen, office clerical employees, professional employees, guards and supervisors as defined in the Act.",NA,NA,NA,33,2023-01-01,2023-01-01,"11-25",TRUE,"RD","Yes","International Longshoremen's Association Local 1765, AFL-CIO",1,"ILA",0,"No",0
"14-RD-308515","Region 14, Saint Louis, Missouri","Quality Metal Supply, LLC d/b/a Cardinal Steel Supply",2022-12-08,2023-01-30,"Saint Louis","MO","A",2023-01-17,15,NA,"International Longshoremen's Association Local 1765, AFL-CIO",2,NA,NA,NA,NA,11,11,NA,NA,NA,"International Longshoremen's Association Local 1765, AFL-CIO","Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time production and maintenance employees employed by the Employer at its 6335 McKissock Avenue, St. Louis, Missouri and 7618 N. Broadway, St. Louis, Missouri locations. 
Excluded: All watchmen, office clerical employees, professional employees, guards and supervisors as defined in the Act.",NA,NA,NA,40,2023-01-01,2022-10-01,"11-25",TRUE,"RD","Yes","International Longshoremen's Association Local 1765, AFL-CIO",1,"ILA",0.153846153846154,"No",2
"10-RC-298562","Region 10, Atlanta, Georgia","Moran Savannah, a division of Moran Towing Corporation",2022-07-01,2022-11-01,"Savannah","GA","A",2022-10-24,22,NA,"International Organization of Masters Mates & Pilots, ILA/AFL-CIO",6,NA,NA,NA,NA,16,22,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All licensed and unlicensed crew members employed on tugboats and barges 
owned or operated by the Employer out of its Savannah, Georgia facility, 
including mates, mate trainees, engineers, deckhands, and deckhand trainees, but excluding captains, relief captains, clerical employees, and guards and supervisors 
as defined by the Act.",NA,NA,NA,115,2022-10-01,2022-07-01,"11-25",TRUE,"RC","Yes","International Organization of Masters Mates & Pilots, ILA/AFL-CIO",1,"ILA",0.272727272727273,"No",0
"08-RC-288488","Region 08, Cleveland, Ohio","Midwest Terminals of Toledo International, Inc.",2022-01-05,2022-09-21,"Toledo","OH","A",2022-08-08,44,NA,"International Longshoremen's Association",8,NA,NA,NA,NA,20,28,NA,11,NA,NA,"Initial","Revised Single Labor Org","Certification of Results","Closed","Included: All full-time, regular part-time, on call (fn. 1) maintenance employees and dockworkers performing longshoring, stevedoring and warehousing duties employed by the Employer its Facility 1 location in Toledo, Ohio; excluding all other employees, office clerical employees, confidential employees, managers, guards, and supervisors as defined in the Act. 
(fn. 1) Any employee who has worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date is eligible to vote in the election.  
Excluded: All other employees, office clerical employees, confidential employees, managers, guards, and supervisors as defined in the Act.  
OTHERS PERMITTED TO VOTE:  The parties agree that Samuel A. Dumas, Scott D. Fisher, Ryan Richardson, Jordan C. Salhoff and David H. Whetsel may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,215,2022-07-01,2022-01-01,"26-50",TRUE,"RC","Yes","International Longshoremen's Association",1,"ILA",0.285714285714286,"No",16
"08-RC-288488","Region 08, Cleveland, Ohio","Midwest Terminals of Toledo International, Inc.",2022-01-05,2022-09-21,"Toledo","OH","A",2022-07-13,44,NA,"International Longshoremen's Association",8,NA,NA,NA,NA,14,22,NA,17,"Y",NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time, regular part-time, on call (fn. 1) maintenance employees and dockworkers performing longshoring, stevedoring and warehousing duties employed by the Employer its Facility 1 location in Toledo, Ohio; excluding all other employees, office clerical employees, confidential employees, managers, guards, and supervisors as defined in the Act. 
(fn. 1) Any employee who has worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date is eligible to vote in the election.  
Excluded: All other employees, office clerical employees, confidential employees, managers, guards, and supervisors as defined in the Act.  
OTHERS PERMITTED TO VOTE:  The parties agree that Samuel A. Dumas, Scott D. Fisher, Ryan Richardson, Jordan C. Salhoff and David H. Whetsel may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,189,2022-07-01,2022-01-01,"26-50",FALSE,"RC","Yes","International Longshoremen's Association",1,"ILA",0.363636363636364,"No",22
"12-RC-287944","Region 12, Tampa, Florida","Tropical Shipping USA, LLC",2021-12-21,2022-05-17,"Riviera Beach","FL","A",2022-05-06,83,NA,"International Longshoremen's Association, Local 1359/1860",18,NA,NA,NA,NA,63,81,NA,1,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time employees in the stevedoring, interchange, auto/flat rack receiving, and TL-rail yard departments employed by the Employer  at its Port of Palm Beach, Florida facility.
Excluded: All  employees in the port maintenance, container/chassis maintenance, and refrigeration maintenance departments, guards, and supervisors as defined in the Act.",NA,NA,NA,136,2022-04-01,2021-10-01,"51-100",TRUE,"RC","Yes","International Longshoremen's Association, Local 1359/1860",1,"ILA",0.222222222222222,"No",2
"08-RD-256420","Region 08, Cleveland, Ohio","Archer Daniels Midland Company",2020-02-18,2020-03-24,"Toledo","OH","A",2020-03-11,8,NA,"International Longshoremen's Association Local 1768",2,NA,NA,NA,NA,6,8,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time production and maintenance employees employed by the Employer at its elevator located at 1308 Miami Street, Toledo, Ohio, but excluding all office and clerical employees, grain inspectors, guards and/or watchmen, professional and technical employees, seasonal and part-time employees, and supervisors as defined in the Act, and all other employees.",NA,NA,NA,22,2020-01-01,2020-01-01,"6-10",TRUE,"RD","Yes","International Longshoremen's Association Local 1768",1,"ILA",0.25,"No",0
"22-RC-255546","Region 22, Newark, New Jersey","AAK USA, INC.",2020-01-31,2020-03-11,"Newark","NJ","A",2020-02-28,6,NA,"Local 1478-2 ILA, AFL-CIO",2,NA,NA,NA,NA,3,5,NA,1,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time Laboratory Technicians and Senior Quality Technicians employed by the Employer at its 131 March Street, Newark, New Jersey facility.

Excluded: All office clerical employees, production operators, maintenance mechanics, facilities maintenance employees, logistics operators, instrument & control technicians, boiler operators, temporary employees, shift leaders, process engineers, senior regulatory compliance specialists, maintenance planners/schedulers, guards and supervisors as defined in the Act, and all other employees.",NA,NA,NA,28,2020-01-01,2020-01-01,"6-10",TRUE,"RC","Yes","Local 1478-2 ILA, AFL-CIO",1,"ILA",0.4,"No",1
"22-RC-252899","Region 22, Newark, New Jersey","AAK USA Inc.",2019-12-06,2020-01-23,"Newark","NJ","A",2020-01-10,45,NA,"Local 1478-2 ILA, AFL-CIO",30,NA,NA,NA,NA,7,37,NA,6,NA,"Local 1478-2 ILA, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:	All full-time and regular part-time production operators, maintenance mechanics, facilities maintenance employees, logistics operators, instrument & control technicians and boiler operators employed by the Employer at its 131 Marsh Street, Newark, New Jersey facility.

EXCLUDED:	All office clerical employees, temporary employees, shift leaders, process engineers, senior regulatory compliance specialists, maintenance planners/schedulers, guards and supervisors as defined in the Act.",NA,NA,NA,35,2020-01-01,2019-10-01,"26-50",TRUE,"RC","Yes","Local 1478-2 ILA, AFL-CIO",1,"ILA",0.810810810810811,"Yes",8
