"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"21-RC-389161","Region 21, Los Angeles, California","SSA Terminals, LLC",2026-06-22,2026-07-20,"Long Beach","CA","A",2026-07-10,4,NA,"International Longshore and Warehouse Union, Local 63, Office Clerical Unit",2,NA,NA,NA,NA,2,4,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included:  All full-time and regular part-time customer service representatives in the customer service department at Pier A, employed by the Employer at its facility currently located at 700 Pier A Plaza, Long Beach, California.

Excluded:  All other employees, office clerical employees, professional employees, managerial employees, administrative assistants, confidential employees, guards and supervisors as defined in the Act.",NA,NA,NA,18,2026-07-01,2026-04-01,"<5",TRUE,"RC","Yes","International Longshore and Warehouse Union, Local 63, Office Clerical Unit",1,"ILWU",0.5,"No",0
"27-RC-388454","Region 27, Denver, Colorado","SSA Containers, Inc.",2026-06-08,2026-07-14,"Draper","UT","A",2026-07-01,113,NA,"International Longshore and Warehouse Union, Local 63, Office Clerical Unit",72,NA,NA,NA,NA,37,110,NA,1,NA,"International Longshore and Warehouse Union, Local 63, Office Clerical Unit","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees employed by the Employer, SSA Containers, Inc. located at 11814 S. Election Rd., Suite 210 Draper, Utah 84020, in the following positions: Associate Vessel Planner, Billing Lead, Billing Specialist. Billing Specialist – Terminal, Billing Supervisor, Customer Service Rep, Customer Support Specialist, Government Specialist, Inbound Specialist, Junior Vessel Planner, Lead Hazardous Specialist, Longshore Labor Analyst, Outbound Specialist, Payroll Specialist – Terminal, Senior Longshore Labor Analyst, Senior Vessel Planner, Systems Support Analyst, and Vessel Planning Supervisor.
Excluded: Contractor/temporary employees, confidential employees, professional employees, other clerical employees, managers, guards, supervisors, as defined by the Act, and all other employees.",NA,NA,NA,23,2026-07-01,2026-04-01,"101-500",TRUE,"RC","Yes","International Longshore and Warehouse Union, Local 63, Office Clerical Unit",1,"ILWU",0.660550458715596,"Yes",4
"19-RC-387776","Region 19, Seattle, Washington","Serendipity Center, Inc.",2026-05-27,2026-07-17,"Portland","OR","A",2026-07-09,74,NA,"International Longshore and Warehouse Union, Local 5",26,NA,NA,NA,NA,10,36,NA,9,NA,"International Longshore and Warehouse Union, Local 5","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Art Therapists, Case Managers, 
Health Teachers, Physical Education Teachers, Speech Language Pathologists (SLPs), Therapeutic Teachers, Tier 3 Behavior Specialists, and Transition Coordinators employed by the Employer at its Portland, Oregon facility. 1 
Excluded: All other employees, non-professional employees, Accountants, Accounting Clerks, Admissions Coordinator, Compliance Managers, Development & Communication Specialists, Director of Advancement, Executive Assistants, Executive Directors, Facilities Coordinators, IT Coordinators, Principals, Program Secretaries, Program Supervisors, Receptionists, School Operations Supervisors, School Information Systems (SIS) Coordinators, Sped Administrative Assistants, Special Education (SPED) Directors, Training/Staff Development Managers, Treatment Directors, Vice Principals, Wellness Program Managers, Food Services Coordinators, Health Office Assistants, Nutrition Services Administrator, Special Education (SPED) Coordinators, Tier 1 Coaches, confidential employees, guards and supervisors as defined by the Act.","Included: All full-time and regular part-time Instructional Assistants, 
Interventionists, Program Assistants, and Wellness Educators employed by the Employer at its Portland, Oregon facility. 2
Excluded: All other employees, professional employees, Accountants, Accounting Clerks, Admissions Coordinator, Compliance Managers, Development & Communication Specialists, Director of Advancement, Executive Assistants, Executive Directors, Facilities Coordinators, IT Coordinators, Principals, Program Secretaries, Program Supervisors, Receptionists, School Operations Supervisors, School Information Systems (SIS) Coordinators, Sped Administrative Assistants, Special Education (SPED) Directors, Training/Staff Development Managers, Treatment Directors, Vice Principals, Wellness Program Managers, Food Services Coordinators, Health Office Assistants, Nutrition Services Administrator, Special Education (SPED) Coordinators, Tier 1 Coaches, confidential employees, guards and supervisors as defined by the Act.","Included: All full-time and regular part-time Instructional Assistants, 
Interventionists, Program Assistants, and Wellness Educators employed by the Employer at its Portland, Oregon facility. 2
Excluded: All other employees, professional employees, Accountants, Accounting Clerks, Admissions Coordinator, Compliance Managers, Development & Communication Specialists, Director of Advancement, Executive Assistants, Executive Directors, Facilities Coordinators, IT Coordinators, Principals, Program Secretaries, Program Supervisors, Receptionists, School Operations Supervisors, School Information Systems (SIS) Coordinators, Sped Administrative Assistants, Special Education (SPED) Directors, Training/Staff Development Managers, Treatment Directors, Vice Principals, Wellness Program Managers, Food Services Coordinators, Health Office Assistants, Nutrition Services Administrator, Special Education (SPED) Coordinators, Tier 1 Coaches, confidential employees, guards and supervisors as defined by the Act.","Included: All full-time and regular part-time Instructional Assistants, 
Interventionists, Program Assistants, and Wellness Educators employed by the Employer at its Portland, Oregon facility. 2
Excluded: All other employees, professional employees, Accountants, Accounting Clerks, Admissions Coordinator, Compliance Managers, Development & Communication Specialists, Director of Advancement, Executive Assistants, Executive Directors, Facilities Coordinators, IT Coordinators, Principals, Program Secretaries, Program Supervisors, Receptionists, School Operations Supervisors, School Information Systems (SIS) Coordinators, Sped Administrative Assistants, Special Education (SPED) Directors, Training/Staff Development Managers, Treatment Directors, Vice Principals, Wellness Program Managers, Food Services Coordinators, Health Office Assistants, Nutrition Services Administrator, Special Education (SPED) Coordinators, Tier 1 Coaches, confidential employees, guards and supervisors as defined by the Act.",43,2026-07-01,2026-04-01,"51-100",TRUE,"RC","Yes","International Longshore and Warehouse Union, Local 5",1,"ILWU",0.722222222222222,"Yes",38
"19-RC-386928","Region 19, Seattle, Washington","United Cerebral Palsy Association of Oregon and Southwest Washington, Inc. d/b/a UCP Oregon",2026-05-13,2026-06-23,"Portland","OR","A",2026-06-12,41,NA,"International Longshore and Warehouse Union Local 5",28,NA,NA,NA,NA,0,28,NA,NA,NA,"International Longshore and Warehouse Union Local 5","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Connections, Mentors, and Employment department employees, including Administrative Assistants, Advocacy and Outreach Coordinators, Assessment and Quality Coordinators, Operations Coordinators, Personal Agents, Personal Agents (Bilingual), Personal Agents (Floating), Resource and Support Personal Agent Liaisons, Personal Agent Liaisons, Provider Coordinators, Resource and Provider Agency Coordinators, Job Coaches, and Employment Specialists at the Employer’s facility located at 9600 NE Cascades Parkway, Suite 400, Portland, OR 97220. 

Excluded: All other employees, managers, confidential employees, and guards and supervisors as defined by the Act.",NA,NA,NA,30,2026-04-01,2026-04-01,"26-50",TRUE,"RC","Yes","International Longshore and Warehouse Union Local 5",1,"ILWU",1,"Yes",13
"19-RC-386775","Region 19, Seattle, Washington","Foss Maritime Company, LLC",2026-05-11,2026-07-21,"Seattle","WA","A",2026-07-13,6,NA,"Inlandboatmen’s Union of the Pacific, Marine Division, affiliated with International Longshore and Warehouse Union",6,NA,NA,NA,NA,0,6,NA,NA,NA,"Inlandboatmen’s Union of the Pacific, Marine Division, affiliated with International Longshore and Warehouse Union","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Line superintendents employed by the Employer and working at or out of its Tacoma and Seattle, Washington facilities.
Excluded: All confidential employees, office clerical employees, managers, and guards and supervisors as defined in the Act.",NA,NA,NA,63,2026-07-01,2026-04-01,"6-10",TRUE,"RC","Yes","Inlandboatmen’s Union of the Pacific, Marine Division, affiliated with International Longshore and Warehouse Union",1,"ILWU",1,"Yes",0
"19-RC-385838","Region 19, Seattle, Washington","ES Children’s Garden FH OpCp, LLC dba The Children’s Garden",2026-04-28,2026-06-18,"Portland","OR","A",2026-06-10,29,NA,"International Longshore and Warehouse Union Local 5",17,NA,NA,NA,NA,4,21,NA,1,NA,"International Longshore and Warehouse Union Local 5","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED: All full-time and regular part-time Lead Teachers,  Assistant Teachers, Support Teachers, Substitute Teachers, and Cooks  employed by the Employer at its facility located at 2035 NW Front Ave., #100, Portland, OR 97209.

EXCLUDED: All School Leaders, Assistant School Leaders, confidential employees, managerial employees, volunteers, and guards and supervisors as defined by the Act.",NA,NA,NA,43,2026-04-01,2026-04-01,"26-50",TRUE,"RC","Yes","International Longshore and Warehouse Union Local 5",1,"ILWU",0.80952380952381,"Yes",8
"20-RD-379486","Region 20, San Francisco, California","Servco Pacific",2026-01-21,2026-02-24,"Hilo","HI","A",2026-02-13,22,NA,"International Longshore and Warehouse Union, Local 142",12,NA,NA,NA,NA,7,19,NA,NA,NA,"International Longshore and Warehouse Union, Local 142","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All regular full-time and part-time Technicians, Parts Personnel, and Lot/Utility Personnel.

Excluded:  All other employees, including guards, watchmen, and supervisors, as defined by the Act.",NA,NA,NA,23,2026-01-01,2026-01-01,"11-25",TRUE,"RD","Yes","International Longshore and Warehouse Union, Local 142",1,"ILWU",0.631578947368421,"Yes",3
"32-RC-373812","Region 32, Oakland, California","Bio-Rad Laboratories, Inc.",2025-09-22,NA,"Hercules","CA","A",2025-12-30,39,1,"Warehouse Union Local 6, ILWU",17,NA,NA,NA,NA,14,31,NA,NA,NA,"Warehouse Union Local 6, ILWU","Initial","Single Labor Organization",NA,"Open","All full-time and regular part-time Production Techs I, Production Techs II, Production Techs III, Engineering Techs I, Engineering Techs II, and Maintenance Tech I employed by the Employer at 6000 James Watson Dr, Hercules CA; Production Techs I, Production Techs II, Production Techs III, Maintenance Technicians II, Maintenance Technicians III, and Maintenance Tech IV employed by the Employer at 925 Alfred Nobel Dr, Hercules, CA;  Maintenance Tech  III and  Maintenance Technicians IV employed by the Employer at 4000 Alfred Nobel Dr, Hercules, CA; and  Maintenance Technicians III and Maintenance Technicians IV employed by the Employer at 3110 Regatta Blvd, Richmond CA; Excluding temporary Maintenance Technicians II and IV employed by the employment agency Nelson Staffing, casual or irregular employees, independent contractors, professional employees, managerial employees, confidential employees, office clerical employees, guards, and supervisors as defined by the Act.

Others permitted to vote The parties have agreed that the production employees working in USA RIC B3310 and USA HER B800 may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,99,2025-10-01,2025-07-01,"26-50",TRUE,"RC","Yes","Warehouse Union Local 6, ILWU",1,"ILWU",0.548387096774194,"Still Open",8
"19-RC-372591","Region 19, Seattle, Washington","Friendly House, Inc.",2025-09-02,2025-11-17,"Portland","OR","A",2025-09-25,40,NA,"International Longshore and Warehouse Union, Local 5",29,NA,NA,NA,NA,8,37,NA,NA,NA,"International Longshore and Warehouse Union, Local 5","Initial","Single Labor Organization","Certific. of Representative","Closed","Including: All full time, regular part-time, and on-call/substitute employees employed by the Employer and working in the Portland, Oregon metropolitan area.

Excluding: All managerial employees, confidential employees, casual employees, and guards and supervisors as defined by the Act.",NA,NA,NA,23,2025-07-01,2025-07-01,"26-50",TRUE,"RC","Yes","International Longshore and Warehouse Union, Local 5",1,"ILWU",0.783783783783784,"Yes",3
"20-RC-364971","Region 20, San Francisco, California","Penske Truck Leasing Co., LP",2025-05-02,2025-06-12,"Honolulu","HI","A",2025-05-29,46,NA,"International Longshore & Warehouse Union, Local 142",19,NA,NA,NA,NA,22,41,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed",NA,NA,NA,NA,27,2025-04-01,2025-04-01,"26-50",TRUE,"RC","Yes","International Longshore & Warehouse Union, Local 142",1,"ILWU",0.463414634146341,"No",5
