"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"31-RC-376924","Region 31, Los Angeles, California","LINXS Operators/Alstom Transport USA (a single employer) and Express Employment Professionals, Joint Employers",2025-12-11,NA,"Los Angeles","CA",NA,NA,51,NA,"International Union of Elevator Constructors, Local 18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2025-10-01,"51-100",TRUE,"RC","No","International Union of Elevator Constructors, Local 18",1,"IUEC",NA,"Still Open",NA
"31-RC-354855","Region 31, Los Angeles, California","Alstom Transport USA Inc.",2024-11-15,2024-12-23,"El Segundo","CA","A",2024-12-13,14,NA,"International Union of Elevator Constructors Local 18",13,NA,NA,NA,NA,0,13,NA,NA,NA,"International Union of Elevator Constructors Local 18","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time Vehicle Technicians, T&C technicians, T&C comms technicians, PI technicians, PI lead technicians, ITC SIG technicians, and ITC senior technicians employed by Alstom at 909 N Pacific Coast Highway, Suite 860, El Segundo, CA 90245.

Excluded: All other employees, office clerical employees, managerial employees, guards and supervisors as defined by the Act.",NA,NA,NA,28,2024-10-01,2024-10-01,"11-25",TRUE,"RC","Yes","International Union of Elevator Constructors Local 18",1,"IUEC",1,"Yes",1
"09-RD-293788","Region 09, Cincinnati, Ohio","EXECUTIVE RESIDENTIAL ELEVATOR, LLC",2022-04-11,2022-06-21,"Louisville","KY","A",2022-06-10,12,NA,"International Union of Elevator Constructors, AFL-CIO",5,NA,NA,NA,NA,6,11,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time elevator constructor helpers and mechanics employed by the Employer at its facility located at 812 Magnolia Avenue, Louisville, Kentucky 40208; but excluding all other employees, office clerical employees, professional employees, guards and supervisors, as defined in the Act.",NA,NA,NA,60,2022-04-01,2022-04-01,"11-25",TRUE,"RD","Yes","International Union of Elevator Constructors, AFL-CIO",1,"IUEC",0.454545454545455,"No",1
"20-RC-284109","Region 20, San Francisco, California","Otis Elevator Company",2021-10-06,2022-01-06,"Barrigada","GU","A",2021-12-21,15,NA,"International Union of Elevator Constructors, AFL-CIO",8,NA,NA,NA,NA,6,14,NA,NA,NA,"International Union of Elevator Constructors, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees employed by the Employer on the Island of Guam and the Northern Mariana Islands engaged in the service, repair, modernization, construction and installation of elevators, escalators, and other conveyance equipment. 
Excluded: All other employees, salesmen, managers, office clericals, guards and supervisors as defined in the Act.",NA,NA,NA,76,2021-10-01,2021-10-01,"11-25",TRUE,"RC","Yes","International Union of Elevator Constructors, AFL-CIO",1,"IUEC",0.571428571428571,"Yes",1
"09-RC-271979","Region 09, Cincinnati, Ohio","EXECUTIVE RESIDENTIAL ELEVATOR, LLC",2021-01-29,2021-04-05,"Louisville","KY","A",2021-03-25,21,NA,"International Union of Elevator Constructors, AFL-CIO",11,NA,NA,NA,NA,7,18,NA,2,NA,"International Union of Elevator Constructors, AFL-CIO","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and regular part-time elevator constructor helpers and mechanics employed by the Employer at its facility located at 812 Magnolia Ave., Louisville, Kentucky 40208; but excluding all other employees, office clerical employees, professional employees, guards and supervisors, as defined in the Act.",NA,NA,NA,55,2021-01-01,2021-01-01,"11-25",TRUE,"RC","Yes","International Union of Elevator Constructors, AFL-CIO",1,"IUEC",0.611111111111111,"Yes",3
"12-RC-260930","Region 12, Tampa, Florida","Oracle Elevator Holdco, Inc.",2020-05-28,2021-11-12,"Miami","FL","A",2020-11-18,27,NA,"International Union of Elevator Constructors, AFL-CIO",6,NA,NA,NA,NA,21,27,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time technicians, mechanics, apprentices, helpers, and warehouse employees employed by the Employer at Miami International Airport, Miami, Florida, excluding administrative and office clerical employees, professional employees, managerial employees, confidential employees, customer service associates, business development managers, sales employees, account managers, guards and supervisors as defined in the Act.",NA,NA,NA,174,2020-10-01,2020-04-01,"26-50",TRUE,"RC","Yes","International Union of Elevator Constructors, AFL-CIO",1,"IUEC",0.222222222222222,"No",0
"09-RC-251542","Region 09, Cincinnati, Ohio","ORACLE ELEVATOR HOLDCO, INC.",2019-11-12,2019-12-13,"Louisville","KY","A",2019-12-05,20,NA,"INTERNATIONAL UNION OF ELEVATOR CONSTRUCTORS, AFL-CIO",8,NA,NA,NA,NA,8,16,NA,4,"Y",NA,"Initial","Single Labor Organization","Withdrawal Non-adjusted","Closed","All full-time and regular part-time field employees employed by the Employer at its Louisville, Kentucky and Lexington, Kentucky facilities, but excluding all other office clerical employees, customer service associates, sales employees, business development managers, account managers, confidential employees, professional employees, managerial employees, guards, supervisors as defined in the Act and all other employees.",NA,NA,NA,23,2019-10-01,2019-10-01,"11-25",TRUE,"RC","Yes","INTERNATIONAL UNION OF ELEVATOR CONSTRUCTORS, AFL-CIO",1,"IUEC",0.5,"Other",4
"25-RC-248645","Region 25, Indianapolis, Indiana","Oracle Elevator Holdco, Inc.",2019-09-20,2020-10-22,"Indianapolis","IN","A",2020-10-14,15,NA,"International Union of Elevator Constructors, AFL-CIO",7,NA,NA,NA,NA,7,14,NA,NA,NA,NA,"Initial","Revised Single Labor Org","Certification of Results","Closed","All full-time and regular part-time Service Technicians, Service Apprentices, Modernization Technicians, Senior Modernization Technicians, and Modernization Apprentices employed by the Employer at its facilities located at 5534 West Raymond Street, Indianapolis and 2102 Kotter Ave., Suite C, Evansville, Indiana; BUT EXCLUDING all administrative and office clerical employees, professional employees, managerial employees, confidential employees, customer service associates, business development managers, guards and supervisors as defined in the Act, and all other employees.",NA,NA,NA,390,2020-10-01,2019-07-01,"11-25",TRUE,"RC","Yes","International Union of Elevator Constructors, AFL-CIO",1,"IUEC",0.5,"No",1
"25-RC-248645","Region 25, Indianapolis, Indiana","Oracle Elevator Holdco, Inc.",2019-09-20,2020-10-22,"Indianapolis","IN","A",2019-10-16,15,NA,"International Union of Elevator Constructors, AFL-CIO",7,NA,NA,NA,NA,6,13,NA,2,"Y","International Union of Elevator Constructors, AFL-CIO","Initial","Single Labor Organization","Certification of Results","Closed","All full-time and regular part-time Service Technicians, Service Apprentices, Modernization Technicians, Senior Modernization Technicians, and Modernization Apprentices employed by the Employer at its facilities located at 5534 West Raymond Street, Indianapolis and 2102 Kotter Ave., Suite C, Evansville, Indiana; BUT EXCLUDING all administrative and office clerical employees, professional employees, managerial employees, confidential employees, customer service associates, business development managers, guards and supervisors as defined in the Act, and all other employees.",NA,NA,NA,26,2019-10-01,2019-07-01,"11-25",FALSE,"RC","Yes","International Union of Elevator Constructors, AFL-CIO",1,"IUEC",0.538461538461538,"No",2
"04-RC-216216","Region 04, Philadelphia, Pennsylvania","Metro Elevator Company",2018-03-08,2018-05-21,"West Chester","PA","A",2018-05-11,10,NA,"International Union of Elevator Constructors Local 5",5,NA,NA,NA,NA,4,9,NA,NA,NA,"International Union of Elevator Constructors Local 5","Initial","Revised Single Labor Org","Certific. of Representative","Closed","Included: All full-time and regular part-time elevator constructors, helpers and apprentices employed by the Employer at its 210 Carter Drive, Suite #8, West Chester, PA facility.
Excluded: All other employees, guards and supervisors as defined in the Act.

Others permitted to vote: The parties have agreed that Jordan Todd, Mathew Mercer, and Daniel Conte may vote in the election but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether they are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",NA,NA,NA,64,2018-04-01,2018-01-01,"6-10",TRUE,"RC","Yes","International Union of Elevator Constructors Local 5",1,"IUEC",0.555555555555556,"Yes",1
