"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"02-RM-370166","Region 02, New York, New York","GVC LTD",2025-07-24,NA,"Bronx","NY",NA,NA,336,NA,"LOCAL 621, UNITED SERVICE WORKERS, INTERNATIONAL UNION OF JOURNEYMEN & ALLIED TRADES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2025-07-01,"101-500",TRUE,"RM","No","LOCAL 621, UNITED SERVICE WORKERS, INTERNATIONAL UNION OF JOURNEYMEN & ALLIED TRADES",1,"IUJAT",NA,"Still Open",NA
"29-RC-368961","Region 29, Brooklyn, New York","Competition Iron Works, Inc.",2025-07-07,2025-08-25,"Holtsville","NY","A",2025-08-14,5,NA,"United Service Workers Union, Local 339, IUJAT",4,NA,NA,NA,NA,0,5,NA,1,NA,"United Service Workers Union, Local 339, IUJAT","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full time and regular part-time welders, fabricators and CNC Operators employed by the Employer at 25 Corporate Drive, Holtsville, New York. 

Excluded: All other employees, including drivers, office clerical, professional employees, managers, guards and supervisors as defined in the Act.",NA,NA,NA,38,2025-07-01,2025-07-01,"<5",TRUE,"RC","Yes","United Service Workers Union, Local 339, IUJAT",1,"IUJAT",1,"Yes",1
"29-RC-361349","Region 29, Brooklyn, New York","BakeMark USA, LLC",2025-03-04,2025-05-16,"Hauppauge","NY","A",2025-04-21,24,NA,"Consolidated Commercial Workers of America, Local 528, affiliated with NOITU-IUJAT",13,NA,NA,NA,NA,7,20,NA,NA,NA,"Consolidated Commercial Workers of America, Local 528, affiliated with NOITU-IUJAT","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time employees in the classifications of Warehouse Worker, Lead Warehouse Worker and Component Driver at the Employer’s facility currently located at 49 Wireless Blvd., Hauppauge, New York. 

Excluded: All other employees, temporary employees, employees of other employers, employees at other Employer locations, confidential employees, office clerical employees, managerial employees, guards, and supervisors as defined by the Act.",NA,NA,NA,48,2025-04-01,2025-01-01,"11-25",TRUE,"RC","Yes","Consolidated Commercial Workers of America, Local 528, affiliated with NOITU-IUJAT",1,"IUJAT",0.65,"Yes",4
"22-RC-360715","Region 22, Newark, New Jersey","Ciocca FLNJ Inc., d/b/a Ciocca Ford Lincoln of Lawrenceville",2025-02-21,2025-04-08,"Lawrenceville","NJ","A",2025-03-28,9,NA,"UNITED SERVICE WORKERS UNION LOCAL 455, INTERNATIONAL UNION OF JOURNEYMEN AND ALLIED TRADES",8,NA,NA,NA,NA,0,8,NA,NA,NA,"UNITED SERVICE WORKERS UNION LOCAL 455, INTERNATIONAL UNION OF JOURNEYMEN AND ALLIED TRADES","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:  	All Full-Time and Regular Part-Time Service Technicians, Parts Drivers, and Parts Countermen employed by the Employer at its 2920 Brunswick Pike, Lawrenceville Township, New Jersey facility.
EXCLUDED:  	All Office Clerical Employees, Guards, Managerial Employees, Confidential Employees, Professional Employees, and Supervisors as defined in the Act and all other employees.",NA,NA,NA,35,2025-01-01,2025-01-01,"6-10",TRUE,"RC","Yes","UNITED SERVICE WORKERS UNION LOCAL 455, INTERNATIONAL UNION OF JOURNEYMEN AND ALLIED TRADES",1,"IUJAT",1,"Yes",1
"29-RC-358308","Region 29, Brooklyn, New York","Progressive Maintenance LLC and Progressive Management of NY V LLC, Joint Employers",2025-01-15,NA,"Brooklyn","NY","A",2026-04-14,20,1,"LOCAL 2 BUILDING SERVICE EMPLOYEE & FACTORY WORKERS, USWU, IUJAT",12,NA,NA,NA,NA,0,12,NA,5,NA,"Local 2 Building Service Employees and Factory Workers USWU, IUJAT","Initial","Single Labor Organization",NA,"Open","Included:  All full-time and regular part-time superintendents and porters employed by the Employer at 894 Fountain Avenue, 11629 Seaview Avenue, 881 Erskine Street, 10 Schroeder’s Walk, 911 Erskine Street, and 702 Vandalia Avenue, Brooklyn, New York.

Excluded:  All other employees, guards, and supervisors as defined in Section 2(11) of the Act.
",NA,NA,NA,454,2026-04-01,2025-01-01,"11-25",TRUE,"RC","Yes","LOCAL 2 BUILDING SERVICE EMPLOYEE & FACTORY WORKERS, USWU, IUJAT",1,"IUJAT",1,"Still Open",8
"29-RC-354496","Region 29, Brooklyn, New York","Porsche Brooklyn",2024-11-12,2025-01-07,"Brooklyn","NY","A",2024-12-20,6,NA,"United Service Workers Union, Local 355, IUJAT",5,NA,NA,NA,NA,1,6,NA,NA,NA,"United Service Workers Union, Local 355, IUJAT","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time technicians employed at the Employer’s facility located at 3906 2nd Avenue, Brooklyn, New York.
Excluded: All other employees, including office clerical, professional employees, managers, guards and supervisors, as defined by the Act.",NA,NA,NA,38,2024-10-01,2024-10-01,"6-10",TRUE,"RC","Yes","United Service Workers Union, Local 355, IUJAT",1,"IUJAT",0.833333333333333,"Yes",0
"29-RC-336424","Region 29, Brooklyn, New York","Brooklyn Swedish Cars LLC",2024-02-20,2024-04-11,"Brooklyn","NY","A",2024-03-26,9,NA,"United Service Workers Union Local 255, IUJAT",6,NA,NA,NA,NA,1,0,NA,NA,NA,"United Service Workers Union Local 255, IUJAT","Initial","Single Labor Organization","Certific. of Representative","Closed","Included: All full-time and regular part-time service technicians and all full-time parts department employees employed by the Employer at its 148 39th Street Brooklyn, NY facility.
Excluded: All other employees, including office clerical, dispatchers, guards, managers, salespersons, advisors, and supervisors as defined by the Act.",NA,NA,NA,35,2024-01-01,2024-01-01,"6-10",TRUE,"RC","Yes","United Service Workers Union Local 255, IUJAT",1,"IUJAT",NA,"Yes",2
"22-RM-335709","Region 22, Newark, New Jersey","HAMPTON IMPORTS II LLC  D/B/A VOLKSWAGON WORLD OF NEWTON",2024-02-14,2024-03-12,"Hampton","NJ","A",2024-03-04,6,NA,"United Service Workers Union Local 255, IUJAT",5,NA,NA,NA,NA,1,6,NA,NA,NA,"United Service Workers Union Local 255, IUJAT","Initial","Single Labor Organization","Certific. of Representative","Closed","INCLUDED:	All full-time and regular part-time service technicians employed by the Employer at its 1 Condit Court, Newton, New Jersey, facility.
EXCLUDED:	All office clerical employees, professional employees, managers, guards, and supervisors as defined by the Act, and all other employees.",NA,NA,NA,19,2024-01-01,2024-01-01,"6-10",TRUE,"RM","Yes","United Service Workers Union Local 255, IUJAT",1,"IUJAT",0.833333333333333,"Yes",0
"04-RC-329444","Region 04, Philadelphia, Pennsylvania","RK Chevrolet, Inc. d/b/a RK Kia of Vineland",2023-11-06,2023-12-27,"Vineland","NJ","A",2023-12-18,6,NA,"United Service Workers Union, Local 455, International Union of Journeymen and Allied Trades (IUJAT)",3,NA,NA,NA,NA,3,6,NA,NA,NA,NA,"Initial","Single Labor Organization","Certification of Results","Closed","Included: All full-time and regular part-time service shop technicians and parts department employees employed by the Employer at its 612 North Delsea Drive, Vineland, NJ facility.

Excluded: All other employees, sales employees, office clerical employees, dispatchers, managers, guards, and supervisors as defined in the Act.",NA,NA,NA,42,2023-10-01,2023-10-01,"6-10",TRUE,"RC","Yes","United Service Workers Union, Local 455, International Union of Journeymen and Allied Trades (IUJAT)",1,"IUJAT",0.5,"No",0
"01-RD-321193","Region 01, Boston, Massachusetts","All-Star Transportation, LLC",2023-07-06,2023-10-02,"Brookfield","CT","A",2023-09-22,40,NA,"United Service Workers Union, Local 355, IUJAT",34,NA,NA,NA,NA,1,35,NA,NA,NA,"United Service Workers Union, Local 355, IUJAT","Initial","Single Labor Organization","Certific. of Representative","Closed","All full-time and part-­time school bus drivers employed by the Employer at its Brookfield, Connecticut facility; but excluding dispatchers, managers, guards, professional employees, and supervisors as defined in the Act.",NA,NA,NA,78,2023-07-01,2023-07-01,"26-50",TRUE,"RD","Yes","United Service Workers Union, Local 355, IUJAT",1,"IUJAT",0.971428571428571,"Yes",5
