"Case","Region","Case_Name","Date_Filed","Date_Closed","City","State","Unit ID","Tally_Date","Num_Eligible_Voters","Void Ballots","Labor_Union","Votes_For_Union","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes_Against","Total_Ballots_Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Tally_Type","Ballot_Type","Reason_Closed","Status","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)","Length","Tally_Quarter","Filed_Quarter","size","Unique","Case_Type","Election_Data","Plot_Labor_Union","National_Count","National","Margin","Union_Cer","Didnt_Vote"
"01-RC-392819","Region 01, Boston, Massachusetts","Jones Lang LaSalle Americas, Inc.",2026-08-14,NA,"West Greenwich","RI",NA,NA,3,NA,"International Union of Operating Engineers, Local 877",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","International Union of Operating Engineers, Local 877",1,"IUOE",NA,"Still Open",NA
"21-RD-392771","Region 21, Los Angeles, California","Waste Management - El Sobrante Landfill",2026-08-13,NA,"Corona","CA",NA,NA,73,NA,"International Union of Operating Engineers Local 12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"51-100",TRUE,"RD","No","International Union of Operating Engineers Local 12",1,"IUOE",NA,"Still Open",NA
"13-RC-392694","Region 13, Chicago, Illinois","Ecology Solutions LLC, a division of Lakeshore Recycling Services",2026-08-12,NA,"Rosemont","IL",NA,NA,28,NA,"International Union of Operating Engineers Local 150 AFL CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"26-50",TRUE,"RC","No","International Union of Operating Engineers Local 150 AFL CIO",1,"IUOE",NA,"Still Open",NA
"13-RC-392561","Region 13, Chicago, Illinois","CBRE",2026-08-11,NA,"Chicago","IL",NA,NA,2,NA,"International Union of Operating Engineers, Local 399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","International Union of Operating Engineers, Local 399",1,"IUOE",NA,"Still Open",NA
"05-RC-392498","Region 05, Baltimore, Maryland","Cushman & Wakefield U.S., Inc.",2026-08-10,NA,"Arlington","VA",NA,NA,2,NA,"International Union of Operating Engineers Local 99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","International Union of Operating Engineers Local 99",1,"IUOE",NA,"Still Open",NA
"05-RC-392565","Region 05, Baltimore, Maryland","Jones Lang LaSalle Americas, Inc.",2026-08-10,NA,"Herndon","VA",NA,NA,2,NA,"International Union of Operating Engineers Local 99 a/w International Union of Operating Engineers, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","International Union of Operating Engineers Local 99 a/w International Union of Operating Engineers, AFL-CIO",1,"IUOE",NA,"Still Open",NA
"05-RC-392497","Region 05, Baltimore, Maryland","Jones Lang LaSalle Americas, Inc.",2026-08-10,NA,"McLean","VA",NA,NA,3,NA,"International Union of Operating Engineers, Local 99, a/w International Union of Operating Engineers, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RC","No","International Union of Operating Engineers, Local 99, a/w International Union of Operating Engineers, AFL-CIO",1,"IUOE",NA,"Still Open",NA
"20-RM-392516","Region 20, San Francisco, California","Khanna Enterprises II, LP",2026-08-10,NA,"Sacramento","CA",NA,NA,4,NA,"International Union of Operating Engineers, Stationary Engineers, Local 39, AFL-CIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"<5",TRUE,"RM","No","International Union of Operating Engineers, Stationary Engineers, Local 39, AFL-CIO",1,"IUOE",NA,"Still Open",NA
"32-RC-392605","Region 32, Oakland, California","Herc Rentals Inc.",2026-08-10,NA,"Sparks","NV",NA,NA,13,NA,"Operating Engineers Local Union No. 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","Operating Engineers Local Union No. 3",1,"IUOE",NA,"Still Open",NA
"01-RC-392395","Region 01, Boston, Massachusetts","Jones Lang LaSalle Americas, Inc.",2026-08-07,NA,"West Greenwich","RI",NA,NA,18,NA,"International Union of Operating Engineers Local 877",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open",NA,NA,NA,NA,NA,NA,2026-07-01,"11-25",TRUE,"RC","No","International Union of Operating Engineers Local 877",1,"IUOE",NA,"Still Open",NA
